Cause of Death,Ten-Year Age Groups,Race,Gender,Deaths,Population,"Crude Rate Per 100,000"
Iron deficiency anaemia secondary to blood loss (chronic),35-44 years,Black or African American,Female,1,"2,985,333"
Iron deficiency anaemia secondary to blood loss (chronic),35-44 years,White,Female,1,"16,160,588"
Iron deficiency anaemia secondary to blood loss (chronic),35-44 years,White,Male,1,"16,430,324"
Iron deficiency anaemia secondary to blood loss (chronic),45-54 years,White,Female,3,"18,311,951"
Iron deficiency anaemia secondary to blood loss (chronic),45-54 years,White,Male,2,"18,090,039"
Iron deficiency anaemia secondary to blood loss (chronic),55-64 years,American Indian or Alaska Native,Male,1,"158,974"
Iron deficiency anaemia secondary to blood loss (chronic),55-64 years,Black or African American,Female,1,"2,108,842"
Iron deficiency anaemia secondary to blood loss (chronic),55-64 years,White,Female,5,"15,172,474"
Iron deficiency anaemia secondary to blood loss (chronic),55-64 years,White,Male,3,"14,436,221"
Iron deficiency anaemia secondary to blood loss (chronic),65-74 years,Black or African American,Female,1,"1,165,689"
Iron deficiency anaemia secondary to blood loss (chronic),65-74 years,Black or African American,Male,2,"863,857"
Iron deficiency anaemia secondary to blood loss (chronic),65-74 years,White,Female,10,"9,654,970"
Iron deficiency anaemia secondary to blood loss (chronic),65-74 years,White,Male,4,"8,528,483"
Iron deficiency anaemia secondary to blood loss (chronic),75-84 years,Asian or Pacific Islander,Female,1,"258,589"
Iron deficiency anaemia secondary to blood loss (chronic),75-84 years,Black or African American,Female,2,"667,850"
Iron deficiency anaemia secondary to blood loss (chronic),75-84 years,Black or African American,Male,3,"388,158"
Iron deficiency anaemia secondary to blood loss (chronic),75-84 years,White,Female,16,"6,624,713"
Iron deficiency anaemia secondary to blood loss (chronic),75-84 years,White,Male,14,"4,837,506"
Iron deficiency anaemia secondary to blood loss (chronic),85+ years,Black or African American,Female,4,"273,838"
Iron deficiency anaemia secondary to blood loss (chronic),85+ years,Black or African American,Male,1,"106,153"
Iron deficiency anaemia secondary to blood loss (chronic),85+ years,White,Female,39,"3,256,878",1.2
Iron deficiency anaemia secondary to blood loss (chronic),85+ years,White,Male,13,"1,570,486"
Other iron deficiency anaemias,65-74 years,White,Female,1,"9,654,970"
Other iron deficiency anaemias,75-84 years,White,Female,1,"6,624,713"
Other iron deficiency anaemias,85+ years,White,Female,5,"3,256,878"
Other iron deficiency anaemias,85+ years,White,Male,2,"1,570,486"
"Iron deficiency anaemia, unspecified",45-54 years,Black or African American,Female,1,"3,022,312"
"Iron deficiency anaemia, unspecified",55-64 years,Black or African American,Female,1,"2,108,842"
"Iron deficiency anaemia, unspecified",55-64 years,White,Female,1,"15,172,474"
"Iron deficiency anaemia, unspecified",55-64 years,White,Male,1,"14,436,221"
"Iron deficiency anaemia, unspecified",65-74 years,Black or African American,Male,1,"863,857"
"Iron deficiency anaemia, unspecified",65-74 years,White,Female,5,"9,654,970"
"Iron deficiency anaemia, unspecified",65-74 years,White,Male,1,"8,528,483"
"Iron deficiency anaemia, unspecified",75-84 years,White,Female,9,"6,624,713"
"Iron deficiency anaemia, unspecified",75-84 years,White,Male,2,"4,837,506"
"Iron deficiency anaemia, unspecified",85+ years,Black or African American,Male,2,"106,153"
"Iron deficiency anaemia, unspecified",85+ years,White,Female,27,"3,256,878",0.8
"Iron deficiency anaemia, unspecified",85+ years,White,Male,6,"1,570,486"
Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,45-54 years,White,Female,1,"18,311,951"
Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,45-54 years,White,Male,1,"18,090,039"
Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,55-64 years,White,Female,1,"15,172,474"
Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,65-74 years,White,Male,1,"8,528,483"
Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,75-84 years,White,Female,5,"6,624,713"
Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,75-84 years,White,Male,3,"4,837,506"
Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,85+ years,Black or African American,Female,1,"273,838"
Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,85+ years,Black or African American,Male,1,"106,153"
Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,85+ years,White,Female,23,"3,256,878",0.7
Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,85+ years,White,Male,9,"1,570,486"
"Vitamin B12 deficiency anaemia, unspecified",75-84 years,White,Male,1,"4,837,506"
"Folate deficiency anaemia, unspecified",45-54 years,White,Female,1,"18,311,951"
"Folate deficiency anaemia, unspecified",55-64 years,White,Male,1,"14,436,221"
"Folate deficiency anaemia, unspecified",65-74 years,White,Female,1,"9,654,970"
"Folate deficiency anaemia, unspecified",75-84 years,White,Female,2,"6,624,713"
"Folate deficiency anaemia, unspecified",85+ years,Black or African American,Male,1,"106,153"
"Folate deficiency anaemia, unspecified",85+ years,White,Female,1,"3,256,878"
Protein deficiency anaemia,55-64 years,Asian or Pacific Islander,Female,1,"877,831"
Protein deficiency anaemia,55-64 years,White,Male,1,"14,436,221"
Protein deficiency anaemia,65-74 years,White,Female,1,"9,654,970"
Protein deficiency anaemia,75-84 years,Black or African American,Male,1,"388,158"
Protein deficiency anaemia,75-84 years,White,Female,1,"6,624,713"
Protein deficiency anaemia,75-84 years,White,Male,2,"4,837,506"
Protein deficiency anaemia,85+ years,White,Female,8,"3,256,878"
Protein deficiency anaemia,85+ years,White,Male,1,"1,570,486"
"Other megaloblastic anaemias, not elsewhere classified",75-84 years,White,Male,1,"4,837,506"
"Other megaloblastic anaemias, not elsewhere classified",85+ years,White,Female,1,"3,256,878"
"Nutritional anaemia, unspecified",35-44 years,Black or African American,Male,1,"2,657,914"
"Nutritional anaemia, unspecified",35-44 years,White,Female,1,"16,160,588"
"Nutritional anaemia, unspecified",55-64 years,Black or African American,Male,1,"1,753,418"
"Nutritional anaemia, unspecified",55-64 years,White,Female,2,"15,172,474"
"Nutritional anaemia, unspecified",55-64 years,White,Male,1,"14,436,221"
"Nutritional anaemia, unspecified",65-74 years,White,Female,2,"9,654,970"
"Nutritional anaemia, unspecified",75-84 years,Black or African American,Male,1,"388,158"
"Nutritional anaemia, unspecified",75-84 years,White,Female,4,"6,624,713"
"Nutritional anaemia, unspecified",75-84 years,White,Male,2,"4,837,506"
"Nutritional anaemia, unspecified",85+ years,Asian or Pacific Islander,Female,1,"87,803"
"Nutritional anaemia, unspecified",85+ years,Black or African American,Female,4,"273,838"
"Nutritional anaemia, unspecified",85+ years,White,Female,7,"3,256,878"
Alpha thalassaemia,< 1 year,Asian or Pacific Islander,Female,1,"110,795"
Alpha thalassaemia,< 1 year,White,Male,1,"1,541,186"
Alpha thalassaemia,1-4 years,White,Male,1,"6,298,556"
Alpha thalassaemia,45-54 years,Black or African American,Male,1,"2,672,209"
Beta thalassaemia,1-4 years,White,Female,1,"6,009,121"
Beta thalassaemia,15-24 years,Asian or Pacific Islander,Female,1,"1,195,340"
Beta thalassaemia,25-34 years,White,Male,1,"16,024,225"
Beta thalassaemia,35-44 years,White,Male,2,"16,430,324"
Beta thalassaemia,75-84 years,White,Female,1,"6,624,713"
Beta thalassaemia,85+ years,Black or African American,Female,1,"273,838"
"Thalassaemia, unspecified",15-24 years,Asian or Pacific Islander,Male,1,"1,238,521"
"Thalassaemia, unspecified",55-64 years,Black or African American,Female,1,"2,108,842"
"Thalassaemia, unspecified",55-64 years,White,Female,1,"15,172,474"
"Thalassaemia, unspecified",75-84 years,Black or African American,Female,1,"667,850"
"Thalassaemia, unspecified",75-84 years,Black or African American,Male,1,"388,158"
"Thalassaemia, unspecified",75-84 years,White,Female,1,"6,624,713"
"Thalassaemia, unspecified",85+ years,Asian or Pacific Islander,Male,1,"51,874"
"Thalassaemia, unspecified",85+ years,White,Female,3,"3,256,878"
"Thalassaemia, unspecified",85+ years,White,Male,2,"1,570,486"
Sickle-cell anaemia with crisis,1-4 years,Black or African American,Male,1,"1,374,554"
Sickle-cell anaemia with crisis,5-14 years,Black or African American,Female,3,"3,280,109"
Sickle-cell anaemia with crisis,15-24 years,Black or African American,Female,5,"3,541,617"
Sickle-cell anaemia with crisis,15-24 years,Black or African American,Male,4,"3,571,945"
Sickle-cell anaemia with crisis,15-24 years,White,Male,2,"17,115,575"
Sickle-cell anaemia with crisis,25-34 years,Black or African American,Female,9,"3,032,924"
Sickle-cell anaemia with crisis,25-34 years,Black or African American,Male,14,"2,758,449"
Sickle-cell anaemia with crisis,25-34 years,White,Male,1,"16,024,225"
