Cause of Death,Ten-Year Age Groups,Race,Gender,Deaths,Population,"Crude Rate Per 100,000"
Tubal pregnancy,35-44 years,Black or African American,Female,1,"2,984,282"
Tubal pregnancy,35-44 years,White,Female,4,"15,444,065"
"Ectopic pregnancy, unspecified",15-24 years,White,Female,2,"16,129,148"
"Ectopic pregnancy, unspecified",25-34 years,Black or African American,Female,5,"3,304,914"
"Ectopic pregnancy, unspecified",25-34 years,White,Female,2,"16,204,311"
"Ectopic pregnancy, unspecified",35-44 years,American Indian or Alaska Native,Female,1,"291,074"
"Ectopic pregnancy, unspecified",35-44 years,White,Female,1,"15,444,065"
Blighted ovum and nonhydatidiform mole,35-44 years,White,Female,1,"15,444,065"
"Spontaneous abortion, incomplete, complicated by delayed or excessive haemorrhage",25-34 years,Black or African American,Female,1,"3,304,914"
"Spontaneous abortion, complete or unspecified, complicated by genital tract and pelvic infection",15-24 years,White,Female,1,"16,129,148"
"Spontaneous abortion, complete or unspecified, complicated by genital tract and pelvic infection",25-34 years,White,Female,1,"16,204,311"
"Spontaneous abortion, complete or unspecified, complicated by embolism",35-44 years,Black or African American,Female,1,"2,984,282"
"Spontaneous abortion, complete or unspecified, with other and unspecified complications",35-44 years,Asian or Pacific Islander,Female,1,"1,634,483"
"Spontaneous abortion, complete or unspecified, without complication",25-34 years,Black or African American,Female,1,"3,304,914"
"Medical abortion, complete or unspecified, with other and unspecified complications",25-34 years,Black or African American,Female,1,"3,304,914"
"Other abortion, complete or unspecified, without complication",25-34 years,White,Female,1,"16,204,311"
"Other abortion, complete or unspecified, without complication",35-44 years,Black or African American,Female,1,"2,984,282"
"Unspecified abortion, complete or unspecified, with other and unspecified complications",25-34 years,Black or African American,Female,1,"3,304,914"
"Other and unspecified failed attempted abortion, with other and unspecified complications",35-44 years,Black or African American,Female,1,"2,984,282"
"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",25-34 years,Black or African American,Female,2,"3,304,914"
"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",25-34 years,White,Female,1,"16,204,311"
"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",35-44 years,Black or African American,Female,1,"2,984,282"
"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",35-44 years,White,Female,1,"15,444,065"
"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",45-54 years,Black or African American,Female,6,"3,028,774"
"Pre-existing essential hypertension complicating pregnancy, childbirth and the puerperium",45-54 years,White,Female,4,"17,361,561"
"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",15-24 years,White,Female,1,"16,129,148"
"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",25-34 years,Black or African American,Female,6,"3,304,914"
"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",25-34 years,White,Female,1,"16,204,311"
"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",35-44 years,Asian or Pacific Islander,Female,1,"1,634,483"
"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",35-44 years,Black or African American,Female,2,"2,984,282"
"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",35-44 years,White,Female,2,"15,444,065"
"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium",35-44 years,White,Female,1,"15,444,065"
Pre-existing hypertensive disorder with superimposed proteinuria,35-44 years,Black or African American,Female,1,"2,984,282"
Gestational [pregnancy-induced] hypertension without significant proteinuria,15-24 years,Black or African American,Female,1,"3,629,819"
Gestational [pregnancy-induced] hypertension without significant proteinuria,25-34 years,White,Female,1,"16,204,311"
Severe pre-eclampsia,35-44 years,Black or African American,Female,1,"2,984,282"
HELLP syndrome,25-34 years,Black or African American,Female,2,"3,304,914"
HELLP syndrome,25-34 years,White,Female,1,"16,204,311"
HELLP syndrome,35-44 years,Black or African American,Female,1,"2,984,282"
"Pre-eclampsia, unspecified",25-34 years,Black or African American,Female,4,"3,304,914"
"Pre-eclampsia, unspecified",35-44 years,Black or African American,Female,2,"2,984,282"
"Pre-eclampsia, unspecified",35-44 years,White,Female,1,"15,444,065"
Eclampsia in pregnancy,15-24 years,White,Female,1,"16,129,148"
Eclampsia in pregnancy,35-44 years,White,Female,1,"15,444,065"
Eclampsia in the puerperium,15-24 years,Black or African American,Female,1,"3,629,819"
Eclampsia in the puerperium,25-34 years,White,Female,1,"16,204,311"
Eclampsia in the puerperium,35-44 years,White,Female,1,"15,444,065"
"Eclampsia, unspecified as to time period",15-24 years,White,Female,1,"16,129,148"
"Eclampsia, unspecified as to time period",25-34 years,Black or African American,Female,2,"3,304,914"
"Eclampsia, unspecified as to time period",35-44 years,Black or African American,Female,2,"2,984,282"
"Eclampsia, unspecified as to time period",35-44 years,White,Female,1,"15,444,065"
Unspecified maternal hypertension,15-24 years,Black or African American,Female,1,"3,629,819"
Unspecified maternal hypertension,25-34 years,Black or African American,Female,4,"3,304,914"
Unspecified maternal hypertension,25-34 years,White,Female,4,"16,204,311"
Unspecified maternal hypertension,35-44 years,Asian or Pacific Islander,Female,1,"1,634,483"
Unspecified maternal hypertension,35-44 years,Black or African American,Female,3,"2,984,282"
Unspecified maternal hypertension,35-44 years,White,Female,3,"15,444,065"
Unspecified maternal hypertension,45-54 years,White,Female,4,"17,361,561"
"Haemorrhage in early pregnancy, unspecified",25-34 years,Black or African American,Female,1,"3,304,914"
Deep phlebothrombosis in pregnancy,25-34 years,Black or African American,Female,2,"3,304,914"
Deep phlebothrombosis in pregnancy,45-54 years,Black or African American,Female,1,"3,028,774"
"Venous complication in pregnancy, unspecified",25-34 years,White,Female,1,"16,204,311"
Infections of kidney in pregnancy,15-24 years,White,Female,1,"16,129,148"
Infections of the genital tract in pregnancy,15-24 years,Black or African American,Female,1,"3,629,819"
Infections of the genital tract in pregnancy,25-34 years,White,Female,1,"16,204,311"
Infections of the genital tract in pregnancy,35-44 years,White,Female,2,"15,444,065"
Infections of the genital tract in pregnancy,45-54 years,White,Female,1,"17,361,561"
