VARIABLE,TYPE,LABEL,GROUP
DP04_0001E,int,Number!!Estimate!!HOUSING OCCUPANCY!!Total housing units,DP04
DP04_0001PE,int,Percent!!Estimate!!HOUSING OCCUPANCY!!Total housing units,DP04
DP04_0002E,int,Number!!Estimate!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,DP04
DP04_0002PE,float,Percent!!Estimate!!HOUSING OCCUPANCY!!Total housing units!!Occupied housing units,DP04
DP04_0003E,int,Number!!Estimate!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units,DP04
DP04_0003PE,float,Percent!!Estimate!!HOUSING OCCUPANCY!!Total housing units!!Vacant housing units,DP04
DP04_0004E,float,Number!!Estimate!!HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate,DP04
DP04_0004PE,int,Percent!!Estimate!!HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate,DP04
DP04_0005E,float,Number!!Estimate!!HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate,DP04
DP04_0005PE,int,Percent!!Estimate!!HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate,DP04
DP04_0006E,int,Number!!Estimate!!UNITS IN STRUCTURE!!Total housing units,DP04
DP04_0006PE,int,Percent!!Estimate!!UNITS IN STRUCTURE!!Total housing units,DP04
DP04_0007E,int,"Number!!Estimate!!UNITS IN STRUCTURE!!1-unit, detached",DP04
DP04_0007PE,float,"Percent!!Estimate!!UNITS IN STRUCTURE!!1-unit, detached",DP04
DP04_0008E,int,"Number!!Estimate!!UNITS IN STRUCTURE!!1-unit, attached",DP04
DP04_0008PE,float,"Percent!!Estimate!!UNITS IN STRUCTURE!!1-unit, attached",DP04
DP04_0009E,int,Number!!Estimate!!UNITS IN STRUCTURE!!2 units,DP04
DP04_0009PE,float,Percent!!Estimate!!UNITS IN STRUCTURE!!2 units,DP04
DP04_0010E,int,Number!!Estimate!!UNITS IN STRUCTURE!!3 or 4 units,DP04
DP04_0010PE,float,Percent!!Estimate!!UNITS IN STRUCTURE!!3 or 4 units,DP04
DP04_0011E,int,Number!!Estimate!!UNITS IN STRUCTURE!!5 to 9 units,DP04
DP04_0011PE,float,Percent!!Estimate!!UNITS IN STRUCTURE!!5 to 9 units,DP04
DP04_0012E,int,Number!!Estimate!!UNITS IN STRUCTURE!!10 to 19 units,DP04
DP04_0012PE,float,Percent!!Estimate!!UNITS IN STRUCTURE!!10 to 19 units,DP04
DP04_0013E,int,Number!!Estimate!!UNITS IN STRUCTURE!!20 or more units,DP04
DP04_0013PE,float,Percent!!Estimate!!UNITS IN STRUCTURE!!20 or more units,DP04
