GEO_ID,S2201_C01_001E,S2201_C01_001M,S2201_C01_002E,S2201_C01_002M,S2201_C01_003E,S2201_C01_003M,S2201_C01_004E,S2201_C01_004M,S2201_C01_005E,S2201_C01_005M,S2201_C01_006E,S2201_C01_006M,S2201_C01_007E,S2201_C01_007M,S2201_C01_008E,S2201_C01_008M,S2201_C01_009E,S2201_C01_009M,S2201_C01_010E,S2201_C01_010M,S2201_C01_011E,S2201_C01_011M,S2201_C01_012E,S2201_C01_012M,S2201_C01_013E,S2201_C01_013M,S2201_C01_014E,S2201_C01_014M,S2201_C01_015E,S2201_C01_015M,S2201_C01_016E,S2201_C01_016M,S2201_C01_017E,S2201_C01_017M,S2201_C01_018E,S2201_C01_018M,S2201_C01_019E,S2201_C01_019M,S2201_C01_020E,S2201_C01_020M,S2201_C01_021E,S2201_C01_021M,S2201_C02_001E,S2201_C02_001M,S2201_C02_002E,S2201_C02_002M,S2201_C02_003E,S2201_C02_003M,S2201_C02_004E,S2201_C02_004M,S2201_C02_005E,S2201_C02_005M,S2201_C02_006E,S2201_C02_006M,S2201_C02_007E,S2201_C02_007M,S2201_C02_008E,S2201_C02_008M,S2201_C02_009E,S2201_C02_009M,S2201_C02_010E,S2201_C02_010M,S2201_C02_011E,S2201_C02_011M,S2201_C02_012E,S2201_C02_012M,S2201_C02_013E,S2201_C02_013M,S2201_C02_014E,S2201_C02_014M,S2201_C02_015E,S2201_C02_015M,S2201_C02_016E,S2201_C02_016M,S2201_C02_017E,S2201_C02_017M,S2201_C02_018E,S2201_C02_018M,S2201_C02_019E,S2201_C02_019M,S2201_C02_020E,S2201_C02_020M,S2201_C02_021E,S2201_C02_021M,S2201_C03_001E,S2201_C03_001M,S2201_C03_002E,S2201_C03_002M,S2201_C03_003E,S2201_C03_003M,S2201_C03_004E,S2201_C03_004M,S2201_C03_005E,S2201_C03_005M,S2201_C03_006E,S2201_C03_006M,S2201_C03_007E,S2201_C03_007M,S2201_C03_008E,S2201_C03_008M,S2201_C03_009E,S2201_C03_009M,S2201_C03_010E,S2201_C03_010M,S2201_C03_011E,S2201_C03_011M,S2201_C03_012E,S2201_C03_012M,S2201_C03_013E,S2201_C03_013M,S2201_C03_014E,S2201_C03_014M,S2201_C03_015E,S2201_C03_015M,S2201_C03_016E,S2201_C03_016M,S2201_C03_017E,S2201_C03_017M,S2201_C03_018E,S2201_C03_018M,S2201_C03_019E,S2201_C03_019M,S2201_C03_020E,S2201_C03_020M,S2201_C03_021E,S2201_C03_021M,NAME,S2201_C01_001EA,S2201_C01_001MA,S2201_C01_002MA,S2201_C01_002EA,S2201_C01_003MA,S2201_C01_003EA,S2201_C01_004MA,S2201_C01_004EA,S2201_C01_005MA,S2201_C01_005EA,S2201_C01_006MA,S2201_C01_006EA,S2201_C01_007MA,S2201_C01_007EA,S2201_C01_008EA,S2201_C01_008MA,S2201_C01_009MA,S2201_C01_009EA,S2201_C01_010EA,S2201_C01_010MA,S2201_C01_011MA,S2201_C01_011EA,S2201_C01_012EA,S2201_C01_012MA,S2201_C01_013EA,S2201_C01_013MA,S2201_C01_014MA,S2201_C01_014EA,S2201_C01_015EA,S2201_C01_015MA,S2201_C01_016MA,S2201_C01_016EA,S2201_C01_017EA,S2201_C01_017MA,S2201_C01_018MA,S2201_C01_018EA,S2201_C01_019EA,S2201_C01_019MA,S2201_C01_020EA,S2201_C01_020MA,S2201_C01_021EA,S2201_C01_021MA,S2201_C02_001MA,S2201_C02_001EA,S2201_C02_002MA,S2201_C02_002EA,S2201_C02_003MA,S2201_C02_003EA,S2201_C02_004MA,S2201_C02_004EA,S2201_C02_005MA,S2201_C02_005EA,S2201_C02_006MA,S2201_C02_006EA,S2201_C02_007EA,S2201_C02_007MA,S2201_C02_008MA,S2201_C02_008EA,S2201_C02_009MA,S2201_C02_009EA,S2201_C02_010EA,S2201_C02_010MA,S2201_C02_011EA,S2201_C02_011MA,S2201_C02_012EA,S2201_C02_012MA,S2201_C02_013EA,S2201_C02_013MA,S2201_C02_014EA,S2201_C02_014MA,S2201_C02_015MA,S2201_C02_015EA,S2201_C02_016EA,S2201_C02_016MA,S2201_C02_017MA,S2201_C02_017EA,S2201_C02_018EA,S2201_C02_018MA,S2201_C02_019MA,S2201_C02_019EA,S2201_C02_020MA,S2201_C02_020EA,S2201_C02_021EA,S2201_C02_021MA,S2201_C03_001MA,S2201_C03_001EA,S2201_C03_002MA,S2201_C03_002EA,S2201_C03_003MA,S2201_C03_003EA,S2201_C03_004EA,S2201_C03_004MA,S2201_C03_005MA,S2201_C03_005EA,S2201_C03_006EA,S2201_C03_006MA,S2201_C03_007MA,S2201_C03_007EA,S2201_C03_008MA,S2201_C03_008EA,S2201_C03_009EA,S2201_C03_009MA,S2201_C03_010MA,S2201_C03_010EA,S2201_C03_011EA,S2201_C03_011MA,S2201_C03_012MA,S2201_C03_012EA,S2201_C03_013EA,S2201_C03_013MA,S2201_C03_014EA,S2201_C03_014MA,S2201_C03_015EA,S2201_C03_015MA,S2201_C03_016MA,S2201_C03_016EA,S2201_C03_017EA,S2201_C03_017MA,S2201_C03_018EA,S2201_C03_018MA,S2201_C03_019EA,S2201_C03_019MA,S2201_C03_020EA,S2201_C03_020MA,S2201_C03_021MA,S2201_C03_021EA,state
0400000US01,1815152,10938,35.4,0.3,32.5,0.5,18.1,0.4,31.2,0.5,-999999999.0,-999999999.0,72.3,0.3,24.8,0.3,0.5,0.1,1.0,0.1,-999999999.0,-999999999.0,0.7,0.1,0.8,0.1,2.3,0.2,70.8,0.4,40474,472,1227884,13886,18.6,0.6,35.3,0.7,46.1,0.7,2.1,-888888888.0,260140,9719,21.3,1.2,59.6,1.5,59.8,1.5,47.1,1.7,-999999999.0,-999999999.0,46.3,1.6,50.7,1.4,0.6,0.2,0.5,0.2,-999999999.0,-999999999.0,0.7,0.3,1.2,0.3,2.8,0.5,44.5,1.5,15060,627,197231,8348,28.8,1.8,47.5,1.7,23.7,1.6,-888888888,-888888888,1555012,12896,37.8,0.4,28.0,0.5,11.1,0.4,28.6,0.5,-999999999.0,-999999999.0,76.6,0.4,20.5,0.4,0.4,0.1,1.0,0.1,-999999999.0,-999999999.0,0.6,0.1,0.8,0.1,2.2,0.2,75.2,0.4,46043,690,1030653,13826,16.6,0.5,33.0,0.7,50.4,0.8,-888888888,-888888888,Alabama,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),01
0400000US02,254610,2804,25.1,0.9,38.0,1.4,8.5,0.8,24.0,1.2,95.9,0.6,75.3,0.8,3.4,0.4,12.1,0.7,3.6,0.4,0.6,0.2,0.8,0.3,4.1,0.6,4.1,0.4,72.6,0.8,64576,2085,170859,4484,8.2,0.8,32.5,1.9,59.3,2.0,0.5,-888888888.0,26973,2080,19.1,3.3,62.3,4.7,35.0,4.3,44.1,5.0,93.1,2.7,43.9,4.0,2.5,1.7,35.5,3.9,6.0,2.0,4.0,1.7,1.3,0.9,6.9,2.7,4.4,1.7,42.0,4.5,23470,2386,19189,1920,21.0,4.2,45.9,5.5,33.2,4.6,-888888888,-888888888,227637,3388,25.8,1.1,35.1,1.6,5.4,0.6,21.6,1.2,96.2,0.5,79.0,0.8,3.5,0.4,9.4,0.7,3.4,0.5,0.2,0.1,0.7,0.3,3.8,0.5,4.1,0.5,76.3,0.9,71001,1574,151670,4641,6.6,0.7,30.8,2.0,62.6,2.1,-888888888,-888888888,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),02
0400000US04,2334050,12895,35.6,0.3,32.9,0.4,14.7,0.4,23.3,0.4,98.4,0.1,84.1,0.3,4.0,0.1,3.3,0.1,2.3,0.1,0.1,0.1,4.6,0.2,1.6,0.1,21.1,0.3,68.4,0.3,46789,531,1548428,12546,18.3,0.5,35.9,0.6,45.8,0.6,1.8,-888888888.0,308610,10005,21.7,1.0,59.9,1.4,48.1,1.7,37.4,1.4,97.7,0.4,73.2,1.4,6.6,0.7,7.3,0.6,1.1,0.2,0.1,0.1,9.4,1.0,2.3,0.4,37.8,1.6,46.1,1.6,21759,652,232947,8248,20.5,1.5,48.1,1.8,31.4,1.7,-888888888,-888888888,2025440,12353,37.8,0.4,28.8,0.5,9.6,0.3,21.1,0.4,98.5,0.1,85.8,0.4,3.5,0.2,2.7,0.2,2.5,0.1,0.1,0.1,3.9,0.3,1.5,0.1,18.6,0.4,71.9,0.4,51661,416,1315481,11976,17.9,0.5,33.7,0.7,48.4,0.7,-888888888,-888888888,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),04
0400000US05,1114902,8104,35.9,0.5,32.8,0.6,17.6,0.6,31.5,0.6,98.8,0.2,81.3,0.4,14.7,0.3,0.6,0.1,0.9,0.1,0.1,0.1,1.3,0.2,1.2,0.2,4.0,0.2,78.6,0.4,38307,643,761361,9102,17.8,0.6,34.6,1.0,47.5,0.9,1.0,-888888888.0,153012,6075,20.5,1.5,58.7,2.2,57.4,2.4,45.6,2.0,98.1,0.6,63.3,2.2,32.2,2.0,0.7,0.3,0.2,0.1,0.0,0.1,1.7,0.6,1.9,0.6,4.7,1.1,60.5,2.2,16300,796,111859,5469,25.1,2.2,51.2,3.0,23.6,2.5,-888888888,-888888888,961890,7956,38.3,0.6,28.6,0.6,11.2,0.5,29.3,0.6,98.8,0.2,84.1,0.5,11.9,0.4,0.5,0.1,1.0,0.1,0.1,0.1,1.3,0.2,1.2,0.2,3.9,0.3,81.5,0.5,43022,846,649502,8227,16.6,0.6,31.8,1.0,51.6,0.9,-888888888,-888888888,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),05
0400000US06,12406475,16820,33.7,0.1,37.1,0.2,13.8,0.2,22.0,0.2,97.2,0.1,67.9,0.2,6.6,0.1,0.8,0.1,12.2,0.1,0.3,0.1,9.4,0.1,2.8,0.1,27.2,0.1,51.4,0.1,57708,354,8507856,27357,13.1,0.1,34.6,0.3,52.3,0.3,1.2,-888888888.0,918290,16010,18.9,0.6,76.3,0.6,51.7,0.9,33.5,0.8,96.5,0.3,55.8,1.0,13.2,0.7,1.5,0.2,6.9,0.5,0.4,0.1,18.8,0.7,3.5,0.3,51.3,0.9,25.9,0.8,23151,497,810302,15943,23.2,0.6,45.0,0.9,31.8,0.8,-888888888,-888888888,11488185,21289,34.9,0.2,34.0,0.2,10.8,0.2,21.1,0.2,97.2,0.1,68.9,0.2,6.1,0.1,0.7,0.1,12.6,0.1,0.3,0.1,8.7,0.1,2.8,0.1,25.3,0.1,53.4,0.1,61476,236,7697554,27624,12.0,0.1,33.5,0.3,54.5,0.3,-888888888,-888888888,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),06
0400000US08,1960585,9151,29.0,0.3,32.5,0.5,12.5,0.4,20.6,0.4,97.8,0.2,86.8,0.3,3.7,0.1,0.9,0.1,2.2,0.1,0.1,0.1,4.0,0.2,2.2,0.2,15.0,0.3,76.9,0.3,54046,729,1258885,11852,11.8,0.4,32.0,0.7,56.2,0.6,1.2,-888888888.0,153681,6436,20.4,1.6,58.8,2.0,53.0,2.2,42.4,2.3,95.7,0.8,69.5,2.2,9.1,1.2,3.0,0.7,1.8,0.6,0.0,0.1,12.2,1.5,4.3,0.8,36.4,2.1,48.6,2.2,17631,999,108914,5804,21.2,2.2,48.6,2.5,30.3,2.3,-888888888,-888888888,1806904,10525,29.7,0.3,30.2,0.5,9.1,0.3,18.7,0.4,98.0,0.2,88.3,0.3,3.3,0.2,0.7,0.1,2.3,0.1,0.1,0.1,3.3,0.2,2.0,0.2,13.2,0.3,79.4,0.4,58189,886,1149971,10622,10.9,0.3,30.4,0.7,58.7,0.7,-888888888,-888888888,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),08
0400000US09,1358809,7109,35.8,0.4,32.6,0.6,10.0,0.4,21.5,0.5,-999999999.0,-999999999.0,82.3,0.4,8.9,0.2,0.2,0.1,3.1,0.1,-999999999.0,-999999999.0,4.1,0.3,1.4,0.2,10.2,0.3,76.8,0.3,64032,1092,890770,9681,12.5,0.5,30.9,0.8,56.6,0.7,1.1,-888888888.0,138205,5417,30.2,1.9,47.5,2.3,46.2,2.4,45.5,2.3,-999999999.0,-999999999.0,55.0,2.2,23.1,1.9,0.3,0.3,2.1,0.6,-999999999.0,-999999999.0,15.9,1.6,3.5,0.8,33.0,2.1,40.6,2.1,17710,1135,88589,4361,26.2,2.7,47.2,2.9,26.6,2.8,-888888888,-888888888,1220604,7412,36.5,0.4,30.9,0.6,5.9,0.4,18.8,0.5,-999999999.0,-999999999.0,85.3,0.4,7.2,0.3,0.1,0.1,3.3,0.2,-999999999.0,-999999999.0,2.8,0.2,1.2,0.2,7.6,0.3,80.9,0.4,70597,820,802181,8812,11.0,0.5,29.1,0.8,59.9,0.8,-888888888,-888888888,Connecticut,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),09
0400000US10,328765,4178,36.4,0.9,32.8,1.3,11.0,1.0,24.2,1.0,-999999999.0,-999999999.0,74.5,0.8,19.6,0.7,-999999999.0,-999999999.0,2.7,0.2,-999999999.0,-999999999.0,1.4,0.3,1.5,0.3,5.2,0.4,71.1,0.9,55847,1499,221233,4976,15.7,1.0,32.4,1.6,51.9,1.7,0.9,-888888888.0,37096,2975,25.2,3.3,61.1,4.2,40.8,4.2,37.0,4.5,-999999999.0,-999999999.0,47.9,4.5,43.6,4.6,-999999999.0,-999999999.0,0.9,0.7,-999999999.0,-999999999.0,5.3,2.3,2.3,1.0,12.2,2.7,41.2,4.1,22214,2272,28681,2522,20.8,3.9,49.0,5.1,30.2,4.5,-888888888,-888888888,291669,4846,37.8,0.9,29.2,1.3,7.2,0.8,22.6,0.9,-999999999.0,-999999999.0,77.9,0.9,16.5,0.7,-999999999.0,-999999999.0,2.9,0.3,-999999999.0,-999999999.0,0.9,0.3,1.4,0.3,4.4,0.5,74.9,1.0,60901,1611,192552,4969,14.9,1.0,29.9,1.8,55.2,1.8,-888888888,-888888888,Delaware,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,N,N,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,N,N,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,N,N,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),10
0400000US11,252388,3730,29.2,0.9,19.3,1.1,15.5,1.1,17.9,1.0,-999999999.0,-999999999.0,44.2,1.2,48.0,1.2,-999999999.0,-999999999.0,4.0,0.5,-999999999.0,-999999999.0,1.6,0.4,1.9,0.5,6.8,0.6,39.7,1.2,60903,1540,101519,4051,13.7,1.8,36.6,2.4,49.7,2.2,1.2,-888888888.0,28656,2792,30.6,3.6,44.7,4.7,54.5,4.9,46.5,4.6,-999999999.0,-999999999.0,4.8,1.5,91.2,2.4,-999999999.0,-999999999.0,0.7,0.5,-999999999.0,-999999999.0,1.5,1.5,1.2,1.1,5.3,2.2,1.9,1.1,15255,2288,18121,2211,36.4,6.5,39.7,5.7,23.9,5.2,-888888888,-888888888,223732,4082,29.0,1.0,16.1,1.2,10.5,0.9,14.2,1.0,-999999999.0,-999999999.0,49.2,1.3,42.5,1.3,-999999999.0,-999999999.0,4.4,0.6,-999999999.0,-999999999.0,1.6,0.4,2.0,0.4,7.0,0.7,44.5,1.3,67507,2386,83398,3756,8.8,1.6,35.9,2.7,55.4,2.4,-888888888,-888888888,District of Columbia,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,N,N,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,N,N,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,N,N,null,null,N,N,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),11
0400000US12,7035068,25739,41.1,0.2,28.8,0.3,14.9,0.2,24.9,0.2,98.6,0.1,81.2,0.2,13.4,0.1,0.3,0.1,1.8,0.1,0.1,0.1,1.8,0.1,1.4,0.1,17.9,0.2,66.0,0.2,44409,324,4556930,26451,20.0,0.3,34.7,0.4,45.3,0.4,2.1,-888888888.0,871694,13415,32.9,0.9,50.8,1.1,49.6,1.0,42.5,0.9,98.2,0.2,65.9,0.8,27.6,0.7,0.5,0.2,0.8,0.1,0.1,0.1,3.3,0.3,1.8,0.2,31.9,0.8,39.5,0.9,18963,483,624786,12934,25.0,0.8,46.0,1.2,29.0,1.0,-888888888,-888888888,6163374,26701,42.2,0.2,25.7,0.3,10.0,0.2,22.5,0.2,98.7,0.1,83.4,0.2,11.4,0.1,0.3,0.1,2.0,0.1,0.1,0.1,1.6,0.1,1.3,0.1,15.9,0.2,69.7,0.2,48762,362,3932144,25065,19.2,0.3,32.9,0.4,47.9,0.4,-888888888,-888888888,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),12
