GEO_ID,S1902_C01_001E,S1902_C01_001M,S1902_C01_002E,S1902_C01_002M,S1902_C01_003E,S1902_C01_003M,S1902_C01_004M,S1902_C01_005E,S1902_C01_005M,S1902_C01_006E,S1902_C01_006M,S1902_C01_007E,S1902_C01_007M,S1902_C01_008E,S1902_C01_008M,S1902_C01_009E,S1902_C01_009M,S1902_C01_010E,S1902_C01_010M,S1902_C01_011E,S1902_C01_011M,S1902_C01_012E,S1902_C01_012M,S1902_C01_013E,S1902_C01_013M,S1902_C01_014E,S1902_C01_014M,S1902_C01_015E,S1902_C01_015M,S1902_C01_016E,S1902_C01_016M,S1902_C01_017E,S1902_C01_017M,S1902_C01_018E,S1902_C01_018M,S1902_C01_019E,S1902_C01_019M,S1902_C01_020E,S1902_C01_020M,S1902_C01_021E,S1902_C01_021M,S1902_C01_022E,S1902_C01_022M,S1902_C01_023E,S1902_C01_023M,S1902_C01_024E,S1902_C01_024M,S1902_C01_025E,S1902_C01_025M,S1902_C01_026E,S1902_C01_026M,S1902_C01_027E,S1902_C01_027M,S1902_C02_001E,S1902_C02_001M,S1902_C02_002E,S1902_C02_002M,S1902_C02_003E,S1902_C02_003M,S1902_C02_004E,S1902_C02_004M,S1902_C02_005E,S1902_C02_005M,S1902_C02_006E,S1902_C02_006M,S1902_C02_007E,S1902_C02_007M,S1902_C02_008E,S1902_C02_008M,S1902_C02_009E,S1902_C02_009M,S1902_C02_010E,S1902_C02_010M,S1902_C02_011E,S1902_C01_004E,S1902_C02_011M,S1902_C02_012E,S1902_C02_012M,S1902_C02_013E,S1902_C02_013M,S1902_C02_014E,S1902_C02_014M,S1902_C02_015M,S1902_C02_016E,S1902_C02_016M,S1902_C02_017E,S1902_C02_017M,S1902_C02_018E,S1902_C02_018M,S1902_C02_019E,S1902_C02_019M,S1902_C02_020E,S1902_C02_020M,S1902_C02_021E,S1902_C02_021M,S1902_C02_022E,S1902_C02_022M,S1902_C02_023E,S1902_C02_023M,S1902_C02_024E,S1902_C02_024M,S1902_C02_025E,S1902_C02_025M,S1902_C02_026E,S1902_C02_026M,S1902_C02_027E,S1902_C02_027M,S1902_C02_015E,NAME,S1902_C01_001EA,S1902_C01_001MA,S1902_C01_002MA,S1902_C01_002EA,S1902_C01_003EA,S1902_C01_003MA,S1902_C01_004MA,S1902_C01_005EA,S1902_C01_005MA,S1902_C01_006MA,S1902_C01_006EA,S1902_C01_007MA,S1902_C01_007EA,S1902_C01_008MA,S1902_C01_008EA,S1902_C01_009EA,S1902_C01_009MA,S1902_C01_010EA,S1902_C01_010MA,S1902_C01_011MA,S1902_C01_011EA,S1902_C01_012MA,S1902_C01_012EA,S1902_C01_013MA,S1902_C01_013EA,S1902_C01_014MA,S1902_C01_014EA,S1902_C01_015EA,S1902_C01_015MA,S1902_C01_016EA,S1902_C01_016MA,S1902_C01_017MA,S1902_C01_017EA,S1902_C01_018MA,S1902_C01_018EA,S1902_C01_019MA,S1902_C01_019EA,S1902_C01_020EA,S1902_C01_020MA,S1902_C01_021EA,S1902_C01_021MA,S1902_C01_022MA,S1902_C01_022EA,S1902_C01_023MA,S1902_C01_023EA,S1902_C01_024MA,S1902_C01_024EA,S1902_C01_025MA,S1902_C01_025EA,S1902_C01_026EA,S1902_C01_026MA,S1902_C01_027EA,S1902_C01_027MA,S1902_C02_001MA,S1902_C02_001EA,S1902_C02_002EA,S1902_C02_002MA,S1902_C02_003MA,S1902_C02_003EA,S1902_C02_004EA,S1902_C02_004MA,S1902_C02_005MA,S1902_C02_005EA,S1902_C02_006MA,S1902_C02_006EA,S1902_C02_007EA,S1902_C02_007MA,S1902_C02_008MA,S1902_C02_008EA,S1902_C02_009EA,S1902_C02_009MA,S1902_C02_010MA,S1902_C02_010EA,S1902_C02_011EA,S1902_C02_011MA,S1902_C01_004EA,S1902_C02_012MA,S1902_C02_012EA,S1902_C02_013EA,S1902_C02_013MA,S1902_C02_014MA,S1902_C02_014EA,S1902_C02_015MA,S1902_C02_016MA,S1902_C02_016EA,S1902_C02_017MA,S1902_C02_017EA,S1902_C02_018EA,S1902_C02_018MA,S1902_C02_019MA,S1902_C02_019EA,S1902_C02_020EA,S1902_C02_020MA,S1902_C02_021MA,S1902_C02_021EA,S1902_C02_022EA,S1902_C02_022MA,S1902_C02_023MA,S1902_C02_023EA,S1902_C02_024EA,S1902_C02_024MA,S1902_C02_025MA,S1902_C02_025EA,S1902_C02_026EA,S1902_C02_026MA,S1902_C02_027EA,S1902_C02_027MA,S1902_C02_015EA,state
0400000US01,1822439,11200,72.7,0.5,16.6,0.4,0.4,6.5,0.3,2.0,0.2,21.1,0.4,1222568,14007,18.9,0.5,36.3,0.6,28.9,0.6,8.8,0.4,5.5,0.3,1.7,0.2,4833722,-555555555,68.9,0.2,26.6,0.1,0.5,0.1,1.2,0.1,0.0,0.1,1.1,0.1,1.7,0.1,3.9,0.1,66.3,0.1,33.9,-888888888.0,34.3,-888888888.0,27.0,-888888888.0,59294,702,61741,786,12976,1175,16670,162,8703,245,2641,237,21964,656,70447,900,37115,1299,59073,1828,98370,34.6,1709,65816,2792,117645,4715,80140,4685,260,26701,338,15772,328,23044,3712,26176,3016,21077,6849,12957,1456,12953,1483,12588,967,27223,340,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,23384,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),null,01
0400000US02,246015,2720,86.9,0.8,44.2,1.7,0.9,4.1,0.7,6.9,0.9,19.7,1.0,165431,3617,7.4,0.8,30.2,1.7,39.3,1.7,10.3,1.1,10.0,1.0,2.8,0.5,735132,-555555555,66.4,0.4,3.4,0.3,14.3,0.5,5.7,0.3,1.2,0.1,1.3,0.3,7.7,0.7,6.6,-555555555.0,62.5,0.1,28.9,-888888888.0,30.0,-888888888.0,23.2,-888888888.0,88758,2357,84481,2280,9589,1821,15334,568,8659,953,4136,360,26998,1778,101544,3206,68933,16024,78593,6045,118037,19.8,4183,92665,8846,138341,6067,104454,16268,804,38553,965,28777,6680,17901,1593,24179,2395,14277,2185,27213,7267,18740,1856,24588,2745,39343,1028,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,32474,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,(X),null,null,(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),null,02
0400000US04,2400809,11557,74.9,0.4,20.0,0.4,0.3,4.1,0.2,2.3,0.2,19.6,0.3,1572310,12708,19.9,0.5,35.9,0.6,27.0,0.5,8.6,0.4,6.3,0.3,2.3,0.2,6626624,-555555555,79.0,0.3,4.2,0.1,4.4,0.1,2.9,0.1,0.2,0.1,6.2,0.3,3.2,0.2,30.3,-555555555.0,56.6,0.1,32.6,-888888888.0,33.3,-888888888.0,26.2,-888888888.0,66389,685,67317,832,18015,1260,18303,152,9386,276,2990,215,24337,522,76117,1010,45886,1518,63458,1945,106418,32.1,1926,69342,2605,118626,3890,87833,5320,272,27407,324,19005,903,12863,602,30161,1905,14745,3753,13492,568,13288,993,13783,279,32620,426,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,25164,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,(X),null,null,(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),null,04
0400000US05,1125899,6925,73.1,0.6,16.6,0.4,0.4,7.0,0.3,2.5,0.2,16.9,0.4,751124,10710,18.9,0.7,35.8,0.9,30.3,0.8,8.0,0.5,5.4,0.4,1.5,0.2,2959373,-555555555,77.9,0.2,15.7,0.1,0.6,0.1,1.3,0.1,0.0,0.1,2.3,0.2,2.2,0.2,6.9,0.1,73.6,0.1,29.8,-888888888.0,30.7,-888888888.0,23.8,-888888888.0,55547,819,57709,967,12703,1578,16728,189,8780,282,3285,423,18996,590,65578,1061,35594,1590,53356,1927,90556,36.4,2189,65828,4524,105180,3796,85603,10127,327,24153,391,13659,406,19553,3851,24927,3409,21048,10544,11335,1202,11776,1455,11436,771,24879,402,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,21927,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),null,05
0400000US06,12650592,16944,80.2,0.2,21.9,0.1,0.1,6.2,0.1,3.9,0.1,15.6,0.2,8645970,31516,13.5,0.2,34.5,0.3,28.0,0.2,11.2,0.2,8.6,0.2,4.3,0.1,38332521,-555555555,61.9,0.2,5.9,0.1,0.7,0.1,13.6,0.1,0.4,0.1,12.9,0.2,4.5,0.1,38.4,-555555555.0,38.8,0.1,32.4,-888888888.0,33.2,-888888888.0,25.1,-888888888.0,85707,378,86145,370,24483,633,16897,81,9647,87,4738,105,28688,387,95232,490,48922,914,76019,841,134574,26.2,1108,79920,1392,133964,1823,100802,2341,122,33346,191,23008,545,20337,1057,33336,358,20648,1565,14757,175,18452,578,15650,118,43460,283,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,29513,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,(X),null,null,(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),null,06
0400000US08,2002800,8550,82.5,0.4,24.9,0.4,0.3,3.4,0.2,2.1,0.1,16.4,0.3,1279941,10970,11.5,0.4,33.6,0.7,36.9,0.7,8.8,0.4,7.3,0.4,2.0,0.2,5268367,-555555555,83.8,0.3,4.0,0.1,0.8,0.1,2.9,0.1,0.2,0.1,4.8,0.3,3.6,0.2,21.0,-555555555.0,69.1,0.1,27.7,-888888888.0,28.0,-888888888.0,22.7,-888888888.0,79381,754,77446,757,19995,1605,17362,193,9414,351,3516,427,27047,691,93036,1023,54466,2601,75268,1869,116151,24.6,1821,82215,5517,130843,4104,94367,4970,362,33560,414,21180,1244,19761,2642,29833,2092,18463,5620,16432,931,17254,1096,15987,306,37217,511,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,31421,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,(X),null,null,(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),null,08
0400000US09,1339860,7005,78.9,0.4,27.9,0.5,0.4,4.0,0.3,3.2,0.3,17.8,0.4,890293,9252,12.4,0.4,31.3,0.8,33.6,0.7,9.5,0.5,10.4,0.5,2.8,0.3,3596080,-555555555,77.3,0.3,10.3,0.2,0.2,0.1,4.1,0.1,0.0,0.1,5.2,0.3,2.9,0.2,14.7,-555555555.0,69.3,0.1,31.7,-888888888.0,32.1,-888888888.0,25.9,-888888888.0,97801,1502,100414,1595,21810,1682,18646,259,9516,367,4040,393,26581,1235,118345,2037,53847,2779,99513,3699,150411,30.3,3811,103608,5989,161494,6440,118751,7932,552,42180,667,21448,863,17983,3145,39607,3058,-999999999,-999999999,15157,1009,16056,2387,17531,959,44660,717,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,37726,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,(X),null,null,(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),null,09
0400000US10,339071,3144,77.5,0.7,22.5,1.0,0.8,4.4,0.5,2.6,0.4,24.0,0.9,228364,4558,16.3,0.9,32.6,1.6,30.3,1.5,10.3,1.2,7.8,0.8,2.6,0.5,925749,-555555555,68.9,0.5,21.6,0.5,0.4,0.1,3.6,0.1,0.1,0.1,2.5,0.4,2.9,0.5,8.7,-555555555.0,64.0,0.1,34.6,-888888888.0,34.4,-888888888.0,27.7,-888888888.0,76995,1876,76529,2025,15637,2809,18647,440,10879,887,2868,603,23857,1688,89016,2278,52927,4490,68366,3878,117756,34.0,4512,83697,11814,144560,7622,92799,13390,656,32274,821,23099,1403,16084,4304,38991,4457,38521,26287,16939,2668,11118,2328,15527,1420,33536,860,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,29484,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,(X),null,null,(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),null,10
0400000US11,271651,3228,80.6,1.1,23.1,1.2,0.8,5.7,0.7,4.2,0.6,14.5,0.7,120467,4214,15.0,1.7,36.9,2.1,30.4,1.5,12.1,1.5,3.6,0.8,2.1,0.6,646449,-555555555,40.9,0.7,48.8,0.5,0.2,0.1,3.6,0.2,0.0,0.1,3.4,0.7,3.2,0.5,10.1,-555555555.0,35.6,0.1,31.5,-888888888.0,35.4,-888888888.0,28.1,-888888888.0,102882,3025,109271,3518,20779,3470,14520,589,8964,526,3444,386,38449,2759,126862,6095,34591,6307,86829,8646,222455,18.9,15478,94426,18330,217795,55172,133991,28322,1235,73229,2561,23845,1118,38404,15581,46185,5462,-999999999,-999999999,27052,8291,40080,9089,34017,5103,78379,2761,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,45477,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,(X),null,null,(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,N,N,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),null,11
0400000US12,7211584,26752,71.9,0.2,21.3,0.2,0.2,5.0,0.1,2.3,0.1,19.3,0.2,4626388,25285,20.8,0.3,34.1,0.4,27.4,0.4,9.3,0.2,6.0,0.2,2.4,0.1,19552860,-555555555,76.2,0.1,16.1,0.1,0.3,0.1,2.6,0.1,0.0,0.1,2.5,0.1,2.3,0.1,23.6,-555555555.0,56.2,0.1,35.1,-888888888.0,35.3,-888888888.0,28.4,-888888888.0,65728,432,66331,471,23298,952,17861,93,9195,142,2749,136,24748,365,76713,603,51575,1198,64113,1059,104148,36.3,1156,69333,1651,118200,2989,86324,3182,159,28603,200,15624,277,20626,2378,27775,1197,21296,6101,16144,824,14584,855,18591,304,31940,245,-888888888,-888888888,-888888888,-888888888,-888888888,-888888888,25834,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,(X),null,null,(X),null,(X),null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),(X),(X),(X),(X),null,12
