GEO_ID,S2406_C01_001E,S2406_C01_001M,S2406_C01_002E,S2406_C01_002M,S2406_C01_003E,S2406_C01_003M,S2406_C01_004E,S2406_C01_004M,S2406_C01_005E,S2406_C01_005M,S2406_C01_006E,S2406_C01_006M,S2406_C01_007E,S2406_C01_007M,S2406_C02_001E,S2406_C02_001M,S2406_C02_002E,S2406_C02_002M,S2406_C02_003E,S2406_C02_003M,S2406_C02_004E,S2406_C02_004M,S2406_C02_005E,S2406_C02_005M,S2406_C02_006E,S2406_C02_006M,S2406_C02_007E,S2406_C02_007M,S2406_C03_001M,S2406_C03_002E,S2406_C03_002M,S2406_C03_003E,S2406_C03_004E,S2406_C03_004M,S2406_C03_005E,S2406_C03_005M,S2406_C03_006E,S2406_C03_006M,S2406_C03_007E,S2406_C03_007M,S2406_C04_001E,S2406_C04_001M,S2406_C04_002E,S2406_C04_002M,S2406_C04_003E,S2406_C04_003M,S2406_C04_004E,S2406_C03_001E,S2406_C03_003M,S2406_C04_004M,S2406_C04_005E,S2406_C04_005M,S2406_C04_006E,S2406_C04_006M,S2406_C04_007E,S2406_C04_007M,S2406_C05_002E,S2406_C05_003M,S2406_C05_004E,S2406_C05_004M,S2406_C05_005E,S2406_C05_006E,S2406_C05_006M,S2406_C05_007E,S2406_C05_007M,S2406_C06_001E,S2406_C06_001M,S2406_C06_002E,S2406_C06_003M,S2406_C06_004E,S2406_C06_004M,S2406_C06_005E,S2406_C06_006M,S2406_C06_007M,S2406_C05_001E,S2406_C05_001M,S2406_C05_002M,S2406_C05_003E,S2406_C05_005M,S2406_C06_002M,S2406_C06_003E,S2406_C06_006E,S2406_C06_007E,S2406_C06_005M,NAME,S2406_C01_001MA,S2406_C01_001EA,S2406_C01_002EA,S2406_C01_002MA,S2406_C01_003MA,S2406_C01_003EA,S2406_C01_004MA,S2406_C01_004EA,S2406_C01_005MA,S2406_C01_005EA,S2406_C01_006MA,S2406_C01_006EA,S2406_C01_007EA,S2406_C01_007MA,S2406_C02_001MA,S2406_C02_001EA,S2406_C02_002EA,S2406_C02_002MA,S2406_C02_003MA,S2406_C02_003EA,S2406_C02_004MA,S2406_C02_004EA,S2406_C02_005MA,S2406_C02_005EA,S2406_C02_006EA,S2406_C02_006MA,S2406_C02_007EA,S2406_C02_007MA,S2406_C03_001MA,S2406_C03_002MA,S2406_C03_002EA,S2406_C03_003MA,S2406_C03_003EA,S2406_C03_004EA,S2406_C03_004MA,S2406_C03_005EA,S2406_C03_005MA,S2406_C03_006MA,S2406_C03_006EA,S2406_C03_007MA,S2406_C03_007EA,S2406_C04_001EA,S2406_C04_001MA,S2406_C04_002EA,S2406_C04_002MA,S2406_C04_003EA,S2406_C04_003MA,S2406_C04_004MA,S2406_C04_004EA,S2406_C03_001EA,S2406_C04_005MA,S2406_C04_005EA,S2406_C04_006MA,S2406_C04_006EA,S2406_C04_007EA,S2406_C04_007MA,S2406_C05_002EA,S2406_C05_002MA,S2406_C05_003MA,S2406_C05_004MA,S2406_C05_004EA,S2406_C05_005EA,S2406_C05_005MA,S2406_C05_006MA,S2406_C05_006EA,S2406_C05_007EA,S2406_C05_007MA,S2406_C06_001MA,S2406_C06_001EA,S2406_C06_002MA,S2406_C06_002EA,S2406_C06_003MA,S2406_C06_004MA,S2406_C06_004EA,S2406_C06_005EA,S2406_C06_005MA,S2406_C06_006MA,S2406_C06_007MA,S2406_C05_001EA,S2406_C05_001MA,S2406_C05_003EA,S2406_C06_003EA,S2406_C06_006EA,S2406_C06_007EA,state
0400000US01,2010934,16887,670367,12195,343189,9841,480083,10831,199764,7516,317531,9293,11.2,-888888888.0,69.2,0.5,52.5,1.0,67.9,1.3,78.0,1.0,75.0,1.6,88.9,1.1,-888888888,-888888888,0.2,4.1,0.4,1.2,2.5,0.4,2.9,0.6,1.0,0.3,-888888888,-888888888,6.5,0.3,11.9,0.6,6.9,0.7,4.1,2.6,0.3,0.5,1.3,0.4,1.5,0.3,-888888888,-888888888,26.7,0.9,11.7,0.8,8.9,6.1,0.7,-888888888,-888888888,5.5,0.3,4.8,0.7,3.7,0.5,12.0,0.4,-888888888,16.2,0.4,0.9,15.7,1.0,0.5,8.3,2.5,-888888888,1.2,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,(X),01
0400000US02,352822,5552,126448,5363,57306,3954,86332,4943,44565,2765,38171,3505,8.3,-888888888.0,57.7,1.3,37.6,2.3,59.7,4.0,71.0,2.6,67.9,3.2,79.3,3.0,-888888888,-888888888,0.5,4.1,1.0,1.1,2.5,0.7,2.7,1.0,1.5,0.8,-888888888,-888888888,10.0,0.7,15.8,1.5,10.6,2.2,7.3,2.8,0.5,1.4,4.4,2.2,2.0,0.9,-888888888,-888888888,36.1,2.5,17.2,2.2,14.0,11.0,1.9,-888888888,-888888888,6.1,0.7,6.4,1.7,1.9,0.6,11.0,2.2,-888888888,23.5,1.2,2.1,20.8,2.3,1.1,7.7,6.2,-888888888,2.0,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,(X),02
0400000US04,2791546,16636,980047,15191,562586,12334,725491,12592,262806,7927,260616,9320,12.1,-888888888.0,69.2,0.5,57.0,0.8,67.1,1.0,79.3,0.7,75.3,1.3,84.8,1.2,-888888888,-888888888,0.2,5.1,0.4,2.0,3.3,0.4,4.9,0.7,1.9,0.5,-888888888,-888888888,6.4,0.3,10.8,0.6,5.1,0.5,4.3,3.7,0.3,0.5,2.1,0.6,2.8,0.5,-888888888,-888888888,21.9,0.8,8.8,0.6,7.3,6.5,0.7,-888888888,-888888888,6.0,0.3,5.2,0.7,4.3,0.4,10.3,0.7,-888888888,14.7,0.3,0.6,17.1,0.9,0.4,8.6,4.0,-888888888,1.1,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,(X),04
0400000US05,1241828,12352,396316,9537,212653,8157,296595,7794,129309,5530,206955,7729,8.7,-888888888.0,67.1,0.6,48.8,1.3,63.0,1.9,78.3,1.2,73.0,2.1,87.0,1.3,-888888888,-888888888,0.3,4.5,0.6,1.4,3.2,0.4,4.2,1.0,1.3,0.4,-888888888,-888888888,7.6,0.4,14.0,1.0,7.4,0.8,5.4,3.1,0.4,0.7,1.3,0.5,2.7,0.6,-888888888,-888888888,27.7,1.4,9.6,0.9,8.3,5.6,0.8,-888888888,-888888888,6.2,0.3,5.0,1.1,3.7,0.4,13.2,0.6,-888888888,16.0,0.5,1.2,18.0,1.3,0.5,10.3,3.4,-888888888,1.6,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,(X),05
0400000US06,17132696,40053,6317547,33171,3234916,32153,4094589,35194,1595941,22592,1889703,21950,11.0,-888888888.0,68.2,0.2,56.4,0.4,65.4,0.5,76.5,0.4,77.3,0.5,86.5,0.4,-888888888,-888888888,0.1,5.0,0.1,1.5,3.2,0.2,2.5,0.2,1.4,0.1,-888888888,-888888888,6.7,0.1,11.1,0.2,4.6,0.2,5.0,3.3,0.1,0.2,1.8,0.2,2.8,0.2,-888888888,-888888888,19.4,0.4,9.3,0.2,5.4,4.5,0.3,-888888888,-888888888,8.4,0.1,8.0,0.4,6.1,0.3,13.0,0.3,-888888888,13.5,0.2,0.3,16.4,0.3,0.2,12.1,4.9,-888888888,0.5,California,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,(X),06
0400000US08,2593798,15783,1040052,14541,462604,10768,617145,12960,237072,8030,236925,8222,11.3,-888888888.0,66.8,0.5,55.2,0.7,66.9,1.1,77.2,0.8,73.5,1.4,84.0,1.1,-888888888,-888888888,0.2,6.3,0.4,2.8,5.2,0.5,6.0,0.9,2.3,0.5,-888888888,-888888888,7.7,0.3,12.4,0.5,6.1,0.6,4.9,5.0,0.5,0.5,2.0,0.5,2.7,0.6,-888888888,-888888888,19.6,0.8,8.5,0.6,7.3,7.1,0.8,-888888888,-888888888,6.6,0.3,6.5,0.8,4.2,0.4,11.1,0.7,-888888888,13.8,0.3,0.5,14.9,1.0,0.4,9.3,3.9,-888888888,0.9,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,(X),08
0400000US09,1771141,10471,715984,12921,332069,9415,420559,10397,132592,6564,169937,7081,10.2,-888888888.0,67.4,0.6,56.2,0.9,67.2,1.7,77.1,1.1,70.4,2.0,88.3,1.4,-888888888,-888888888,0.2,4.4,0.4,1.9,3.2,0.3,5.4,1.0,1.7,0.6,-888888888,-888888888,9.6,0.3,15.1,0.6,7.0,0.9,7.2,3.5,0.5,0.7,2.5,0.8,2.5,0.6,-888888888,-888888888,18.3,1.0,8.1,0.7,6.6,4.3,0.9,-888888888,-888888888,6.6,0.3,6.0,0.9,4.4,0.5,15.1,0.6,-888888888,13.0,0.4,0.8,14.6,1.1,0.4,9.2,3.2,-888888888,1.7,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,(X),09
0400000US10,430247,5961,165955,5578,83338,5238,103454,5079,33344,3191,44156,3348,12.5,-888888888.0,69.1,1.1,59.1,1.9,68.3,3.0,77.4,1.9,74.2,3.7,84.5,3.3,-888888888,-888888888,0.4,3.7,0.7,2.1,2.6,0.7,7.7,2.1,1.9,1.2,-888888888,-888888888,9.7,0.8,14.4,1.4,9.1,1.7,7.3,3.3,1.0,1.5,2.1,1.1,4.7,2.0,-888888888,-888888888,19.6,2.0,10.3,1.7,8.8,5.4,2.4,-888888888,-888888888,3.7,0.5,3.2,1.5,2.3,0.6,7.3,1.6,-888888888,14.2,0.9,1.2,15.2,2.0,0.6,5.2,3.5,-888888888,2.0,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,(X),10
0400000US11,333111,4763,205674,5209,51533,3994,56549,4056,8761,1896,10594,1788,14.3,-888888888.0,48.9,1.5,39.0,1.8,71.3,3.5,59.8,3.5,54.2,9.4,67.9,7.0,-888888888,-888888888,0.4,3.1,0.6,1.0,1.1,0.7,6.4,4.9,0.9,1.0,-888888888,-888888888,19.3,1.0,23.7,1.3,9.4,2.2,15.9,2.4,0.6,2.5,11.5,6.5,6.8,4.5,-888888888,-888888888,30.0,2.8,21.0,2.5,17.2,14.5,5.2,-888888888,-888888888,4.4,0.6,4.1,1.4,2.2,0.9,10.7,4.6,-888888888,25.0,1.2,1.6,12.8,7.9,0.7,5.5,9.9,-888888888,6.9,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,(X),11
0400000US12,8459990,34236,2840400,27495,1755834,28091,2332493,26889,768599,18651,762664,15916,13.0,-888888888.0,69.9,0.3,56.8,0.5,70.9,0.7,79.1,0.5,74.5,1.0,83.5,0.8,-888888888,-888888888,0.1,8.2,0.3,3.0,4.8,0.2,8.7,0.7,3.4,0.4,-888888888,-888888888,6.2,0.2,11.1,0.4,4.6,0.3,4.4,5.8,0.3,0.2,1.5,0.2,2.4,0.3,-888888888,-888888888,19.2,0.4,8.0,0.3,5.2,6.1,0.4,-888888888,-888888888,5.8,0.1,4.8,0.4,3.7,0.3,10.1,0.4,-888888888,12.3,0.2,0.4,12.9,0.4,0.2,8.7,4.6,-888888888,0.7,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,(X),(X),null,null,null,null,null,null,null,null,null,null,(X),null,null,null,null,null,(X),12
