VARIABLE,TYPE,LABEL,GROUP
S1603_C01_001E,int,Total!!Estimate!!Total population 5 years and over,S1603
S1603_C01_002E,int,Total!!Estimate!!AGE!!5 to 17 years,S1603
S1603_C01_003E,int,Total!!Estimate!!AGE!!18 to 64 years,S1603
S1603_C01_004E,int,Total!!Estimate!!AGE!!65 years and over,S1603
S1603_C01_005E,int,Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Native,S1603
S1603_C01_006E,int,Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born,S1603
S1603_C01_007E,int,Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen,S1603
S1603_C01_008E,int,Total!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen,S1603
S1603_C01_009E,int,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined,S1603
S1603_C01_010E,int,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!Below poverty level,S1603
S1603_C01_011E,int,Total!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!At or above poverty level,S1603
S1603_C01_012E,int,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,S1603
S1603_C01_013E,int,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than high school graduate,S1603
S1603_C01_014E,int,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),S1603
S1603_C01_015E,int,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college or associate's degree,S1603
S1603_C01_016E,int,Total!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,S1603
S1603_C02_001E,int,Speak only English at home!!Estimate!!Total population 5 years and over,S1603
S1603_C02_002E,int,Speak only English at home!!Estimate!!AGE!!5 to 17 years,S1603
S1603_C02_003E,int,Speak only English at home!!Estimate!!AGE!!18 to 64 years,S1603
S1603_C02_004E,int,Speak only English at home!!Estimate!!AGE!!65 years and over,S1603
S1603_C02_005E,int,Speak only English at home!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Native,S1603
S1603_C02_006E,int,Speak only English at home!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born,S1603
S1603_C02_007E,int,Speak only English at home!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Naturalized U.S. citizen,S1603
S1603_C02_008E,int,Speak only English at home!!Estimate!!NATIVITY AND CITIZENSHIP STATUS!!Foreign born!!Not a U.S. citizen,S1603
S1603_C02_009E,int,Speak only English at home!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined,S1603
S1603_C02_010E,int,Speak only English at home!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!Below poverty level,S1603
S1603_C02_011E,int,Speak only English at home!!Estimate!!POVERTY STATUS IN THE PAST 12 MONTHS!!Population 5 years and over for whom poverty status is determined!!At or above poverty level,S1603
S1603_C02_012E,int,Speak only English at home!!Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,S1603
