GEO_ID,B08128_001E,B08128_001M,B08128_002E,B08128_002M,B08128_003E,B08128_003M,B08128_004E,B08128_004M,B08128_005E,B08128_005M,B08128_006E,B08128_006M,B08128_007E,B08128_007M,B08128_008E,B08128_008M,B08128_009E,B08128_009M,B08128_010E,B08128_010M,B08128_011E,B08128_011M,B08128_012E,B08128_012M,B08128_013E,B08128_013M,B08128_014E,B08128_014M,B08128_015E,B08128_015M,B08128_016E,B08128_016M,B08128_017E,B08128_017M,B08128_018E,B08128_018M,B08128_019E,B08128_019M,B08128_020E,B08128_020M,B08128_021E,B08128_021M,B08128_022E,B08128_022M,B08128_023E,B08128_023M,B08128_024E,B08128_024M,B08128_025E,B08128_025M,B08128_026E,B08128_026M,B08128_027E,B08128_027M,B08128_028E,B08128_028M,B08128_029E,B08128_029M,B08128_030E,B08128_030M,B08128_031E,B08128_031M,B08128_032E,B08128_032M,B08128_033E,B08128_033M,B08128_034E,B08128_034M,B08128_035E,B08128_035M,B08128_036E,B08128_036M,B08128_037E,B08128_037M,B08128_038E,B08128_038M,B08128_039E,B08128_039M,B08128_040E,B08128_040M,B08128_041E,B08128_041M,B08128_042E,B08128_042M,B08128_043E,B08128_043M,B08128_044E,B08128_044M,B08128_045E,B08128_045M,B08128_046E,B08128_046M,B08128_047E,B08128_047M,B08128_048E,B08128_048M,B08128_049E,B08128_049M,B08128_050E,B08128_050M,B08128_051E,B08128_051M,B08128_052E,B08128_052M,B08128_053E,B08128_053M,B08128_054E,B08128_054M,B08128_055E,B08128_055M,B08128_056E,B08128_056M,B08128_057E,B08128_057M,B08128_058E,B08128_058M,B08128_059E,B08128_059M,B08128_060E,B08128_060M,B08128_061E,B08128_061M,B08128_062E,B08128_062M,B08128_063E,B08128_063M,B08128_064E,B08128_064M,B08128_065E,B08128_065M,B08128_066E,B08128_066M,B08128_067E,B08128_067M,B08128_068E,B08128_068M,B08128_069E,B08128_069M,B08128_070E,B08128_070M,NAME,B08128_001MA,B08128_001EA,B08128_002MA,B08128_002EA,B08128_003EA,B08128_003MA,B08128_004MA,B08128_004EA,B08128_005MA,B08128_005EA,B08128_006MA,B08128_006EA,B08128_007MA,B08128_007EA,B08128_008MA,B08128_008EA,B08128_009EA,B08128_009MA,B08128_010EA,B08128_010MA,B08128_011EA,B08128_011MA,B08128_012MA,B08128_012EA,B08128_013MA,B08128_013EA,B08128_014EA,B08128_014MA,B08128_015EA,B08128_015MA,B08128_016EA,B08128_016MA,B08128_017EA,B08128_017MA,B08128_018MA,B08128_018EA,B08128_019MA,B08128_019EA,B08128_020EA,B08128_020MA,B08128_021EA,B08128_021MA,B08128_022EA,B08128_022MA,B08128_023MA,B08128_023EA,B08128_024MA,B08128_024EA,B08128_025EA,B08128_025MA,B08128_026EA,B08128_026MA,B08128_027EA,B08128_027MA,B08128_028MA,B08128_028EA,B08128_029MA,B08128_029EA,B08128_030EA,B08128_030MA,B08128_031EA,B08128_031MA,B08128_032EA,B08128_032MA,B08128_033MA,B08128_033EA,B08128_034MA,B08128_034EA,B08128_035EA,B08128_035MA,B08128_036EA,B08128_036MA,B08128_037EA,B08128_037MA,B08128_038MA,B08128_038EA,B08128_039MA,B08128_039EA,B08128_040EA,B08128_040MA,B08128_041EA,B08128_041MA,B08128_042EA,B08128_042MA,B08128_043MA,B08128_043EA,B08128_044MA,B08128_044EA,B08128_045EA,B08128_045MA,B08128_046EA,B08128_046MA,B08128_047EA,B08128_047MA,B08128_048MA,B08128_048EA,B08128_049MA,B08128_049EA,B08128_050MA,B08128_050EA,B08128_051MA,B08128_051EA,B08128_052MA,B08128_052EA,B08128_053EA,B08128_053MA,B08128_054MA,B08128_054EA,B08128_055MA,B08128_055EA,B08128_056MA,B08128_056EA,B08128_057MA,B08128_057EA,B08128_058EA,B08128_058MA,B08128_059EA,B08128_059MA,B08128_060EA,B08128_060MA,B08128_061EA,B08128_061MA,B08128_062MA,B08128_062EA,B08128_063MA,B08128_063EA,B08128_064EA,B08128_064MA,B08128_065EA,B08128_065MA,B08128_066EA,B08128_066MA,B08128_067MA,B08128_067EA,B08128_068MA,B08128_068EA,B08128_069EA,B08128_069MA,B08128_070EA,B08128_070MA,state
0400000US01,1941250,15984,1393144,16995,1330341,17500,62803,4000,115344,6933,138339,6331,94188,5308,73309,4975,122189,5866,4737,1040,1629930,17410,1177171,16873,1130349,16844,46822,3178,99943,6236,121149,6099,81291,5438,66031,4727,81094,4625,3251,950,211259,9675,156998,8532,149141,8280,7857,1787,10685,1685,13920,1871,9079,1587,5235,1092,14845,2100,497,277,8368,1974,3853,1005,3772,989,81,139,850,507,1109,521,1219,852,230,203,1027,1090,80,126,23230,3224,14511,2768,12998,2544,1513,829,2329,1018,947,397,1343,564,436,304,3594,1096,70,81,25044,3018,20056,2763,19178,2745,878,449,557,384,878,401,579,353,990,432,1825,740,159,242,43419,3740,20555,2413,14903,1962,5652,1227,980,422,336,209,677,426,387,301,19804,2527,680,348,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,294690,5226,159922,5081,150403,5073,9519,1722,28953,2578,26421,2118,25218,2093,29672,2448,23885,2329,619,272,200952,5850,112297,4683,106529,4836,5768,1228,19602,2184,17098,1670,15462,1669,24594,2308,11541,1591,358,206,44555,3263,25207,2922,23486,2714,1721,771,4142,1069,3594,851,5037,1222,3595,937,2882,1020,98,142,3573,956,2658,874,2658,874,0,233,340,210,43,75,445,360,0,233,87,143,0,233,19368,1892,6997,1250,6565,1199,432,323,2749,597,4212,625,3416,798,758,354,1236,395,0,233,14175,1633,8479,1340,8345,1354,134,146,1846,632,1230,446,606,286,705,246,1309,598,0,233,12067,1657,4284,885,2820,768,1464,586,274,175,244,179,252,152,20,35,6830,1384,163,165,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2575064,15393,1876585,16948,1775148,16609,101437,5991,139307,7505,207794,8606,105788,5744,78416,4699,161751,7439,5423,1226,1945061,18773,1431713,18019,1365025,16659,66688,4725,109955,6486,167079,7610,79550,4818,64144,4578,90156,5137,2464,769,366261,11954,277813,11243,268415,11331,9398,1615,16911,1990,25660,2818,14307,1965,9072,1802,21124,2751,1374,732,48964,5040,35843,4696,35843,4696,0,291,2840,1036,3813,1374,4033,1343,1188,581,1247,603,0,291,54084,4378,35955,3922,32766,3738,3189,1257,3485,1033,4063,1106,2983,834,1707,662,5891,1326,0,291,56672,4726,41038,4332,39289,3903,1749,1159,2795,998,4284,1067,3992,1030,1916,719,2578,860,69,91,104022,5974,54223,3798,33810,3077,20413,2588,3321,1132,2895,1765,923,430,389,243,40755,4065,1516,669,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1200886,11938,828172,11080,785712,11502,42460,3144,81985,4768,79777,4060,83140,4273,35434,3302,88593,4270,3785,981,981220,13090,685314,10893,653686,11036,31628,2785,68168,4285,67998,3607,70666,4104,31858,3149,55220,3213,1996,596,147902,7532,102916,5725,99178,5528,3738,927,10415,1922,9148,1501,10312,1818,2526,774,12044,2107,541,405,4007,1402,2534,953,2534,953,0,260,931,973,335,258,126,113,67,112,14,24,0,260,19301,2403,11613,1998,9604,1722,2009,829,1383,577,837,515,980,545,753,335,3528,822,207,215,17204,2074,13040,1864,12197,1808,843,449,257,268,1066,526,618,450,169,144,1974,810,80,137,31252,3349,12755,2274,8513,2178,4242,1044,831,408,393,255,438,275,61,83,15813,2176,961,474,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,15547334,38729,10969770,41454,10451050,39188,518720,14920,917606,20230,1282682,20486,542854,13117,399736,11450,1402311,21952,32375,3297,11503746,41684,8225977,40149,7861704,39395,364273,11284,687628,17396,1049808,16819,389017,9437,315799,10901,820692,15585,14825,2069,1946177,25740,1431102,24824,1380665,24725,50437,4317,107018,7180,132112,6804,64290,4764,45103,3642,160604,7915,5948,1413,734704,18065,547076,15930,541685,15828,5391,1297,54831,5268,39560,3163,35548,3171,17309,1965,39948,4710,432,297,384989,11849,265609,10110,254227,9989,11382,1783,29958,3094,22499,2603,17335,2090,5892,1249,41906,3873,1790,578,315205,13778,222055,10602,212998,10392,9057,1957,18648,2286,16339,2298,14561,2049,11701,1743,31422,4715,479,238,662513,13426,277951,8703,199771,7338,78180,5187,19523,2137,22364,2862,22103,2985,3932,1043,307739,9155,8901,1510,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2280261,12569,1623670,16073,1498733,16277,124937,6357,152107,7186,167504,7557,74570,4415,80917,5237,175243,7583,6250,1408,1741595,15152,1267602,15933,1187199,16272,80403,4161,121331,6512,140128,6715,53229,3453,64549,5164,92009,4900,2747,647,229018,10071,164505,8929,153227,8600,11278,1994,14252,1814,17984,2280,8872,1864,7721,1781,15058,2280,626,353,61884,4755,47898,4549,47289,4424,609,403,3270,811,2039,806,4452,828,3030,1047,1195,614,0,274,66273,3958,44377,3819,40448,3507,3929,1013,5437,1297,4182,1180,3781,1141,1526,657,5925,1294,1045,878,44460,3360,30162,2932,28098,2869,2064,731,4058,996,2022,552,2974,1020,2155,741,3089,798,0,274,137031,6572,69126,4244,42472,3345,26654,3235,3759,849,1149,505,1262,604,1936,1099,57967,4973,1832,684,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1657342,13617,1172144,15198,1109610,14835,62534,3962,145844,6635,119985,5905,62618,4762,32240,3590,122214,5852,2297,702,1343489,15545,955546,15752,909414,15792,46132,3294,114215,5314,109454,5547,55436,4571,27849,3386,79960,5271,1029,449,136359,7808,98742,6670,93450,6350,5292,1536,13861,2585,6920,1415,4230,1238,2529,980,9674,1885,403,305,70427,5133,57427,4536,56470,4441,957,523,7145,1714,1045,420,1057,545,993,464,2436,1236,324,356,33775,3949,22448,3512,20221,3288,2227,968,5834,1623,1384,665,996,507,460,461,2611,738,42,71,19109,2349,14203,2203,13801,2153,402,372,1913,700,537,305,685,399,362,298,1409,725,0,274,54183,3413,23778,2390,16254,1827,7524,1272,2876,808,645,328,214,221,47,79,26124,2710,499,247,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,397033,5412,288262,5843,273237,6080,15025,1941,31267,3220,18123,2070,26979,2855,9824,1698,21976,2671,602,373,318734,5922,234905,5806,223794,6190,11111,1640,24503,2894,16137,1884,22710,2858,8425,1457,12054,1803,0,262,42058,3003,31703,2726,30354,2636,1349,418,3484,912,1327,473,2866,1057,598,411,1905,836,175,134,8588,1576,6392,1327,6392,1327,0,262,954,452,212,202,431,318,401,346,198,172,0,262,7159,1598,4803,1236,4407,1212,396,266,977,486,216,184,450,232,51,83,494,308,168,164,5942,1601,4040,1208,3933,1217,107,127,714,530,0,262,417,369,291,384,480,359,0,262,14552,2167,6419,1244,4357,1074,2062,692,635,304,231,192,105,115,58,95,6845,1422,259,275,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,249865,4239,123125,4631,116833,4640,6292,1165,44099,3423,16345,2168,6484,1386,44813,3848,14898,2192,101,119,93803,3992,46525,3183,43557,3049,2968,787,14531,1881,8803,1607,3061,1012,15337,2073,5489,1150,57,93,19246,2459,8478,1914,8355,1918,123,146,3418,838,1380,643,868,522,3274,956,1828,927,0,286,94260,4338,46961,3245,46465,3289,496,349,17501,2590,5186,1229,2253,858,20515,2768,1844,866,0,286,24905,2353,12889,1572,12234,1440,655,375,5578,1043,671,380,168,163,4489,1128,1066,427,44,73,6541,1395,3365,924,2993,931,372,259,1626,578,174,176,0,286,865,431,511,483,0,286,11110,1973,4907,1197,3229,912,1678,568,1445,629,131,135,134,174,333,253,4160,1129,0,286,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7700885,26254,5753595,31779,5264315,34280,489280,14054,426334,12013,576204,13460,231211,8668,210299,7683,487514,13251,15728,1957,6158873,32660,4609287,33923,4269722,36112,339565,11892,353819,10317,501924,11497,195600,7926,181884,7258,309132,10478,7227,1302,851610,19203,656561,17022,592783,16992,63778,5142,44793,3805,55590,4624,23164,3146,18102,2658,50304,4824,3096,1005,138505,8946,112693,8031,110976,7941,1717,797,6322,1122,7064,1731,3155,966,3227,1653,5885,1327,159,129,121370,8867,93271,7765,87521,7460,5750,1383,7490,1704,3658,999,3694,1478,2283,822,10675,1870,299,209,151202,7702,119063,7341,111036,7537,8027,1544,6278,1734,5424,1463,4276,1403,4170,1012,11733,2110,258,195,279325,9541,162720,6604,92277,5057,70443,4841,7632,1992,2544,998,1322,518,633,370,99785,6541,4689,1092,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
