GEO_ID,B10050_001E,B10050_001M,B10050_002E,B10050_002M,B10050_003E,B10050_003M,B10050_004E,B10050_004M,B10050_005E,B10050_005M,B10050_006E,B10050_006M,B10050_007E,B10050_007M,B10050_008E,B10050_008M,B10050_009E,B10050_009M,B10050_010E,B10050_010M,B10050_011E,B10050_011M,B10050_012E,B10050_012M,B10050_013E,B10050_013M,B10050_014E,B10050_014M,B10050_015E,B10050_015M,B10050_016E,B10050_016M,B10050_017E,B10050_017M,B10050_018E,B10050_018M,B10050_019E,B10050_019M,B10050_020E,B10050_020M,B10050_021E,B10050_021M,B10050_022E,B10050_022M,B10050_023E,B10050_023M,B10050_024E,B10050_024M,B10050_025E,B10050_025M,B10050_026E,B10050_026M,B10050_027E,B10050_027M,B10050_028E,B10050_028M,B10050_029E,B10050_029M,B10050_030E,B10050_030M,B10050_031E,B10050_031M,B10050_032E,B10050_032M,B10050_033E,B10050_033M,B10050_034E,B10050_034M,B10050_035E,B10050_035M,B10050_036E,B10050_036M,B10050_037E,B10050_037M,B10050_038E,B10050_038M,B10050_039E,B10050_039M,B10050_040E,B10050_040M,B10050_041E,B10050_041M,B10050_042E,B10050_042M,NAME,B10050_001MA,B10050_001EA,B10050_002MA,B10050_002EA,B10050_003MA,B10050_003EA,B10050_004EA,B10050_004MA,B10050_005EA,B10050_005MA,B10050_006MA,B10050_006EA,B10050_007MA,B10050_007EA,B10050_008MA,B10050_008EA,B10050_009EA,B10050_009MA,B10050_010EA,B10050_010MA,B10050_011EA,B10050_011MA,B10050_012MA,B10050_012EA,B10050_013MA,B10050_013EA,B10050_014EA,B10050_014MA,B10050_015EA,B10050_015MA,B10050_016EA,B10050_016MA,B10050_017MA,B10050_017EA,B10050_018MA,B10050_018EA,B10050_019EA,B10050_019MA,B10050_020EA,B10050_020MA,B10050_021MA,B10050_021EA,B10050_022EA,B10050_022MA,B10050_023MA,B10050_023EA,B10050_024MA,B10050_024EA,B10050_025EA,B10050_025MA,B10050_026MA,B10050_026EA,B10050_027EA,B10050_027MA,B10050_028MA,B10050_028EA,B10050_029MA,B10050_029EA,B10050_030EA,B10050_030MA,B10050_031EA,B10050_031MA,B10050_032EA,B10050_032MA,B10050_033EA,B10050_033MA,B10050_034MA,B10050_034EA,B10050_035MA,B10050_035EA,B10050_036EA,B10050_036MA,B10050_037EA,B10050_037MA,B10050_038EA,B10050_038MA,B10050_039MA,B10050_039EA,B10050_040MA,B10050_040EA,B10050_041EA,B10050_041MA,B10050_042EA,B10050_042MA,state
0400000US01,2648338,3833,111975,6719,65823,5597,6137,1609,1447,596,904,414,543,387,4690,1491,4197,1361,493,331,8070,1604,2921,1011,2339,954,582,319,5149,1431,4195,1346,954,507,12788,2077,4506,1332,3111,1152,1395,576,8282,1821,6775,1647,1507,566,12186,2640,5527,1175,4419,1106,1108,499,6659,2521,5651,2380,1008,602,26642,3278,14539,2371,8668,1881,5871,1292,12103,2163,7517,1654,4586,1247,46152,3700,28208,3226,17944,2234,2536363,8180,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,351934,1357,13181,2042,6869,1374,1165,514,562,393,267,291,295,243,603,302,517,279,86,101,803,439,155,199,0,233,155,199,648,366,506,360,142,82,1666,779,887,619,410,369,477,333,779,458,632,404,147,133,798,415,333,300,241,267,92,139,465,262,312,239,153,100,2437,781,1220,681,264,189,956,659,1217,447,632,367,585,247,6312,1386,2699,845,3613,984,338753,2476,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3279644,1871,122247,7082,55671,4981,7159,1663,1514,769,817,630,697,459,5645,1483,4577,1272,1068,528,5709,1424,1602,897,428,325,1174,799,4107,1090,3433,967,674,496,11839,2154,3295,1171,1769,765,1526,816,8544,1912,6738,1686,1806,876,12302,3112,4327,1376,3071,1312,1256,547,7975,2715,6634,2633,1341,900,18662,2481,9505,1688,4011,1050,5494,1300,9157,1853,6203,1551,2954,947,66576,5490,36591,4230,29985,3229,3157397,7227,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1594430,3599,57802,4390,35423,3425,4065,1309,1660,803,1257,665,403,305,2405,945,2330,938,75,85,4124,1215,1190,636,645,593,545,353,2934,1042,2468,1023,466,325,7259,1448,2110,755,1395,508,715,475,5149,1313,4302,1284,847,378,5725,1204,2731,780,1453,569,1278,593,2994,784,1957,677,1037,450,14250,2037,9166,1564,5112,1247,4054,908,5084,1402,2407,872,2677,955,22379,2757,12650,1988,9729,1536,1536628,5493,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,19850199,4680,885034,21469,269496,10096,28658,4373,4240,1166,1842,789,2398,927,24418,4369,19601,3580,4817,1559,22974,2764,6567,1490,3606,1009,2961,867,16407,2430,12418,1798,3989,1100,67321,6798,15375,2468,10452,2131,4923,1114,51946,6357,40336,5730,11610,1640,48614,4393,13351,1934,7359,1449,5992,1546,35263,3670,22888,2808,12375,2548,101929,6265,36627,3860,17994,2478,18633,2467,65302,5001,36053,4015,29249,3681,615538,17917,288680,13648,326858,12001,18965165,21747,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2617713,2752,63960,5035,30233,3410,2815,963,444,345,362,330,82,101,2371,884,2297,886,74,87,2784,1022,707,394,475,340,232,200,2077,928,1917,906,160,121,7183,1765,1609,852,1088,799,521,254,5574,1421,4898,1296,676,434,5566,1400,2227,836,1145,637,1082,533,3339,1004,2112,839,1227,559,11885,2096,6489,1752,3530,1391,2959,827,5396,1205,3118,943,2278,854,33727,3382,18477,2539,15250,2091,2553753,5561,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2114015,1334,50107,4224,16206,2689,931,439,139,162,0,274,139,162,792,428,419,327,373,286,1177,567,213,231,0,274,213,231,964,548,661,427,303,286,4128,1109,854,550,711,549,143,170,3274,956,2481,882,793,428,4389,1807,1000,715,680,658,320,224,3389,1510,2509,1370,880,593,5581,1286,2866,864,1465,633,1401,621,2715,877,958,505,1757,692,33901,3115,13980,1855,19921,2593,2063908,4218,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,495867,804,18645,2411,7241,1388,825,598,289,272,200,231,89,147,536,542,348,286,188,293,520,332,306,270,166,205,140,137,214,193,135,142,79,96,1788,677,417,293,214,201,203,213,1371,600,1127,587,244,181,1097,587,339,257,259,199,80,100,758,509,514,385,244,265,3011,939,1412,774,585,576,827,457,1599,620,741,419,858,466,11404,1888,5796,1508,5608,1317,477222,2437,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,313586,195,11078,1940,5764,1197,363,332,0,286,0,286,0,286,363,332,363,332,0,286,539,367,171,222,0,286,171,222,368,297,240,244,128,170,1754,724,648,426,217,207,431,296,1106,605,685,498,421,443,637,349,251,192,145,145,106,125,386,313,284,287,102,121,2471,768,1428,583,575,384,853,438,1043,532,760,483,283,164,5314,1436,2813,1137,2501,695,302508,1951,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10832563,5646,357729,13298,154029,9813,19036,3199,5019,1443,3082,1226,1937,758,14017,2943,11988,2803,2029,671,17114,2738,5498,1548,2922,1064,2576,942,11616,2449,9474,2426,2142,860,33442,4572,10951,2377,6544,1665,4407,1325,22491,3437,17657,3102,4834,1271,26968,3444,11411,2143,7000,1708,4411,1300,15557,2744,11000,2467,4557,1438,57469,5602,32834,4058,17381,2981,15453,2576,24635,3070,14596,2303,10039,1796,203700,9094,92236,7011,111464,6852,10474834,14091,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
