GEO_ID,B12002D_001E,B12002D_001M,B12002D_002E,B12002D_002M,B12002D_003E,B12002D_003M,B12002D_004E,B12002D_004M,B12002D_005E,B12002D_005M,B12002D_006E,B12002D_006M,B12002D_007E,B12002D_007M,B12002D_008E,B12002D_008M,B12002D_009E,B12002D_009M,B12002D_010E,B12002D_010M,B12002D_011E,B12002D_011M,B12002D_012E,B12002D_012M,B12002D_013E,B12002D_013M,NAME,B12002D_001MA,B12002D_001EA,B12002D_002MA,B12002D_002EA,B12002D_003EA,B12002D_003MA,B12002D_004EA,B12002D_004MA,B12002D_005EA,B12002D_005MA,B12002D_006MA,B12002D_006EA,B12002D_007MA,B12002D_007EA,B12002D_008EA,B12002D_008MA,B12002D_009EA,B12002D_009MA,B12002D_010EA,B12002D_010MA,B12002D_011MA,B12002D_011EA,B12002D_012MA,B12002D_012EA,B12002D_013EA,B12002D_013MA,state
0400000US01,30701,1886,14336,1240,5172,1129,8658,941,48,83,148,204,310,271,16365,1117,3415,830,11635,1032,238,299,532,266,545,323,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,22219,1274,9925,817,3286,795,6250,664,151,153,0,233,238,193,12294,877,1973,680,8637,957,389,255,583,304,712,343,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,103692,1866,47752,1265,15890,1740,28908,1780,185,198,326,361,2443,743,55940,1247,11737,1422,37557,1641,446,443,3366,723,2834,895,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,20815,1734,10772,1258,3866,1046,5716,856,0,260,154,158,1036,670,10043,1077,2727,705,6535,1052,120,149,405,290,256,253,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3572305,9422,1688393,6198,569123,9284,1008825,9487,20243,2627,24101,2652,66101,4725,1883912,5544,491092,8593,1100224,11575,30183,3165,147544,5329,114869,5027,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,95028,2177,43369,1407,14467,1492,26187,1516,685,593,415,309,1615,606,51659,1821,11501,1717,32353,2243,346,283,3305,672,4154,1188,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,87181,1741,43729,868,12415,1192,29664,1202,204,279,458,298,988,535,43452,1243,8770,1114,29677,1409,773,449,1716,639,2516,788,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18058,530,8868,431,2037,544,6370,600,0,262,136,190,325,212,9190,397,1082,333,6971,629,144,153,534,264,459,321,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,14498,1098,6126,663,3002,687,2382,929,249,253,97,154,396,344,8372,721,4783,885,2473,790,51,90,429,317,636,360,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,298837,4556,135388,3010,42644,2912,84089,3335,1873,681,1045,400,5737,1446,163449,2994,35518,2902,106041,3896,1882,718,9331,1178,10677,1707,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
