GEO_ID,B16005A_001E,B16005A_001M,B16005A_002E,B16005A_002M,B16005A_003E,B16005A_003M,B16005A_004E,B16005A_004M,B16005A_005E,B16005A_005M,B16005A_006E,B16005A_006M,B16005A_007E,B16005A_007M,B16005A_008E,B16005A_008M,B16005A_009E,B16005A_009M,B16005A_010E,B16005A_010M,B16005A_011E,B16005A_011M,B16005A_012E,B16005A_012M,B16005A_013E,B16005A_013M,B16005A_014E,B16005A_014M,B16005A_015E,B16005A_015M,B16005A_016E,B16005A_016M,B16005A_017E,B16005A_017M,B16005A_018E,B16005A_018M,B16005A_019E,B16005A_019M,B16005A_020E,B16005A_020M,B16005A_021E,B16005A_021M,B16005A_022E,B16005A_022M,B16005A_023E,B16005A_023M,B16005A_024E,B16005A_024M,B16005A_025E,B16005A_025M,B16005A_026E,B16005A_026M,B16005A_027E,B16005A_027M,B16005A_028E,B16005A_028M,B16005A_029E,B16005A_029M,B16005A_030E,B16005A_030M,B16005A_031E,B16005A_031M,B16005A_032E,B16005A_032M,B16005A_033E,B16005A_033M,B16005A_034E,B16005A_034M,B16005A_035E,B16005A_035M,B16005A_036E,B16005A_036M,B16005A_037E,B16005A_037M,B16005A_038E,B16005A_038M,B16005A_039E,B16005A_039M,B16005A_040E,B16005A_040M,B16005A_041E,B16005A_041M,B16005A_042E,B16005A_042M,B16005A_043E,B16005A_043M,B16005A_044E,B16005A_044M,B16005A_045E,B16005A_045M,NAME,B16005A_001EA,B16005A_001MA,B16005A_002EA,B16005A_002MA,B16005A_003MA,B16005A_003EA,B16005A_004MA,B16005A_004EA,B16005A_005MA,B16005A_005EA,B16005A_006EA,B16005A_006MA,B16005A_007EA,B16005A_007MA,B16005A_008MA,B16005A_008EA,B16005A_009MA,B16005A_009EA,B16005A_010MA,B16005A_010EA,B16005A_011EA,B16005A_011MA,B16005A_012EA,B16005A_012MA,B16005A_013EA,B16005A_013MA,B16005A_014MA,B16005A_014EA,B16005A_015MA,B16005A_015EA,B16005A_016EA,B16005A_016MA,B16005A_017EA,B16005A_017MA,B16005A_018EA,B16005A_018MA,B16005A_019MA,B16005A_019EA,B16005A_020MA,B16005A_020EA,B16005A_021EA,B16005A_021MA,B16005A_022EA,B16005A_022MA,B16005A_023EA,B16005A_023MA,B16005A_024EA,B16005A_024MA,B16005A_025EA,B16005A_025MA,B16005A_026EA,B16005A_026MA,B16005A_027EA,B16005A_027MA,B16005A_028EA,B16005A_028MA,B16005A_029EA,B16005A_029MA,B16005A_030EA,B16005A_030MA,B16005A_031EA,B16005A_031MA,B16005A_032EA,B16005A_032MA,B16005A_033MA,B16005A_033EA,B16005A_034MA,B16005A_034EA,B16005A_035EA,B16005A_035MA,B16005A_036EA,B16005A_036MA,B16005A_037EA,B16005A_037MA,B16005A_038MA,B16005A_038EA,B16005A_039MA,B16005A_039EA,B16005A_040EA,B16005A_040MA,B16005A_041EA,B16005A_041MA,B16005A_042EA,B16005A_042MA,B16005A_043MA,B16005A_043EA,B16005A_044MA,B16005A_044EA,B16005A_045MA,B16005A_045EA,state
0400000US01,2965394,4577,2904338,4994,2849532,5966,35091,4037,26331,3780,3263,882,5154,1092,343,207,16609,2374,13853,2312,1349,607,1358,547,49,90,1139,476,873,421,101,117,165,168,0,270,1967,1043,1635,881,0,270,332,292,0,270,61056,5892,15180,2003,29229,3881,4565,1271,6325,1490,10998,2161,7341,1920,13097,3279,10428,3124,1744,668,835,512,90,151,903,538,572,368,174,146,111,132,46,74,2647,1588,1665,1356,332,236,173,160,477,543,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4132320,18507,3651795,20738,3275953,18306,328089,14895,265927,13233,39449,4241,16798,2588,5915,2483,39848,3331,33634,3008,3536,890,2678,899,0,291,3977,931,3470,895,299,222,208,175,0,291,3928,1073,3438,1036,438,296,52,87,0,291,480525,20007,76837,4980,350221,17466,78479,7825,68377,6741,117675,8060,85690,7012,45181,4980,29543,3141,10612,2292,4041,1071,985,624,1492,641,483,315,821,478,188,180,0,291,6794,1838,4525,1468,1470,608,530,405,269,178,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2003095,6312,1959100,4191,1919940,5340,26604,3354,20642,2972,2986,837,2941,952,35,60,10917,2194,8852,2058,1277,542,788,382,0,260,865,448,732,386,133,157,0,260,0,260,774,425,774,425,0,260,0,260,0,260,43995,5384,8707,1631,26897,4814,6136,1489,4644,1439,9991,2202,6126,1964,6456,1594,4357,1189,1582,726,517,364,0,260,242,300,79,139,0,260,100,165,63,104,1693,1206,888,646,394,522,0,260,411,485,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,20030350,75023,16133469,51409,13661256,51458,2084150,38069,1669188,34838,286202,13407,102796,6730,25964,3786,299225,11462,263902,10393,22302,2344,12485,1992,536,305,32452,3171,27634,2664,3720,1350,1098,538,0,293,56386,6017,50933,5500,3745,1131,1474,749,234,218,3896881,59983,523644,13129,2530841,52974,625996,21655,536799,18943,766104,23537,601942,23432,677959,22011,382872,13819,157532,8911,100979,7960,36576,4317,19617,3875,11205,2278,4453,1032,3317,2069,642,437,144820,10187,87514,7605,34514,3948,16743,3533,6049,2401,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3544876,13789,3273060,11328,3058812,12251,165192,8091,125036,7620,21931,3215,14559,2435,3666,1610,40950,4559,35385,4510,3085,706,2480,730,0,274,4469,1355,3929,1210,299,283,241,240,0,274,3637,1130,3333,1050,304,281,0,274,0,274,271816,11855,49786,3768,170336,11628,33395,4031,42105,4510,55987,7537,38849,5902,44251,4225,29683,3412,9976,2115,3854,1218,738,561,1763,840,713,410,455,361,356,337,239,389,5680,1507,3399,864,1076,656,847,527,358,546,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2601262,9470,2366792,11726,2176254,11965,106106,7487,77053,6487,16567,2829,10484,2270,2002,832,79302,4958,68374,4526,7496,1386,3152,791,280,400,1670,809,1105,593,348,289,217,356,0,274,3460,1287,2851,1233,408,366,151,185,50,82,234470,12869,61189,5229,54400,7566,19574,3084,14710,3068,14627,3594,5489,2028,109996,7443,53842,4291,29976,2893,21305,3512,4873,2125,2335,1072,1768,921,353,409,214,186,0,274,6550,1575,4722,1271,1076,532,579,433,173,226,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,567344,2964,539438,3569,512204,3601,17808,3084,12050,2485,2654,885,2156,645,948,939,8220,1515,6863,1397,1036,564,321,294,0,262,282,211,183,159,0,262,59,96,40,65,924,895,717,883,45,76,162,189,0,262,27906,3266,7190,1381,12861,2163,1777,581,3136,936,4782,1370,3166,1144,7148,1991,5351,1486,997,478,449,359,351,574,251,264,65,111,127,150,0,262,59,101,456,372,400,329,56,95,0,262,0,262,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,158591,2597,136364,2427,123554,2839,6843,1489,5569,1389,786,363,488,342,0,286,5243,1019,4806,1030,192,163,245,211,0,286,253,220,253,220,0,286,0,286,0,286,471,378,412,369,0,286,59,95,0,286,22227,2762,6383,1250,6538,1738,3336,1034,854,447,1170,543,1178,717,7609,1360,6167,1218,1033,433,346,235,63,106,156,157,156,157,0,286,0,286,0,286,1541,905,1017,643,334,358,131,220,59,95,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12608822,22620,10589768,23241,9477462,25393,935679,20770,742269,19600,115121,7257,65852,5714,12437,2092,150677,7676,128871,7162,13596,1805,7870,1400,340,226,6916,1449,6188,1367,643,402,85,98,0,301,19034,3157,17437,2968,1170,660,427,303,0,301,2019054,28261,308711,11350,1368963,22359,469797,13771,296808,10294,341173,12305,261185,11581,285808,13130,170114,9317,74253,6904,33309,3680,8132,2083,6444,1497,3426,921,2090,838,753,494,175,207,49128,6031,28683,4192,15484,2926,3957,1107,1004,938,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
