GEO_ID,B17014_001E,B17014_001M,B17014_002E,B17014_002M,B17014_003E,B17014_003M,B17014_004E,B17014_004M,B17014_005E,B17014_005M,B17014_006E,B17014_006M,B17014_007E,B17014_007M,B17014_008E,B17014_008M,B17014_009E,B17014_009M,B17014_010E,B17014_010M,B17014_011E,B17014_011M,B17014_012E,B17014_012M,B17014_013E,B17014_013M,B17014_014E,B17014_014M,B17014_015E,B17014_015M,B17014_016E,B17014_016M,B17014_017E,B17014_017M,B17014_018E,B17014_018M,B17014_019E,B17014_019M,B17014_020E,B17014_020M,B17014_021E,B17014_021M,B17014_022E,B17014_022M,B17014_023E,B17014_023M,B17014_024E,B17014_024M,B17014_025E,B17014_025M,B17014_026E,B17014_026M,B17014_027E,B17014_027M,B17014_028E,B17014_028M,B17014_029E,B17014_029M,B17014_030E,B17014_030M,B17014_031E,B17014_031M,B17014_032E,B17014_032M,B17014_033E,B17014_033M,B17014_034E,B17014_034M,B17014_035E,B17014_035M,NAME,B17014_001MA,B17014_001EA,B17014_002EA,B17014_002MA,B17014_003EA,B17014_003MA,B17014_004EA,B17014_004MA,B17014_005MA,B17014_005EA,B17014_006MA,B17014_006EA,B17014_007MA,B17014_007EA,B17014_008EA,B17014_008MA,B17014_009EA,B17014_009MA,B17014_010EA,B17014_010MA,B17014_011MA,B17014_011EA,B17014_012MA,B17014_012EA,B17014_013EA,B17014_013MA,B17014_014EA,B17014_014MA,B17014_015EA,B17014_015MA,B17014_016MA,B17014_016EA,B17014_017MA,B17014_017EA,B17014_018MA,B17014_018EA,B17014_019EA,B17014_019MA,B17014_020EA,B17014_020MA,B17014_021MA,B17014_021EA,B17014_022MA,B17014_022EA,B17014_023MA,B17014_023EA,B17014_024EA,B17014_024MA,B17014_025EA,B17014_025MA,B17014_026EA,B17014_026MA,B17014_027MA,B17014_027EA,B17014_028MA,B17014_028EA,B17014_029EA,B17014_029MA,B17014_030MA,B17014_030EA,B17014_031EA,B17014_031MA,B17014_032EA,B17014_032MA,B17014_033MA,B17014_033EA,B17014_034MA,B17014_034EA,B17014_035MA,B17014_035EA,state
0400000US01,1223725,12107,167857,7451,51803,4304,17328,2478,21819,2452,10901,1804,1755,616,116054,6123,14187,2348,4749,1231,7952,1712,1462,566,24,41,101867,5836,36317,4211,56920,4167,7641,1523,989,493,1055868,11879,839354,12087,119356,4183,211253,6466,412946,9051,95799,4836,216514,8572,56839,4071,4421,1062,29054,3234,20062,2662,3302,761,159675,7718,16057,1712,83098,5948,48982,3944,11538,1856,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157187,3442,12968,1619,4110,1011,651,289,1853,530,1201,385,405,358,8858,1340,1869,755,539,300,1113,598,217,171,0,233,6989,1213,2363,753,3372,822,1136,588,118,127,144219,3896,112243,3721,7979,1093,23688,1979,64066,3327,16510,1610,31976,2732,11304,1432,242,158,6616,1130,3502,924,944,387,20672,2356,788,414,11928,1856,6421,1113,1535,486,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1459460,12957,158604,7054,65939,4404,18130,2593,31888,3097,14311,2147,1610,601,92665,5147,15767,2345,3056,866,11066,2047,1535,669,110,131,76898,4846,28410,3419,38618,3308,9125,1793,745,453,1300856,13424,1012514,13510,174857,5075,245941,7988,471168,9158,120548,5218,288342,9478,94466,6107,4818,1359,51319,3988,29949,3469,8380,1972,193876,6957,11466,1618,109891,5260,57912,4734,14607,1872,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,742444,9416,99721,4887,38842,3070,12639,1789,13135,1724,12252,1859,816,376,60879,4015,8869,1678,3103,976,4694,1234,1027,541,45,77,52010,3848,14740,2346,31935,2454,4812,1100,523,301,642723,8963,516703,9085,74269,3593,119524,4474,265356,7329,57554,3069,126020,6721,37448,2959,2771,671,19654,2328,12275,1847,2748,933,88572,5383,7923,1500,46310,3868,28165,3230,6174,1296,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8281119,30567,850405,19044,372605,12436,87498,6556,184222,8237,83032,5116,17853,2287,477800,13770,91101,5874,26812,3415,51560,4718,10863,2044,1866,765,386699,12438,143341,6953,204030,8718,34056,3981,5272,1248,7430714,33196,5638516,35492,601655,11276,1391290,17479,2789532,28363,856039,14542,1792198,22028,622772,15068,27153,2140,300924,10955,208353,10052,86342,5935,1169426,17304,82580,5232,604869,14185,348306,11341,133671,6772,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1164221,11318,96785,5476,39241,3411,9563,1733,17426,2215,10777,1558,1475,705,57544,4424,9334,2240,1506,650,5502,1302,2167,1751,159,243,48210,3748,14206,2147,28942,3207,4591,1023,471,298,1067436,11611,868592,11797,82317,3222,185004,5248,499827,10168,101444,4573,198844,7621,70643,4738,2696,783,38253,3683,25376,2715,4318,1184,128201,5541,5966,1062,75181,4432,39161,3381,7893,1362,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,893288,9593,55456,4438,16864,2562,6297,1227,6642,1763,3322,944,603,419,38592,3755,3952,1391,1331,613,2261,1027,350,401,10,18,34640,3505,12607,2003,19398,2620,2498,837,137,167,837832,10251,658280,9529,71535,3091,138565,5050,350021,7808,98159,4314,179552,6452,52443,4114,2955,1120,24680,2490,18040,2939,6768,1545,127109,5391,5993,1142,69307,4353,42112,4050,9697,1652,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,216182,4310,16516,1825,4927,1231,1262,642,2419,773,892,506,354,299,11589,1553,1408,646,261,194,896,562,194,233,57,97,10181,1522,2445,881,7084,1404,593,293,59,95,199666,4286,154711,4499,20274,1558,32415,2653,81365,3636,20657,2146,44955,3174,12604,1671,514,277,6882,1313,4262,992,946,431,32351,2605,1700,504,17823,2389,10374,1413,2454,833,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108483,3810,18159,2336,3086,890,2012,884,520,330,554,315,0,286,15073,2088,1535,704,324,271,861,589,350,342,0,286,13538,1969,7615,1473,5132,1144,704,359,87,155,90324,3841,51126,3254,4408,933,11416,1611,30890,2369,4412,1060,39198,3171,8543,1591,644,306,4766,1306,2612,875,521,398,30655,2617,1911,586,18809,2079,8400,1474,1535,553,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4594803,24867,445037,12690,172052,8304,68700,4893,65616,4871,32465,3612,5271,1442,272985,8965,40462,4217,11414,1713,24691,3631,3757,1200,600,455,232523,8451,73701,5335,133961,7290,21687,2884,3174,1000,4149766,25646,3207221,23352,633404,11345,732340,14619,1501510,16890,339967,10170,942545,16940,282490,10060,15200,2004,147364,7547,90554,6145,29372,3838,660055,13887,46382,3450,373306,11681,190134,7645,50233,3752,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
