GEO_ID,B17020A_001E,B17020A_001M,B17020A_002E,B17020A_002M,B17020A_003E,B17020A_003M,B17020A_004E,B17020A_004M,B17020A_005E,B17020A_005M,B17020A_006E,B17020A_006M,B17020A_007E,B17020A_007M,B17020A_008E,B17020A_008M,B17020A_009E,B17020A_009M,B17020A_010E,B17020A_010M,B17020A_011E,B17020A_011M,B17020A_012E,B17020A_012M,B17020A_013E,B17020A_013M,B17020A_014E,B17020A_014M,B17020A_015E,B17020A_015M,B17020A_016E,B17020A_016M,B17020A_017E,B17020A_017M,NAME,B17020A_001EA,B17020A_001MA,B17020A_002EA,B17020A_002MA,B17020A_003MA,B17020A_003EA,B17020A_004MA,B17020A_004EA,B17020A_005EA,B17020A_005MA,B17020A_006EA,B17020A_006MA,B17020A_007EA,B17020A_007MA,B17020A_008MA,B17020A_008EA,B17020A_009MA,B17020A_009EA,B17020A_010EA,B17020A_010MA,B17020A_011EA,B17020A_011MA,B17020A_012EA,B17020A_012MA,B17020A_013MA,B17020A_013EA,B17020A_014MA,B17020A_014EA,B17020A_015EA,B17020A_015MA,B17020A_016EA,B17020A_016MA,B17020A_017EA,B17020A_017MA,state
0400000US01,3144844,5095,361386,15463,30214,2981,5043,1071,33657,3208,32598,4006,215188,10168,21820,1947,22866,2073,2783458,15855,155763,3048,32667,2893,188775,5351,211407,5451,1779373,10332,238986,2067,176487,2143,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,440821,2664,33664,3586,1765,634,922,461,3626,1103,3020,767,22164,2380,933,428,1234,413,407157,5005,25660,1330,5829,1121,33314,2029,34396,2025,278901,3123,18585,593,10472,493,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4422286,22798,503940,22751,61604,6700,8641,1788,54764,5788,44935,4897,286168,12472,22754,2543,25074,2262,3918346,29379,242735,7893,48604,3755,283385,9299,306951,7964,2416512,17058,340080,2652,280079,2763,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2128092,7546,286715,11981,27896,3254,3506,735,27886,3012,28951,2835,161569,7053,17665,2048,19242,1862,1841377,13910,101776,3213,21831,2486,127019,5164,138371,3829,1167749,8502,164620,2235,120011,1885,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,21404731,79506,2382691,63092,248658,13408,47359,4319,268064,14929,271519,16036,1366170,33602,80682,5818,100239,5773,19022040,85489,1189204,15229,229019,9032,1453594,24038,1573541,19830,12017618,53178,1303052,8109,1256012,7546,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3800540,16367,373811,18851,39905,4801,6079,1603,37061,5067,29558,3327,229787,10989,13748,1882,17673,2422,3426729,21599,221386,4813,44563,3552,258076,5151,281050,6033,2248473,13410,207670,2457,165511,2767,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2748308,10821,160436,12550,12391,2520,3207,1285,13453,3250,13343,2608,91888,7821,9367,1636,16787,2254,2587872,13707,140570,2954,27766,2126,194303,4662,214383,5013,1633102,9265,177089,1897,200659,2340,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,601052,3314,48442,5254,3736,1268,481,405,3636,1093,4589,1273,30408,3196,2767,750,2825,754,552610,5520,30890,1186,6064,1297,37432,1981,40606,1799,351253,3506,46241,881,40124,813,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,166485,2861,15016,2932,950,801,225,275,406,360,585,458,10961,1805,992,722,897,474,151469,3218,7215,1003,1125,481,4536,807,3995,799,118322,2090,8498,662,7778,504,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13288461,25406,1352891,37769,101961,8161,19823,2703,102558,7788,117721,8091,782315,23105,106897,5404,121616,7196,11935570,42631,615039,9203,123738,6027,766774,13459,847957,12799,7217024,28272,1203842,6326,1161196,6265,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
