GEO_ID,B18020_001E,B18020_001M,B18020_002E,B18020_002M,B18020_003E,B18020_003M,B18020_004E,B18020_004M,B18020_005E,B18020_005M,B18020_006E,B18020_006M,B18020_007E,B18020_007M,B18020_008E,B18020_008M,B18020_009E,B18020_009M,B18020_010E,B18020_010M,B18020_011E,B18020_011M,B18020_012E,B18020_012M,B18020_013E,B18020_013M,B18020_014E,B18020_014M,B18020_015E,B18020_015M,B18020_016E,B18020_016M,B18020_017E,B18020_017M,B18020_018E,B18020_018M,B18020_019E,B18020_019M,B18020_020E,B18020_020M,B18020_021E,B18020_021M,B18020_022E,B18020_022M,B18020_023E,B18020_023M,B18020_024E,B18020_024M,B18020_025E,B18020_025M,B18020_026E,B18020_026M,B18020_027E,B18020_027M,B18020_028E,B18020_028M,B18020_029E,B18020_029M,B18020_030E,B18020_030M,B18020_031E,B18020_031M,NAME,B18020_001EA,B18020_001MA,B18020_002EA,B18020_002MA,B18020_003EA,B18020_003MA,B18020_004MA,B18020_004EA,B18020_005MA,B18020_005EA,B18020_006MA,B18020_006EA,B18020_007EA,B18020_007MA,B18020_008EA,B18020_008MA,B18020_009MA,B18020_009EA,B18020_010MA,B18020_010EA,B18020_011MA,B18020_011EA,B18020_012EA,B18020_012MA,B18020_013EA,B18020_013MA,B18020_014MA,B18020_014EA,B18020_015MA,B18020_015EA,B18020_016MA,B18020_016EA,B18020_017MA,B18020_017EA,B18020_018EA,B18020_018MA,B18020_019EA,B18020_019MA,B18020_020MA,B18020_020EA,B18020_021MA,B18020_021EA,B18020_022MA,B18020_022EA,B18020_023EA,B18020_023MA,B18020_024EA,B18020_024MA,B18020_025MA,B18020_025EA,B18020_026MA,B18020_026EA,B18020_027MA,B18020_027EA,B18020_028MA,B18020_028EA,B18020_029MA,B18020_029EA,B18020_030MA,B18020_030EA,B18020_031MA,B18020_031EA,state
0400000US01,2894176,5043,493743,10903,248557,8984,58031,3861,25122,2850,32909,2931,190526,7138,65159,4223,125367,4987,245186,6695,47711,3709,17458,2295,30253,3209,197475,5636,51048,3565,146427,5103,2400433,11371,1152173,9351,488829,5454,356123,7036,132706,5841,663344,7646,582006,7885,81338,4502,1248260,6973,517491,5560,303624,7133,213867,8108,730769,6305,514204,7904,216565,6617,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,426990,1889,58911,3073,30845,2260,6274,1028,3698,809,2576,688,24571,2077,12690,1495,11881,1540,28066,2053,6339,1004,2755,780,3584,724,21727,1825,8720,1136,13007,1510,368079,3511,184233,2749,73620,1671,49918,1931,23702,1806,110613,2641,91426,3134,19187,1832,183846,2268,74365,1438,45156,2216,29209,2211,109481,2090,81368,2414,28113,2043,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3667827,4564,424516,12328,210134,8669,52450,4478,25168,3405,27282,2985,157684,7208,65447,4816,92237,5413,214382,7574,48366,4068,18589,2844,29777,3097,166016,6472,54256,4243,111760,4795,3243311,13586,1623257,9218,733554,6265,566439,6904,167115,7087,889703,7067,758551,8459,131152,5009,1620054,8973,706108,5618,422133,7026,283975,7661,913946,6636,629965,7321,283981,7176,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1738224,3831,314050,8976,156716,5633,34916,2966,15178,1963,19738,2400,121800,5370,44574,3477,77226,4001,157334,5913,34165,3082,11653,1752,22512,2532,123169,5213,34788,2856,88381,4618,1424174,10056,695031,6114,303810,5038,227615,5460,76195,4790,391221,5758,339683,5607,51538,3375,729143,6910,306611,4483,193274,5622,113337,5062,422532,5552,315772,5622,106760,4841,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22906307,11669,2357073,31596,1137366,21082,276997,11098,121527,6580,155470,8512,860369,17577,346388,10787,513981,12113,1219707,19126,244806,10611,92993,5672,151813,8248,974901,14679,315625,9108,659276,11968,20549234,32724,10295745,22978,4465353,14013,3155404,19681,1309949,20096,5830392,18417,4983820,21566,846572,16447,10253489,21319,4356918,13925,2487632,19880,1869286,19884,5896571,14921,3987331,20099,1909240,22186,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3053504,4420,297338,7993,155682,6447,42918,3697,24255,2710,18663,2439,112764,4974,54481,3762,58283,3721,141656,5148,27253,2585,11661,1847,15592,2010,114403,4290,45907,3221,68496,3792,2756166,9401,1388276,7595,598855,4996,466782,6431,132073,5856,789421,5986,687992,6203,101429,4571,1367890,6501,576125,4092,379082,7456,197043,7756,791765,5251,590579,6411,201186,6359,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2215438,3697,218162,7328,105665,5575,26416,3091,12319,2167,14097,2274,79249,4485,35256,3234,43993,3299,112497,4595,23717,2436,11485,1704,12232,1926,88780,4599,33721,2847,55059,3736,1997276,8426,978235,6033,349152,3919,251186,4492,97966,4371,629083,4783,550576,6061,78507,4611,1019041,5341,350560,3512,227338,5122,123222,5009,668481,4755,508961,6062,159520,5313,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,535270,1881,64100,3513,30828,2347,8695,1525,4005,1133,4690,1087,22133,1907,9184,1385,12949,1527,33272,2658,7560,1603,4054,1116,3506,1066,25712,2289,9693,1617,16019,1927,471170,3729,228738,2595,89920,1843,67894,2277,22026,1857,138818,1934,120873,2381,17945,1748,242432,2985,93313,2169,63405,2929,29908,2961,149119,2358,110079,3112,39040,2361,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,349668,1304,38990,3215,17152,2204,3834,1045,1371,559,2463,928,13318,1852,5764,1292,7554,1549,21838,2004,4223,1420,1630,717,2593,1078,17615,1662,5395,1216,12220,1578,310678,3394,148847,2521,65472,1420,46621,1626,18851,1761,83375,2009,67947,2535,15428,2038,161831,2111,73001,1550,51580,2076,21421,1797,88830,1682,63574,2761,25256,2344,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10879045,9146,1324424,19425,643482,13256,136454,6622,59419,3929,77035,5730,507028,12412,195142,7692,311886,9789,680942,13648,120171,6397,52866,4286,67305,4528,560771,11405,182166,8231,378605,8897,9554621,22464,4682184,16634,1869864,9123,1375782,11962,494082,10881,2812320,13849,2415482,16890,396838,11340,4872437,15024,1884950,9544,1164870,11991,720080,11870,2987487,12096,2100697,14726,886790,13180,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
