GEO_ID,B19037I_001E,B19037I_001M,B19037I_002E,B19037I_002M,B19037I_003E,B19037I_003M,B19037I_004E,B19037I_004M,B19037I_005E,B19037I_005M,B19037I_006E,B19037I_006M,B19037I_007E,B19037I_007M,B19037I_008E,B19037I_008M,B19037I_009E,B19037I_009M,B19037I_010E,B19037I_010M,B19037I_011E,B19037I_011M,B19037I_012E,B19037I_012M,B19037I_013E,B19037I_013M,B19037I_014E,B19037I_014M,B19037I_015E,B19037I_015M,B19037I_016E,B19037I_016M,B19037I_017E,B19037I_017M,B19037I_018E,B19037I_018M,B19037I_019E,B19037I_019M,B19037I_020E,B19037I_020M,B19037I_021E,B19037I_021M,B19037I_022E,B19037I_022M,B19037I_023E,B19037I_023M,B19037I_024E,B19037I_024M,B19037I_025E,B19037I_025M,B19037I_026E,B19037I_026M,B19037I_027E,B19037I_027M,B19037I_028E,B19037I_028M,B19037I_029E,B19037I_029M,B19037I_030E,B19037I_030M,B19037I_031E,B19037I_031M,B19037I_032E,B19037I_032M,B19037I_033E,B19037I_033M,B19037I_034E,B19037I_034M,B19037I_035E,B19037I_035M,B19037I_036E,B19037I_036M,B19037I_037E,B19037I_037M,B19037I_038E,B19037I_038M,B19037I_039E,B19037I_039M,B19037I_040E,B19037I_040M,B19037I_041E,B19037I_041M,B19037I_042E,B19037I_042M,B19037I_043E,B19037I_043M,B19037I_044E,B19037I_044M,B19037I_045E,B19037I_045M,B19037I_046E,B19037I_046M,B19037I_047E,B19037I_047M,B19037I_048E,B19037I_048M,B19037I_049E,B19037I_049M,B19037I_050E,B19037I_050M,B19037I_051E,B19037I_051M,B19037I_052E,B19037I_052M,B19037I_053E,B19037I_053M,B19037I_054E,B19037I_054M,B19037I_055E,B19037I_055M,B19037I_056E,B19037I_056M,B19037I_057E,B19037I_057M,B19037I_058E,B19037I_058M,B19037I_059E,B19037I_059M,B19037I_060E,B19037I_060M,B19037I_061E,B19037I_061M,B19037I_062E,B19037I_062M,B19037I_063E,B19037I_063M,B19037I_064E,B19037I_064M,B19037I_065E,B19037I_065M,B19037I_066E,B19037I_066M,B19037I_067E,B19037I_067M,B19037I_068E,B19037I_068M,B19037I_069E,B19037I_069M,NAME,B19037I_001EA,B19037I_001MA,B19037I_002EA,B19037I_002MA,B19037I_003MA,B19037I_003EA,B19037I_004MA,B19037I_004EA,B19037I_005MA,B19037I_005EA,B19037I_006EA,B19037I_006MA,B19037I_007EA,B19037I_007MA,B19037I_008MA,B19037I_008EA,B19037I_009MA,B19037I_009EA,B19037I_010MA,B19037I_010EA,B19037I_011EA,B19037I_011MA,B19037I_012EA,B19037I_012MA,B19037I_013MA,B19037I_013EA,B19037I_014MA,B19037I_014EA,B19037I_015MA,B19037I_015EA,B19037I_016MA,B19037I_016EA,B19037I_017EA,B19037I_017MA,B19037I_018EA,B19037I_018MA,B19037I_019MA,B19037I_019EA,B19037I_020MA,B19037I_020EA,B19037I_021MA,B19037I_021EA,B19037I_022EA,B19037I_022MA,B19037I_023EA,B19037I_023MA,B19037I_024MA,B19037I_024EA,B19037I_025MA,B19037I_025EA,B19037I_026MA,B19037I_026EA,B19037I_027MA,B19037I_027EA,B19037I_028EA,B19037I_028MA,B19037I_029EA,B19037I_029MA,B19037I_030EA,B19037I_030MA,B19037I_031MA,B19037I_031EA,B19037I_032MA,B19037I_032EA,B19037I_033EA,B19037I_033MA,B19037I_034EA,B19037I_034MA,B19037I_035MA,B19037I_035EA,B19037I_036EA,B19037I_036MA,B19037I_037MA,B19037I_037EA,B19037I_038MA,B19037I_038EA,B19037I_039EA,B19037I_039MA,B19037I_040MA,B19037I_040EA,B19037I_041EA,B19037I_041MA,B19037I_042MA,B19037I_042EA,B19037I_043MA,B19037I_043EA,B19037I_044EA,B19037I_044MA,B19037I_045EA,B19037I_045MA,B19037I_046MA,B19037I_046EA,B19037I_047EA,B19037I_047MA,B19037I_048MA,B19037I_048EA,B19037I_049MA,B19037I_049EA,B19037I_050EA,B19037I_050MA,B19037I_051MA,B19037I_051EA,B19037I_052EA,B19037I_052MA,B19037I_053MA,B19037I_053EA,B19037I_054MA,B19037I_054EA,B19037I_055MA,B19037I_055EA,B19037I_056EA,B19037I_056MA,B19037I_057MA,B19037I_057EA,B19037I_058MA,B19037I_058EA,B19037I_059MA,B19037I_059EA,B19037I_060MA,B19037I_060EA,B19037I_061EA,B19037I_061MA,B19037I_062MA,B19037I_062EA,B19037I_063MA,B19037I_063EA,B19037I_064MA,B19037I_064EA,B19037I_065EA,B19037I_065MA,B19037I_066MA,B19037I_066EA,B19037I_067EA,B19037I_067MA,B19037I_068MA,B19037I_068EA,B19037I_069MA,B19037I_069EA,state
0400000US01,27464,1578,3635,928,374,266,148,160,278,339,472,369,375,297,166,237,155,191,191,194,497,376,375,275,123,175,11,25,429,422,41,72,0,270,0,270,16831,1479,1105,540,2505,929,1762,721,1704,612,838,423,1212,620,658,360,1190,497,1097,558,1580,543,1217,604,797,348,589,425,447,620,38,60,92,146,5521,1200,357,253,149,176,322,279,182,183,286,207,194,162,682,440,424,308,299,266,533,364,660,493,686,356,240,198,206,179,80,103,221,164,1477,520,323,293,196,172,260,227,74,168,47,82,129,168,26,46,53,72,60,98,131,169,54,76,67,71,41,69,0,270,16,26,0,270,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,467693,5324,48556,3405,7174,1637,5583,1659,5005,1220,6086,1718,4076,1311,3814,1218,2820,922,2428,886,2953,986,2786,1377,3075,1703,2240,849,201,249,228,256,87,112,0,291,251607,5348,17814,2503,14514,2700,21774,3339,22724,3704,21433,3143,23098,3475,18260,2973,18938,3020,13164,2725,22721,3300,24704,2845,18824,2362,7529,1508,2714,924,2007,872,1389,577,125401,4247,11411,1534,7273,1982,8831,1758,9259,1492,8384,1699,8456,1635,6696,1491,6975,1731,5919,1206,12360,1888,13968,2036,13051,2150,5742,1157,2945,636,2047,1076,2084,701,42129,1801,8189,1295,6377,1268,5054,965,3756,1052,3283,905,2197,775,2465,833,2052,737,1101,383,2572,760,2019,753,1581,625,639,323,331,277,323,254,190,236,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,32115,2110,4864,1126,602,482,419,413,582,532,1043,706,805,405,296,205,271,220,287,242,281,233,147,136,76,106,55,121,0,260,0,260,0,260,0,260,17397,2079,944,441,1188,567,2497,774,1882,663,1800,698,1347,580,1161,491,1594,669,412,289,1614,660,941,494,1282,578,225,201,246,217,122,161,142,222,8489,1415,519,357,390,328,471,247,1422,733,284,234,550,389,556,425,923,639,651,589,399,268,678,423,343,237,1088,946,35,63,180,195,0,260,1365,648,119,160,117,245,376,352,151,175,115,142,19,31,90,119,99,115,0,260,65,84,104,115,41,48,0,260,69,107,0,260,0,260,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3115208,16010,206457,9310,20418,2273,17896,2557,21284,3392,22736,3499,13825,1974,15851,2595,13410,2071,14254,2414,12077,2363,16798,2493,18608,2790,12761,2858,3954,1221,1317,660,862,587,406,424,1664509,14617,92895,5940,99666,6184,109956,7038,134991,6449,122566,7901,119813,7252,108887,6083,109256,6294,91786,6626,156422,7479,184928,8301,174019,6922,74095,5383,38091,4333,30100,3257,17038,2605,938057,11249,63380,4333,41898,4455,51840,3992,56813,4959,56701,4506,55524,3820,55126,4843,53852,3976,47617,3948,88980,5028,107495,5239,113059,5617,65962,3801,34675,3174,25517,2270,19618,2773,306185,6515,46261,3894,44556,4120,34109,2664,25861,2926,21366,2622,16887,2105,14451,2174,13735,2124,12894,2021,17696,2137,21132,3069,18355,2504,8327,1237,4207,1073,2824,816,3524,1479,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,273252,4588,28603,2890,4035,1134,1877,847,3990,1122,2906,1242,3185,1234,3240,961,1529,599,2031,1183,417,410,2414,1258,1655,806,876,443,402,402,0,274,0,274,46,80,147349,4327,11309,1899,8451,2042,9158,1898,14145,2663,12908,2324,14281,2313,12575,2597,8332,1501,7753,1507,13322,2056,12964,1783,12789,1898,5100,1608,1874,715,1373,667,1015,458,72414,3386,8180,1563,4231,1111,5282,1604,4604,1044,4017,805,4195,1120,3661,851,2545,793,4272,990,7425,1373,7798,1683,8814,1656,3445,878,1911,553,1312,535,722,448,24886,1115,4463,1030,5549,901,3003,798,2613,724,1272,431,918,444,1171,463,982,420,241,191,1337,553,1209,439,1180,474,529,353,206,173,114,142,99,119,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,113571,3016,8719,1478,1646,921,1304,759,1043,566,855,495,176,216,206,231,215,288,154,181,474,407,1255,977,507,371,853,601,31,60,0,274,0,274,0,274,63791,2522,6351,1297,4051,1357,2972,856,4143,1340,4716,1446,4898,1380,4172,1303,3828,1187,4205,1157,4707,1097,6830,1452,5334,1285,3639,1277,1607,945,486,309,1852,705,30991,2246,6213,1290,1126,495,2148,962,1573,826,965,510,1707,975,1536,612,1404,586,1725,809,3058,836,2453,1071,2833,830,2160,685,696,338,462,292,932,519,10070,1123,4120,1117,788,496,974,446,620,346,443,317,360,310,275,290,464,257,616,558,221,228,425,257,435,284,207,205,0,274,0,274,122,119,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1129006,8236,66002,4290,8119,1591,6693,1965,7463,1699,6939,2054,6488,1643,4462,1277,3831,1270,2939,880,5126,1709,5051,1725,5676,1750,2183,876,597,422,68,121,138,228,229,242,527789,8037,31542,4391,23010,3604,33644,3622,43102,4748,40035,4481,42606,3880,30496,3654,39352,3857,30772,3464,45370,4498,57804,4112,53388,4378,25263,3078,11484,1911,10711,1865,9210,1672,355936,6918,31186,3445,20349,3148,23076,3446,24389,2758,25762,3083,25358,3070,23743,3011,19585,2524,20451,2871,30297,3002,34057,3386,35702,3685,17481,2348,7806,1480,8138,1434,8556,2020,179279,5047,45257,3432,29332,3873,20385,2451,13636,2103,10987,1914,9511,1901,9125,1954,5940,1254,5455,1087,7485,1177,8289,1616,7660,1403,2787,970,1083,463,537,314,1810,572,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
