GEO_ID,B19301D_001E,B19301D_001M,NAME,B19301D_001MA,B19301D_001EA,state
0400000US01,26114,4423,Alabama,null,null,01
0400000US02,19348,2771,Alaska,null,null,02
0400000US04,26819,1897,Arizona,null,null,04
0400000US05,23081,3949,Arkansas,null,null,05
0400000US06,27493,380,California,null,null,06
0400000US08,24636,1446,Colorado,null,null,08
0400000US09,35173,3346,Connecticut,null,null,09
0400000US10,29590,4309,Delaware,null,null,10
0400000US11,41421,6835,District of Columbia,null,null,11
0400000US12,24279,1287,Florida,null,null,12
0400000US13,25081,1682,Georgia,null,null,13
0400000US15,25803,643,Hawaii,null,null,15
0400000US16,25920,4261,Idaho,null,null,16
0400000US17,30110,1055,Illinois,null,null,17
0400000US18,27239,2640,Indiana,null,null,18
0400000US19,22231,3147,Iowa,null,null,19
0400000US20,24030,2396,Kansas,null,null,20
0400000US21,30148,4417,Kentucky,null,null,21
0400000US22,22420,2710,Louisiana,null,null,22
0400000US23,19672,3976,Maine,null,null,23
0400000US24,32246,1635,Maryland,null,null,24
0400000US25,30296,1924,Massachusetts,null,null,25
0400000US26,29869,1838,Michigan,null,null,26
0400000US27,20781,1445,Minnesota,null,null,27
0400000US28,20768,3479,Mississippi,null,null,28
0400000US29,25230,2312,Missouri,null,null,29
0400000US30,28495,21077,Montana,null,null,30
0400000US31,22699,3062,Nebraska,null,null,31
0400000US32,23702,1231,Nevada,null,null,32
0400000US33,30699,4913,New Hampshire,null,null,33
0400000US34,33327,1011,New Jersey,null,null,34
0400000US35,26537,4092,New Mexico,null,null,35
0400000US36,26312,819,New York,null,null,36
0400000US37,22944,1832,North Carolina,null,null,37
0400000US38,24074,9406,North Dakota,null,null,38
0400000US39,27420,1595,Ohio,null,null,39
0400000US40,18780,2756,Oklahoma,null,null,40
0400000US41,23035,1976,Oregon,null,null,41
0400000US42,25583,1278,Pennsylvania,null,null,42
0400000US44,24604,4213,Rhode Island,null,null,44
0400000US45,21841,3531,South Carolina,null,null,45
0400000US46,26847,17172,South Dakota,null,null,46
0400000US47,26371,2729,Tennessee,null,null,47
0400000US48,26241,1028,Texas,null,null,48
0400000US49,17944,1869,Utah,null,null,49
0400000US50,27213,7939,Vermont,null,null,50
0400000US51,30563,1362,Virginia,null,null,51
0400000US53,25372,990,Washington,null,null,53
0400000US54,37729,9142,West Virginia,null,null,54
0400000US55,20521,1529,Wisconsin,null,null,55
0400000US56,24151,9086,Wyoming,null,null,56
0400000US72,10807,3120,Puerto Rico,null,null,72
