GEO_ID,B20003_001E,B20003_001M,B20003_002E,B20003_002M,B20003_003E,B20003_003M,B20003_004E,B20003_004M,B20003_005E,B20003_005M,B20003_006E,B20003_006M,B20003_007E,B20003_007M,NAME,B20003_001MA,B20003_001EA,B20003_002EA,B20003_002MA,B20003_003EA,B20003_003MA,B20003_004MA,B20003_004EA,B20003_005MA,B20003_005EA,B20003_006MA,B20003_006EA,B20003_007EA,B20003_007MA,state
0400000US01,75120326200,1179486168,49582291300,1085503031,42040675300,1129798525,7541616000,302122232,25538034900,520054021,18792904600,507749784,6745130300,240494851,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,14158778600,477492820,9218641300,429113761,6456557900,429258995,2762083500,222085423,4940137300,168759270,3211794000,171675514,1728343300,106522660,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,109127775900,1460894139,70635812400,1231642577,56993625200,1235025610,13642187100,570509054,38491963500,616337046,27147679800,649694507,11344283700,357909078,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41322345000,606864063,25820903300,441418286,20930757300,408016308,4890145900,257498995,15501441700,351911808,10952595400,316919694,4548846300,163464101,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,788377971800,4089190249,511096285500,3748613010,401458537900,3612549769,109637747500,1837496997,277281686300,1763445420,187808326200,1685368804,89473360100,1324007889,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,103680338200,1239743511,67317688700,1032044266,53340590400,1047212037,13977098200,478583060,36362649500,504746374,24928555200,517198764,11434094300,357296426,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,96188659200,1609462209,62201284700,1277365668,52011868500,1306148927,10189416200,499893222,33987374500,702735438,23669477700,594646415,10317896900,455726167,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,18430662500,557930606,11477574500,481765984,9728573300,498480389,1749001300,149523786,6953087900,227960895,5173799500,241514862,1779288400,125414479,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16556738500,658005436,9476032100,482037456,7826213600,514562481,1649818500,170028661,7080706400,339254910,5522281200,339864533,1558425100,137053787,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,325517895900,2581440318,208856818600,2314875666,168395455400,2195810385,40461363200,1079183114,116661077300,1021256425,83018724100,923614809,33642353200,631046840,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,180117020600,1987670608,115497703800,1614477736,96109190500,1678005404,19388513400,799124298,64619316700,845637881,46806948800,815249991,17812368000,506129125,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,24968744000,486493820,15621168000,415285411,12396921800,406585700,3224246100,214017429,9347576100,266821801,6532957800,241639729,2814618300,147731136,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23010035400,500099610,15537186800,476479406,11759899300,413133532,3777287500,324540468,7472848600,177059750,4786418000,172720186,2686430600,96887555,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,273380336700,2117623689,177744870000,1792618201,144868240600,1683156826,32876629400,897163916,95635466700,923291609,68002629000,972912624,27632837600,547684406,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,113238256800,1102425989,73682946500,1066000086,60614142400,1050454378,13068804100,556568999,39555310300,490581749,27998573000,458109628,11556737300,281335236,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,54242290500,668903694,34699827600,549021972,28837305000,572788818,5862522600,279362493,19542462900,300208889,13805188400,295021476,5737274500,154341803,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,51141638500,689051719,33384236600,549456823,28110885300,594143410,5273351300,263540365,17757402000,374380909,12734230800,371153855,5023171100,208362418,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,66025865100,797823136,42185249100,666716620,34325631900,637393353,7859617200,325224490,23840616000,408216708,16626508200,395568943,7214107800,243179480,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,72690237300,950655185,47321591500,799599965,36925461500,787890842,10396130000,425509754,25368645800,428843700,17757940400,416974595,7610705500,250431341,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,23878943800,484955269,14987206300,443539118,11752789800,388575850,3234416600,240385446,8891737500,194185913,6041750700,198860696,2849986700,115625144,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
