GEO_ID,B22002_001E,B22002_001M,B22002_002E,B22002_002M,B22002_003E,B22002_003M,B22002_004E,B22002_004M,B22002_005E,B22002_005M,B22002_006E,B22002_006M,B22002_007E,B22002_007M,B22002_008E,B22002_008M,B22002_009E,B22002_009M,B22002_010E,B22002_010M,B22002_011E,B22002_011M,B22002_012E,B22002_012M,B22002_013E,B22002_013M,B22002_014E,B22002_014M,B22002_015E,B22002_015M,B22002_016E,B22002_016M,B22002_017E,B22002_017M,B22002_018E,B22002_018M,B22002_019E,B22002_019M,B22002_020E,B22002_020M,B22002_021E,B22002_021M,B22002_022E,B22002_022M,B22002_023E,B22002_023M,B22002_024E,B22002_024M,B22002_025E,B22002_025M,B22002_026E,B22002_026M,B22002_027E,B22002_027M,NAME,B22002_001EA,B22002_001MA,B22002_002EA,B22002_002MA,B22002_003MA,B22002_003EA,B22002_004MA,B22002_004EA,B22002_005MA,B22002_005EA,B22002_006EA,B22002_006MA,B22002_007EA,B22002_007MA,B22002_008MA,B22002_008EA,B22002_009MA,B22002_009EA,B22002_010MA,B22002_010EA,B22002_011EA,B22002_011MA,B22002_012EA,B22002_012MA,B22002_013MA,B22002_013EA,B22002_014MA,B22002_014EA,B22002_015MA,B22002_015EA,B22002_016EA,B22002_016MA,B22002_017EA,B22002_017MA,B22002_018EA,B22002_018MA,B22002_019MA,B22002_019EA,B22002_020MA,B22002_020EA,B22002_021EA,B22002_021MA,B22002_022EA,B22002_022MA,B22002_023EA,B22002_023MA,B22002_024MA,B22002_024EA,B22002_025MA,B22002_025EA,B22002_026EA,B22002_026MA,B22002_027EA,B22002_027MA,state
0400000US01,1788692,9253,195884,7349,122163,5758,34620,3080,86416,5027,6900,1461,79516,5173,1127,491,73721,4375,14740,1981,15870,1690,3256,1054,12614,1521,43111,3518,1592808,10516,499404,9413,354095,8305,141742,7571,34781,3347,106961,6900,3567,1023,1093404,12054,487702,8510,88540,5109,26089,2742,62451,4514,517162,10540,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,233252,2012,17123,1561,10649,1254,4050,790,6399,1046,1351,434,5048,1039,200,216,6474,1069,1195,430,998,374,385,259,613,264,4281,974,216129,2404,82653,3222,56750,2900,24580,2351,7871,1339,16709,2138,1323,582,133476,3278,54358,2801,8857,1356,3566,889,5291,936,70261,3453,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2204013,9234,161128,7300,113421,5494,41837,3646,69142,5090,12511,2148,56631,4222,2442,1018,47707,3899,7773,1361,9635,1848,1661,606,7974,1619,30299,3125,2042885,10805,654750,10368,453453,9943,193789,6689,58936,4184,134853,5874,7508,1864,1388135,12099,575390,9585,108441,5972,37125,3357,71316,4939,704304,14006,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1087542,7421,124855,4861,75167,4410,25641,2895,49042,3061,7245,1547,41797,2970,484,293,49688,3324,9466,1542,7897,1211,2382,844,5515,988,32325,2819,962687,7760,295690,6810,212622,6264,79377,5077,20933,2556,58444,4097,3691,1059,666997,7608,307816,6507,50583,3693,15757,1684,34826,3246,308598,6656,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12097894,20853,550043,14987,457102,13962,167347,8729,283870,11570,43825,4031,240045,10458,5885,1660,92941,4999,19002,1958,24152,2605,9142,1811,15010,2287,49787,4111,11547851,25485,4223672,29934,2999104,28330,1187689,19584,374431,12544,813258,18118,36879,3559,7324179,34668,2825668,25222,774287,16416,286475,10613,487812,11486,3724224,28977,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1819037,8199,90000,4386,55674,4065,17087,2304,37619,4001,5653,2047,31966,3205,968,485,34326,3020,4286,1170,4962,1333,1050,516,3912,1056,25078,2430,1729037,8010,560756,9747,413161,8483,142427,7351,44763,3908,97664,5409,5168,1736,1168281,9963,473299,9242,71380,4518,28511,2653,42869,3167,623602,11215,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1323838,6482,71343,4209,36720,3096,5711,1216,30523,2844,2530,1003,27993,3161,486,400,34623,3097,4522,1042,6067,1083,1538,676,4529,985,24034,2666,1252495,7214,411881,7355,302572,6564,105382,4781,25366,3123,80016,4501,3927,1430,840614,8390,362339,8075,76172,5147,26961,2731,49211,3970,402103,9490,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,317640,2835,20636,1946,12899,1582,3193,926,9660,1409,1181,519,8479,1206,46,77,7737,1175,948,475,1050,415,260,182,790,359,5739,968,297004,3273,98063,3058,66893,3445,29832,2731,7560,1493,22272,2418,1338,687,198941,3087,88604,3254,16002,1564,5011,1051,10991,1320,94335,3735,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,248213,2990,24542,2158,13258,1618,973,388,12084,1574,907,525,11177,1585,201,331,11284,1608,1542,653,2574,790,447,314,2127,747,7168,1388,223671,3521,42527,2995,19369,1773,22620,2341,4314,1031,18306,1957,538,388,181144,3842,32328,2676,16993,1766,4410,1092,12583,1585,131823,4330,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7048800,20625,554593,11916,295105,9041,97826,6015,193301,8191,25720,3655,167581,7662,3978,1354,259488,9146,58013,3812,54697,4477,16039,2551,38658,3615,146778,7579,6494207,23943,1862144,19638,1246944,15029,590610,12267,151021,7317,439589,12114,24590,3460,4632063,27135,1976490,17260,376922,11124,130172,6721,246750,8748,2278651,24528,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
