GEO_ID,B22005B_001E,B22005B_001M,B22005B_002E,B22005B_002M,B22005B_003E,B22005B_003M,NAME,B22005B_001EA,B22005B_001MA,B22005B_002EA,B22005B_002MA,B22005B_003EA,B22005B_003MA,state
0400000US01,447615,5128,110239,5191,337376,6701,Alabama,null,null,null,null,null,null,01
0400000US02,7511,718,1207,553,6304,854,Alaska,null,null,null,null,null,null,02
0400000US04,73619,3045,12526,1902,61093,2740,Arizona,null,null,null,null,null,null,04
0400000US05,161781,3454,45729,2912,116052,4047,Arkansas,null,null,null,null,null,null,05
0400000US06,791864,9592,87799,5470,704065,10241,California,null,null,null,null,null,null,06
0400000US08,68796,2311,8672,1870,60124,2827,Colorado,null,null,null,null,null,null,08
0400000US09,112156,4014,18269,2418,93887,3591,Connecticut,null,null,null,null,null,null,09
0400000US10,58654,2231,8992,1346,49662,2285,Delaware,null,null,null,null,null,null,10
0400000US11,131970,2522,22045,2150,109925,2853,District of Columbia,null,null,null,null,null,null,11
0400000US12,928296,8641,179562,7116,748734,11598,Florida,null,null,null,null,null,null,12
0400000US13,947046,9297,170593,7296,776453,10533,Georgia,null,null,null,null,null,null,13
0400000US15,9992,1077,88,144,9904,1083,Hawaii,null,null,null,null,null,null,15
0400000US16,1999,551,849,436,1150,456,Idaho,null,null,null,null,null,null,16
0400000US17,644697,7245,150131,6814,494566,9059,Illinois,null,null,null,null,null,null,17
0400000US18,209897,4511,50548,4159,159349,5744,Indiana,null,null,null,null,null,null,18
0400000US19,23648,1604,7671,1330,15977,1565,Iowa,null,null,null,null,null,null,19
0400000US20,58913,1853,11166,1807,47747,2428,Kansas,null,null,null,null,null,null,20
0400000US21,122090,3120,28409,1937,93681,3314,Kentucky,null,null,null,null,null,null,21
0400000US22,499952,6521,159888,6711,340064,7522,Louisiana,null,null,null,null,null,null,22
0400000US23,2786,671,1358,610,1428,534,Maine,null,null,null,null,null,null,23
0400000US24,579116,6162,57527,4919,521589,7452,Maryland,null,null,null,null,null,null,24
0400000US25,131439,4618,18320,2899,113119,4389,Massachusetts,null,null,null,null,null,null,25
0400000US26,517141,6168,122309,6264,394832,8761,Michigan,null,null,null,null,null,null,26
0400000US27,73158,2877,21529,2414,51629,3223,Minnesota,null,null,null,null,null,null,27
0400000US28,372658,5730,104210,5025,268448,5772,Mississippi,null,null,null,null,null,null,28
0400000US29,247147,4587,59587,3368,187560,5488,Missouri,null,null,null,null,null,null,29
0400000US30,1690,523,561,375,1129,418,Montana,null,null,null,null,null,null,30
0400000US31,28613,1555,8946,1335,19667,1718,Nebraska,null,null,null,null,null,null,31
0400000US32,65682,2422,8801,2184,56881,2728,Nevada,null,null,null,null,null,null,32
0400000US33,3799,571,874,431,2925,712,New Hampshire,null,null,null,null,null,null,33
0400000US34,412059,6912,50531,4157,361528,6118,New Jersey,null,null,null,null,null,null,34
0400000US35,14369,1404,2536,1010,11833,1480,New Mexico,null,null,null,null,null,null,35
0400000US36,1028783,10110,185606,7931,843177,11103,New York,null,null,null,null,null,null,36
0400000US37,700885,8478,144517,6274,556368,9283,North Carolina,null,null,null,null,null,null,37
0400000US38,1684,444,234,215,1450,427,North Dakota,null,null,null,null,null,null,38
0400000US39,531909,5569,122766,5436,409143,6655,Ohio,null,null,null,null,null,null,39
0400000US40,100416,3048,23973,2924,76443,3808,Oklahoma,null,null,null,null,null,null,40
0400000US41,21979,1940,5390,1075,16589,1841,Oregon,null,null,null,null,null,null,41
0400000US42,466648,6849,105676,5488,360972,7170,Pennsylvania,null,null,null,null,null,null,42
0400000US44,18682,1293,3771,1139,14911,1304,Rhode Island,null,null,null,null,null,null,44
0400000US45,439937,4804,101250,4554,338687,5665,South Carolina,null,null,null,null,null,null,45
0400000US46,1955,394,646,338,1309,411,South Dakota,null,null,null,null,null,null,46
0400000US47,381846,5497,85175,4835,296671,6251,Tennessee,null,null,null,null,null,null,47
0400000US48,926367,9954,173455,7226,752912,9545,Texas,null,null,null,null,null,null,48
0400000US49,6826,1092,1155,532,5671,1076,Utah,null,null,null,null,null,null,49
0400000US50,768,282,68,105,700,284,Vermont,null,null,null,null,null,null,50
0400000US51,545029,6584,84587,4943,460442,8119,Virginia,null,null,null,null,null,null,51
0400000US53,77534,3155,12865,2381,64669,2580,Washington,null,null,null,null,null,null,53
0400000US54,23796,1609,5153,1312,18643,1473,West Virginia,null,null,null,null,null,null,54
0400000US55,114570,3341,29217,3471,85353,4760,Wisconsin,null,null,null,null,null,null,55
0400000US56,1344,353,115,119,1229,356,Wyoming,null,null,null,null,null,null,56
0400000US72,96959,4628,29651,2406,67308,3812,Puerto Rico,null,null,null,null,null,null,72
