GEO_ID,B01001B_001E,B01001B_001M,B01001B_002E,B01001B_002M,B01001B_003E,B01001B_003M,B01001B_004E,B01001B_004M,B01001B_005E,B01001B_005M,B01001B_006E,B01001B_006M,B01001B_007E,B01001B_007M,B01001B_008E,B01001B_008M,B01001B_009E,B01001B_009M,B01001B_010E,B01001B_010M,B01001B_011E,B01001B_011M,B01001B_012E,B01001B_012M,B01001B_013E,B01001B_013M,B01001B_014E,B01001B_014M,B01001B_015E,B01001B_015M,B01001B_016E,B01001B_016M,B01001B_017E,B01001B_017M,B01001B_018E,B01001B_018M,B01001B_019E,B01001B_019M,B01001B_020E,B01001B_020M,B01001B_021E,B01001B_021M,B01001B_022E,B01001B_022M,B01001B_023E,B01001B_023M,B01001B_024E,B01001B_024M,B01001B_025E,B01001B_025M,B01001B_026E,B01001B_026M,B01001B_027E,B01001B_027M,B01001B_028E,B01001B_028M,B01001B_029E,B01001B_029M,B01001B_030E,B01001B_030M,B01001B_031E,B01001B_031M,NAME,B01001B_001MA,B01001B_001EA,B01001B_002EA,B01001B_002MA,B01001B_003EA,B01001B_003MA,B01001B_004MA,B01001B_004EA,B01001B_005EA,B01001B_005MA,B01001B_006MA,B01001B_006EA,B01001B_007MA,B01001B_007EA,B01001B_008EA,B01001B_008MA,B01001B_009EA,B01001B_009MA,B01001B_010MA,B01001B_010EA,B01001B_011EA,B01001B_011MA,B01001B_012MA,B01001B_012EA,B01001B_013EA,B01001B_013MA,B01001B_014EA,B01001B_014MA,B01001B_015MA,B01001B_015EA,B01001B_016EA,B01001B_016MA,B01001B_017MA,B01001B_017EA,B01001B_018MA,B01001B_018EA,B01001B_019EA,B01001B_019MA,B01001B_020EA,B01001B_020MA,B01001B_021MA,B01001B_021EA,B01001B_022MA,B01001B_022EA,B01001B_023MA,B01001B_023EA,B01001B_024EA,B01001B_024MA,B01001B_025EA,B01001B_025MA,B01001B_026MA,B01001B_026EA,B01001B_027MA,B01001B_027EA,B01001B_028MA,B01001B_028EA,B01001B_029EA,B01001B_029MA,B01001B_030EA,B01001B_030MA,B01001B_031EA,B01001B_031MA,state
0400000US01,1209321,4826,566563,3790,43889,1652,47985,3172,54413,3216,31905,1548,24339,1642,49195,1965,39898,1600,34660,1701,77160,2265,72896,1871,48649,1519,24491,1421,13580,1096,3503,726,642758,3787,43106,1648,45429,2583,50733,2593,32481,1637,23645,1607,51566,2188,45795,1752,40525,1724,89313,2343,92050,2059,59313,1107,34356,1343,24330,1447,10116,1233,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,21476,2347,12013,1914,506,506,1814,1025,1018,759,370,311,494,445,1153,688,902,518,1225,694,1379,739,1977,723,841,285,68,92,266,269,0,235,9463,1133,654,468,154,199,328,265,553,491,853,731,927,524,699,541,656,589,1184,751,2118,738,649,217,67,101,227,211,394,428,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,207837,5456,109303,3007,8763,1393,8740,1526,10075,1609,5365,877,3276,597,9675,959,9935,906,8799,881,16805,767,13741,709,7973,401,4094,511,1665,352,397,283,98534,3649,7545,1324,8050,1133,8592,1477,5102,944,2768,696,6849,615,7558,775,8146,909,14690,1133,12949,780,8508,563,4452,554,2304,621,1021,572,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,437680,4670,208321,3124,21013,1835,18109,1884,19338,2053,12102,1175,7976,1202,18634,1611,13262,1433,13044,1292,27421,1906,28025,1579,16343,961,8289,737,3192,593,1573,502,229359,3878,17450,1704,18433,1849,18063,1845,11553,1153,7159,1220,19542,1280,17062,1490,15227,1343,31755,1699,31753,1642,18089,887,9984,824,7591,1030,5698,974,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2260648,14374,1113564,8663,84258,2891,85047,4390,97969,4791,63345,1517,41461,1875,92196,3113,73864,2919,75890,2146,177206,2692,152564,2753,88686,1337,49907,1329,24311,1416,6860,1303,1147084,8743,78690,2958,81367,4053,90647,3567,58824,1725,39191,1620,82057,2288,74871,1713,76402,1684,179122,2498,162084,1892,105526,1391,64623,1198,38519,1683,15161,1655,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,177902,4693,93178,3177,7511,1584,7327,1171,6478,1281,4644,621,3172,917,7994,1095,6131,1008,7227,875,16133,1033,14833,865,7230,605,3085,384,1161,379,252,253,84724,2823,6246,957,6722,1148,7200,1054,3929,602,2567,815,6029,970,7293,1123,6122,735,13372,921,11761,560,6633,512,3994,440,1521,511,1335,508,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,332711,4745,159398,3032,12551,924,13421,1797,15696,1730,9998,632,5074,520,13591,1295,11429,1060,10732,802,24542,1007,20299,1001,11717,612,6719,347,3248,356,381,218,173313,2829,11602,932,10745,1615,15726,1958,9333,577,5335,368,13018,904,12046,853,12275,598,27820,1140,23696,955,15739,424,9197,427,4481,680,2300,653,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,176845,1971,83314,1050,7181,561,6476,1354,7552,1328,4127,388,2831,428,7406,633,6126,464,5343,591,12824,613,10840,344,6948,323,3615,288,1701,401,344,274,93531,1357,6663,751,7505,1087,6781,1059,5372,358,3723,582,6297,554,6663,147,6455,600,14760,475,13071,211,8266,308,4519,289,2505,504,951,357,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,322105,2958,143744,1540,10984,833,9325,1647,12633,1580,7219,305,4461,292,10099,374,9473,295,8339,200,19149,441,20730,453,14775,82,9187,148,5998,406,1372,404,178361,2175,10827,756,11100,1342,11325,1273,7371,252,5169,119,11859,598,11677,630,10489,328,23163,359,25482,527,19914,306,14073,278,11491,837,4421,810,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2778549,13414,1340405,7461,125633,2656,105149,4803,123726,4951,77985,2007,52051,2796,118788,2775,105289,3145,86122,3048,194058,3993,167146,3417,96743,1919,56419,1482,25114,1412,6182,1135,1438144,8936,115273,2567,109346,4747,119092,5294,76080,2018,47710,2334,116760,3012,107526,2513,97196,2356,212087,3239,189469,2664,116808,2317,71833,1765,44410,2095,14554,1751,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
