GEO_ID,B14001I_001E,B14001I_001M,B14001I_002E,B14001I_002M,B14001I_003E,B14001I_003M,B14001I_004E,B14001I_004M,B14001I_005E,B14001I_005M,B14001I_006E,B14001I_006M,B14001I_007E,B14001I_007M,NAME,B14001I_001MA,B14001I_001EA,B14001I_002EA,B14001I_002MA,B14001I_003MA,B14001I_003EA,B14001I_004MA,B14001I_004EA,B14001I_005EA,B14001I_005MA,B14001I_006EA,B14001I_006MA,B14001I_007MA,B14001I_007EA,state
0400000US01,101728,2111,28998,2119,4574,1009,15192,1820,5292,1264,3940,889,72730,2510,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,34523,1068,12823,1422,1736,672,5016,822,2707,704,3364,1039,21700,1547,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1671972,4068,560324,7471,65042,4095,287064,4677,126315,3916,81903,5525,1111648,7631,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,126282,2154,40615,2299,6100,1189,20723,1649,8643,1077,5149,1126,85667,2320,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12245189,8819,4320415,19936,505734,11421,2023364,11290,1020157,10745,771160,14343,7924774,22205,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,875557,3036,271207,5244,37658,2952,133051,3398,59986,3013,40512,3220,604350,4868,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,370846,1336,123890,3142,16551,1936,58133,2060,27601,1949,21605,2144,246956,3193,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,49357,641,14438,1877,2071,645,7381,942,3109,682,1877,865,34919,1730,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,45156,566,11885,1303,1478,908,5151,735,1888,585,3368,1129,33271,1257,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3464126,5075,944260,10175,114348,5656,404206,5904,204303,4501,221403,7489,2519866,10463,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,635438,4106,174765,4016,30027,3511,95676,3228,32253,2646,16809,2291,460673,4708,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,92662,739,34098,1510,4533,920,15352,760,7017,753,7196,1222,58564,1519,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,130214,825,47245,2101,5137,965,24268,1369,11112,1392,6728,1402,82969,2202,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1763803,4156,593228,7262,78594,4483,285882,4892,125349,3318,103403,5157,1170575,7271,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,277142,2684,90688,3028,12963,1576,43744,1818,19138,1677,14843,1916,186454,3373,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,105228,1659,41024,1943,5635,918,19192,1526,9848,1279,6349,996,64204,1615,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,219438,1599,78105,2339,12149,1645,38058,1747,17922,1756,9976,1388,141333,2526,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,76686,2922,21933,1940,4221,916,9664,1178,5002,880,3046,964,54753,2595,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,117235,1804,31131,2307,3688,697,13466,1559,6199,1408,7778,1410,86104,2530,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,11799,664,4203,628,674,300,1772,417,604,322,1153,403,7596,789,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,314522,1832,98454,3406,12214,1682,42625,1780,22727,1856,20888,2841,216068,3342,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,483858,1797,172033,3654,19323,2040,77118,2562,40304,1915,35288,2854,311825,3887,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,368376,1588,134272,3212,17570,2014,62459,2122,28886,2176,25357,2312,234104,2953,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,178767,1519,59618,2076,9352,1203,29453,1589,12421,1396,8392,1546,119149,2250,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,42211,2072,10924,1787,843,341,5730,1083,2130,802,2221,731,31287,1980,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,149019,2066,50594,2608,8549,1483,20870,1518,11641,1510,9534,1694,98425,2892,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,19149,972,7115,1030,401,239,2906,794,1892,863,1916,731,12034,1050,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,118784,1099,42790,1724,5525,908,22380,1343,9335,1071,5550,913,75994,1683,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,571572,2515,171709,3982,22182,2579,93299,2463,40403,2457,15825,2321,399863,4464,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,28324,792,9474,811,1652,809,3633,637,2200,561,1989,582,18850,1014,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1288252,3144,380686,5998,53859,4134,168176,3601,83730,2968,74921,4739,907566,6135,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,815620,2532,265823,5843,30319,2826,115587,2957,61063,2898,58854,5168,549797,5876,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,2978869,4412,913639,9652,108591,5679,400617,3935,214476,4564,189955,6963,2065230,9063,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,548412,4528,160946,4578,26576,2786,84010,3097,30875,2571,19485,2113,387466,4818,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,8448,677,3723,723,245,222,969,347,779,298,1730,626,4725,856,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,249196,1840,86924,2558,11648,1508,39535,2237,19007,1953,16734,1779,162272,2691,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,225835,1759,75657,2604,11423,1379,38859,2120,16449,1539,8926,1216,150178,2542,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,351766,1721,121840,3139,14834,2075,63899,2244,26306,2173,16801,1978,229926,3190,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,492358,2328,170475,3328,21582,2034,78894,3086,41331,2548,28668,2317,321883,3709,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,110141,893,37316,1593,4761,1086,18083,1010,8147,1062,6325,1065,72825,1577,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,137195,2037,35912,2670,5599,949,19053,1933,6161,1172,5099,1127,101283,2205,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,14608,1302,5475,1016,958,341,2913,659,838,516,766,431,9133,827,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,171004,2346,47504,2384,8262,1576,25039,2329,8537,1386,5666,1030,123500,2238,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,7832720,9311,2615765,15036,362933,9313,1252581,7466,577577,8352,422674,11581,5216955,15544,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,264829,1333,94569,3072,12009,1757,45738,1582,22437,1860,14385,2022,170260,2907,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,6329,650,2932,492,243,225,849,246,558,220,1282,380,3397,550,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,437561,3459,130387,4601,16377,1891,57849,2242,27656,2456,28505,3050,307174,4546,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,535634,2461,182851,3586,24785,2378,93398,2974,41981,2239,22687,2717,352783,4028,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,13371,1476,5529,1080,953,461,1732,517,1497,749,1347,503,7842,1060,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,237634,1176,81718,2346,11591,1470,41258,1627,16802,1626,12067,1713,155916,2280,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,33763,640,10105,1016,1438,540,4683,838,2392,593,1592,522,23658,915,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3735866,6143,1107883,8945,112537,4562,472104,5562,256089,5099,267153,7035,2627983,9263,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
