GEO_ID,B17001G_001E,B17001G_001M,B17001G_002E,B17001G_002M,B17001G_003E,B17001G_003M,B17001G_004E,B17001G_004M,B17001G_005E,B17001G_005M,B17001G_006E,B17001G_006M,B17001G_007E,B17001G_007M,B17001G_008E,B17001G_008M,B17001G_009E,B17001G_009M,B17001G_010E,B17001G_010M,B17001G_011E,B17001G_011M,B17001G_012E,B17001G_012M,B17001G_013E,B17001G_013M,B17001G_014E,B17001G_014M,B17001G_015E,B17001G_015M,B17001G_016E,B17001G_016M,B17001G_017E,B17001G_017M,B17001G_018E,B17001G_018M,B17001G_019E,B17001G_019M,B17001G_020E,B17001G_020M,B17001G_021E,B17001G_021M,B17001G_022E,B17001G_022M,B17001G_023E,B17001G_023M,B17001G_024E,B17001G_024M,B17001G_025E,B17001G_025M,B17001G_026E,B17001G_026M,B17001G_027E,B17001G_027M,B17001G_028E,B17001G_028M,B17001G_029E,B17001G_029M,B17001G_030E,B17001G_030M,B17001G_031E,B17001G_031M,B17001G_032E,B17001G_032M,B17001G_033E,B17001G_033M,B17001G_034E,B17001G_034M,B17001G_035E,B17001G_035M,B17001G_036E,B17001G_036M,B17001G_037E,B17001G_037M,B17001G_038E,B17001G_038M,B17001G_039E,B17001G_039M,B17001G_040E,B17001G_040M,B17001G_041E,B17001G_041M,B17001G_042E,B17001G_042M,B17001G_043E,B17001G_043M,B17001G_044E,B17001G_044M,B17001G_045E,B17001G_045M,B17001G_046E,B17001G_046M,B17001G_047E,B17001G_047M,B17001G_048E,B17001G_048M,B17001G_049E,B17001G_049M,B17001G_050E,B17001G_050M,B17001G_051E,B17001G_051M,B17001G_052E,B17001G_052M,B17001G_053E,B17001G_053M,B17001G_054E,B17001G_054M,B17001G_055E,B17001G_055M,B17001G_056E,B17001G_056M,B17001G_057E,B17001G_057M,B17001G_058E,B17001G_058M,B17001G_059E,B17001G_059M,NAME,B17001G_001EA,B17001G_001MA,B17001G_002MA,B17001G_002EA,B17001G_003MA,B17001G_003EA,B17001G_004EA,B17001G_004MA,B17001G_005EA,B17001G_005MA,B17001G_006EA,B17001G_006MA,B17001G_007EA,B17001G_007MA,B17001G_008EA,B17001G_008MA,B17001G_009MA,B17001G_009EA,B17001G_010EA,B17001G_010MA,B17001G_011MA,B17001G_011EA,B17001G_012EA,B17001G_012MA,B17001G_013MA,B17001G_013EA,B17001G_014EA,B17001G_014MA,B17001G_015MA,B17001G_015EA,B17001G_016MA,B17001G_016EA,B17001G_017MA,B17001G_017EA,B17001G_018EA,B17001G_018MA,B17001G_019EA,B17001G_019MA,B17001G_020MA,B17001G_020EA,B17001G_021MA,B17001G_021EA,B17001G_022MA,B17001G_022EA,B17001G_023EA,B17001G_023MA,B17001G_024MA,B17001G_024EA,B17001G_025MA,B17001G_025EA,B17001G_026MA,B17001G_026EA,B17001G_027MA,B17001G_027EA,B17001G_028EA,B17001G_028MA,B17001G_029EA,B17001G_029MA,B17001G_030MA,B17001G_030EA,B17001G_031MA,B17001G_031EA,B17001G_032MA,B17001G_032EA,B17001G_033MA,B17001G_033EA,B17001G_034EA,B17001G_034MA,B17001G_035MA,B17001G_035EA,B17001G_036MA,B17001G_036EA,B17001G_037MA,B17001G_037EA,B17001G_038MA,B17001G_038EA,B17001G_039EA,B17001G_039MA,B17001G_040EA,B17001G_040MA,B17001G_041MA,B17001G_041EA,B17001G_042MA,B17001G_042EA,B17001G_043EA,B17001G_043MA,B17001G_044MA,B17001G_044EA,B17001G_045EA,B17001G_045MA,B17001G_046MA,B17001G_046EA,B17001G_047MA,B17001G_047EA,B17001G_048EA,B17001G_048MA,B17001G_049MA,B17001G_049EA,B17001G_050EA,B17001G_050MA,B17001G_051EA,B17001G_051MA,B17001G_052MA,B17001G_052EA,B17001G_053MA,B17001G_053EA,B17001G_054EA,B17001G_054MA,B17001G_055EA,B17001G_055MA,B17001G_056EA,B17001G_056MA,B17001G_057MA,B17001G_057EA,B17001G_058MA,B17001G_058EA,B17001G_059EA,B17001G_059MA,state
0400000US01,44819,4073,9600,1750,4771,1177,1271,592,68,89,872,441,383,228,20,35,75,108,493,336,419,468,127,146,466,358,460,327,49,64,68,90,4829,1032,710,407,56,96,495,303,167,185,137,208,168,160,450,312,382,192,629,339,634,387,490,246,297,212,214,172,35219,3761,16745,2222,1762,807,1175,639,2234,838,1101,504,113,210,516,232,1674,622,1503,512,2232,741,2286,680,1271,481,546,302,332,271,18474,2407,2061,1083,231,159,1800,635,1131,531,401,262,1153,582,1403,549,1365,542,2357,665,2574,647,2068,625,1330,473,600,403,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,52511,4837,8090,3150,3561,1528,791,478,500,403,1166,696,109,171,334,379,25,43,19,31,529,516,71,99,0,235,17,28,0,235,0,235,4529,1805,1327,717,23,35,789,567,249,237,0,235,371,382,283,242,675,384,427,444,280,254,105,133,0,235,0,235,44421,4157,23028,2483,3376,803,414,259,4000,1009,1507,560,431,222,1117,340,3794,1049,2711,859,2745,897,1319,351,1271,444,221,190,122,102,21393,2493,2997,773,1142,490,3292,985,1620,715,883,300,1671,591,2137,653,1915,560,2255,683,1870,604,1092,669,317,194,202,162,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,146186,10505,26235,4354,11264,1924,2687,1058,34,69,2574,784,629,388,418,277,336,242,1056,646,1101,627,861,428,732,488,439,356,0,291,397,305,14971,3481,3433,1362,756,513,2220,911,756,427,623,460,634,455,1394,554,1281,849,1362,623,828,464,1102,588,300,220,282,257,119951,8784,60702,5329,10690,1890,1812,697,10216,2105,4716,1090,1297,445,3276,990,5612,1347,7052,1348,6100,1174,4688,1239,2638,796,1626,524,979,387,59249,5021,9755,1999,1716,601,10977,1925,4181,1019,1572,635,2870,833,5455,1119,5811,1163,6674,1333,4279,1036,3671,919,1351,546,937,521,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,42215,4199,11593,2653,5188,1491,1322,683,100,131,1424,782,301,300,52,99,116,125,95,131,644,559,230,226,525,403,328,233,51,61,0,257,6405,1479,1662,651,257,197,1024,601,70,74,15,30,288,210,299,282,1051,539,134,127,217,183,571,315,372,316,445,247,30622,3649,16736,2452,1942,777,1510,802,2229,759,1230,547,611,382,509,301,422,410,1889,670,1825,665,2480,770,1559,594,409,225,121,116,13886,1949,1438,628,174,147,2515,763,1280,555,115,138,376,286,820,426,1523,515,918,446,1408,480,1866,640,732,333,721,404,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1176056,25872,137582,10257,67425,6308,12784,2341,2107,739,10952,1866,4384,1195,1698,672,3024,997,10603,2252,8506,1658,5621,1385,3683,1021,2805,875,724,405,534,287,70157,5792,12920,2448,1346,581,10432,2116,3995,1273,1890,709,2151,700,11339,1757,9349,1467,5129,1169,6411,1234,3388,1055,963,510,844,404,1038474,25270,508722,14641,81079,5369,13988,2297,82266,4298,37668,2883,12761,1997,26299,2512,58293,4758,60766,4700,51610,4104,42063,3057,22807,2197,12955,1394,6167,992,529752,15810,82554,4883,12965,1788,80170,5176,41992,2911,14299,2102,25783,2626,59993,4667,61583,3597,51520,3478,48431,3245,26894,2424,13370,1848,10198,1313,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,121048,7022,16547,3118,6791,1765,1291,588,555,431,1761,785,266,215,267,218,118,121,485,364,330,275,627,442,868,545,103,118,120,162,0,271,9756,2074,1652,651,441,390,638,328,837,520,62,108,578,424,2527,975,894,469,975,598,516,308,401,307,235,213,0,271,104501,6161,52189,3709,8885,1592,1753,721,9086,1596,4213,1129,1166,532,2062,714,5906,1385,6646,1381,4295,1075,4135,996,2222,692,1271,531,549,277,52312,4079,9624,1589,1644,608,9101,1299,3699,1165,1199,568,2121,686,5645,1275,6472,1394,4652,1087,3667,666,2644,757,969,422,875,464,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,59783,5688,8282,2072,3890,1091,1134,619,0,269,1022,434,102,170,76,122,138,157,331,287,421,363,404,302,55,90,0,269,207,197,0,269,4392,1350,783,408,192,250,577,536,282,210,52,87,0,269,578,353,488,387,584,437,372,341,362,320,0,269,122,146,51501,5273,25005,3146,3668,905,523,266,5970,1249,1714,688,946,489,724,412,1868,743,2549,975,2937,1095,2605,916,1043,413,233,174,225,204,26496,3013,3453,1123,823,377,4402,1130,2001,664,652,355,1337,490,2592,874,2789,849,4115,1107,2288,615,855,331,502,269,687,435,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,308305,13090,47054,4499,20870,2607,4459,1355,911,588,3215,1159,945,387,710,440,674,407,2198,901,2000,856,1455,743,1914,809,1175,530,1012,470,202,198,26184,3116,5273,1346,524,464,3368,1234,2452,998,539,316,1233,567,3124,1171,2963,949,2244,837,1710,548,1320,524,847,460,587,363,261251,12540,132069,6958,18281,2597,2542,709,16913,2089,8924,1402,2354,780,5619,1094,12061,2306,22913,3008,15221,2146,11540,1782,7770,1303,4570,822,3361,905,129182,7538,21364,2761,2670,746,17116,2092,7903,1390,1906,669,5112,1151,10960,1518,14592,2296,14166,2035,14006,1700,10209,1482,4832,997,4346,957,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,113676,9004,24034,4075,10255,2001,2154,896,432,269,2291,1026,1050,566,371,332,243,258,1296,634,867,605,497,365,595,472,153,165,254,249,52,101,13779,2900,2910,1141,671,422,2854,1072,1035,600,340,305,936,560,1663,778,1217,641,751,422,1010,446,94,118,182,148,116,118,89642,7280,43953,3760,8146,1672,882,384,7767,1686,2681,788,760,360,2214,722,3915,1092,4475,1212,5491,1271,4294,1087,2107,651,782,403,439,305,45689,4674,8493,1711,1899,882,6206,1290,4017,1002,228,186,1397,741,4146,1334,5448,1301,5457,1277,4291,983,2245,713,947,589,915,445,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,270016,11716,27161,4501,13012,2370,2175,773,394,258,1991,743,783,414,767,415,357,271,1501,798,1742,800,1452,730,1301,550,375,326,112,123,62,106,14149,2877,2499,1007,66,80,1453,619,831,519,177,177,623,415,1931,712,2487,884,1398,656,1172,568,320,225,479,424,713,402,242855,11474,122945,6442,18114,1500,2889,815,16384,1707,7087,1376,2897,721,5311,953,11879,1675,18955,2199,14459,1899,11035,1523,7846,1170,3681,843,2408,563,119910,6342,14856,1649,2394,805,15681,1740,7501,1475,1828,723,5141,1146,13418,1897,16823,1954,15077,1633,12973,1420,7036,1181,3964,822,3218,846,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,29313,2450,5117,1435,2493,898,372,222,0,253,256,252,0,253,50,72,137,158,256,270,856,586,127,138,83,137,314,294,35,60,7,11,2624,892,456,290,183,250,407,258,391,336,0,253,186,162,298,231,271,214,91,128,59,85,140,222,102,122,40,45,24196,2360,13227,1657,2103,795,557,355,1980,651,1105,450,150,254,688,339,1304,477,1389,535,1246,535,1137,492,893,332,538,363,137,160,10969,1473,1525,535,573,305,1760,584,939,402,123,125,550,361,990,429,1417,518,654,329,1423,475,510,282,384,336,121,136,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,194122,10299,31765,4481,14443,2590,4988,1236,453,423,3789,1296,950,527,218,174,75,82,1455,641,943,540,781,341,136,110,278,214,253,215,124,153,17322,2518,4620,1136,799,467,2682,852,1252,476,384,286,671,402,1662,523,2113,764,1486,520,722,384,335,205,332,223,264,199,162357,9565,82566,5723,14398,1896,1467,636,14485,2193,6714,1565,1751,596,3311,854,8825,1611,10535,1781,7349,1392,6502,1192,4286,957,1994,577,949,372,79791,5230,13388,1751,2673,832,14072,2030,4446,942,1275,454,3719,945,7512,1413,9392,1769,7914,1411,6667,1201,4389,856,2461,660,1883,622,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,84048,5379,15243,2333,6412,1407,1461,558,231,247,1713,805,236,198,42,65,484,376,603,452,338,208,251,223,629,380,329,234,73,116,22,38,8831,1525,2883,981,154,158,973,450,506,283,291,289,467,362,1193,711,680,361,723,459,316,207,314,244,190,170,141,136,68805,5088,34624,3548,5330,1161,758,338,5577,1460,2458,790,985,405,2423,840,3334,1112,3492,963,3668,864,3349,907,1583,544,951,569,716,342,34181,3139,5030,1195,1122,583,4484,919,2671,721,624,421,1786,731,3555,1108,4873,965,3252,908,2999,773,2122,626,960,457,703,335,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,38409,3505,9533,2162,3620,1006,1366,548,82,112,1081,622,190,163,124,103,0,221,195,191,78,87,153,191,106,106,226,192,19,27,0,221,5913,1423,1340,569,98,118,846,492,461,313,349,419,265,249,917,565,325,273,588,455,526,394,74,107,124,182,0,221,28876,3060,14889,1883,2533,819,479,338,3671,847,1026,424,151,100,795,353,1625,708,1654,715,1059,516,1207,529,451,245,181,161,57,84,13987,1964,2916,827,973,496,2549,708,1044,513,265,245,482,285,786,331,1221,593,1317,728,1445,544,291,168,572,323,126,173,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,66743,4456,12657,2476,6276,1610,2018,860,0,237,1160,484,570,433,30,54,65,110,1551,785,382,264,362,218,104,108,34,59,0,237,0,237,6381,1284,847,432,330,239,1070,520,189,197,233,227,97,115,1343,668,664,392,639,487,563,323,144,156,75,75,187,181,54086,3849,28897,3014,5668,1200,752,388,5386,1189,2718,763,706,376,1405,555,2593,857,3180,802,1883,704,1990,611,1517,510,687,356,412,307,25189,2166,4390,1106,827,338,4835,1053,1310,507,546,263,1323,453,2329,789,2480,640,2472,622,1913,505,1104,406,1012,444,648,329,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
