GEO_ID,B17010A_001E,B17010A_001M,B17010A_002E,B17010A_002M,B17010A_003E,B17010A_003M,B17010A_004E,B17010A_004M,B17010A_005E,B17010A_005M,B17010A_006E,B17010A_006M,B17010A_007E,B17010A_007M,B17010A_008E,B17010A_008M,B17010A_009E,B17010A_009M,B17010A_010E,B17010A_010M,B17010A_011E,B17010A_011M,B17010A_012E,B17010A_012M,B17010A_013E,B17010A_013M,B17010A_014E,B17010A_014M,B17010A_015E,B17010A_015M,B17010A_016E,B17010A_016M,B17010A_017E,B17010A_017M,B17010A_018E,B17010A_018M,B17010A_019E,B17010A_019M,B17010A_020E,B17010A_020M,B17010A_021E,B17010A_021M,B17010A_022E,B17010A_022M,B17010A_023E,B17010A_023M,B17010A_024E,B17010A_024M,B17010A_025E,B17010A_025M,B17010A_026E,B17010A_026M,B17010A_027E,B17010A_027M,B17010A_028E,B17010A_028M,B17010A_029E,B17010A_029M,B17010A_030E,B17010A_030M,B17010A_031E,B17010A_031M,B17010A_032E,B17010A_032M,B17010A_033E,B17010A_033M,B17010A_034E,B17010A_034M,B17010A_035E,B17010A_035M,B17010A_036E,B17010A_036M,B17010A_037E,B17010A_037M,B17010A_038E,B17010A_038M,B17010A_039E,B17010A_039M,B17010A_040E,B17010A_040M,B17010A_041E,B17010A_041M,NAME,B17010A_001MA,B17010A_001EA,B17010A_002MA,B17010A_002EA,B17010A_003MA,B17010A_003EA,B17010A_004EA,B17010A_004MA,B17010A_005EA,B17010A_005MA,B17010A_006EA,B17010A_006MA,B17010A_007MA,B17010A_007EA,B17010A_008MA,B17010A_008EA,B17010A_009MA,B17010A_009EA,B17010A_010EA,B17010A_010MA,B17010A_011EA,B17010A_011MA,B17010A_012EA,B17010A_012MA,B17010A_013MA,B17010A_013EA,B17010A_014MA,B17010A_014EA,B17010A_015EA,B17010A_015MA,B17010A_016EA,B17010A_016MA,B17010A_017EA,B17010A_017MA,B17010A_018MA,B17010A_018EA,B17010A_019MA,B17010A_019EA,B17010A_020EA,B17010A_020MA,B17010A_021EA,B17010A_021MA,B17010A_022EA,B17010A_022MA,B17010A_023MA,B17010A_023EA,B17010A_024MA,B17010A_024EA,B17010A_025EA,B17010A_025MA,B17010A_026EA,B17010A_026MA,B17010A_027EA,B17010A_027MA,B17010A_028MA,B17010A_028EA,B17010A_029MA,B17010A_029EA,B17010A_030EA,B17010A_030MA,B17010A_031EA,B17010A_031MA,B17010A_032EA,B17010A_032MA,B17010A_033MA,B17010A_033EA,B17010A_034MA,B17010A_034EA,B17010A_035EA,B17010A_035MA,B17010A_036EA,B17010A_036MA,B17010A_037EA,B17010A_037MA,B17010A_038MA,B17010A_038EA,B17010A_039MA,B17010A_039EA,B17010A_040EA,B17010A_040MA,B17010A_041EA,B17010A_041MA,state
0400000US01,894960,9751,73016,4568,31934,2388,17371,2086,3147,1015,4218,1033,10006,1602,14563,1307,41082,3714,6121,1562,3934,1202,1126,619,176,168,2632,952,2187,773,34961,3447,31215,3317,5548,1239,10164,2095,15503,2173,3746,786,821944,9406,697648,9389,277585,6727,48232,3510,53681,3591,175672,5320,420063,7543,124296,4982,42154,2842,22903,2209,3237,1055,2540,962,17126,1985,19251,1913,82142,3690,45274,3215,6263,1307,5181,1213,33830,2875,36868,2510,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,116019,3658,5214,1263,1590,616,889,493,154,205,403,375,332,209,701,454,3624,1070,623,429,543,418,138,145,0,235,405,395,80,91,3001,938,2811,919,508,395,941,491,1362,612,190,188,110805,3684,91816,3159,42609,2680,9051,1624,8315,1224,25243,1736,49207,2796,18989,1969,7304,1245,4489,1014,1270,563,563,419,2656,702,2815,810,11685,1420,8299,1213,994,397,817,453,6488,1173,3386,737,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1184435,11507,96814,5293,46638,3903,30021,3537,4791,1208,14315,2453,10915,1945,16617,1698,50176,3750,8428,1654,6317,1374,1525,695,1491,702,3301,1038,2111,796,41748,3758,37922,3726,9250,1953,11853,2215,16819,2343,3826,924,1087621,10403,875182,11035,348687,7665,66825,4201,79535,4199,202327,5913,526495,8942,212439,6668,74865,4059,43582,3668,9605,1943,6004,1351,27973,3172,31283,2803,137574,5134,86002,4442,10599,1719,12532,1829,62871,3527,51572,3564,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,613147,8046,59654,4038,26442,2263,16294,2147,2947,747,5190,972,8157,1382,10148,1534,33212,3097,5739,1160,4843,1130,1081,655,865,422,2897,931,896,464,27473,2926,24000,2658,6217,1428,6254,1260,11529,1586,3473,820,553493,8016,466913,7413,184973,4935,33680,2685,36765,2668,114528,4449,281940,6486,86580,4359,29317,2632,16182,2027,3508,969,1139,506,11535,1625,13135,1782,57263,3658,31672,2522,4622,1216,3458,889,23592,2377,25591,2569,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5204404,21579,394441,10503,182047,6831,131584,5708,20150,2348,50859,3964,60575,4116,50463,3672,212394,8223,36559,3551,29293,3223,7042,1450,8558,1569,13693,2210,7266,1360,175835,7043,155056,6709,26753,2265,43882,4119,84421,5621,20779,2499,4809963,20901,3800962,21995,1746959,17853,329347,8522,359713,9364,1057899,14003,2054003,17686,1009001,16615,347665,10374,190282,7663,34760,3114,24919,3109,130603,6415,157383,7671,661336,12521,382874,11167,50109,3691,47055,4104,285710,9717,278462,8101,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1016817,9416,68611,4751,29335,2633,19402,2299,4560,1166,7124,1481,7718,1592,9933,1448,39276,3652,7002,1676,5394,1423,1219,649,1347,548,2828,1052,1608,758,32274,3240,29791,3194,6116,1172,8050,1643,15625,2435,2483,820,948206,9127,788198,10125,349640,7348,75193,3917,70521,4636,203926,5822,438558,7798,160008,6188,54679,4053,31764,3019,5802,1313,3189,971,22773,2324,22915,2938,105329,4874,67396,3872,9764,1928,7859,1582,49773,3137,37933,2622,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,733661,7207,28318,2935,10099,1497,4958,1045,931,484,1695,650,2332,779,5141,1094,18219,2291,2351,704,1725,643,534,351,107,122,1084,519,626,341,15868,2174,14314,2011,2385,827,3563,966,8366,1582,1554,696,705343,7378,583456,6498,260967,5959,49638,2916,46301,3194,165028,5070,322489,5894,121887,4431,35370,2984,17427,2182,2016,618,2238,823,13173,1886,17943,1863,86517,4374,45812,3309,5292,1062,5265,1268,35255,2429,40705,3012,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,159802,3655,8506,1768,2891,887,1792,728,44,73,828,513,920,527,1099,516,5615,1503,1316,745,1097,713,424,489,0,261,673,593,219,209,4299,1318,4080,1295,1483,674,467,400,2130,874,219,184,151296,3556,124821,3363,50428,2743,10410,1440,9422,1592,30596,2395,74393,2684,26475,2260,9238,1613,5010,1247,1339,691,682,449,2989,770,4228,1063,17237,1837,9445,1503,871,388,1470,562,7104,1489,7792,1214,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3659689,19955,253502,9147,118097,5181,53684,4224,10245,1803,18439,2853,25000,2824,64413,3807,135405,6921,25898,3420,17392,2622,4980,1251,3461,1317,8951,1725,8506,1428,109507,5672,94369,5231,20495,2322,21150,2908,52724,4029,15138,2308,3406187,18926,2784808,16866,1005773,13126,188654,7084,182976,6587,634143,9762,1779035,15428,621379,13843,196717,8134,98516,5907,23600,2969,9511,2021,65405,4691,98201,5072,424662,11141,239754,8237,35967,3103,25284,3081,178503,6714,184908,6770,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
