GEO_ID,B17010I_001E,B17010I_001M,B17010I_002E,B17010I_002M,B17010I_003E,B17010I_003M,B17010I_004E,B17010I_004M,B17010I_005E,B17010I_005M,B17010I_006E,B17010I_006M,B17010I_007E,B17010I_007M,B17010I_008E,B17010I_008M,B17010I_009E,B17010I_009M,B17010I_010E,B17010I_010M,B17010I_011E,B17010I_011M,B17010I_012E,B17010I_012M,B17010I_013E,B17010I_013M,B17010I_014E,B17010I_014M,B17010I_015E,B17010I_015M,B17010I_016E,B17010I_016M,B17010I_017E,B17010I_017M,B17010I_018E,B17010I_018M,B17010I_019E,B17010I_019M,B17010I_020E,B17010I_020M,B17010I_021E,B17010I_021M,B17010I_022E,B17010I_022M,B17010I_023E,B17010I_023M,B17010I_024E,B17010I_024M,B17010I_025E,B17010I_025M,B17010I_026E,B17010I_026M,B17010I_027E,B17010I_027M,B17010I_028E,B17010I_028M,B17010I_029E,B17010I_029M,B17010I_030E,B17010I_030M,B17010I_031E,B17010I_031M,B17010I_032E,B17010I_032M,B17010I_033E,B17010I_033M,B17010I_034E,B17010I_034M,B17010I_035E,B17010I_035M,B17010I_036E,B17010I_036M,B17010I_037E,B17010I_037M,B17010I_038E,B17010I_038M,B17010I_039E,B17010I_039M,B17010I_040E,B17010I_040M,B17010I_041E,B17010I_041M,NAME,B17010I_001MA,B17010I_001EA,B17010I_002MA,B17010I_002EA,B17010I_003MA,B17010I_003EA,B17010I_004EA,B17010I_004MA,B17010I_005EA,B17010I_005MA,B17010I_006EA,B17010I_006MA,B17010I_007MA,B17010I_007EA,B17010I_008MA,B17010I_008EA,B17010I_009EA,B17010I_009MA,B17010I_010EA,B17010I_010MA,B17010I_011EA,B17010I_011MA,B17010I_012MA,B17010I_012EA,B17010I_013MA,B17010I_013EA,B17010I_014MA,B17010I_014EA,B17010I_015EA,B17010I_015MA,B17010I_016EA,B17010I_016MA,B17010I_017EA,B17010I_017MA,B17010I_018MA,B17010I_018EA,B17010I_019MA,B17010I_019EA,B17010I_020EA,B17010I_020MA,B17010I_021EA,B17010I_021MA,B17010I_022EA,B17010I_022MA,B17010I_023MA,B17010I_023EA,B17010I_024MA,B17010I_024EA,B17010I_025MA,B17010I_025EA,B17010I_026MA,B17010I_026EA,B17010I_027EA,B17010I_027MA,B17010I_028EA,B17010I_028MA,B17010I_029EA,B17010I_029MA,B17010I_030MA,B17010I_030EA,B17010I_031MA,B17010I_031EA,B17010I_032EA,B17010I_032MA,B17010I_033EA,B17010I_033MA,B17010I_034EA,B17010I_034MA,B17010I_035MA,B17010I_035EA,B17010I_036MA,B17010I_036EA,B17010I_037EA,B17010I_037MA,B17010I_038EA,B17010I_038MA,B17010I_039EA,B17010I_039MA,B17010I_040MA,B17010I_040EA,B17010I_041MA,B17010I_041EA,state
0400000US01,19043,1896,4945,1290,2506,878,2153,866,355,282,1090,611,708,548,353,225,2439,872,868,455,743,438,420,310,233,305,90,160,125,156,1571,718,1495,719,336,284,321,273,838,561,76,137,14098,1749,9045,1371,6474,1208,1723,612,1860,653,2891,824,2571,751,5053,1087,3357,799,1701,747,1021,645,336,269,344,271,1656,595,1696,601,1281,570,291,272,364,282,626,373,415,236,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,365209,6437,72137,4643,34457,3343,29163,2969,3762,1210,13991,2275,11410,1915,5294,1113,37680,3365,5758,1322,4509,1247,895,520,1792,807,1822,860,1249,606,31922,3242,29607,3159,5973,1474,10432,1687,13202,2073,2315,720,293072,7358,204529,7100,138837,5985,20857,2349,43443,3761,74537,4211,65692,3698,88543,5133,35818,3010,21698,2949,4798,1395,5791,1386,11109,2143,14120,2073,52725,3608,36733,3226,4672,1242,8424,1667,23637,2563,15992,1949,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,30166,1835,6924,1390,3595,1144,3417,1127,731,484,1332,762,1354,695,178,170,3329,933,1282,534,1239,526,312,285,374,248,553,428,43,82,2047,706,1809,687,370,351,932,564,507,320,238,221,23242,1914,16252,1870,11983,1656,2525,969,3465,705,5993,1165,4269,955,6990,1498,4574,1186,2756,1051,553,394,736,526,1467,767,1818,627,2416,827,1596,652,248,216,315,305,1033,490,820,492,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2615496,15511,446356,11056,207975,8169,182585,7405,23368,2496,78023,4613,81194,5082,25390,2657,238381,7868,45088,3892,38103,3743,9067,1672,14335,2277,14701,2362,6985,1547,193293,7347,178872,7166,24130,2566,59047,3759,95695,6340,14421,1888,2169140,17085,1517783,14123,1058007,11417,162558,6640,305957,7837,589492,11306,459776,8490,651357,13374,268319,10105,163995,8482,39675,4378,34509,3560,89811,5735,104324,5684,383038,9237,264521,7746,34302,3209,54900,3547,175319,7291,118517,4541,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,206259,5273,43765,3443,19144,2693,15975,2380,2698,964,6866,1694,6411,1451,3169,973,24621,2639,3679,1069,3022,915,895,585,804,533,1323,647,657,473,20942,2600,19659,2582,3423,1104,7270,1762,8966,1666,1283,572,162494,5135,120593,4752,78505,4479,13591,2221,25500,2941,39414,3158,42088,3235,41901,3125,19385,2366,11296,1973,4124,1130,1616,691,5556,1445,8089,1605,22516,2231,15839,1773,2233,818,2427,825,11179,1469,6677,1377,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,87833,3050,18718,2055,4361,974,3195,861,543,359,1025,533,1627,670,1166,542,14357,1778,1632,620,1451,579,836,459,149,252,466,322,181,235,12725,1591,11741,1570,1723,647,4013,1070,6005,1237,984,489,69115,3577,42468,2818,26830,2284,6107,1391,5330,1200,15393,1767,15638,2024,26647,2940,8529,1839,5207,1499,928,648,965,690,3314,1097,3322,1082,18118,2305,14196,2158,2239,861,2827,951,9130,1704,3922,860,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,10191,1092,2493,901,852,447,568,368,81,133,341,338,146,135,284,272,1641,839,453,521,453,521,36,68,28,50,389,516,0,261,1188,651,1027,602,431,357,74,126,522,445,161,234,7698,1134,4689,1066,3577,931,887,483,887,427,1803,668,1112,698,3009,822,2087,763,1376,720,1020,548,222,301,134,163,711,437,922,477,560,348,160,207,57,99,343,286,362,328,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,877231,10246,118716,5427,53620,4220,32976,3249,6439,1565,12047,2137,14490,2307,20644,2578,65096,5105,11285,2087,7791,1765,1994,805,2273,1078,3524,1087,3494,903,53811,4558,45981,4220,9013,1831,12020,2298,24948,3088,7830,1777,758515,9966,543373,9364,305389,8601,57068,3989,65954,5243,182367,7021,237984,6643,215142,7509,76849,4110,38402,3419,12309,1803,5419,1569,20674,2403,38447,2754,138293,6917,84008,5890,14285,2240,9397,1915,60326,4903,54285,3799,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
