GEO_ID,B19113A_001E,B19113A_001M,NAME,B19113A_001EA,B19113A_001MA,state
0400000US01,55868,844,Alabama,null,null,01
0400000US02,77172,2712,Alaska,null,null,02
0400000US04,59548,960,Arizona,null,null,04
0400000US05,48486,925,Arkansas,null,null,05
0400000US06,71241,416,California,null,null,06
0400000US08,68472,1001,Colorado,null,null,08
0400000US09,83797,933,Connecticut,null,null,09
0400000US10,67961,2912,Delaware,null,null,10
0400000US11,157685,10673,District of Columbia,null,null,11
0400000US12,58079,497,Florida,null,null,12
0400000US13,65078,721,Georgia,null,null,13
0400000US15,73527,4132,Hawaii,null,null,15
0400000US16,52237,1085,Idaho,null,null,16
0400000US17,69865,582,Illinois,null,null,17
0400000US18,58028,666,Indiana,null,null,18
0400000US19,56640,603,Iowa,null,null,19
0400000US20,59426,938,Kansas,null,null,20
0400000US21,50342,593,Kentucky,null,null,21
0400000US22,56762,891,Louisiana,null,null,22
0400000US23,53772,1050,Maine,null,null,23
0400000US24,85465,863,Maryland,null,null,24
0400000US25,79213,884,Massachusetts,null,null,25
0400000US26,61471,392,Michigan,null,null,26
0400000US27,69223,561,Minnesota,null,null,27
0400000US28,53539,1018,Mississippi,null,null,28
0400000US29,55827,491,Missouri,null,null,29
0400000US30,52149,898,Montana,null,null,30
0400000US31,58642,760,Nebraska,null,null,31
0400000US32,64520,1382,Nevada,null,null,32
0400000US33,71153,1130,New Hampshire,null,null,33
0400000US34,85199,709,New Jersey,null,null,34
0400000US35,53655,1535,New Mexico,null,null,35
0400000US36,70582,442,New York,null,null,36
0400000US37,59051,502,North Carolina,null,null,37
0400000US38,57203,1469,North Dakota,null,null,38
0400000US39,59279,411,Ohio,null,null,39
0400000US40,51592,659,Oklahoma,null,null,40
0400000US41,57339,787,Oregon,null,null,41
0400000US42,61013,276,Pennsylvania,null,null,42
0400000US44,70468,1788,Rhode Island,null,null,44
0400000US45,59024,951,South Carolina,null,null,45
0400000US46,55943,1279,South Dakota,null,null,46
0400000US47,53024,719,Tennessee,null,null,47
0400000US48,58558,484,Texas,null,null,48
0400000US49,59793,817,Utah,null,null,49
0400000US50,58288,1432,Vermont,null,null,50
0400000US51,73505,967,Virginia,null,null,51
0400000US53,66409,531,Washington,null,null,53
0400000US54,44527,845,West Virginia,null,null,54
0400000US55,63170,591,Wisconsin,null,null,55
0400000US56,58476,1702,Wyoming,null,null,56
0400000US72,20846,493,Puerto Rico,null,null,72
