GEO_ID,B19113I_001E,B19113I_001M,NAME,B19113I_001MA,B19113I_001EA,state
0400000US01,30321,2762,Alabama,null,null,01
0400000US02,51990,10267,Alaska,null,null,02
0400000US04,38273,1276,Arizona,null,null,04
0400000US05,31017,2253,Arkansas,null,null,05
0400000US06,43843,494,California,null,null,06
0400000US08,38125,1343,Colorado,null,null,08
0400000US09,38848,2427,Connecticut,null,null,09
0400000US10,39525,6726,Delaware,null,null,10
0400000US11,45342,11376,District of Columbia,null,null,11
0400000US12,43036,987,Florida,null,null,12
0400000US13,36623,1498,Georgia,null,null,13
0400000US15,54636,7301,Hawaii,null,null,15
0400000US16,33460,3357,Idaho,null,null,16
0400000US17,44466,1206,Illinois,null,null,17
0400000US18,36187,2171,Indiana,null,null,18
0400000US19,35635,2220,Iowa,null,null,19
0400000US20,36002,3977,Kansas,null,null,20
0400000US21,35076,5648,Kentucky,null,null,21
0400000US22,43452,5357,Louisiana,null,null,22
0400000US23,29972,11282,Maine,null,null,23
0400000US24,55663,3200,Maryland,null,null,24
0400000US25,33646,2030,Massachusetts,null,null,25
0400000US26,37238,2212,Michigan,null,null,26
0400000US27,35536,4085,Minnesota,null,null,27
0400000US28,31112,7702,Mississippi,null,null,28
0400000US29,41575,2988,Missouri,null,null,29
0400000US30,34012,10201,Montana,null,null,30
0400000US31,35289,2407,Nebraska,null,null,31
0400000US32,44358,2206,Nevada,null,null,32
0400000US33,65406,16718,New Hampshire,null,null,33
0400000US34,46918,1461,New Jersey,null,null,34
0400000US35,37989,1291,New Mexico,null,null,35
0400000US36,38951,961,New York,null,null,36
0400000US37,32251,1416,North Carolina,null,null,37
0400000US38,48203,10737,North Dakota,null,null,38
0400000US39,41192,2918,Ohio,null,null,39
0400000US40,31358,1679,Oklahoma,null,null,40
0400000US41,33132,2983,Oregon,null,null,41
0400000US42,34814,1483,Pennsylvania,null,null,42
0400000US44,30909,2162,Rhode Island,null,null,44
0400000US45,33214,2851,South Carolina,null,null,45
0400000US46,53911,9842,South Dakota,null,null,46
0400000US47,34170,3384,Tennessee,null,null,47
0400000US48,34758,472,Texas,null,null,48
0400000US49,38292,2567,Utah,null,null,49
0400000US50,53016,14916,Vermont,null,null,50
0400000US51,55804,3220,Virginia,null,null,51
0400000US53,35306,1768,Washington,null,null,53
0400000US54,46977,11620,West Virginia,null,null,54
0400000US55,35083,2342,Wisconsin,null,null,55
0400000US56,50137,8330,Wyoming,null,null,56
0400000US72,20256,426,Puerto Rico,null,null,72
