GEO_ID,B19121_001E,B19121_001M,B19121_002E,B19121_002M,B19121_003E,B19121_003M,B19121_004E,B19121_004M,B19121_005E,B19121_005M,NAME,B19121_001EA,B19121_001MA,B19121_002MA,B19121_002EA,B19121_003MA,B19121_003EA,B19121_004EA,B19121_004MA,B19121_005MA,B19121_005EA,state
0400000US01,49207,747,23318,975,35190,713,66167,956,81611,2450,Alabama,null,null,null,null,null,null,null,null,null,null,01
0400000US02,69872,2371,31234,6009,43766,3026,82767,2542,96621,4831,Alaska,null,null,null,null,null,null,null,null,null,null,02
0400000US04,55709,646,33474,844,39811,742,70607,951,88063,2028,Arizona,null,null,null,null,null,null,null,null,null,null,04
0400000US05,45093,813,23902,819,31633,825,57586,1078,78082,3124,Arkansas,null,null,null,null,null,null,null,null,null,null,05
0400000US06,64563,413,28978,665,45518,427,81955,483,93805,1060,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,64614,975,32858,1606,42979,1305,78039,942,93090,2027,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,78154,951,33246,1774,53876,2025,91520,1311,110433,2779,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,62623,2217,35254,2003,43149,1979,78134,2087,105109,4705,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,61105,4029,14503,2043,38410,2629,100299,7186,103461,13029,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,54445,402,33224,610,38927,567,68687,831,84496,1117,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,56112,609,22971,884,38086,717,71608,676,84581,1906,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,70277,1454,33937,2938,45947,2167,81400,2060,111450,3986,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,51640,1028,31022,1673,36313,1261,59689,1152,76533,2991,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,63121,529,28815,582,43436,891,77370,570,94681,1213,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,55781,459,29262,808,38293,814,68860,783,85553,1324,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,55735,577,29866,875,36713,783,65175,779,81340,1533,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,56857,698,30779,1112,37525,1174,68196,1152,84977,2389,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,48726,682,21412,632,36070,796,64073,950,84425,2108,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,48261,794,21300,751,33391,914,65749,1221,80199,1821,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,52793,973,26574,1639,37035,1194,65979,973,83337,2550,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,77839,851,34041,1851,51141,739,93035,1158,110942,2334,Maryland,null,null,null,null,null,null,null,null,null,null,24
0400000US25,74463,753,27830,1096,51176,954,90473,1108,105823,1528,Massachusetts,null,null,null,null,null,null,null,null,null,null,25
