GEO_ID,C08406_001E,C08406_001M,C08406_002E,C08406_002M,C08406_003E,C08406_003M,C08406_004E,C08406_004M,C08406_005E,C08406_005M,C08406_006E,C08406_006M,C08406_007E,C08406_007M,C08406_008E,C08406_008M,C08406_009E,C08406_009M,C08406_010E,C08406_010M,C08406_011E,C08406_011M,C08406_012E,C08406_012M,C08406_013E,C08406_013M,C08406_014E,C08406_014M,C08406_015E,C08406_015M,C08406_016E,C08406_016M,C08406_017E,C08406_017M,C08406_018E,C08406_018M,C08406_019E,C08406_019M,C08406_020E,C08406_020M,C08406_021E,C08406_021M,C08406_022E,C08406_022M,C08406_023E,C08406_023M,C08406_024E,C08406_024M,C08406_025E,C08406_025M,C08406_026E,C08406_026M,C08406_027E,C08406_027M,C08406_028E,C08406_028M,C08406_029E,C08406_029M,C08406_030E,C08406_030M,C08406_031E,C08406_031M,C08406_032E,C08406_032M,C08406_033E,C08406_033M,NAME,C08406_001EA,C08406_001MA,C08406_002EA,C08406_002MA,C08406_003MA,C08406_003EA,C08406_004MA,C08406_004EA,C08406_005MA,C08406_005EA,C08406_006EA,C08406_006MA,C08406_007EA,C08406_007MA,C08406_008EA,C08406_008MA,C08406_009MA,C08406_009EA,C08406_010MA,C08406_010EA,C08406_011EA,C08406_011MA,C08406_012EA,C08406_012MA,C08406_013EA,C08406_013MA,C08406_014MA,C08406_014EA,C08406_015MA,C08406_015EA,C08406_016EA,C08406_016MA,C08406_017EA,C08406_017MA,C08406_018EA,C08406_018MA,C08406_019MA,C08406_019EA,C08406_020MA,C08406_020EA,C08406_021EA,C08406_021MA,C08406_022EA,C08406_022MA,C08406_023EA,C08406_023MA,C08406_024MA,C08406_024EA,C08406_025MA,C08406_025EA,C08406_026EA,C08406_026MA,C08406_027EA,C08406_027MA,C08406_028EA,C08406_028MA,C08406_029MA,C08406_029EA,C08406_030MA,C08406_030EA,C08406_031MA,C08406_031EA,C08406_032MA,C08406_032EA,C08406_033MA,C08406_033EA,state
0400000US01,1928379,13688,1829428,13545,1616147,13464,213281,7763,161017,6386,33862,3133,18402,2781,8928,1399,22213,2625,18886,2276,48924,3402,1038479,9389,983781,9692,864942,9266,118839,5164,86160,4217,19689,2304,12990,2555,4409,1040,11793,1786,12442,1591,26054,2320,889900,8682,845647,8694,751205,9427,94442,4707,74857,3792,14173,1793,5412,1182,4519,1047,10420,1516,6444,1232,22870,2132,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,322541,5905,256332,5701,215678,5187,40654,3632,31477,3318,5795,1440,3382,1114,3709,1167,29712,2145,16734,1510,16054,1764,174492,3970,134467,3934,114565,3967,19902,2460,14638,1937,3200,991,2064,691,2275,987,17356,1450,12126,1249,8268,1262,148049,3920,121865,3905,101113,3797,20752,2212,16839,2115,2595,790,1318,812,1434,708,12356,1459,4608,932,7786,1263,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2707593,15533,2398484,16012,2023952,17977,374532,12818,289112,10640,49195,5832,36225,4930,55974,4177,63265,5183,65935,5006,123935,6389,1518370,9017,1346590,11388,1121309,11911,225281,11012,167096,7902,32217,5258,25968,4400,27127,2708,36280,4162,49808,4069,58565,3643,1189223,12805,1051894,11885,902643,12071,149251,5795,122016,5238,16978,2304,10257,1680,28847,3074,26985,2872,16127,2314,65370,4485,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1228961,10799,1146140,10612,987535,11256,158605,6650,124309,6203,22378,2731,11918,1922,5136,1120,21554,2514,16165,2091,39966,3313,663174,7455,616904,7319,525746,7809,91158,4968,70438,4327,13043,2216,7677,1617,2309,704,11897,1644,11686,1764,20378,1575,565787,7521,529236,7650,461789,7245,67447,3494,53871,3367,9335,1465,4241,914,2827,826,9657,1981,4479,965,19588,2589,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,16337246,39536,13960601,39880,11926851,45574,2033750,25872,1522838,21465,308295,11834,202617,10590,810854,16913,437939,11797,348806,9664,779046,16629,9154738,27227,7875812,28608,6697884,31531,1177928,20149,861403,16505,189242,9192,127283,8509,411838,11371,236975,9422,247103,8572,383010,10805,7182508,28286,6084789,27443,5228967,29927,855822,13804,661435,12466,119053,6138,75334,5020,399016,10334,200964,7538,101703,5526,396036,10383,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2384763,12996,2048201,12696,1793338,12923,254863,9686,197429,9218,34213,3379,23221,2801,74891,4711,72074,4595,52467,3884,137130,5709,1317137,9710,1129871,10511,980382,10461,149489,6975,112271,6222,22320,2923,14898,2167,38094,3103,41074,3270,38290,3306,69808,4613,1067626,9351,918330,9955,812956,10796,105374,6019,85158,5568,11893,1601,8323,1560,36797,3279,31000,2600,14177,2061,67322,3561,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1697791,11729,1514713,12266,1368272,11664,146441,6993,119684,6171,13270,2022,13487,2544,50571,4012,50591,4185,22441,3032,59475,3119,890943,9131,798375,9485,718159,8963,80216,4623,64277,3960,7055,1554,8884,2062,23071,2605,27531,2970,13216,2027,28750,2165,806848,8713,716338,8601,650113,7963,66225,4383,55407,3922,6215,1245,4603,1005,27500,2757,23060,2564,9225,1775,30725,2219,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,410043,7121,373349,7101,334700,7462,38649,3177,29403,2910,4842,1025,4404,942,9019,1675,11020,1887,6257,1388,10398,1446,211037,4853,192682,4869,171812,5159,20870,2138,15319,1840,2707,730,2844,667,4355,1304,5328,1437,4364,1251,4308,892,199006,4867,180667,4683,162888,4730,17779,1945,14084,1764,2135,570,1560,559,4664,1077,5692,1027,1893,752,6090,1049,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,720382,12903,392573,10378,312973,8753,79600,5866,54413,4564,13582,2321,11605,1957,264602,8208,35274,2885,16435,2367,11498,1692,369740,10470,212132,8207,172893,6901,39239,3666,25715,2812,6592,1388,6932,1589,122939,5129,16728,1976,11065,1991,6876,1323,350642,8558,180441,7568,140080,6418,40361,3526,28698,2964,6990,1569,4673,1081,141663,5983,18546,1973,5370,1285,4622,951,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8111142,28173,7324065,32894,6439684,30077,884381,19678,680933,18537,111005,5278,92443,7537,158485,8950,135615,7011,166679,8458,326298,11200,4392979,19147,3939284,23959,3435190,22691,504094,12771,374057,11699,65916,4224,64121,5684,74197,6341,78533,5312,122968,7422,177997,7112,3718163,20086,3384781,20954,3004494,18761,380287,10844,306876,10618,45089,3169,28322,3192,84288,5141,57082,3686,43711,3061,148301,6851,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
