GEO_ID,C15002F_001E,C15002F_001M,C15002F_002E,C15002F_002M,C15002F_003E,C15002F_003M,C15002F_004E,C15002F_004M,C15002F_005E,C15002F_005M,C15002F_006E,C15002F_006M,C15002F_007E,C15002F_007M,C15002F_008E,C15002F_008M,C15002F_009E,C15002F_009M,C15002F_010E,C15002F_010M,C15002F_011E,C15002F_011M,NAME,C15002F_001MA,C15002F_001EA,C15002F_002EA,C15002F_002MA,C15002F_003EA,C15002F_003MA,C15002F_004EA,C15002F_004MA,C15002F_005EA,C15002F_005MA,C15002F_006EA,C15002F_006MA,C15002F_007MA,C15002F_007EA,C15002F_008MA,C15002F_008EA,C15002F_009MA,C15002F_009EA,C15002F_010EA,C15002F_010MA,C15002F_011MA,C15002F_011EA,state
0400000US01,16568,2232,9679,1611,4488,1203,2540,850,1790,613,861,461,6889,1039,2827,875,1747,534,1236,463,1079,461,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,7821,1529,3697,1101,545,336,1668,682,949,556,535,407,4124,1082,929,707,1555,542,614,374,1026,550,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,341081,10420,177068,6960,67378,4437,54625,3946,41479,3795,13586,1950,164013,5237,57080,3909,51404,3413,40994,3212,14535,1953,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,34592,3511,20200,2646,11987,2034,4880,1483,2110,847,1223,692,14392,1657,6911,1228,3779,1143,2336,728,1366,505,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3410981,29302,1754324,16858,784002,18065,522133,13953,311985,9266,136204,6824,1656657,16487,721741,14647,452727,11660,340124,8911,142065,6636,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,190639,8135,103175,5489,41815,3803,32950,3313,19829,2266,8581,1428,87464,3992,32124,2606,26895,2819,18244,1838,10201,1515,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,102653,5988,53004,3837,19303,2944,19939,2709,9363,1756,4399,1039,49649,3378,14963,1917,16931,2216,11956,1937,5799,1187,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,11882,2274,6730,1473,3663,1176,1633,886,1035,541,399,274,5152,1144,1855,767,1883,674,538,299,876,444,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17656,2122,10485,1223,5526,1360,1923,942,961,523,2075,1019,7171,1197,2953,818,934,647,706,482,2578,977,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,449537,15719,234198,9226,75477,6347,72321,4897,48862,4205,37538,3867,215339,8668,58901,4360,62448,4686,52973,3683,41017,3878,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,190076,7486,119117,5257,57839,4652,32198,3486,16213,2667,12867,2543,70959,4091,31401,2546,18931,2658,9893,1629,10734,2434,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,9685,1645,5002,1119,512,316,1664,731,1701,737,1125,615,4683,944,645,277,1231,562,2033,700,774,382,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,21273,2745,11457,1544,5403,874,2889,888,2112,700,1053,520,9816,1549,4358,1087,2335,667,1970,640,1153,449,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,593297,12378,320627,7855,143757,6684,102202,5845,47951,3721,26717,3255,272670,6128,120403,5479,78808,5599,49558,3569,23901,2783,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,80358,4680,46352,3033,22446,2549,13103,1615,6075,1401,4728,1226,34006,2400,14247,1887,9500,1250,6047,1267,4212,1147,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,22555,2382,12683,1581,7074,1392,3336,891,1635,707,638,302,9872,1207,4583,1048,2652,750,1584,543,1053,470,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,52392,3850,28602,2627,12987,2177,7838,1245,4970,1182,2807,919,23790,2107,9013,1442,8143,1498,4289,1122,2345,677,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,15957,2339,10075,1721,3575,1105,4360,1173,983,495,1157,616,5882,1040,2626,786,1780,671,1030,579,446,296,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,27694,3004,16753,2515,6522,1328,4695,1237,4053,1373,1483,585,10941,1823,2732,1031,3658,1133,2687,711,1864,768,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2393,786,1153,466,513,320,402,279,206,237,32,60,1240,423,310,230,437,294,226,256,267,189,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
