GEO_ID,C17001_001E,C17001_001M,C17001_002E,C17001_002M,C17001_003E,C17001_003M,C17001_004E,C17001_004M,C17001_005E,C17001_005M,C17001_006E,C17001_006M,C17001_007E,C17001_007M,C17001_008E,C17001_008M,C17001_009E,C17001_009M,C17001_010E,C17001_010M,C17001_011E,C17001_011M,C17001_012E,C17001_012M,C17001_013E,C17001_013M,C17001_014E,C17001_014M,C17001_015E,C17001_015M,C17001_016E,C17001_016M,C17001_017E,C17001_017M,C17001_018E,C17001_018M,C17001_019E,C17001_019M,NAME,C17001_001EA,C17001_001MA,C17001_002EA,C17001_002MA,C17001_003MA,C17001_003EA,C17001_004MA,C17001_004EA,C17001_005EA,C17001_005MA,C17001_006EA,C17001_006MA,C17001_007EA,C17001_007MA,C17001_008MA,C17001_008EA,C17001_009MA,C17001_009EA,C17001_010MA,C17001_010EA,C17001_011MA,C17001_011EA,C17001_012EA,C17001_012MA,C17001_013EA,C17001_013MA,C17001_014MA,C17001_014EA,C17001_015MA,C17001_015EA,C17001_016EA,C17001_016MA,C17001_017EA,C17001_017MA,C17001_018EA,C17001_018MA,C17001_019EA,C17001_019MA,state
0400000US01,4482152,2720,742064,20891,310457,11052,128226,6381,161023,6934,21208,2230,431607,12205,124882,6215,254502,7353,52223,3041,3740088,21126,1852452,11367,437747,6865,1192910,7340,221795,2727,1887636,12321,408071,6684,1190782,7462,288783,3139,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,651997,1058,70919,7094,32825,3330,13685,2224,18625,2162,515,220,38094,4653,12760,2418,24019,2733,1315,521,581078,7134,299680,3685,76385,2497,204034,2461,19261,703,281398,4839,72123,2493,187291,3161,21984,918,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6052150,12167,857349,27234,390746,14831,154923,7601,213520,9698,22303,2399,466603,16733,156940,9763,270018,9314,39645,2922,5194801,25586,2621684,13778,661523,8343,1634741,8560,325420,2674,2573117,16050,623281,9588,1560960,9417,388876,2918,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2729090,2973,471155,16444,200769,8825,82410,5358,106966,5333,11393,1269,270386,10036,82135,5240,154235,6318,34016,2195,2257935,16253,1129975,8767,264161,5962,719790,6039,146024,1699,1127960,10559,247853,5961,701944,6777,178163,2939,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,35675356,7967,4690140,69184,2147903,37350,865688,20072,1168416,24934,113799,5331,2542237,39082,831336,20370,1505130,24251,205771,6962,30985216,70372,15586178,38558,3933994,21719,10126179,25585,1526005,5759,15399038,38697,3745613,20797,9690901,23910,1962524,7841,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4653251,2663,556153,17838,255992,9525,93099,5851,150787,6282,12106,1570,300161,11594,86981,5983,186787,7510,26393,2032,4097098,17959,2075185,10620,495636,6183,1388833,6605,190716,1805,2021913,11597,474941,6116,1315108,7486,231864,2438,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3393432,2120,280108,12632,118826,6331,45600,4069,63352,4490,9874,1403,161282,7891,42982,4218,101060,5127,17240,1774,3113324,12738,1530246,6655,366037,4152,988280,4891,175929,1948,1583078,8087,350418,4366,992075,5225,240585,2001,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,828673,1089,91962,8734,39762,4671,16752,2828,20945,2987,2065,805,52200,5055,14813,2846,31845,3057,5542,1151,736711,8671,362119,4767,84991,2892,231610,3041,45518,724,374592,5314,83099,3131,234594,2990,56899,1327,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,551161,908,108100,7848,46883,4071,19057,2568,25116,2675,2710,656,61217,5258,17621,2199,35948,3276,7648,1254,443061,8109,208743,4413,37742,2758,147865,2769,23136,735,234318,5806,38019,2431,161539,3610,34760,1338,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17686295,6001,2226587,41963,965963,22563,358370,13131,506775,13078,100818,4586,1260624,26064,330945,12062,733237,16674,196442,7366,15459708,42816,7658742,22949,1660582,13682,4807627,13379,1190533,5067,7800966,26897,1595152,12900,4741848,17348,1463966,8140,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9082715,5257,1333524,28435,573236,15636,245879,8349,295850,10946,31507,2970,760288,17107,238646,9375,443340,10705,78302,3642,7749191,29406,3859576,17052,982203,10354,2548293,10970,329080,3654,3889615,18253,934257,9913,2522801,11127,432557,4383,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1252117,2035,116147,9384,49002,4561,15949,2792,28178,2802,4875,1083,67145,5803,17206,2618,38821,3454,11118,1637,1135970,9521,571323,4823,134484,2768,366036,3072,70803,1287,564647,6597,124063,3320,352408,3616,88176,1898,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1431508,2111,180177,8124,80901,4332,27895,2544,48670,3449,4336,844,99276,5165,30546,2962,59165,3405,9565,1520,1251331,8597,637438,5554,169386,3432,398309,3752,69743,1171,613893,5297,159411,3330,377811,3500,76671,1486,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12516453,4308,1539033,33611,667635,17810,272077,11241,353547,10538,42011,3033,871398,19517,271296,10940,511812,11490,88290,3875,10977420,33913,5471323,18014,1349583,11441,3556914,11171,564826,3454,5506097,19834,1280455,10679,3469542,11640,756100,4319,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,6125557,3393,777712,24218,333183,12783,138235,8260,180061,7753,14887,1651,444529,13908,138715,7751,263309,8481,42505,2278,5347845,24819,2676828,13535,652446,8534,1729147,8094,295235,2177,2671017,14711,619163,8263,1669150,8578,382704,3102,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2878398,1906,316122,11956,138826,6159,48499,3198,81625,4389,8702,1124,177296,7279,47197,3862,106176,4369,23923,1829,2562276,12264,1280470,6473,309657,3578,807291,4418,163522,1603,1281806,7896,292660,4333,778475,4787,210671,2209,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2679951,1806,330976,12307,142778,6978,53462,4332,81508,4527,7808,1346,188198,7372,53183,4339,113150,4534,21865,1848,2348975,12314,1182593,7459,298659,4734,749953,4935,133981,1983,1166382,7499,279456,4664,719010,5074,167916,2242,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,4087474,2992,693479,19675,297113,9628,110347,5679,164028,6765,22738,2099,396366,12759,112949,6574,237290,8746,46127,2389,3393995,19739,1695385,9880,389776,6225,1114037,7347,191572,2503,1698610,12987,365450,6242,1083774,9036,249386,2728,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,4165324,2394,793223,23967,330771,12009,146585,7428,163210,7043,20976,2336,462452,14884,151643,9009,262692,7995,48117,2779,3372101,23536,1675853,12231,396042,7866,1092587,7346,187224,2675,1696248,14543,379683,8189,1075747,8496,240818,3072,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1285599,1319,165956,9369,67792,4680,24482,2462,37935,2860,5375,941,98164,5992,24010,2604,60444,3958,13710,1379,1119643,9268,558131,4435,116302,2522,367040,2827,74789,1097,561512,6401,110700,2698,359981,4534,90831,1404,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
