GEO_ID,C17012_001E,C17012_001M,C17012_002E,C17012_002M,C17012_003E,C17012_003M,C17012_004E,C17012_004M,C17012_005E,C17012_005M,C17012_006E,C17012_006M,C17012_007E,C17012_007M,C17012_008E,C17012_008M,C17012_009E,C17012_009M,C17012_010E,C17012_010M,C17012_011E,C17012_011M,NAME,C17012_001EA,C17012_001MA,C17012_002MA,C17012_002EA,C17012_003MA,C17012_003EA,C17012_004EA,C17012_004MA,C17012_005EA,C17012_005MA,C17012_006EA,C17012_006MA,C17012_007MA,C17012_007EA,C17012_008MA,C17012_008EA,C17012_009EA,C17012_009MA,C17012_010EA,C17012_010MA,C17012_011EA,C17012_011MA,state
0400000US01,1222858,13632,153968,6153,33218,2230,86420,4949,31883,3114,2447,848,1068890,11900,585830,8366,410935,8806,68462,3839,3663,873,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157939,4094,12892,1711,1971,721,6589,1305,2830,810,1502,552,145047,3941,66960,3394,61074,3462,14650,1942,2363,704,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1476269,13649,148379,6609,31022,2441,67494,4692,42085,3952,7778,1757,1327890,11552,696288,9280,484699,9334,133544,5963,13359,1801,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,758195,10004,98994,5334,21285,2290,53354,4013,21611,2366,2744,951,659201,9520,364098,7563,246339,6696,45863,3138,2901,753,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8303793,26257,808722,15542,147093,6152,399612,11689,220224,8669,41793,3427,7495071,27100,3520714,21089,3157685,26056,760843,12761,55829,3787,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1196223,10837,100852,5718,19114,2096,53806,4014,24384,3054,3548,1162,1095371,10184,556167,8231,434415,7977,98209,4566,6580,1199,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,894348,7766,52378,3369,10084,1677,28201,2372,12602,1923,1491,767,841970,8324,428859,7477,341772,6752,68484,3144,2855,911,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,213565,5010,16254,2392,2551,736,8905,1870,4197,1497,601,495,197311,4638,105236,3762,76246,3877,14335,2049,1494,616,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108759,4148,17690,2103,3931,1086,8441,1534,4627,1233,691,443,91069,3784,52412,2795,32310,2445,5903,1146,444,360,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4632974,21331,417106,11793,118856,6162,206644,8272,77849,4339,13757,2168,4215868,21877,2390587,19206,1543571,16243,264396,9032,17314,2166,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2296694,17833,254447,8999,54770,4240,131397,6976,60477,4736,7803,1722,2042247,16550,1008281,12861,859468,12024,164891,7643,9607,1521,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,301102,5471,21376,2564,7139,1543,9603,1731,3959,1093,675,392,279726,5264,147480,4773,104209,4392,25098,2541,2939,960,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,382686,5514,35602,2629,9035,1527,17133,2251,8318,1515,1116,468,347084,5517,179486,4421,126789,4200,35920,2314,4889,1104,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3146342,17216,285732,8528,56266,3826,144748,5965,71979,4469,12739,1741,2860610,18614,1448723,13694,1131966,14578,263934,6765,15987,2281,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1645031,12308,148710,6770,27597,2369,82058,5529,33670,3306,5385,1253,1496321,12215,792644,7494,566970,9215,129065,4545,7642,1232,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,796970,7397,58184,3653,12000,1592,29508,2559,15044,1761,1632,582,738786,7218,404369,5963,266147,5533,63555,3298,4715,817,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,724553,7620,62329,3366,12019,1665,33469,2747,15152,2252,1689,710,662224,8195,347307,5826,250954,6618,59887,3693,4076,919,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1106404,10897,144528,5686,36302,2975,79638,4563,26133,2716,2455,909,961876,11068,528288,8121,370569,6976,60288,3704,2731,682,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1072568,11225,154976,6335,33808,2415,82349,5271,32459,2759,6360,1434,917592,11016,488299,8491,359553,8404,66535,4258,3205,700,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,358314,5380,31261,2882,6890,922,19788,2480,3668,755,915,438,327053,5560,188250,3898,118251,4133,19911,1920,641,329,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1405655,12927,73947,4819,18001,1992,38739,3524,14311,1851,2896,901,1331708,12246,653777,9851,557927,10283,111799,5208,8205,1543,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1565973,11720,109375,5804,25792,2371,60599,4405,21274,2745,1710,634,1456598,11428,757261,9502,577065,10224,116725,5662,5547,1192,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2579201,15447,248142,7383,53956,3299,126955,6048,55593,3073,11638,1993,2331059,15886,1245870,10349,869319,11267,202550,6390,13320,1464,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1330451,9270,86283,4037,17034,1758,45184,3189,19482,2091,4583,1013,1244168,8717,643901,7394,477955,7044,112346,3614,9966,1200,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,741988,10108,124673,5132,23826,1946,68929,4400,26080,2925,5838,1393,617315,9999,321938,7948,245228,7504,47350,3353,2799,886,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1518860,13297,151387,6587,33588,2519,79358,4349,33666,3010,4775,1060,1367473,13474,727870,10271,521601,9929,108337,4741,9665,1353,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,240412,4549,20646,2154,4770,890,10901,1649,4497,1016,478,238,219766,4237,124890,3023,77881,3174,15354,1654,1641,584,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,462408,6040,36189,2775,7072,1141,19934,2000,7076,1160,2107,759,426219,5660,223667,4555,157145,4826,41271,2269,4136,841,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,612349,8480,46425,3148,10427,1458,22984,2480,11317,1679,1697,823,565924,8497,280701,5309,227120,7085,54534,3144,3569,872,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,335509,5188,16538,2072,3805,828,9289,1627,3195,987,249,194,318971,5504,171383,5327,124535,3917,22013,2138,1040,466,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,2180404,13737,140564,6933,33504,2902,72382,4188,29807,3164,4871,1010,2039840,13811,1011648,9590,857411,12096,162293,6403,8488,1527,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,477430,7024,65785,3955,12543,1796,35050,3005,15732,2082,2460,845,411645,6744,217718,5363,155345,5190,35350,2891,3232,961,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,4573941,20863,496913,11251,112296,5169,264373,8758,100322,5305,19922,2517,4077028,19333,2130302,15835,1606134,18187,319617,9039,20975,2309,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2310456,17812,247571,8408,54915,3259,131356,6539,54249,4249,7051,1589,2062885,17073,1101295,12971,816886,12852,136401,5780,8303,1478,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,169022,3899,11872,1430,2876,521,6723,1214,2009,549,264,147,157150,3935,87577,3147,54890,2419,13964,1284,719,293,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
