GEO_ID,C17014_001E,C17014_001M,C17014_002E,C17014_002M,C17014_003E,C17014_003M,C17014_004E,C17014_004M,C17014_005E,C17014_005M,C17014_006E,C17014_006M,C17014_007E,C17014_007M,C17014_008E,C17014_008M,C17014_009E,C17014_009M,C17014_010E,C17014_010M,C17014_011E,C17014_011M,NAME,C17014_001EA,C17014_001MA,C17014_002MA,C17014_002EA,C17014_003MA,C17014_003EA,C17014_004EA,C17014_004MA,C17014_005EA,C17014_005MA,C17014_006EA,C17014_006MA,C17014_007MA,C17014_007EA,C17014_008MA,C17014_008EA,C17014_009EA,C17014_009MA,C17014_010MA,C17014_010EA,C17014_011MA,C17014_011EA,state
0400000US01,1222858,13632,153968,6153,56099,4156,77575,4632,18415,2263,1879,565,1068890,11900,143294,4423,334019,8539,481833,8829,109744,5168,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,157939,4094,12892,1711,3393,911,6710,1400,1804,571,985,493,145047,3941,8949,1005,41181,2406,74304,3444,20613,1942,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1476269,13649,148379,6609,44634,3375,77625,4687,22936,2832,3184,884,1327890,11552,192416,5930,401013,8655,580196,10759,154265,6373,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,758195,10004,98994,5334,28467,2385,54223,4073,14991,2117,1313,470,659201,9520,89489,3400,189346,6779,312449,8375,67917,3503,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8303793,26257,808722,15542,235370,6844,423490,12525,123502,7021,26360,2803,7495071,27100,707773,9489,2308936,20330,3364728,23677,1113634,15828,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1196223,10837,100852,5718,27711,2929,54615,4679,17100,2274,1426,559,1095371,10184,97052,3342,303493,10185,566110,10048,128716,4405,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,894348,7766,52378,3369,19961,2298,27089,2290,4555,1032,773,418,841970,8324,78402,2985,238819,7401,409062,7765,115687,4747,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,213565,5010,16254,2392,3530,900,9978,2005,2347,811,399,425,197311,4638,25118,1693,57194,3101,91812,3903,23187,1858,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,108759,4148,17690,2103,8070,1513,7759,1385,1861,723,0,292,91069,3784,7762,1178,30025,2546,46435,3464,6847,1077,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4632974,21331,417106,11793,147648,6816,206686,7631,55506,4431,7266,1482,4215868,21877,675330,8504,1250702,15294,1831707,20418,458129,9835,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2296694,17833,254447,8999,82893,5107,138115,7892,28630,3205,4809,1090,2042247,16550,184513,5547,644388,11975,977734,14668,235612,8766,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,301102,5471,21376,2564,8743,1567,9317,1612,2989,899,327,287,279726,5264,28193,2130,71708,3452,129502,4841,50323,2600,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,382686,5514,35602,2629,7573,1475,18773,2154,8756,1480,500,268,347084,5517,41103,2204,93962,5090,169784,4849,42235,2868,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3146342,17216,285732,8528,87392,4727,156914,6005,36494,3943,4932,1052,2860610,18614,280357,6185,820408,15828,1349603,13607,410242,9490,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1645031,12308,148710,6770,43720,3483,82717,4651,20074,1829,2199,725,1496321,12215,161923,4090,428258,10199,720840,10057,185300,5523,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,796970,7397,58184,3653,14603,1882,31460,2536,11056,1590,1065,438,738786,7218,76577,2824,179032,5514,389835,7220,93342,3653,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,724553,7620,62329,3366,15131,1772,35178,2722,11161,1666,859,372,662224,8195,60971,2448,175483,6549,339437,7049,86333,3402,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1106404,10897,144528,5686,55830,3968,67051,4462,19408,2323,2239,767,961876,11068,123973,4095,291620,8093,446559,8931,99724,4286,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1072568,11225,154976,6335,49231,3883,83109,4662,19920,2249,2716,772,917592,11016,107828,3912,283977,8066,413574,10353,112213,4232,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,358314,5380,31261,2882,11628,2011,16026,1756,3461,757,146,136,327053,5560,40321,2081,87753,3628,160160,4166,38819,2560,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,1405655,12927,73947,4819,26386,2899,38026,3397,8127,1361,1408,537,1331708,12246,110069,3880,376305,8694,650380,10280,194954,5286,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
