GEO_ID,C18021_001E,C18021_001M,C18021_002E,C18021_002M,C18021_003E,C18021_003M,C18021_004E,C18021_004M,C18021_005E,C18021_005M,C18021_006E,C18021_006M,C18021_007E,C18021_007M,C18021_008E,C18021_008M,C18021_009E,C18021_009M,C18021_010E,C18021_010M,C18021_011E,C18021_011M,C18021_012E,C18021_012M,C18021_013E,C18021_013M,C18021_014E,C18021_014M,C18021_015E,C18021_015M,NAME,C18021_001MA,C18021_001EA,C18021_002MA,C18021_002EA,C18021_003MA,C18021_003EA,C18021_004EA,C18021_004MA,C18021_005EA,C18021_005MA,C18021_006EA,C18021_006MA,C18021_007MA,C18021_007EA,C18021_008MA,C18021_008EA,C18021_009EA,C18021_009MA,C18021_010EA,C18021_010MA,C18021_011EA,C18021_011MA,C18021_012EA,C18021_012MA,C18021_013MA,C18021_013EA,C18021_014EA,C18021_014MA,C18021_015EA,C18021_015MA,state
0400000US01,2951988,4297,120456,5021,65758,3399,30038,2520,35720,2929,54698,3505,16528,1855,38170,3075,2831532,6334,1361684,4831,1003470,8842,358214,9359,1469848,5190,887138,8388,582710,9062,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,452444,2307,18165,1768,11499,1490,6906,1219,4593,854,6666,1217,2818,791,3848,963,434279,3109,216987,2746,159159,3852,57828,3902,217292,2392,145664,3833,71628,3591,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3860234,5265,100414,5339,55071,3705,29646,2760,25425,2466,45343,4124,16299,2208,29044,2904,3759820,7635,1881883,5721,1468579,9367,413304,10031,1877937,5291,1184380,12380,693557,12640,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1777162,4762,77718,4849,45602,3662,21145,2277,24457,2641,32116,2780,12035,1563,20081,2570,1699444,6940,826740,5470,615953,7419,210787,6627,872704,4263,549893,7263,322811,6929,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23637212,11405,526879,14620,290657,9710,146767,6643,143890,6724,236222,8735,90740,5607,145482,6903,23110333,17025,11555754,13192,8808201,26560,2747553,24849,11554579,10238,7143878,27404,4410701,28096,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3175932,4473,87445,4986,51360,3559,30041,2634,21319,2567,36085,3212,18694,2399,17391,2104,3088487,6406,1550934,4663,1253188,8900,297746,8406,1537553,4651,1052514,9529,485039,9613,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2282855,3703,46130,3184,23032,2311,13141,1915,9891,1479,23098,2412,10674,1545,12424,1625,2236725,5133,1094213,3609,869231,7209,224982,6982,1142512,3458,792611,6991,349901,8176,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,548272,1494,13411,1845,7279,1281,4024,1065,3255,806,6132,1211,2250,753,3882,912,534861,2163,258650,1650,198174,3708,60476,3584,276211,1833,187356,4227,88855,4254,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,396111,4501,8973,1351,4810,1027,2014,685,2796,856,4163,892,1438,525,2725,767,387138,4635,178869,3801,127931,3426,50938,3217,208269,1726,141295,3525,66974,3839,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11280359,9827,328314,10637,182677,7259,95653,5393,87024,4965,145637,6645,61975,4452,83662,4985,10952045,14920,5368134,12240,4175408,19103,1192726,15690,5583911,10140,3633547,18588,1950364,19973,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6109836,7200,184484,7409,100235,5264,48756,3325,51479,4497,84249,5408,30120,3437,54129,4207,5925352,10276,2879697,8491,2214257,13702,665440,12743,3045655,7811,1936097,13935,1109558,13301,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,801975,3569,18474,2135,12762,1730,5589,1280,7173,1382,5712,1258,2586,722,3126,944,783501,4315,380447,2946,296109,4767,84338,4156,403054,2276,279150,4713,123904,4538,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,930511,2620,31539,2742,18794,2141,9784,1609,9010,1261,12745,1770,5431,1249,7314,1484,898972,3504,449457,3426,358475,4864,90982,3641,449515,2656,295061,4645,154454,4998,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8341109,6406,175576,6394,98847,4610,53004,3341,45843,3324,76729,4246,33663,3057,43066,3034,8165533,7925,4043256,6729,3117868,13398,925388,12871,4122277,5912,2727150,14147,1395127,14336,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4087653,4336,121133,4750,68416,3529,38233,3080,30183,2567,52717,3052,20757,1975,31960,2581,3966520,6910,1963738,6187,1518527,10292,445211,9026,2002782,5313,1344334,11312,658448,10577,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,1896485,2715,45553,2510,26623,1837,15655,1628,10968,1250,18930,1889,9043,1369,9887,1614,1850932,3577,926054,3025,755608,5248,170446,5219,924878,2824,689579,6971,235299,6259,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
