GEO_ID,C18024_001E,C18024_001M,C18024_002E,C18024_002M,C18024_003E,C18024_003M,C18024_004E,C18024_004M,C18024_005E,C18024_005M,C18024_006E,C18024_006M,C18024_007E,C18024_007M,C18024_008E,C18024_008M,C18024_009E,C18024_009M,C18024_010E,C18024_010M,C18024_011E,C18024_011M,C18024_012E,C18024_012M,C18024_013E,C18024_013M,C18024_014E,C18024_014M,C18024_015E,C18024_015M,NAME,C18024_001MA,C18024_001EA,C18024_002EA,C18024_002MA,C18024_003EA,C18024_003MA,C18024_004EA,C18024_004MA,C18024_005MA,C18024_005EA,C18024_006MA,C18024_006EA,C18024_007MA,C18024_007EA,C18024_008MA,C18024_008EA,C18024_009EA,C18024_009MA,C18024_010EA,C18024_010MA,C18024_011MA,C18024_011EA,C18024_012MA,C18024_012EA,C18024_013EA,C18024_013MA,C18024_014EA,C18024_014MA,C18024_015EA,C18024_015MA,state
0400000US01,2951988,4297,92142,4758,39250,2924,4649,1013,34601,2617,52892,3741,6473,1398,46419,3560,2859846,6173,1388192,4632,1028859,8319,359333,8620,1471654,4926,897193,8279,574461,8625,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,452444,2307,8851,1605,3802,976,1179,536,2623,761,5049,1257,1324,632,3725,1093,443593,2797,224684,2321,164886,3841,59798,3945,218909,2541,147158,3885,71751,3625,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3860234,5265,73865,4170,32886,2908,5684,1433,27202,2636,40979,3220,6278,1406,34701,2929,3786369,7236,1904068,5908,1492541,9566,411527,9562,1882301,4331,1194401,12481,687900,13242,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1777162,4762,59562,4073,27204,2463,4587,924,22617,2567,32358,2949,2549,625,29809,2742,1717600,6243,845138,4847,632511,7309,212627,6155,872462,4592,559379,7417,313083,6630,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23637212,11405,432318,11646,199577,7930,30756,3079,168821,6932,232741,7949,35537,3216,197204,6690,23204894,14496,11646834,11030,8924212,25316,2722622,25073,11558060,12538,7199081,28016,4358979,29142,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3175932,4473,50102,4189,24573,2557,5839,1196,18734,2218,25529,3023,5278,1165,20251,2791,3125830,6281,1577721,4320,1277390,9004,300331,9103,1548109,4264,1065930,9856,482179,10031,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2282855,3703,35593,3045,15607,1870,3814,957,11793,1592,19986,2178,4320,982,15666,1940,2247262,4515,1101638,3193,878558,7126,223080,7185,1145624,2965,798965,7281,346659,7558,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,548272,1494,13047,1828,7544,1534,1766,733,5778,1277,5503,930,864,485,4639,901,535225,2331,258385,2082,200432,3581,57953,3589,276840,1635,188742,4227,88098,4063,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,396111,4501,6929,1193,3450,888,65,109,3385,886,3479,837,328,290,3151,786,389182,4549,180229,3604,129880,3387,50349,3293,208953,1772,142405,3578,66548,3958,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11280359,9827,257737,9458,117341,6407,17844,2825,99497,6167,140396,6934,22308,2681,118088,6274,11022622,13573,5433470,11236,4253217,18664,1180253,15468,5589152,9900,3673214,18495,1915938,17879,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
