GEO_ID,C19001H_001E,C19001H_001M,C19001H_002E,C19001H_002M,C19001H_003E,C19001H_003M,C19001H_004E,C19001H_004M,C19001H_005E,C19001H_005M,C19001H_006E,C19001H_006M,C19001H_007E,C19001H_007M,C19001H_008E,C19001H_008M,C19001H_009E,C19001H_009M,C19001H_010E,C19001H_010M,C19001H_011E,C19001H_011M,NAME,C19001H_001MA,C19001H_001EA,C19001H_002MA,C19001H_002EA,C19001H_003EA,C19001H_003MA,C19001H_004MA,C19001H_004EA,C19001H_005MA,C19001H_005EA,C19001H_006EA,C19001H_006MA,C19001H_007MA,C19001H_007EA,C19001H_008EA,C19001H_008MA,C19001H_009EA,C19001H_009MA,C19001H_010MA,C19001H_010EA,C19001H_011EA,C19001H_011MA,state
0400000US01,1283808,7429,111731,5658,84497,3628,160249,5362,151604,5655,193442,6796,249095,7485,145293,5366,119974,5062,34013,2454,33910,2691,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167708,2613,5865,1085,7212,1203,10842,1466,14259,1604,23236,2037,35311,2529,27187,2383,27132,2095,10306,1197,6358,949,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1549441,8182,91450,5441,76733,4163,160005,5690,165247,6202,243348,7243,305435,8899,196304,5587,189134,5198,64096,3828,57689,3367,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,869750,6267,76542,4953,63894,3908,126816,5027,115258,5524,145833,5097,160795,5408,86373,4235,61550,2813,16675,1864,16014,1603,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6519439,17320,324783,9415,305607,8330,557410,10963,532889,10429,785243,12312,1171217,13552,876233,12850,1050650,13487,432311,8528,483096,10145,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1425888,6325,80380,3910,60964,4429,129844,5093,138683,5477,204777,7314,279890,7178,198250,6610,199556,5344,67906,3484,65638,3329,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1039033,6478,40106,2826,41046,2868,76469,3970,84373,3560,122031,4604,194218,5867,157889,5118,174408,5710,67647,3390,80846,3624,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,235773,3099,10776,1818,9530,1267,23052,2167,23627,2229,35949,2610,47738,2986,33396,2304,33840,2414,9393,1212,8472,1266,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,93518,2123,5312,1284,956,436,4065,1015,4060,912,8778,1496,15527,1704,12551,1897,16948,1800,9083,1340,16238,1766,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4812539,17291,299996,8676,263062,7649,550296,9434,558562,11967,751044,12597,951861,12480,558868,11980,527571,12583,161915,6535,189364,5229,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
