B08526_001E,B08526_001EA,B08526_001M,B08526_001MA,B08526_002E,B08526_002EA,B08526_002M,B08526_002MA,B08526_003E,B08526_003EA,B08526_003M,B08526_003MA,B08526_004E,B08526_004EA,B08526_004M,B08526_004MA,B08526_005E,B08526_005EA,B08526_005M,B08526_005MA,B08526_006E,B08526_006EA,B08526_006M,B08526_006MA,B08526_007E,B08526_007EA,B08526_007M,B08526_007MA,B08526_008E,B08526_008EA,B08526_008M,B08526_008MA,B08526_009E,B08526_009EA,B08526_009M,B08526_009MA,B08526_010E,B08526_010EA,B08526_010M,B08526_010MA,B08526_011E,B08526_011EA,B08526_011M,B08526_011MA,B08526_012E,B08526_012EA,B08526_012M,B08526_012MA,B08526_013E,B08526_013EA,B08526_013M,B08526_013MA,B08526_014E,B08526_014EA,B08526_014M,B08526_014MA,B08526_015E,B08526_015EA,B08526_015M,B08526_015MA,B08526_016E,B08526_016EA,B08526_016M,B08526_016MA,B08526_017E,B08526_017EA,B08526_017M,B08526_017MA,B08526_018E,B08526_018EA,B08526_018M,B08526_018MA,B08526_019E,B08526_019EA,B08526_019M,B08526_019MA,B08526_020E,B08526_020EA,B08526_020M,B08526_020MA,B08526_021E,B08526_021EA,B08526_021M,B08526_021MA,B08526_022E,B08526_022EA,B08526_022M,B08526_022MA,B08526_023E,B08526_023EA,B08526_023M,B08526_023MA,B08526_024E,B08526_024EA,B08526_024M,B08526_024MA,B08526_025E,B08526_025EA,B08526_025M,B08526_025MA,B08526_026E,B08526_026EA,B08526_026M,B08526_026MA,B08526_027E,B08526_027EA,B08526_027M,B08526_027MA,B08526_028E,B08526_028EA,B08526_028M,B08526_028MA,B08526_029E,B08526_029EA,B08526_029M,B08526_029MA,B08526_030E,B08526_030EA,B08526_030M,B08526_030MA,B08526_031E,B08526_031EA,B08526_031M,B08526_031MA,B08526_032E,B08526_032EA,B08526_032M,B08526_032MA,B08526_033E,B08526_033EA,B08526_033M,B08526_033MA,B08526_034E,B08526_034EA,B08526_034M,B08526_034MA,B08526_035E,B08526_035EA,B08526_035M,B08526_035MA,B08526_036E,B08526_036EA,B08526_036M,B08526_036MA,B08526_037E,B08526_037EA,B08526_037M,B08526_037MA,B08526_038E,B08526_038EA,B08526_038M,B08526_038MA,B08526_039E,B08526_039EA,B08526_039M,B08526_039MA,B08526_040E,B08526_040EA,B08526_040M,B08526_040MA,B08526_041E,B08526_041EA,B08526_041M,B08526_041MA,B08526_042E,B08526_042EA,B08526_042M,B08526_042MA,B08526_043E,B08526_043EA,B08526_043M,B08526_043MA,B08526_044E,B08526_044EA,B08526_044M,B08526_044MA,B08526_045E,B08526_045EA,B08526_045M,B08526_045MA,B08526_046E,B08526_046EA,B08526_046M,B08526_046MA,B08526_047E,B08526_047EA,B08526_047M,B08526_047MA,B08526_048E,B08526_048EA,B08526_048M,B08526_048MA,B08526_049E,B08526_049EA,B08526_049M,B08526_049MA,B08526_050E,B08526_050EA,B08526_050M,B08526_050MA,B08526_051E,B08526_051EA,B08526_051M,B08526_051MA,B08526_052E,B08526_052EA,B08526_052M,B08526_052MA,B08526_053E,B08526_053EA,B08526_053M,B08526_053MA,B08526_054E,B08526_054EA,B08526_054M,B08526_054MA,B08526_055E,B08526_055EA,B08526_055M,B08526_055MA,B08526_056E,B08526_056EA,B08526_056M,B08526_056MA,B08526_057E,B08526_057EA,B08526_057M,B08526_057MA,B08526_058E,B08526_058EA,B08526_058M,B08526_058MA,B08526_059E,B08526_059EA,B08526_059M,B08526_059MA,B08526_060E,B08526_060EA,B08526_060M,B08526_060MA,B08526_061E,B08526_061EA,B08526_061M,B08526_061MA,B08526_062E,B08526_062EA,B08526_062M,B08526_062MA,B08526_063E,B08526_063EA,B08526_063M,B08526_063MA,B08526_064E,B08526_064EA,B08526_064M,B08526_064MA,B08526_065E,B08526_065EA,B08526_065M,B08526_065MA,B08526_066E,B08526_066EA,B08526_066M,B08526_066MA,B08526_067E,B08526_067EA,B08526_067M,B08526_067MA,B08526_068E,B08526_068EA,B08526_068M,B08526_068MA,B08526_069E,B08526_069EA,B08526_069M,B08526_069MA,B08526_070E,B08526_070EA,B08526_070M,B08526_070MA,B08526_071E,B08526_071EA,B08526_071M,B08526_071MA,B08526_072E,B08526_072EA,B08526_072M,B08526_072MA,B08526_073E,B08526_073EA,B08526_073M,B08526_073MA,B08526_074E,B08526_074EA,B08526_074M,B08526_074MA,B08526_075E,B08526_075EA,B08526_075M,B08526_075MA,B08526_076E,B08526_076EA,B08526_076M,B08526_076MA,B08526_077E,B08526_077EA,B08526_077M,B08526_077MA,B08526_078E,B08526_078EA,B08526_078M,B08526_078MA,B08526_079E,B08526_079EA,B08526_079M,B08526_079MA,B08526_080E,B08526_080EA,B08526_080M,B08526_080MA,B08526_081E,B08526_081EA,B08526_081M,B08526_081MA,B08526_082E,B08526_082EA,B08526_082M,B08526_082MA,B08526_083E,B08526_083EA,B08526_083M,B08526_083MA,B08526_084E,B08526_084EA,B08526_084M,B08526_084MA,B08526_085E,B08526_085EA,B08526_085M,B08526_085MA,B08526_086E,B08526_086EA,B08526_086M,B08526_086MA,B08526_087E,B08526_087EA,B08526_087M,B08526_087MA,B08526_088E,B08526_088EA,B08526_088M,B08526_088MA,B08526_089E,B08526_089EA,B08526_089M,B08526_089MA,B08526_090E,B08526_090EA,B08526_090M,B08526_090MA,B08526_091E,B08526_091EA,B08526_091M,B08526_091MA,B08526_092E,B08526_092EA,B08526_092M,B08526_092MA,B08526_093E,B08526_093EA,B08526_093M,B08526_093MA,B08526_094E,B08526_094EA,B08526_094M,B08526_094MA,B08526_095E,B08526_095EA,B08526_095M,B08526_095MA,B08526_096E,B08526_096EA,B08526_096M,B08526_096MA,B08526_097E,B08526_097EA,B08526_097M,B08526_097MA,B08526_098E,B08526_098EA,B08526_098M,B08526_098MA,B08526_099E,B08526_099EA,B08526_099M,B08526_099MA,B08526_100E,B08526_100EA,B08526_100M,B08526_100MA,B08526_101E,B08526_101EA,B08526_101M,B08526_101MA,B08526_102E,B08526_102EA,B08526_102M,B08526_102MA,B08526_103E,B08526_103EA,B08526_103M,B08526_103MA,B08526_104E,B08526_104EA,B08526_104M,B08526_104MA,B08526_105E,B08526_105EA,B08526_105M,B08526_105MA,GEO_ID,NAME,state
1943541,null,17358,null,40104,null,3174,null,162610,null,7191,null,292232,null,8803,null,65148,null,4403,null,229865,null,7184,null,100779,null,5419,null,36151,null,2812,null,111003,null,5981,null,166221,null,5976,null,388559,null,10180,null,139423,null,6011,null,98348,null,5005,null,100363,null,5313,null,12735,null,1644,null,1619932,null,16366,null,28737,null,2744,null,113660,null,6345,null,248268,null,8131,null,57282,null,4231,null,201497,null,6897,null,86414,null,4645,null,31880,null,2669,null,96832,null,5611,null,137709,null,5048,null,330001,null,9528,null,109108,null,5743,null,79564,null,4143,null,90337,null,4766,null,8643,null,1484,null,218550,null,8671,null,4979,null,1309,null,40842,null,3956,null,35534,null,3312,null,4080,null,983,null,21654,null,2802,null,9013,null,1575,null,2345,null,696,null,7102,null,1455,null,14764,null,2120,null,40022,null,2954,null,19336,null,2710,null,10723,null,1917,null,7572,null,1555,null,584,null,448,null,7896,null,1556,null,110,null,151,null,178,null,153,null,1427,null,782,null,102,null,129,null,486,null,468,null,322,null,260,null,0,null,267,null,155,null,139,null,294,null,220,null,3265,null,918,null,767,null,499,null,790,null,571,null,0,null,267,null,0,null,267,null,25741,null,2887,null,1214,null,509,null,1269,null,775,null,748,null,284,null,209,null,159,null,1948,null,722,null,582,null,370,null,119,null,171,null,1036,null,549,null,1319,null,577,null,5305,null,1159,null,6221,null,2100,null,2307,null,934,null,408,null,272,null,3056,null,872,null,20877,null,2596,null,633,null,460,null,2674,null,838,null,2738,null,880,null,395,null,332,null,1484,null,604,null,2740,null,958,null,435,null,322,null,1161,null,575,null,1265,null,473,null,2606,null,887,null,2314,null,867,null,645,null,417,null,1494,null,663,null,293,null,280,null,50545,null,3217,null,4431,null,960,null,3987,null,957,null,3517,null,1026,null,3080,null,968,null,2796,null,842,null,1708,null,668,null,1372,null,492,null,4717,null,1065,null,10870,null,1701,null,7360,null,1343,null,1677,null,766,null,4319,null,1068,null,552,null,350,null,159,null,154,null,0400000US01,Alabama,01
335039,null,5319,null,16693,null,1823,null,27304,null,3034,null,14471,null,1518,null,6608,null,1381,null,33392,null,2601,null,25841,null,2490,null,5992,null,1281,null,15146,null,1836,null,28153,null,2880,null,69162,null,3734,null,27013,null,2851,null,17216,null,2095,null,31040,null,2582,null,17008,null,1637,null,219908,null,5959,null,8129,null,1305,null,18656,null,2464,null,4963,null,1143,null,5470,null,1338,null,24312,null,2503,null,18876,null,2084,null,3980,null,964,null,11694,null,1690,null,17615,null,2126,null,45151,null,3312,null,16723,null,2113,null,11111,null,1632,null,21834,null,1958,null,11394,null,1619,null,44627,null,4014,null,1872,null,859,null,4112,null,1265,null,1516,null,605,null,287,null,200,null,4087,null,1196,null,2309,null,753,null,961,null,468,null,1536,null,612,null,4663,null,1021,null,10223,null,1591,null,4122,null,1296,null,3050,null,902,null,4333,null,1193,null,1556,null,548,null,4862,null,1054,null,675,null,399,null,220,null,137,null,300,null,306,null,0,null,267,null,1044,null,567,null,203,null,180,null,88,null,146,null,0,null,267,null,255,null,156,null,566,null,396,null,1099,null,602,null,190,null,215,null,197,null,158,null,25,null,44,null,28404,null,2291,null,1301,null,594,null,1324,null,753,null,5226,null,865,null,238,null,246,null,2106,null,612,null,1608,null,602,null,272,null,226,null,674,null,352,null,1371,null,583,null,6760,null,987,null,2919,null,812,null,1098,null,401,null,2851,null,807,null,656,null,378,null,17629,null,2199,null,4292,null,867,null,1275,null,629,null,813,null,506,null,205,null,202,null,1015,null,417,null,1589,null,502,null,270,null,333,null,121,null,124,null,1086,null,464,null,3245,null,670,null,1179,null,566,null,721,null,407,null,1589,null,588,null,229,null,210,null,19609,null,2190,null,424,null,243,null,1717,null,629,null,1653,null,729,null,408,null,252,null,828,null,465,null,1256,null,894,null,421,null,252,null,1121,null,515,null,3163,null,902,null,3217,null,958,null,971,null,409,null,1046,null,355,null,236,null,204,null,3148,null,274,null,0400000US02,Alaska,02
2753513,null,16653,null,41485,null,3872,null,294183,null,10415,null,221558,null,8226,null,78338,null,5419,null,328393,null,10366,null,130456,null,6596,null,46910,null,3974,null,224256,null,7715,null,307842,null,8995,null,508414,null,11490,null,276870,null,10164,null,134048,null,5844,null,142250,null,6639,null,18510,null,2105,null,2060864,null,19396,null,25407,null,2678,null,201709,null,8299,null,175584,null,7336,null,62482,null,4615,null,255502,null,9303,null,103332,null,5621,null,36035,null,3381,null,172467,null,6435,null,206055,null,6952,null,396323,null,10884,null,196211,null,8393,null,100857,null,6000,null,115666,null,5235,null,13234,null,1940,null,371571,null,12327,null,9631,null,2775,null,67710,null,6080,null,26857,null,2482,null,6551,null,1445,null,35963,null,3783,null,14826,null,2232,null,4435,null,1167,null,21917,null,2612,null,49687,null,6095,null,62690,null,3859,null,38397,null,3853,null,15214,null,2201,null,15954,null,2287,null,1739,null,615,null,58941,null,5349,null,1338,null,773,null,3443,null,1090,null,2921,null,1294,null,2255,null,1257,null,7809,null,1669,null,2894,null,1157,null,934,null,506,null,1488,null,599,null,6280,null,1720,null,8954,null,1827,null,11691,null,3144,null,4147,null,1609,null,4687,null,1583,null,100,null,119,null,61645,null,4611,null,1390,null,795,null,4472,null,1897,null,2126,null,649,null,491,null,445,null,10447,null,2197,null,1497,null,640,null,682,null,486,null,5078,null,1452,null,4801,null,1586,null,11154,null,1837,null,12855,null,2130,null,3751,null,1148,null,1007,null,583,null,1894,null,401,null,65926,null,4560,null,1520,null,765,null,6871,null,2322,null,5551,null,1512,null,1059,null,543,null,9152,null,1832,null,4092,null,1356,null,589,null,311,null,2428,null,679,null,8014,null,1581,null,10284,null,2165,null,10520,null,2268,null,2097,null,865,null,2941,null,883,null,808,null,384,null,134566,null,7156,null,2199,null,684,null,9978,null,2054,null,8519,null,1768,null,5500,null,1186,null,9520,null,1648,null,3815,null,1140,null,4235,null,1217,null,20878,null,2628,null,33005,null,3311,null,19009,null,2371,null,7196,null,1920,null,7982,null,1418,null,1995,null,827,null,735,null,309,null,0400000US04,Arizona,04
1215761,null,12042,null,42195,null,3361,null,89240,null,5275,null,191473,null,6558,null,31370,null,2542,null,162107,null,6738,null,69339,null,4705,null,23386,null,2114,null,62384,null,4219,null,79942,null,4414,null,260008,null,8407,null,90462,null,5903,null,57704,null,3823,null,52026,null,3082,null,4125,null,985,null,981514,null,13162,null,28556,null,2646,null,62062,null,4396,null,156646,null,6454,null,26961,null,2302,null,135970,null,5573,null,57341,null,4132,null,19566,null,2054,null,53582,null,3492,null,62238,null,4081,null,215060,null,7005,null,67999,null,4831,null,46946,null,3406,null,45176,null,3093,null,3411,null,955,null,149301,null,6882,null,5751,null,1530,null,21109,null,2696,null,27548,null,3412,null,2575,null,737,null,17876,null,2456,null,6713,null,1340,null,2544,null,678,null,3145,null,942,null,7930,null,1390,null,29973,null,3476,null,14705,null,2849,null,4546,null,1084,null,4417,null,1021,null,469,null,367,null,5978,null,1387,null,186,null,301,null,170,null,281,null,547,null,338,null,337,null,354,null,312,null,285,null,153,null,181,null,46,null,77,null,205,null,281,null,305,null,299,null,2237,null,839,null,1367,null,600,null,75,null,126,null,38,null,64,null,0,null,267,null,19499,null,2094,null,1721,null,599,null,957,null,489,null,2278,null,852,null,127,null,129,null,1627,null,511,null,318,null,288,null,129,null,152,null,1667,null,688,null,1344,null,673,null,3614,null,807,null,2664,null,1064,null,2329,null,807,null,537,null,380,null,187,null,164,null,17231,null,2298,null,822,null,461,null,1084,null,649,null,1797,null,627,null,263,null,280,null,3179,null,1028,null,2637,null,911,null,140,null,169,null,470,null,395,null,1182,null,573,null,2409,null,872,null,2124,null,1008,null,348,null,297,null,718,null,477,null,58,null,95,null,42238,null,3410,null,5159,null,1282,null,3858,null,1048,null,2657,null,872,null,1107,null,492,null,3143,null,946,null,2177,null,824,null,961,null,411,null,3315,null,859,null,6943,null,1622,null,6715,null,1130,null,1603,null,780,null,3460,null,950,null,1140,null,774,null,0,null,267,null,0400000US05,Arkansas,05
16419565,null,42800,null,329558,null,11806,null,1283030,null,23700,null,1706841,null,26149,null,562686,null,13304,null,1796573,null,26823,null,772551,null,12689,null,510122,null,13087,null,1214512,null,17158,null,1997226,null,24804,null,3048030,null,27194,null,1498284,null,24726,null,837962,null,18208,null,729826,null,14412,null,132364,null,5420,null,12015759,null,47558,null,171072,null,7876,null,890368,null,18076,null,1296947,null,21527,null,423679,null,11123,null,1355412,null,24227,null,624634,null,13134,null,390864,null,11686,null,913941,null,15012,null,1368509,null,21583,null,2337546,null,25410,null,1006096,null,20115,null,589290,null,15479,null,574075,null,12730,null,73326,null,4405,null,1946944,null,27340,null,99614,null,8856,null,259141,null,12159,null,228575,null,10081,null,69399,null,5352,null,184884,null,8295,null,75094,null,5570,null,41551,null,3431,null,100038,null,5970,null,225259,null,9001,null,295147,null,9118,null,177800,null,8212,null,98213,null,5972,null,75211,null,5079,null,17018,null,2506,null,840521,null,18991,null,9294,null,2719,null,41473,null,4664,null,77288,null,5942,null,18153,null,2146,null,96605,null,6130,null,26108,null,2448,null,23527,null,2631,null,59311,null,4373,null,124937,null,6657,null,128097,null,5577,null,137760,null,9324,null,54423,null,4448,null,42482,null,3656,null,1063,null,507,null,461140,null,13649,null,13020,null,2141,null,13736,null,2693,null,24848,null,2365,null,7427,null,1560,null,65619,null,4511,null,7897,null,1358,null,10244,null,1694,null,35333,null,3563,null,42511,null,4047,null,99040,null,5983,null,81069,null,6807,null,31522,null,4295,null,9876,null,1955,null,18998,null,1409,null,367858,null,12012,null,15487,null,3569,null,27653,null,4455,null,36788,null,3296,null,10167,null,2109,null,43183,null,3643,null,19503,null,2442,null,11591,null,2099,null,14531,null,2150,null,48564,null,3791,null,54474,null,4529,null,51662,null,4815,null,17197,null,2601,null,11941,null,1848,null,5117,null,1418,null,787343,null,14812,null,21071,null,3017,null,50659,null,4609,null,42395,null,3964,null,33861,null,3383,null,50870,null,3937,null,19315,null,2538,null,32345,null,3262,null,91358,null,5354,null,187446,null,7801,null,133726,null,6585,null,43897,null,3656,null,47317,null,3961,null,16241,null,2194,null,16842,null,1539,null,0400000US06,California,06
2435073,null,13940,null,55433,null,3804,null,233433,null,9737,null,180353,null,7901,null,71330,null,4556,null,272658,null,9764,null,118267,null,6436,null,84755,null,4927,null,191187,null,7325,null,300345,null,9007,null,431414,null,9758,null,239272,null,8800,null,124258,null,6577,null,107786,null,5006,null,24582,null,1958,null,1817372,null,14380,null,33190,null,3235,null,170543,null,7885,null,138438,null,6903,null,56049,null,4096,null,211875,null,8311,null,95652,null,5340,null,65650,null,4033,null,145529,null,6071,null,201168,null,7084,null,340731,null,8998,null,162366,null,6985,null,93941,null,5473,null,87439,null,4402,null,14801,null,1923,null,257325,null,9888,null,7112,null,1514,null,42039,null,3830,null,21403,null,3042,null,7552,null,1604,null,26968,null,3309,null,9147,null,1648,null,6519,null,1353,null,14462,null,2756,null,30146,null,3416,null,41121,null,3981,null,27926,null,3572,null,12205,null,2330,null,8168,null,1600,null,2557,null,593,null,82218,null,6419,null,1302,null,416,null,4330,null,1313,null,3465,null,1335,null,1484,null,731,null,8770,null,2013,null,3154,null,1091,null,2475,null,882,null,6338,null,1395,null,13582,null,2141,null,9766,null,1987,null,18045,null,3385,null,2561,null,1104,null,6760,null,1397,null,186,null,182,null,77077,null,4627,null,3722,null,1164,null,2408,null,717,null,2463,null,833,null,803,null,380,null,8728,null,1866,null,1610,null,677,null,1874,null,709,null,5120,null,1504,null,7336,null,1606,null,14638,null,2023,null,15405,null,2118,null,5285,null,1140,null,1143,null,618,null,6542,null,324,null,54540,null,4380,null,1888,null,772,null,3996,null,1301,null,4533,null,985,null,652,null,409,null,5597,null,1398,null,3899,null,864,null,1978,null,785,null,2401,null,896,null,8857,null,1406,null,8242,null,1846,null,7471,null,1615,null,2154,null,813,null,2489,null,891,null,383,null,263,null,146541,null,6072,null,8219,null,1585,null,10117,null,1624,null,10051,null,1630,null,4790,null,1152,null,10720,null,1659,null,4805,null,1395,null,6259,null,1294,null,17337,null,2130,null,39256,null,3217,null,16916,null,1895,null,8059,null,1401,null,8112,null,1373,null,1787,null,578,null,113,null,115,null,0400000US08,Colorado,08
1709091,null,12320,null,6378,null,1366,null,117338,null,5653,null,210696,null,7236,null,50124,null,3513,null,191460,null,6487,null,63381,null,4467,null,43792,null,4071,null,163465,null,6936,null,180021,null,7107,null,412548,null,9099,null,131826,null,6024,null,73191,null,4821,null,57263,null,3417,null,7608,null,846,null,1379664,null,12571,null,3285,null,958,null,90624,null,5172,null,179119,null,6521,null,42805,null,3541,null,151472,null,5477,null,54191,null,3758,null,34282,null,3490,null,134435,null,6379,null,135835,null,6334,null,346748,null,8646,null,93999,null,4705,null,57816,null,4002,null,51772,null,3271,null,3281,null,793,null,136268,null,7251,null,1138,null,508,null,15652,null,2173,null,18249,null,2173,null,3881,null,1095,null,14363,null,2086,null,4946,null,1454,null,2191,null,671,null,9517,null,1794,null,14854,null,2218,null,25710,null,2778,null,15458,null,2435,null,6402,null,1512,null,3342,null,913,null,565,null,335,null,53206,null,4277,null,0,null,267,null,1165,null,686,null,3404,null,974,null,494,null,308,null,11021,null,2227,null,1453,null,697,null,1764,null,712,null,7820,null,1661,null,4991,null,1221,null,9319,null,1703,null,8333,null,1413,null,1997,null,691,null,1224,null,575,null,221,null,254,null,51644,null,4243,null,789,null,446,null,3119,null,1619,null,2939,null,1161,null,525,null,329,null,5978,null,1358,null,711,null,478,null,1419,null,470,null,2330,null,699,null,4006,null,1236,null,16735,null,1998,null,7137,null,1529,null,2677,null,930,null,76,null,101,null,3203,null,418,null,23218,null,2888,null,434,null,550,null,2349,null,1113,null,2467,null,689,null,240,null,265,null,3130,null,1114,null,996,null,473,null,603,null,406,null,1269,null,704,null,3141,null,1059,null,4114,null,1047,null,3087,null,1028,null,748,null,453,null,524,null,472,null,116,null,138,null,65091,null,3752,null,732,null,428,null,4429,null,1234,null,4518,null,916,null,2179,null,641,null,5496,null,1230,null,1084,null,548,null,3533,null,1042,null,8094,null,1215,null,17194,null,1817,null,9922,null,1422,null,3812,null,1083,null,3551,null,775,null,325,null,187,null,222,null,258,null,0400000US09,Connecticut,09
413937,null,8689,null,3141,null,848,null,36754,null,3195,null,42575,null,3138,null,10289,null,1717,null,50208,null,3810,null,17304,null,2171,null,7090,null,1379,null,47195,null,3637,null,42580,null,3490,null,84949,null,3522,null,33506,null,3115,null,17795,null,2135,null,18717,null,2068,null,1834,null,666,null,332193,null,8821,null,1851,null,546,null,27940,null,2986,null,36432,null,2971,null,9277,null,1641,null,41017,null,3080,null,14820,null,2137,null,5782,null,1280,null,38201,null,3091,null,31825,null,2657,null,70154,null,3790,null,24531,null,2606,null,13421,null,1794,null,15545,null,1947,null,1397,null,561,null,44033,null,3766,null,355,null,293,null,5619,null,1311,null,4369,null,1034,null,726,null,415,null,4983,null,1416,null,1663,null,747,null,599,null,396,null,4660,null,1416,null,5336,null,1193,null,6315,null,1085,null,4726,null,1223,null,2137,null,832,null,2161,null,684,null,384,null,373,null,9156,null,1670,null,0,null,267,null,35,null,61,null,205,null,189,null,41,null,55,null,1437,null,723,null,325,null,264,null,63,null,103,null,1632,null,648,null,1362,null,775,null,1809,null,792,null,1514,null,756,null,254,null,252,null,479,null,277,null,0,null,267,null,10434,null,1793,null,170,null,165,null,444,null,273,null,93,null,88,null,0,null,267,null,1410,null,830,null,46,null,47,null,19,null,34,null,714,null,308,null,1146,null,637,null,3241,null,1028,null,2296,null,885,null,622,null,364,null,233,null,164,null,0,null,267,null,5279,null,1251,null,231,null,247,null,746,null,614,null,772,null,417,null,98,null,114,null,760,null,468,null,117,null,140,null,43,null,76,null,315,null,233,null,587,null,419,null,919,null,520,null,327,null,257,null,179,null,214,null,132,null,141,null,53,null,93,null,12842,null,1913,null,534,null,311,null,1970,null,1024,null,704,null,369,null,147,null,153,null,601,null,306,null,333,null,294,null,584,null,440,null,1673,null,721,null,2324,null,643,null,2511,null,785,null,112,null,132,null,1182,null,689,null,167,null,159,null,0,null,267,null,0400000US10,Delaware,10
717403,null,11693,null,519,null,354,null,28478,null,3855,null,12296,null,2080,null,3444,null,1025,null,19198,null,2365,null,23416,null,2510,null,31506,null,2631,null,38239,null,3218,null,145578,null,5947,null,107749,null,4986,null,47628,null,4518,null,53570,null,3492,null,193582,null,7394,null,12200,null,1900,null,319928,null,9204,null,167,null,166,null,17876,null,2962,null,6371,null,1271,null,2340,null,841,null,8532,null,1560,null,13990,null,1944,null,13753,null,1862,null,18778,null,2417,null,59786,null,4014,null,58480,null,4133,null,18772,null,2420,null,19027,null,2101,null,76735,null,4407,null,5321,null,1238,null,76172,null,4854,null,53,null,89,null,5728,null,1489,null,1397,null,881,null,464,null,410,null,1608,null,625,null,2708,null,792,null,2453,null,764,null,3518,null,1017,null,13093,null,2129,null,9932,null,1572,null,4539,null,1119,null,6475,null,1424,null,21874,null,2417,null,2330,null,985,null,258815,null,8437,null,187,null,241,null,3566,null,1323,null,3694,null,1169,null,473,null,295,null,6353,null,1442,null,5750,null,1478,null,11864,null,1841,null,12292,null,1902,null,58454,null,4154,null,29756,null,2809,null,17950,null,3021,null,21543,null,1959,null,85784,null,5098,null,1149,null,491,null,33290,null,3143,null,64,null,107,null,528,null,451,null,253,null,278,null,71,null,119,null,1935,null,822,null,0,null,267,null,1748,null,553,null,1992,null,836,null,6745,null,1321,null,5623,null,1289,null,4275,null,1436,null,4325,null,1115,null,4452,null,1219,null,1279,null,952,null,14590,null,1839,null,48,null,79,null,345,null,302,null,98,null,115,null,47,null,79,null,447,null,295,null,674,null,426,null,539,null,379,null,639,null,381,null,3779,null,919,null,1812,null,703,null,715,null,333,null,1045,null,548,null,4019,null,915,null,383,null,253,null,14608,null,2387,null,0,null,267,null,435,null,370,null,483,null,354,null,49,null,82,null,323,null,206,null,294,null,302,null,1149,null,611,null,1020,null,575,null,3721,null,974,null,2146,null,780,null,1377,null,558,null,1155,null,447,null,718,null,570,null,1738,null,1118,null,0400000US11,District of Columbia,11
8142524,null,32580,null,83984,null,6312,null,815824,null,18704,null,478093,null,12001,null,270852,null,9024,null,1048237,null,19298,null,409292,null,11148,null,194098,null,8301,null,669516,null,15262,null,955754,null,16240,null,1493867,null,19621,null,847645,null,17155,null,425411,null,12172,null,400843,null,10993,null,49108,null,3251,null,6490021,null,32503,null,42201,null,3908,null,571109,null,15637,null,390366,null,10617,null,218757,null,8282,null,867594,null,17736,null,350851,null,10416,null,159785,null,7559,null,549282,null,14100,null,714963,null,15043,null,1265660,null,17106,null,638728,null,13548,null,329506,null,10863,null,355620,null,11162,null,35599,null,3266,null,857838,null,19037,null,20299,null,3670,null,157898,null,9156,null,51185,null,5000,null,25554,null,3248,null,94438,null,6177,null,27483,null,3136,null,14508,null,2264,null,44104,null,4081,null,106342,null,7557,null,139284,null,7343,null,99642,null,6825,null,44623,null,4363,null,29605,null,3279,null,2873,null,870,null,155945,null,8649,null,4894,null,3095,null,10949,null,2453,null,6993,null,1575,null,2409,null,949,null,21399,null,2673,null,4423,null,1131,null,2134,null,912,null,6740,null,1646,null,16205,null,2738,null,24460,null,2913,null,36930,null,4457,null,12814,null,2448,null,5417,null,1227,null,178,null,177,null,132700,null,7446,null,2393,null,818,null,8563,null,2320,null,4728,null,1553,null,1783,null,813,null,20343,null,2753,null,3671,null,1264,null,1452,null,796,null,12654,null,2337,null,9929,null,1694,null,21646,null,2249,null,28742,null,3366,null,9746,null,2015,null,2741,null,805,null,4309,null,715,null,165250,null,9004,null,4530,null,1344,null,25942,null,4711,null,8351,null,1720,null,4152,null,1319,null,17644,null,2116,null,12046,null,2086,null,3090,null,1209,null,7809,null,1573,null,21534,null,3252,null,14880,null,1991,null,30624,null,3954,null,8720,null,2197,null,4792,null,1216,null,1136,null,512,null,340770,null,9629,null,9667,null,1990,null,41363,null,4590,null,16470,null,2115,null,18197,null,2336,null,26819,null,3138,null,10818,null,1967,null,13129,null,2048,null,48927,null,3617,null,86781,null,4380,null,27937,null,2904,null,12979,null,1781,null,20002,null,2616,null,2668,null,835,null,5013,null,666,null,0400000US12,Florida,12
