B13002I_001E,B13002I_001EA,B13002I_001M,B13002I_001MA,B13002I_002E,B13002I_002EA,B13002I_002M,B13002I_002MA,B13002I_003E,B13002I_003EA,B13002I_003M,B13002I_003MA,B13002I_004E,B13002I_004EA,B13002I_004M,B13002I_004MA,B13002I_005E,B13002I_005EA,B13002I_005M,B13002I_005MA,B13002I_006E,B13002I_006EA,B13002I_006M,B13002I_006MA,B13002I_007E,B13002I_007EA,B13002I_007M,B13002I_007MA,GEO_ID,NAME,state
29712,null,1598,null,4639,null,1089,null,2385,null,814,null,2254,null,920,null,25073,null,1495,null,15035,null,1313,null,10038,null,1349,null,0400000US01,Alabama,01
9989,null,649,null,1152,null,590,null,650,null,433,null,502,null,463,null,8837,null,843,null,5483,null,765,null,3354,null,824,null,0400000US02,Alaska,02
483714,null,1834,null,39872,null,3842,null,24179,null,3161,null,15693,null,2240,null,443842,null,4308,null,218334,null,6317,null,225508,null,6339,null,0400000US04,Arizona,04
35267,null,1649,null,3071,null,886,null,1977,null,664,null,1094,null,594,null,32196,null,1855,null,19509,null,1750,null,12687,null,1626,null,0400000US05,Arkansas,05
3537660,null,4563,null,249454,null,9100,null,153798,null,7148,null,95656,null,5365,null,3288206,null,10475,null,1576943,null,18268,null,1711263,null,17857,null,0400000US06,California,06
242500,null,2069,null,19364,null,2319,null,13063,null,1985,null,6301,null,1558,null,223136,null,3020,null,113054,null,4671,null,110082,null,4680,null,0400000US08,Colorado,08
113974,null,1314,null,7799,null,1568,null,3683,null,967,null,4116,null,1102,null,106175,null,2064,null,43173,null,2993,null,63002,null,3127,null,0400000US09,Connecticut,09
14451,null,419,null,1212,null,637,null,890,null,550,null,322,null,368,null,13239,null,630,null,6806,null,1113,null,6433,null,1197,null,0400000US10,Delaware,10
14405,null,607,null,746,null,508,null,595,null,449,null,151,null,232,null,13659,null,872,null,5410,null,1114,null,8249,null,1224,null,0400000US11,District of Columbia,11
980084,null,3499,null,55548,null,4465,null,36106,null,3209,null,19442,null,2845,null,924536,null,5994,null,479918,null,8610,null,444618,null,9234,null,0400000US12,Florida,12
169599,null,2916,null,18403,null,2350,null,13540,null,2263,null,4863,null,1346,null,151196,null,3590,null,89575,null,3679,null,61621,null,3668,null,0400000US13,Georgia,13
26950,null,542,null,1409,null,477,null,670,null,304,null,739,null,416,null,25541,null,689,null,10752,null,1373,null,14789,null,1312,null,0400000US15,Hawaii,15
37169,null,1373,null,3877,null,966,null,2046,null,687,null,1831,null,701,null,33292,null,1669,null,18422,null,1438,null,14870,null,1818,null,0400000US16,Idaho,16
501334,null,1724,null,42302,null,3561,null,27994,null,2928,null,14308,null,2214,null,459032,null,3902,null,233626,null,5994,null,225406,null,6185,null,0400000US17,Illinois,17
80061,null,2286,null,6801,null,1466,null,4321,null,1125,null,2480,null,807,null,73260,null,2598,null,36675,null,2554,null,36585,null,2406,null,0400000US18,Indiana,18
30208,null,1521,null,3080,null,858,null,1528,null,601,null,1552,null,622,null,27128,null,1603,null,14280,null,1257,null,12848,null,1743,null,0400000US19,Iowa,19
63031,null,1988,null,7484,null,1385,null,5390,null,1193,null,2094,null,764,null,55547,null,2407,null,30871,null,2281,null,24676,null,2325,null,0400000US20,Kansas,20
20359,null,1696,null,2019,null,670,null,1349,null,564,null,670,null,421,null,18340,null,1721,null,10370,null,1309,null,7970,null,1389,null,0400000US21,Kentucky,21
34565,null,1755,null,2959,null,862,null,1459,null,545,null,1500,null,639,null,31606,null,1831,null,17001,null,1666,null,14605,null,1751,null,0400000US22,Louisiana,22
4193,null,817,null,124,null,118,null,124,null,118,null,0,null,226,null,4069,null,812,null,1422,null,432,null,2647,null,901,null,0400000US23,Maine,23
94484,null,1358,null,8237,null,1426,null,5332,null,1186,null,2905,null,825,null,86247,null,1857,null,45448,null,2698,null,40799,null,2641,null,0400000US24,Maryland,24
155629,null,1146,null,9609,null,1574,null,4447,null,1057,null,5162,null,1267,null,146020,null,1715,null,52515,null,2788,null,93505,null,2577,null,0400000US25,Massachusetts,25
103271,null,1802,null,8995,null,1630,null,5253,null,1041,null,3742,null,1091,null,94276,null,2317,null,42268,null,2771,null,52008,null,2891,null,0400000US26,Michigan,26
50312,null,1672,null,4609,null,895,null,2337,null,692,null,2272,null,657,null,45703,null,1800,null,21454,null,1844,null,24249,null,1858,null,0400000US27,Minnesota,27
12331,null,1520,null,840,null,475,null,600,null,422,null,240,null,178,null,11491,null,1577,null,6960,null,1112,null,4531,null,1201,null,0400000US28,Mississippi,28
45913,null,1661,null,3012,null,795,null,2072,null,628,null,940,null,469,null,42901,null,1838,null,22972,null,2017,null,19929,null,1837,null,0400000US29,Missouri,29
6768,null,881,null,271,null,215,null,144,null,157,null,127,null,123,null,6497,null,893,null,2975,null,858,null,3522,null,1037,null,0400000US30,Montana,30
33581,null,1142,null,3559,null,1052,null,2330,null,800,null,1229,null,639,null,30022,null,1481,null,15010,null,1659,null,15012,null,1804,null,0400000US31,Nebraska,31
163263,null,1281,null,11644,null,1791,null,7399,null,1401,null,4245,null,1002,null,151619,null,1986,null,83114,null,3135,null,68505,null,3216,null,0400000US32,Nevada,32
9532,null,1085,null,268,null,229,null,50,null,85,null,218,null,221,null,9264,null,1094,null,4292,null,795,null,4972,null,1151,null,0400000US33,New Hampshire,33
380455,null,1925,null,26814,null,2456,null,15510,null,1627,null,11304,null,1960,null,353641,null,3198,null,165202,null,5513,null,188439,null,5333,null,0400000US34,New Jersey,34
229719,null,1701,null,14699,null,1870,null,7268,null,1271,null,7431,null,1561,null,215020,null,2588,null,93317,null,4522,null,121703,null,4303,null,0400000US35,New Mexico,35
885545,null,3135,null,51751,null,3875,null,27197,null,2544,null,24554,null,3015,null,833794,null,5088,null,339236,null,7542,null,494558,null,8368,null,0400000US36,New York,36
154649,null,3724,null,16300,null,1979,null,11262,null,1668,null,5038,null,1153,null,138349,null,3749,null,79946,null,3637,null,58403,null,3845,null,0400000US37,North Carolina,37
2629,null,816,null,295,null,209,null,76,null,101,null,219,null,218,null,2334,null,864,null,1135,null,603,null,1199,null,677,null,0400000US38,North Dakota,38
72089,null,2045,null,5128,null,1000,null,2133,null,580,null,2995,null,904,null,66961,null,2236,null,30447,null,2279,null,36514,null,2760,null,0400000US39,Ohio,39
64547,null,1662,null,5755,null,1130,null,3463,null,878,null,2292,null,656,null,58792,null,1868,null,33739,null,1921,null,25053,null,1876,null,0400000US40,Oklahoma,40
98371,null,1797,null,7342,null,1498,null,4156,null,1265,null,3186,null,957,null,91029,null,2405,null,48079,null,2575,null,42950,null,2471,null,0400000US41,Oregon,41
145894,null,2181,null,11905,null,1679,null,5096,null,1139,null,6809,null,1322,null,133989,null,2942,null,55803,null,3501,null,78186,null,3414,null,0400000US42,Pennsylvania,42
33721,null,872,null,1668,null,627,null,580,null,341,null,1088,null,499,null,32053,null,973,null,13732,null,1471,null,18321,null,1304,null,0400000US44,Rhode Island,44
41966,null,1547,null,5013,null,1042,null,3794,null,984,null,1219,null,511,null,36953,null,1615,null,22763,null,1692,null,14190,null,1449,null,0400000US45,South Carolina,45
4429,null,811,null,671,null,559,null,22,null,35,null,649,null,558,null,3758,null,927,null,1693,null,705,null,2065,null,695,null,0400000US46,South Dakota,46
49061,null,2293,null,5061,null,1370,null,2581,null,782,null,2480,null,1146,null,44000,null,2411,null,24492,null,1965,null,19508,null,2109,null,0400000US47,Tennessee,47
2245838,null,4486,null,181356,null,7562,null,119326,null,5793,null,62030,null,4490,null,2064482,null,8826,null,1088117,null,12780,null,976365,null,13826,null,0400000US48,Texas,48
76328,null,1259,null,6497,null,1456,null,4039,null,1153,null,2458,null,878,null,69831,null,1871,null,39669,null,2669,null,30162,null,2270,null,0400000US49,Utah,49
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US50,Vermont,50
135891,null,2724,null,9503,null,1591,null,7187,null,1271,null,2316,null,897,null,126388,null,3264,null,66978,null,3727,null,59410,null,3635,null,0400000US51,Virginia,51
155289,null,1922,null,12370,null,2059,null,8251,null,1775,null,4119,null,1067,null,142919,null,2817,null,73205,null,3522,null,69714,null,3170,null,0400000US53,Washington,53
