B18023_001E,B18023_001EA,B18023_001M,B18023_001MA,B18023_002E,B18023_002EA,B18023_002M,B18023_002MA,B18023_003E,B18023_003EA,B18023_003M,B18023_003MA,B18023_004E,B18023_004EA,B18023_004M,B18023_004MA,B18023_005E,B18023_005EA,B18023_005M,B18023_005MA,B18023_006E,B18023_006EA,B18023_006M,B18023_006MA,B18023_007E,B18023_007EA,B18023_007M,B18023_007MA,B18023_008E,B18023_008EA,B18023_008M,B18023_008MA,B18023_009E,B18023_009EA,B18023_009M,B18023_009MA,B18023_010E,B18023_010EA,B18023_010M,B18023_010MA,B18023_011E,B18023_011EA,B18023_011M,B18023_011MA,B18023_012E,B18023_012EA,B18023_012M,B18023_012MA,B18023_013E,B18023_013EA,B18023_013M,B18023_013MA,B18023_014E,B18023_014EA,B18023_014M,B18023_014MA,B18023_015E,B18023_015EA,B18023_015M,B18023_015MA,B18023_016E,B18023_016EA,B18023_016M,B18023_016MA,B18023_017E,B18023_017EA,B18023_017M,B18023_017MA,B18023_018E,B18023_018EA,B18023_018M,B18023_018MA,B18023_019E,B18023_019EA,B18023_019M,B18023_019MA,B18023_020E,B18023_020EA,B18023_020M,B18023_020MA,B18023_021E,B18023_021EA,B18023_021M,B18023_021MA,B18023_022E,B18023_022EA,B18023_022M,B18023_022MA,B18023_023E,B18023_023EA,B18023_023M,B18023_023MA,B18023_024E,B18023_024EA,B18023_024M,B18023_024MA,B18023_025E,B18023_025EA,B18023_025M,B18023_025MA,B18023_026E,B18023_026EA,B18023_026M,B18023_026MA,B18023_027E,B18023_027EA,B18023_027M,B18023_027MA,B18023_028E,B18023_028EA,B18023_028M,B18023_028MA,B18023_029E,B18023_029EA,B18023_029M,B18023_029MA,B18023_030E,B18023_030EA,B18023_030M,B18023_030MA,B18023_031E,B18023_031EA,B18023_031M,B18023_031MA,GEO_ID,NAME,state
2956627,null,5820,null,202574,null,6977,null,96542,null,5371,null,29114,null,3195,null,7510,null,1488,null,21604,null,2589,null,67428,null,4204,null,13814,null,1775,null,53614,null,3824,null,106032,null,4452,null,29783,null,2777,null,7963,null,1590,null,21820,null,2486,null,76249,null,3939,null,11995,null,1611,null,64254,null,3663,null,2754053,null,9405,null,1334024,null,7113,null,535732,null,6321,null,378522,null,7648,null,157210,null,5118,null,798292,null,4478,null,640041,null,5664,null,158251,null,4342,null,1420029,null,5572,null,556204,null,5095,null,324658,null,7430,null,231546,null,6460,null,863825,null,5006,null,563856,null,8268,null,299969,null,6476,null,0400000US01,Alabama,01
457758,null,2791,null,25043,null,2625,null,11354,null,1544,null,4395,null,849,null,1933,null,775,null,2462,null,729,null,6959,null,1369,null,2261,null,920,null,4698,null,1036,null,13689,null,2292,null,4900,null,1304,null,765,null,411,null,4135,null,1232,null,8789,null,1561,null,2474,null,729,null,6315,null,1335,null,432715,null,3722,null,222337,null,3040,null,90277,null,2594,null,62788,null,2893,null,27489,null,2399,null,132060,null,2478,null,106440,null,2523,null,25620,null,2114,null,210378,null,2932,null,84030,null,2204,null,52293,null,2201,null,31737,null,2322,null,126348,null,2100,null,91573,null,2247,null,34775,null,2226,null,0400000US02,Alaska,02
3958827,null,4939,null,172371,null,7437,null,84864,null,5039,null,33451,null,3879,null,11100,null,2208,null,22351,null,3194,null,51413,null,4136,null,14541,null,2159,null,36872,null,3389,null,87507,null,4910,null,20859,null,2493,null,6418,null,1618,null,14441,null,1867,null,66648,null,4388,null,15275,null,2166,null,51373,null,4181,null,3786456,null,9284,null,1900366,null,6665,null,818852,null,5952,null,605677,null,8271,null,213175,null,8326,null,1081514,null,4873,null,877298,null,7100,null,204216,null,6436,null,1886090,null,5855,null,776024,null,4366,null,470174,null,8261,null,305850,null,8109,null,1110066,null,4506,null,732723,null,7743,null,377343,null,7443,null,0400000US04,Arizona,04
1783300,null,4047,null,129650,null,7302,null,64274,null,5050,null,20936,null,2947,null,6171,null,1559,null,14765,null,2319,null,43338,null,3566,null,9861,null,1639,null,33477,null,3058,null,65376,null,4547,null,16396,null,2265,null,3569,null,976,null,12827,null,2039,null,48980,null,3496,null,9835,null,1492,null,39145,null,2956,null,1653650,null,8322,null,808762,null,6364,null,327709,null,5412,null,229521,null,6109,null,98188,null,4611,null,481053,null,4821,null,382128,null,5590,null,98925,null,4095,null,844888,null,4836,null,335930,null,3901,null,202377,null,4807,null,133553,null,4455,null,508958,null,4597,null,344390,null,7203,null,164568,null,6762,null,0400000US05,Arkansas,05
23813857,null,10948,null,962122,null,21393,null,481793,null,13039,null,165627,null,7925,null,49977,null,4491,null,115650,null,6326,null,316166,null,9205,null,83829,null,5283,null,232337,null,7679,null,480329,null,12660,null,120652,null,6419,null,34689,null,3621,null,85963,null,5651,null,359677,null,10104,null,78366,null,4746,null,281311,null,9027,null,22851735,null,22109,null,11447692,null,14974,null,4869626,null,10676,null,3384875,null,18089,null,1484751,null,16833,null,6578066,null,10792,null,5459688,null,20166,null,1118378,null,19373,null,11404043,null,15063,null,4719521,null,9340,null,2734422,null,18879,null,1985099,null,19744,null,6684522,null,10535,null,4460871,null,20427,null,2223651,null,19578,null,0400000US06,California,06
3244377,null,4392,null,134193,null,6261,null,70125,null,4757,null,27679,null,3420,null,13115,null,2819,null,14564,null,2209,null,42446,null,3074,null,13119,null,1965,null,29327,null,2691,null,64068,null,3986,null,19854,null,2426,null,8380,null,1601,null,11474,null,1826,null,44214,null,3403,null,11848,null,1799,null,32366,null,2976,null,3110184,null,7426,null,1571359,null,6038,null,635026,null,4877,null,484513,null,6588,null,150513,null,5941,null,936333,null,4643,null,806683,null,6091,null,129650,null,5823,null,1538825,null,5192,null,601700,null,4213,null,392929,null,6614,null,208771,null,6390,null,937125,null,4732,null,677714,null,7438,null,259411,null,6532,null,0400000US08,Colorado,08
2280955,null,3659,null,88249,null,5123,null,42906,null,3485,null,17083,null,1968,null,7002,null,1494,null,10081,null,1608,null,25823,null,2517,null,8823,null,1577,null,17000,null,2058,null,45343,null,2908,null,11980,null,1727,null,5453,null,1175,null,6527,null,1304,null,33363,null,2632,null,9836,null,1471,null,23527,null,2502,null,2192706,null,6050,null,1074769,null,4218,null,388482,null,3468,null,272951,null,5539,null,115531,null,5063,null,686287,null,3086,null,594163,null,4131,null,92124,null,4556,null,1117937,null,3922,null,392368,null,2986,null,256958,null,4140,null,135410,null,4824,null,725569,null,2744,null,537377,null,5819,null,188192,null,5094,null,0400000US09,Connecticut,09
557332,null,1905,null,23666,null,2473,null,10778,null,1412,null,3718,null,856,null,1374,null,644,null,2344,null,656,null,7060,null,1104,null,2416,null,710,null,4644,null,868,null,12888,null,1931,null,3852,null,967,null,1694,null,584,null,2158,null,749,null,9036,null,1581,null,2913,null,893,null,6123,null,1367,null,533666,null,2978,null,257567,null,1878,null,98291,null,1485,null,70702,null,2285,null,27589,null,2281,null,159276,null,1493,null,131150,null,2758,null,28126,null,2383,null,276099,null,2149,null,104704,null,1597,null,68664,null,2817,null,36040,null,2811,null,171395,null,1771,null,120400,null,3241,null,50995,null,2797,null,0400000US10,Delaware,10
404199,null,1682,null,18650,null,2037,null,9532,null,1469,null,3127,null,998,null,804,null,432,null,2323,null,916,null,6405,null,1015,null,1284,null,629,null,5121,null,960,null,9118,null,1693,null,2652,null,947,null,684,null,438,null,1968,null,881,null,6466,null,1253,null,1353,null,527,null,5113,null,1091,null,385549,null,2440,null,179400,null,2161,null,82784,null,1727,null,54498,null,2446,null,28286,null,2437,null,96616,null,1609,null,76228,null,2558,null,20388,null,2412,null,206149,null,1913,null,97429,null,1596,null,66514,null,2891,null,30915,null,2534,null,108720,null,1335,null,77883,null,2608,null,30837,null,2515,null,0400000US11,District of Columbia,11
11362681,null,10312,null,491917,null,11378,null,251593,null,8440,null,80636,null,5567,null,28190,null,3227,null,52446,null,4591,null,170957,null,6311,null,43471,null,3603,null,127486,null,6161,null,240324,null,7297,null,57410,null,4187,null,18619,null,2136,null,38791,null,3074,null,182914,null,6619,null,41636,null,3184,null,141278,null,6022,null,10870764,null,14207,null,5326866,null,10447,null,2048991,null,10602,null,1463543,null,12189,null,585448,null,12713,null,3277875,null,9728,null,2689251,null,13779,null,588624,null,11764,null,5543898,null,9769,null,2041872,null,8561,null,1277777,null,11764,null,764095,null,13767,null,3502026,null,7491,null,2411513,null,15368,null,1090513,null,14655,null,0400000US12,Florida,12
