B19001I_001E,B19001I_001EA,B19001I_001M,B19001I_001MA,B19001I_002E,B19001I_002EA,B19001I_002M,B19001I_002MA,B19001I_003E,B19001I_003EA,B19001I_003M,B19001I_003MA,B19001I_004E,B19001I_004EA,B19001I_004M,B19001I_004MA,B19001I_005E,B19001I_005EA,B19001I_005M,B19001I_005MA,B19001I_006E,B19001I_006EA,B19001I_006M,B19001I_006MA,B19001I_007E,B19001I_007EA,B19001I_007M,B19001I_007MA,B19001I_008E,B19001I_008EA,B19001I_008M,B19001I_008MA,B19001I_009E,B19001I_009EA,B19001I_009M,B19001I_009MA,B19001I_010E,B19001I_010EA,B19001I_010M,B19001I_010MA,B19001I_011E,B19001I_011EA,B19001I_011M,B19001I_011MA,B19001I_012E,B19001I_012EA,B19001I_012M,B19001I_012MA,B19001I_013E,B19001I_013EA,B19001I_013M,B19001I_013MA,B19001I_014E,B19001I_014EA,B19001I_014M,B19001I_014MA,B19001I_015E,B19001I_015EA,B19001I_015M,B19001I_015MA,B19001I_016E,B19001I_016EA,B19001I_016M,B19001I_016MA,B19001I_017E,B19001I_017EA,B19001I_017M,B19001I_017MA,GEO_ID,NAME,state
32346,null,2032,null,2847,null,956,null,1899,null,802,null,3432,null,905,null,3160,null,1091,null,2612,null,866,null,3071,null,965,null,1414,null,633,null,1195,null,622,null,1974,null,831,null,3412,null,943,null,2665,null,853,null,2164,null,600,null,790,null,345,null,538,null,304,null,635,null,350,null,538,null,536,null,0400000US01,Alabama,01
10473,null,1155,null,380,null,320,null,587,null,355,null,430,null,357,null,597,null,320,null,693,null,508,null,466,null,403,null,710,null,408,null,410,null,356,null,651,null,500,null,1553,null,617,null,732,null,412,null,1546,null,719,null,746,null,526,null,802,null,561,null,47,null,79,null,123,null,224,null,0400000US02,Alaska,02
478792,null,7287,null,37271,null,3524,null,29454,null,3045,null,34070,null,3738,null,38968,null,3793,null,38201,null,3316,null,35555,null,3242,null,29607,null,3087,null,28820,null,3229,null,24842,null,2835,null,45158,null,3867,null,46805,null,3702,null,47295,null,3586,null,20833,null,2180,null,9586,null,1624,null,7634,null,1605,null,4693,null,1257,null,0400000US04,Arizona,04
35939,null,2064,null,2590,null,834,null,2264,null,820,null,3286,null,980,null,5717,null,1443,null,2934,null,937,null,3265,null,972,null,2098,null,620,null,2824,null,823,null,1857,null,637,null,2729,null,839,null,2104,null,686,null,2336,null,870,null,958,null,482,null,632,null,403,null,80,null,132,null,265,null,237,null,0400000US05,Arkansas,05
3220448,null,15125,null,174734,null,8026,null,178535,null,7334,null,197351,null,7429,null,213484,null,8513,null,203437,null,8135,null,215749,null,7500,null,195187,null,6799,null,186134,null,7772,null,171669,null,7040,null,291346,null,10349,null,356446,null,9272,null,369747,null,9425,null,212621,null,7657,null,111312,null,5474,null,87361,null,4893,null,55335,null,4503,null,0400000US06,California,06
277061,null,5248,null,28314,null,2593,null,20485,null,2460,null,22914,null,2878,null,21810,null,2558,null,18852,null,2260,null,19548,null,2462,null,17233,null,2861,null,16436,null,2264,null,12584,null,1880,null,21110,null,2571,null,26993,null,2720,null,26574,null,2629,null,11795,null,1642,null,6100,null,1331,null,4721,null,1232,null,1592,null,604,null,0400000US08,Colorado,08
125632,null,2846,null,15421,null,2256,null,7711,null,1379,null,9270,null,1676,null,8367,null,1687,null,5811,null,1301,null,7621,null,1399,null,5943,null,1442,null,6164,null,1541,null,6975,null,1529,null,10816,null,1696,null,11192,null,1605,null,12596,null,1824,null,9157,null,1820,null,2619,null,818,null,2500,null,754,null,3469,null,1019,null,0400000US09,Connecticut,09
14743,null,1201,null,1624,null,767,null,403,null,327,null,1612,null,664,null,1481,null,684,null,974,null,576,null,1305,null,601,null,527,null,369,null,811,null,428,null,1299,null,490,null,849,null,449,null,921,null,416,null,1354,null,465,null,511,null,397,null,687,null,426,null,172,null,173,null,213,null,185,null,0400000US10,Delaware,10
17920,null,1768,null,1942,null,910,null,618,null,491,null,397,null,388,null,1728,null,947,null,1070,null,693,null,596,null,418,null,1407,null,742,null,1184,null,756,null,1133,null,637,null,1151,null,639,null,1862,null,803,null,1554,null,617,null,1478,null,680,null,681,null,424,null,775,null,454,null,344,null,274,null,0400000US11,District of Columbia,11
1207727,null,9183,null,95751,null,5068,null,74700,null,4718,null,81302,null,4821,null,88443,null,5053,null,79461,null,4850,null,77661,null,4930,null,72330,null,5096,null,72295,null,5643,null,55349,null,4663,null,107509,null,6720,null,123417,null,6197,null,121988,null,4723,null,69070,null,4853,null,30916,null,3031,null,31376,null,2944,null,26159,null,2546,null,0400000US12,Florida,12
178642,null,5303,null,11892,null,1997,null,8698,null,1611,null,15077,null,2684,null,13929,null,1966,null,15221,null,2501,null,15023,null,2448,null,11129,null,1899,null,11543,null,1976,null,9322,null,1819,null,18993,null,2905,null,16795,null,2388,null,15737,null,2282,null,5919,null,1266,null,3860,null,1178,null,3391,null,997,null,2113,null,653,null,0400000US13,Georgia,13
28479,null,1846,null,1146,null,517,null,2021,null,745,null,840,null,514,null,980,null,570,null,965,null,470,null,2650,null,1009,null,1835,null,826,null,1366,null,719,null,1182,null,543,null,2945,null,1074,null,3922,null,886,null,3823,null,1055,null,2595,null,903,null,1036,null,548,null,750,null,366,null,423,null,261,null,0400000US15,Hawaii,15
39693,null,1753,null,3239,null,993,null,2415,null,736,null,3204,null,958,null,3626,null,915,null,3488,null,825,null,2765,null,839,null,3358,null,892,null,2151,null,621,null,3003,null,861,null,3800,null,934,null,2922,null,825,null,3099,null,976,null,784,null,379,null,404,null,315,null,660,null,375,null,775,null,412,null,0400000US16,Idaho,16
489613,null,6726,null,26787,null,3021,null,21641,null,2247,null,27399,null,3074,null,32648,null,3173,null,32282,null,3342,null,32859,null,3496,null,28544,null,3283,null,27525,null,3376,null,31056,null,2825,null,51294,null,4127,null,57190,null,4049,null,61728,null,4373,null,28115,null,2688,null,15282,null,2162,null,10066,null,1813,null,5197,null,973,null,0400000US17,Illinois,17
