B19025E_001E,B19025E_001EA,B19025E_001M,B19025E_001MA,GEO_ID,NAME,state
12668900,null,11994176,null,0400000US01,Alabama,01
61445000,null,25882626,null,0400000US02,Alaska,02
208811100,null,57706451,null,0400000US04,Arizona,04
16627700,null,15346213,null,0400000US05,Arkansas,05
2648036800,null,263513618,null,0400000US06,California,06
72443700,null,27142648,null,0400000US08,Colorado,08
null,null,null,null,0400000US09,Connecticut,09
null,null,null,null,0400000US10,Delaware,10
null,null,null,null,0400000US11,District of Columbia,11
126801200,null,49964779,null,0400000US12,Florida,12
53746400,null,25734577,null,0400000US13,Georgia,13
2076951600,null,156306695,null,0400000US15,Hawaii,15
47319300,null,32776327,null,0400000US16,Idaho,16
178147100,null,78142973,null,0400000US17,Illinois,17
12294800,null,11328367,null,0400000US18,Indiana,18
null,null,null,null,0400000US19,Iowa,19
22711500,null,18047604,null,0400000US20,Kansas,20
13993400,null,10985115,null,0400000US21,Kentucky,21
null,null,null,null,0400000US22,Louisiana,22
null,null,null,null,0400000US23,Maine,23
68732700,null,55368554,null,0400000US24,Maryland,24
56276100,null,47395950,null,0400000US25,Massachusetts,25
82026400,null,78988960,null,0400000US26,Michigan,26
17993000,null,13656267,null,0400000US27,Minnesota,27
null,null,null,null,0400000US28,Mississippi,28
71481800,null,41391553,null,0400000US29,Missouri,29
null,null,null,null,0400000US30,Montana,30
34892100,null,31559115,null,0400000US31,Nebraska,31
231266200,null,65665361,null,0400000US32,Nevada,32
null,null,null,null,0400000US33,New Hampshire,33
40356700,null,39405998,null,0400000US34,New Jersey,34
null,null,null,null,0400000US35,New Mexico,35
99149700,null,46305612,null,0400000US36,New York,36
51253500,null,32084939,null,0400000US37,North Carolina,37
null,null,null,null,0400000US38,North Dakota,38
86549600,null,46633838,null,0400000US39,Ohio,39
29581900,null,20723892,null,0400000US40,Oklahoma,40
109488200,null,41680380,null,0400000US41,Oregon,41
59206800,null,28293033,null,0400000US42,Pennsylvania,42
null,null,null,null,0400000US44,Rhode Island,44
46165200,null,29501919,null,0400000US45,South Carolina,45
null,null,null,null,0400000US46,South Dakota,46
38822800,null,21195604,null,0400000US47,Tennessee,47
262314200,null,73090027,null,0400000US48,Texas,48
316580800,null,78125095,null,0400000US49,Utah,49
null,null,null,null,0400000US50,Vermont,50
134934500,null,55850395,null,0400000US51,Virginia,51
409255300,null,78218349,null,0400000US53,Washington,53
null,null,null,null,0400000US54,West Virginia,54
36182400,null,28883836,null,0400000US55,Wisconsin,55
null,null,null,null,0400000US56,Wyoming,56
834300,null,731756,null,0400000US72,Puerto Rico,72
