B19060_001E,B19060_001EA,B19060_001M,B19060_001MA,B19060_002E,B19060_002EA,B19060_002M,B19060_002MA,B19060_003E,B19060_003EA,B19060_003M,B19060_003MA,GEO_ID,NAME,state
1816313,null,9214,null,257446,null,7444,null,1558867,null,10188,null,0400000US01,Alabama,01
236421,null,2731,null,111180,null,4057,null,125241,null,3658,null,0400000US02,Alaska,02
2251546,null,9458,null,262816,null,7093,null,1988730,null,11060,null,0400000US04,Arizona,04
1102734,null,8133,null,156230,null,6724,null,946504,null,9099,null,0400000US05,Arkansas,05
12200672,null,20297,null,1507609,null,18898,null,10693063,null,24601,null,0400000US06,California,06
1859965,null,9746,null,217059,null,7227,null,1642906,null,12084,null,0400000US08,Colorado,08
1320714,null,5183,null,151097,null,4929,null,1169617,null,6650,null,0400000US09,Connecticut,09
328477,null,3041,null,38254,null,2420,null,290223,null,3554,null,0400000US10,Delaware,10
251039,null,2911,null,22938,null,2384,null,228101,null,4021,null,0400000US11,District of Columbia,11
7088960,null,21361,null,842880,null,13328,null,6246080,null,23039,null,0400000US12,Florida,12
3417115,null,14784,null,403871,null,10401,null,3013244,null,17224,null,0400000US13,Georgia,13
439685,null,3621,null,51891,null,3465,null,387794,null,4396,null,0400000US15,Hawaii,15
560567,null,4368,null,86537,null,3728,null,474030,null,5624,null,0400000US16,Idaho,16
4759579,null,13538,null,532776,null,10674,null,4226803,null,17362,null,0400000US17,Illinois,17
2462278,null,10822,null,330597,null,8170,null,2131681,null,12607,null,0400000US18,Indiana,18
1214353,null,5829,null,177237,null,4791,null,1037116,null,6924,null,0400000US19,Iowa,19
1088835,null,6197,null,142561,null,5458,null,946274,null,7370,null,0400000US20,Kansas,20
1655767,null,11246,null,234772,null,7178,null,1420995,null,12012,null,0400000US21,Kentucky,21
1597111,null,7810,null,203979,null,7345,null,1393132,null,9214,null,0400000US22,Louisiana,22
543952,null,5337,null,86591,null,4014,null,457361,null,5487,null,0400000US23,Maine,23
2082458,null,8390,null,244054,null,7057,null,1838404,null,10413,null,0400000US24,Maryland,24
2449133,null,9336,null,307433,null,8615,null,2141700,null,12790,null,0400000US25,Massachusetts,25
3849007,null,11121,null,570726,null,10477,null,3278281,null,14106,null,0400000US26,Michigan,26
2062681,null,7707,null,275494,null,7266,null,1787187,null,9839,null,0400000US27,Minnesota,27
1080039,null,7657,null,150326,null,5875,null,929713,null,8798,null,0400000US28,Mississippi,28
2309626,null,10183,null,309329,null,7577,null,2000297,null,11821,null,0400000US29,Missouri,29
371954,null,3292,null,54900,null,3098,null,317054,null,4330,null,0400000US30,Montana,30
699728,null,4292,null,100557,null,4269,null,599171,null,5683,null,0400000US31,Nebraska,31
954067,null,7113,null,106839,null,4585,null,847228,null,8699,null,0400000US32,Nevada,32
501505,null,3979,null,61180,null,3488,null,440325,null,5059,null,0400000US33,New Hampshire,33
3149910,null,8764,null,369473,null,7911,null,2780437,null,11543,null,0400000US34,New Jersey,34
734847,null,5299,null,89364,null,4393,null,645483,null,6756,null,0400000US35,New Mexico,35
7099940,null,13021,null,804147,null,11294,null,6295793,null,17401,null,0400000US36,New York,36
3540875,null,15585,null,457047,null,13040,null,3083828,null,17234,null,0400000US37,North Carolina,37
271724,null,2896,null,36757,null,2261,null,234967,null,3778,null,0400000US38,North Dakota,38
4505995,null,13404,null,604175,null,12971,null,3901820,null,16637,null,0400000US39,Ohio,39
1399932,null,7049,null,188821,null,5994,null,1211111,null,8364,null,0400000US40,Oklahoma,40
1471965,null,7619,null,208581,null,6456,null,1263384,null,9663,null,0400000US41,Oregon,41
4873482,null,11972,null,640851,null,10553,null,4232631,null,15856,null,0400000US42,Pennsylvania,42
402538,null,3497,null,56760,null,3331,null,345778,null,4953,null,0400000US44,Rhode Island,44
1702564,null,9835,null,214662,null,7522,null,1487902,null,11693,null,0400000US45,South Carolina,45
312912,null,3484,null,47367,null,2620,null,265545,null,3899,null,0400000US46,South Dakota,46
2407765,null,10842,null,319284,null,8732,null,2088481,null,11678,null,0400000US47,Tennessee,47
8244022,null,19609,null,988225,null,17816,null,7255797,null,26223,null,0400000US48,Texas,48
835320,null,5515,null,108841,null,4107,null,726479,null,6426,null,0400000US49,Utah,49
252580,null,2222,null,40016,null,2433,null,212564,null,3073,null,0400000US50,Vermont,50
2932234,null,11822,null,359366,null,9691,null,2572868,null,12846,null,0400000US51,Virginia,51
2501509,null,8669,null,358153,null,9211,null,2143356,null,10527,null,0400000US53,Washington,53
733849,null,6909,null,101456,null,4732,null,632393,null,8195,null,0400000US54,West Virginia,54
2241597,null,8249,null,333543,null,7159,null,1908054,null,10366,null,0400000US55,Wisconsin,55
206136,null,3069,null,27595,null,1969,null,178541,null,3411,null,0400000US56,Wyoming,56
1204285,null,7019,null,182547,null,5762,null,1021738,null,8704,null,0400000US72,Puerto Rico,72
