B19113G_001E,B19113G_001EA,B19113G_001M,B19113G_001MA,GEO_ID,NAME,state
51444,null,8123,null,0400000US01,Alabama,01
55540,null,8258,null,0400000US02,Alaska,02
50509,null,6292,null,0400000US04,Arizona,04
39162,null,6982,null,0400000US05,Arkansas,05
64826,null,2781,null,0400000US06,California,06
55740,null,8000,null,0400000US08,Colorado,08
71806,null,10039,null,0400000US09,Connecticut,09
52913,null,16009,null,0400000US10,Delaware,10
null,null,null,null,0400000US11,District of Columbia,11
51349,null,3449,null,0400000US12,Florida,12
49972,null,3679,null,0400000US13,Georgia,13
68811,null,3154,null,0400000US15,Hawaii,15
40175,null,3387,null,0400000US16,Idaho,16
52423,null,6168,null,0400000US17,Illinois,17
37448,null,3575,null,0400000US18,Indiana,18
44808,null,14437,null,0400000US19,Iowa,19
40889,null,5472,null,0400000US20,Kansas,20
40431,null,6684,null,0400000US21,Kentucky,21
40049,null,12684,null,0400000US22,Louisiana,22
33118,null,5068,null,0400000US23,Maine,23
75116,null,7918,null,0400000US24,Maryland,24
50444,null,10427,null,0400000US25,Massachusetts,25
45052,null,4600,null,0400000US26,Michigan,26
56590,null,9016,null,0400000US27,Minnesota,27
36434,null,12307,null,0400000US28,Mississippi,28
45349,null,6370,null,0400000US29,Missouri,29
53119,null,11318,null,0400000US30,Montana,30
32464,null,9780,null,0400000US31,Nebraska,31
59076,null,12117,null,0400000US32,Nevada,32
47046,null,19119,null,0400000US33,New Hampshire,33
72629,null,11191,null,0400000US34,New Jersey,34
49467,null,13793,null,0400000US35,New Mexico,35
55853,null,3307,null,0400000US36,New York,36
42608,null,4023,null,0400000US37,North Carolina,37
null,null,null,null,0400000US38,North Dakota,38
44924,null,4603,null,0400000US39,Ohio,39
42827,null,3745,null,0400000US40,Oklahoma,40
51449,null,3566,null,0400000US41,Oregon,41
43665,null,2858,null,0400000US42,Pennsylvania,42
52265,null,11499,null,0400000US44,Rhode Island,44
46561,null,4837,null,0400000US45,South Carolina,45
27124,null,13096,null,0400000US46,South Dakota,46
45794,null,2398,null,0400000US47,Tennessee,47
52195,null,3704,null,0400000US48,Texas,48
52184,null,8709,null,0400000US49,Utah,49
50668,null,27024,null,0400000US50,Vermont,50
63430,null,8172,null,0400000US51,Virginia,51
58762,null,6612,null,0400000US53,Washington,53
31031,null,6331,null,0400000US54,West Virginia,54
46150,null,13609,null,0400000US55,Wisconsin,55
48201,null,24746,null,0400000US56,Wyoming,56
23338,null,2524,null,0400000US72,Puerto Rico,72
