B20017D_001E,B20017D_001EA,B20017D_001M,B20017D_001MA,B20017D_002E,B20017D_002EA,B20017D_002M,B20017D_002MA,B20017D_003E,B20017D_003EA,B20017D_003M,B20017D_003MA,B20017D_004E,B20017D_004EA,B20017D_004M,B20017D_004MA,B20017D_005E,B20017D_005EA,B20017D_005M,B20017D_005MA,B20017D_006E,B20017D_006EA,B20017D_006M,B20017D_006MA,B20017D_007E,B20017D_007EA,B20017D_007M,B20017D_007MA,GEO_ID,NAME,state
26430,null,4453,null,33214,null,11678,null,51785,null,7311,null,13036,null,5680,null,20873,null,2897,null,32607,null,6642,null,8630,null,1823,null,0400000US01,Alabama,01
24543,null,2218,null,24674,null,4354,null,35385,null,6719,null,18013,null,4506,null,24485,null,2446,null,33723,null,4519,null,20558,null,2077,null,0400000US02,Alaska,02
31929,null,1488,null,41544,null,3666,null,57193,null,5644,null,16570,null,4582,null,24563,null,2542,null,35109,null,2769,null,14718,null,2296,null,0400000US04,Arizona,04
21740,null,2341,null,30982,null,8315,null,40477,null,5978,null,16450,null,9087,null,17007,null,3689,null,21998,null,9128,null,9096,null,6273,null,0400000US05,Arkansas,05
36369,null,421,null,41279,null,542,null,52050,null,522,null,18925,null,1047,null,31616,null,401,null,43871,null,1360,null,15286,null,610,null,0400000US06,California,06
29658,null,2095,null,38530,null,3397,null,49679,null,4386,null,18873,null,4859,null,22649,null,2459,null,31551,null,2333,null,10803,null,1692,null,0400000US08,Colorado,08
37014,null,3697,null,46648,null,4047,null,60869,null,9464,null,13006,null,4463,null,29939,null,3189,null,44481,null,6343,null,10760,null,3041,null,0400000US09,Connecticut,09
45982,null,4291,null,53869,null,18385,null,68214,null,8948,null,32931,null,41099,null,42154,null,4830,null,47005,null,6374,null,22165,null,6694,null,0400000US10,Delaware,10
42227,null,7617,null,51089,null,11000,null,68560,null,29418,null,12023,null,11650,null,38808,null,7186,null,50508,null,8288,null,22534,null,11377,null,0400000US11,District of Columbia,11
29253,null,1500,null,32202,null,1930,null,41073,null,2248,null,16948,null,2283,null,24542,null,1466,null,34465,null,2539,null,13410,null,1660,null,0400000US12,Florida,12
30715,null,893,null,36070,null,2875,null,45273,null,4457,null,16405,null,2138,null,24171,null,1235,null,31867,null,1840,null,14118,null,2254,null,0400000US13,Georgia,13
31664,null,528,null,36371,null,1492,null,44895,null,2789,null,17036,null,1322,null,29750,null,1088,null,35826,null,1114,null,13079,null,1722,null,0400000US15,Hawaii,15
20355,null,4822,null,27636,null,6611,null,35829,null,5050,null,11264,null,9751,null,15957,null,3701,null,23667,null,11704,null,10395,null,5156,null,0400000US16,Idaho,16
35465,null,1056,null,41085,null,1046,null,52394,null,3955,null,15244,null,1658,null,30369,null,1389,null,42283,null,3627,null,12604,null,1408,null,0400000US17,Illinois,17
29661,null,2210,null,38428,null,6992,null,60108,null,5910,null,14778,null,6350,null,26290,null,2676,null,33538,null,4784,null,10219,null,4516,null,0400000US18,Indiana,18
24085,null,3063,null,31028,null,2143,null,36793,null,5416,null,15957,null,6580,null,16889,null,3527,null,31388,null,2275,null,6832,null,3021,null,0400000US19,Iowa,19
27570,null,3529,null,32207,null,6113,null,50184,null,6096,null,15968,null,6521,null,22632,null,3008,null,38520,null,5895,null,11286,null,1600,null,0400000US20,Kansas,20
25391,null,4940,null,29179,null,7951,null,41152,null,12060,null,11377,null,3819,null,22817,null,4006,null,31752,null,7127,null,11625,null,2152,null,0400000US21,Kentucky,21
23223,null,5459,null,32037,null,9816,null,41174,null,10683,null,16848,null,6179,null,20280,null,2693,null,28495,null,6843,null,11984,null,6452,null,0400000US22,Louisiana,22
15918,null,5038,null,21013,null,12215,null,36250,null,18218,null,6255,null,1290,null,15331,null,4079,null,25407,null,3496,null,6425,null,5330,null,0400000US23,Maine,23
40670,null,1118,null,46165,null,2507,null,60324,null,4842,null,21262,null,1315,null,32409,null,2889,null,46260,null,2676,null,14541,null,2020,null,0400000US24,Maryland,24
33622,null,2188,null,41642,null,2440,null,62526,null,6226,null,13780,null,3024,null,29121,null,1869,null,40947,null,1746,null,10520,null,1452,null,0400000US25,Massachusetts,25
35217,null,2754,null,47772,null,4424,null,67911,null,4390,null,13933,null,4757,null,23560,null,1721,null,47577,null,5224,null,10636,null,1066,null,0400000US26,Michigan,26
30091,null,1598,null,33287,null,3385,null,46244,null,4202,null,14595,null,2428,null,25995,null,1563,null,36378,null,1987,null,12031,null,970,null,0400000US27,Minnesota,27
21436,null,3634,null,25080,null,9465,null,41200,null,7998,null,11041,null,1089,null,20391,null,2665,null,30752,null,6843,null,15752,null,2679,null,0400000US28,Mississippi,28
25768,null,2365,null,35428,null,6972,null,50055,null,4970,null,14819,null,4381,null,21275,null,2517,null,28401,null,3325,null,10205,null,1496,null,0400000US29,Missouri,29
