B23002I_001E,B23002I_001EA,B23002I_001M,B23002I_001MA,B23002I_002E,B23002I_002EA,B23002I_002M,B23002I_002MA,B23002I_003E,B23002I_003EA,B23002I_003M,B23002I_003MA,B23002I_004E,B23002I_004EA,B23002I_004M,B23002I_004MA,B23002I_005E,B23002I_005EA,B23002I_005M,B23002I_005MA,B23002I_006E,B23002I_006EA,B23002I_006M,B23002I_006MA,B23002I_007E,B23002I_007EA,B23002I_007M,B23002I_007MA,B23002I_008E,B23002I_008EA,B23002I_008M,B23002I_008MA,B23002I_009E,B23002I_009EA,B23002I_009M,B23002I_009MA,B23002I_010E,B23002I_010EA,B23002I_010M,B23002I_010MA,B23002I_011E,B23002I_011EA,B23002I_011M,B23002I_011MA,B23002I_012E,B23002I_012EA,B23002I_012M,B23002I_012MA,B23002I_013E,B23002I_013EA,B23002I_013M,B23002I_013MA,B23002I_014E,B23002I_014EA,B23002I_014M,B23002I_014MA,B23002I_015E,B23002I_015EA,B23002I_015M,B23002I_015MA,B23002I_016E,B23002I_016EA,B23002I_016M,B23002I_016MA,B23002I_017E,B23002I_017EA,B23002I_017M,B23002I_017MA,B23002I_018E,B23002I_018EA,B23002I_018M,B23002I_018MA,B23002I_019E,B23002I_019EA,B23002I_019M,B23002I_019MA,B23002I_020E,B23002I_020EA,B23002I_020M,B23002I_020MA,B23002I_021E,B23002I_021EA,B23002I_021M,B23002I_021MA,B23002I_022E,B23002I_022EA,B23002I_022M,B23002I_022MA,B23002I_023E,B23002I_023EA,B23002I_023M,B23002I_023MA,B23002I_024E,B23002I_024EA,B23002I_024M,B23002I_024MA,B23002I_025E,B23002I_025EA,B23002I_025M,B23002I_025MA,B23002I_026E,B23002I_026EA,B23002I_026M,B23002I_026MA,B23002I_027E,B23002I_027EA,B23002I_027M,B23002I_027MA,B23002I_028E,B23002I_028EA,B23002I_028M,B23002I_028MA,B23002I_029E,B23002I_029EA,B23002I_029M,B23002I_029MA,B23002I_030E,B23002I_030EA,B23002I_030M,B23002I_030MA,B23002I_031E,B23002I_031EA,B23002I_031M,B23002I_031MA,B23002I_032E,B23002I_032EA,B23002I_032M,B23002I_032MA,B23002I_033E,B23002I_033EA,B23002I_033M,B23002I_033MA,B23002I_034E,B23002I_034EA,B23002I_034M,B23002I_034MA,B23002I_035E,B23002I_035EA,B23002I_035M,B23002I_035MA,B23002I_036E,B23002I_036EA,B23002I_036M,B23002I_036MA,B23002I_037E,B23002I_037EA,B23002I_037M,B23002I_037MA,B23002I_038E,B23002I_038EA,B23002I_038M,B23002I_038MA,B23002I_039E,B23002I_039EA,B23002I_039M,B23002I_039MA,B23002I_040E,B23002I_040EA,B23002I_040M,B23002I_040MA,B23002I_041E,B23002I_041EA,B23002I_041M,B23002I_041MA,B23002I_042E,B23002I_042EA,B23002I_042M,B23002I_042MA,B23002I_043E,B23002I_043EA,B23002I_043M,B23002I_043MA,B23002I_044E,B23002I_044EA,B23002I_044M,B23002I_044MA,B23002I_045E,B23002I_045EA,B23002I_045M,B23002I_045MA,B23002I_046E,B23002I_046EA,B23002I_046M,B23002I_046MA,B23002I_047E,B23002I_047EA,B23002I_047M,B23002I_047MA,B23002I_048E,B23002I_048EA,B23002I_048M,B23002I_048MA,B23002I_049E,B23002I_049EA,B23002I_049M,B23002I_049MA,B23002I_050E,B23002I_050EA,B23002I_050M,B23002I_050MA,B23002I_051E,B23002I_051EA,B23002I_051M,B23002I_051MA,B23002I_052E,B23002I_052EA,B23002I_052M,B23002I_052MA,B23002I_053E,B23002I_053EA,B23002I_053M,B23002I_053MA,B23002I_054E,B23002I_054EA,B23002I_054M,B23002I_054MA,B23002I_055E,B23002I_055EA,B23002I_055M,B23002I_055MA,B23002I_056E,B23002I_056EA,B23002I_056M,B23002I_056MA,B23002I_057E,B23002I_057EA,B23002I_057M,B23002I_057MA,B23002I_058E,B23002I_058EA,B23002I_058M,B23002I_058MA,B23002I_059E,B23002I_059EA,B23002I_059M,B23002I_059MA,B23002I_060E,B23002I_060EA,B23002I_060M,B23002I_060MA,B23002I_061E,B23002I_061EA,B23002I_061M,B23002I_061MA,B23002I_062E,B23002I_062EA,B23002I_062M,B23002I_062MA,B23002I_063E,B23002I_063EA,B23002I_063M,B23002I_063MA,B23002I_064E,B23002I_064EA,B23002I_064M,B23002I_064MA,B23002I_065E,B23002I_065EA,B23002I_065M,B23002I_065MA,B23002I_066E,B23002I_066EA,B23002I_066M,B23002I_066MA,B23002I_067E,B23002I_067EA,B23002I_067M,B23002I_067MA,B23002I_068E,B23002I_068EA,B23002I_068M,B23002I_068MA,B23002I_069E,B23002I_069EA,B23002I_069M,B23002I_069MA,B23002I_070E,B23002I_070EA,B23002I_070M,B23002I_070MA,B23002I_071E,B23002I_071EA,B23002I_071M,B23002I_071MA,B23002I_072E,B23002I_072EA,B23002I_072M,B23002I_072MA,B23002I_073E,B23002I_073EA,B23002I_073M,B23002I_073MA,B23002I_074E,B23002I_074EA,B23002I_074M,B23002I_074MA,B23002I_075E,B23002I_075EA,B23002I_075M,B23002I_075MA,B23002I_076E,B23002I_076EA,B23002I_076M,B23002I_076MA,B23002I_077E,B23002I_077EA,B23002I_077M,B23002I_077MA,B23002I_078E,B23002I_078EA,B23002I_078M,B23002I_078MA,B23002I_079E,B23002I_079EA,B23002I_079M,B23002I_079MA,GEO_ID,NAME,state
77991,null,1465,null,44476,null,1316,null,3774,null,894,null,2215,null,741,null,250,null,410,null,1965,null,635,null,1781,null,622,null,184,null,150,null,1559,null,534,null,7882,null,1128,null,7418,null,1173,null,0,null,267,null,7418,null,1173,null,7117,null,1155,null,301,null,228,null,464,null,295,null,28468,null,1539,null,25839,null,1723,null,443,null,303,null,25396,null,1664,null,25245,null,1653,null,151,null,132,null,2629,null,740,null,2510,null,644,null,1771,null,573,null,0,null,267,null,1771,null,573,null,1771,null,573,null,0,null,267,null,739,null,552,null,475,null,379,null,161,null,199,null,161,null,199,null,0,null,267,null,314,null,321,null,1367,null,583,null,154,null,157,null,154,null,157,null,0,null,267,null,1213,null,572,null,33515,null,1496,null,3474,null,878,null,752,null,466,null,0,null,267,null,752,null,466,null,667,null,461,null,85,null,154,null,2722,null,777,null,6122,null,1098,null,3531,null,777,null,250,null,409,null,3281,null,683,null,3093,null,717,null,188,null,171,null,2591,null,903,null,20188,null,1406,null,12067,null,1238,null,113,null,142,null,11954,null,1213,null,11113,null,1194,null,841,null,452,null,8121,null,1281,null,1868,null,645,null,974,null,422,null,0,null,267,null,974,null,422,null,974,null,422,null,0,null,267,null,894,null,503,null,637,null,325,null,0,null,267,null,0,null,267,null,0,null,267,null,637,null,325,null,1226,null,478,null,88,null,154,null,88,null,154,null,0,null,267,null,1138,null,479,null,0400000US01,Alabama,01
26023,null,768,null,14399,null,874,null,2030,null,683,null,965,null,577,null,274,null,253,null,691,null,494,null,230,null,227,null,461,null,436,null,1065,null,567,null,2688,null,731,null,2415,null,716,null,474,null,382,null,1941,null,617,null,1629,null,617,null,312,null,347,null,273,null,253,null,8369,null,1017,null,7546,null,996,null,372,null,266,null,7174,null,949,null,6862,null,913,null,312,null,273,null,823,null,425,null,1051,null,432,null,807,null,468,null,0,null,237,null,807,null,468,null,777,null,458,null,30,null,69,null,244,null,227,null,151,null,160,null,97,null,130,null,97,null,130,null,0,null,237,null,54,null,91,null,110,null,154,null,0,null,237,null,0,null,237,null,0,null,237,null,110,null,154,null,11624,null,629,null,899,null,372,null,649,null,344,null,0,null,237,null,649,null,344,null,595,null,350,null,54,null,60,null,250,null,187,null,1997,null,556,null,1695,null,538,null,166,null,139,null,1529,null,522,null,1190,null,566,null,339,null,398,null,302,null,242,null,7154,null,728,null,5181,null,791,null,124,null,155,null,5057,null,792,null,4885,null,775,null,172,null,205,null,1973,null,665,null,1068,null,354,null,326,null,263,null,0,null,237,null,326,null,263,null,282,null,264,null,44,null,73,null,742,null,383,null,289,null,256,null,79,null,132,null,79,null,132,null,0,null,237,null,210,null,232,null,217,null,187,null,20,null,38,null,20,null,38,null,0,null,237,null,197,null,181,null,0400000US02,Alaska,02
1245435,null,3285,null,651343,null,2431,null,65085,null,2477,null,28322,null,2604,null,212,null,203,null,28110,null,2606,null,23197,null,2405,null,4913,null,1102,null,36763,null,2380,null,79400,null,1604,null,66502,null,2466,null,445,null,228,null,66057,null,2442,null,61153,null,2637,null,4904,null,1316,null,12898,null,2136,null,419909,null,1486,null,370779,null,4387,null,1030,null,492,null,369749,null,4322,null,354859,null,4467,null,14890,null,2457,null,49130,null,4476,null,48384,null,776,null,33893,null,1752,null,0,null,292,null,33893,null,1752,null,32593,null,1785,null,1300,null,701,null,14491,null,1667,null,14494,null,1435,null,5275,null,1243,null,5049,null,1232,null,226,null,218,null,9219,null,1410,null,24071,null,1493,null,2973,null,891,null,2506,null,901,null,467,null,316,null,21098,null,1353,null,594092,null,2209,null,59162,null,2581,null,23413,null,2343,null,8,null,13,null,23405,null,2344,null,17772,null,2268,null,5633,null,1193,null,35749,null,2906,null,68972,null,1669,null,45135,null,2837,null,62,null,105,null,45073,null,2816,null,41836,null,2836,null,3237,null,1071,null,23837,null,2595,null,366740,null,1628,null,232286,null,4680,null,212,null,193,null,232074,null,4704,null,216654,null,4999,null,15420,null,2608,null,134454,null,4698,null,50458,null,585,null,23565,null,2049,null,0,null,292,null,23565,null,2049,null,22289,null,1974,null,1276,null,576,null,26893,null,2076,null,15873,null,1266,null,3374,null,792,null,3374,null,792,null,0,null,292,null,12499,null,1277,null,32887,null,1299,null,1515,null,590,null,1402,null,584,null,113,null,187,null,31372,null,1293,null,0400000US04,Arizona,04
93333,null,1980,null,52739,null,2541,null,4702,null,987,null,1684,null,624,null,0,null,267,null,1684,null,624,null,1344,null,535,null,340,null,341,null,3018,null,877,null,7051,null,1226,null,5596,null,1055,null,0,null,267,null,5596,null,1055,null,5561,null,1058,null,35,null,63,null,1455,null,818,null,36337,null,1992,null,32568,null,2134,null,57,null,97,null,32511,null,2147,null,30215,null,2175,null,2296,null,996,null,3769,null,1042,null,2966,null,725,null,2412,null,702,null,0,null,267,null,2412,null,702,null,2412,null,702,null,0,null,267,null,554,null,368,null,977,null,586,null,596,null,489,null,536,null,487,null,60,null,105,null,381,null,370,null,706,null,526,null,214,null,283,null,214,null,283,null,0,null,267,null,492,null,430,null,40594,null,1673,null,4340,null,848,null,1282,null,588,null,0,null,267,null,1282,null,588,null,851,null,454,null,431,null,334,null,3058,null,650,null,6000,null,1160,null,3182,null,1051,null,0,null,267,null,3182,null,1051,null,2708,null,920,null,474,null,407,null,2818,null,923,null,26796,null,1554,null,15513,null,1563,null,0,null,267,null,15513,null,1563,null,14740,null,1521,null,773,null,352,null,11283,null,1522,null,2225,null,651,null,861,null,433,null,0,null,267,null,861,null,433,null,763,null,397,null,98,null,94,null,1364,null,501,null,375,null,347,null,0,null,267,null,0,null,267,null,0,null,267,null,375,null,347,null,858,null,409,null,0,null,267,null,0,null,267,null,0,null,267,null,858,null,409,null,0400000US05,Arkansas,05
9113309,null,7332,null,4692176,null,5198,null,480106,null,5348,null,192931,null,6327,null,1819,null,740,null,191112,null,6408,null,143773,null,5621,null,47339,null,3644,null,287175,null,5825,null,588008,null,2236,null,482484,null,5083,null,7707,null,1207,null,474777,null,5082,null,429499,null,5713,null,45278,null,3153,null,105524,null,4882,null,2983248,null,2492,null,2639595,null,10126,null,9086,null,2032,null,2630509,null,10039,null,2499632,null,12431,null,130877,null,7306,null,343653,null,9651,null,353885,null,1299,null,245210,null,4613,null,0,null,292,null,245210,null,4613,null,229475,null,5177,null,15735,null,2323,null,108675,null,4483,null,98969,null,3026,null,35291,null,2703,null,33383,null,2658,null,1908,null,627,null,63678,null,3116,null,187960,null,3102,null,20079,null,2260,null,19000,null,2219,null,1079,null,520,null,167881,null,3616,null,4421133,null,4864,null,458174,null,5141,null,159289,null,4959,null,386,null,319,null,158903,null,4986,null,120701,null,4857,null,38202,null,3288,null,298885,null,6891,null,527343,null,1821,null,356329,null,6246,null,1332,null,600,null,354997,null,6172,null,317230,null,6316,null,37767,null,2984,null,171014,null,6435,null,2660678,null,1520,null,1763860,null,14098,null,821,null,470,null,1763039,null,14140,null,1629684,null,13635,null,133355,null,6434,null,896818,null,14101,null,387810,null,1392,null,185236,null,5257,null,0,null,292,null,185236,null,5257,null,174394,null,5196,null,10842,null,1679,null,202574,null,5026,null,115796,null,3014,null,23869,null,2069,null,22341,null,1997,null,1528,null,649,null,91927,null,3137,null,271332,null,3096,null,13721,null,1820,null,12948,null,1756,null,773,null,441,null,257611,null,3190,null,0400000US06,California,06
659994,null,1824,null,351871,null,1993,null,32519,null,1845,null,16731,null,1819,null,389,null,200,null,16342,null,1808,null,12945,null,1603,null,3397,null,957,null,15788,null,1963,null,39737,null,1320,null,33042,null,1595,null,328,null,215,null,32714,null,1577,null,30346,null,1814,null,2368,null,929,null,6695,null,1437,null,229833,null,1472,null,200258,null,3102,null,1082,null,550,null,199176,null,3137,null,190090,null,3093,null,9086,null,1793,null,29575,null,2981,null,27970,null,1181,null,18169,null,1415,null,0,null,275,null,18169,null,1415,null,16786,null,1319,null,1383,null,711,null,9801,null,1474,null,8648,null,1111,null,2581,null,791,null,2507,null,768,null,74,null,125,null,6067,null,1060,null,13164,null,1114,null,1742,null,642,null,1742,null,642,null,0,null,275,null,11422,null,1129,null,308123,null,1950,null,28346,null,1617,null,13806,null,1656,null,150,null,143,null,13656,null,1670,null,10365,null,1348,null,3291,null,1179,null,14540,null,1430,null,34174,null,1541,null,23191,null,1825,null,0,null,275,null,23191,null,1825,null,20038,null,1903,null,3153,null,964,null,10983,null,1561,null,189736,null,1709,null,128843,null,4363,null,271,null,278,null,128572,null,4360,null,119859,null,4403,null,8713,null,1549,null,60893,null,4009,null,27829,null,827,null,13460,null,1345,null,0,null,275,null,13460,null,1345,null,12989,null,1322,null,471,null,373,null,14369,null,1385,null,8908,null,1042,null,1571,null,508,null,1450,null,506,null,121,null,143,null,7337,null,1043,null,19130,null,1264,null,1418,null,519,null,1126,null,503,null,292,null,288,null,17712,null,1236,null,0400000US08,Colorado,08
285747,null,1379,null,143872,null,1241,null,15659,null,1256,null,8074,null,1424,null,501,null,343,null,7573,null,1392,null,5301,null,1421,null,2272,null,741,null,7585,null,1193,null,17144,null,665,null,13636,null,1053,null,234,null,233,null,13402,null,1037,null,11267,null,1277,null,2135,null,741,null,3508,null,911,null,92033,null,611,null,78719,null,2216,null,161,null,166,null,78558,null,2229,null,72541,null,2363,null,6017,null,1550,null,13314,null,2174,null,11274,null,522,null,7660,null,935,null,0,null,273,null,7660,null,935,null,6818,null,1068,null,842,null,634,null,3614,null,869,null,3384,null,652,null,1510,null,593,null,1510,null,593,null,0,null,273,null,1874,null,656,null,4378,null,661,null,408,null,358,null,255,null,309,null,153,null,181,null,3970,null,684,null,141875,null,918,null,13516,null,767,null,5894,null,871,null,65,null,109,null,5829,null,887,null,3537,null,805,null,2292,null,732,null,7622,null,893,null,14567,null,524,null,10412,null,983,null,0,null,273,null,10412,null,983,null,8783,null,1097,null,1629,null,638,null,4155,null,1047,null,89487,null,909,null,65115,null,2484,null,0,null,273,null,65115,null,2484,null,58884,null,2395,null,6231,null,1249,null,24372,null,2321,null,13512,null,443,null,7319,null,985,null,0,null,273,null,7319,null,985,null,6870,null,1012,null,449,null,261,null,6193,null,1038,null,3955,null,753,null,953,null,412,null,953,null,412,null,0,null,273,null,3002,null,755,null,6838,null,797,null,220,null,200,null,220,null,200,null,0,null,273,null,6618,null,801,null,0400000US09,Connecticut,09
35913,null,356,null,18959,null,317,null,1424,null,652,null,955,null,534,null,252,null,307,null,703,null,409,null,472,null,304,null,231,null,216,null,469,null,370,null,2288,null,566,null,1797,null,546,null,37,null,64,null,1760,null,544,null,1507,null,584,null,253,null,277,null,491,null,399,null,13173,null,262,null,11165,null,763,null,0,null,261,null,11165,null,763,null,10832,null,851,null,333,null,321,null,2008,null,721,null,1365,null,450,null,1138,null,481,null,78,null,131,null,1060,null,492,null,973,null,485,null,87,null,148,null,227,null,220,null,310,null,235,null,129,null,162,null,129,null,162,null,0,null,261,null,181,null,181,null,399,null,318,null,153,null,206,null,153,null,206,null,0,null,261,null,246,null,236,null,16954,null,412,null,1506,null,442,null,443,null,285,null,0,null,261,null,443,null,285,null,289,null,222,null,154,null,175,null,1063,null,399,null,1963,null,433,null,871,null,342,null,0,null,261,null,871,null,342,null,710,null,269,null,161,null,161,null,1092,null,466,null,11202,null,429,null,6726,null,883,null,0,null,261,null,6726,null,883,null,6464,null,865,null,262,null,221,null,4476,null,893,null,1387,null,384,null,219,null,235,null,0,null,261,null,219,null,235,null,219,null,235,null,0,null,261,null,1168,null,411,null,535,null,375,null,0,null,261,null,0,null,261,null,0,null,261,null,535,null,375,null,361,null,305,null,0,null,261,null,0,null,261,null,0,null,261,null,361,null,305,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
2879041,null,3116,null,1452033,null,2956,null,113355,null,3425,null,52090,null,3294,null,1021,null,513,null,51069,null,3166,null,40551,null,2961,null,10518,null,1881,null,61265,null,3274,null,147226,null,2481,null,122013,null,3330,null,1733,null,645,null,120280,null,3390,null,110217,null,3536,null,10063,null,1657,null,25213,null,2747,null,886836,null,3413,null,799893,null,5415,null,2360,null,663,null,797533,null,5365,null,758743,null,6459,null,38790,null,4046,null,86943,null,4905,null,141231,null,1215,null,103409,null,2849,null,137,null,159,null,103272,null,2842,null,99328,null,3065,null,3944,null,1136,null,37822,null,2956,null,51106,null,2911,null,19550,null,2421,null,18401,null,2368,null,1149,null,488,null,31556,null,2521,null,112279,null,2884,null,15164,null,1909,null,14827,null,1879,null,337,null,236,null,97115,null,3440,null,1427008,null,2856,null,104857,null,3137,null,38812,null,2728,null,316,null,308,null,38496,null,2693,null,31907,null,2852,null,6589,null,1448,null,66045,null,3446,null,126535,null,2179,null,89777,null,3209,null,373,null,226,null,89404,null,3229,null,79981,null,3313,null,9423,null,1934,null,36758,null,2622,null,805873,null,2537,null,577291,null,6053,null,624,null,394,null,576667,null,6103,null,544896,null,6317,null,31771,null,2780,null,228582,null,5890,null,161067,null,1077,null,85442,null,3401,null,0,null,303,null,85442,null,3401,null,80898,null,3641,null,4544,null,1307,null,75625,null,3289,null,67676,null,3128,null,13996,null,1878,null,13229,null,1751,null,767,null,418,null,53680,null,3046,null,161000,null,2937,null,8168,null,1454,null,7605,null,1342,null,563,null,398,null,152832,null,3071,null,0400000US12,Florida,12
