B99131_001E,B99131_001EA,B99131_002E,B99131_002EA,B99131_003E,B99131_003EA,GEO_ID,NAME,state
1156208,null,16566,null,1139642,null,0400000US01,Alabama,01
176899,null,1717,null,175182,null,0400000US02,Alaska,02
1533610,null,15572,null,1518038,null,0400000US04,Arizona,04
688782,null,5549,null,683233,null,0400000US05,Arkansas,05
9423963,null,117346,null,9306617,null,0400000US06,California,06
1242857,null,12025,null,1230832,null,0400000US08,Colorado,08
878931,null,10099,null,868832,null,0400000US09,Connecticut,09
220015,null,1596,null,218419,null,0400000US10,Delaware,10
172814,null,2823,null,169991,null,0400000US11,District of Columbia,11
4331520,null,68413,null,4263107,null,0400000US12,Florida,12
2496793,null,32710,null,2464083,null,0400000US13,Georgia,13
308993,null,5261,null,303732,null,0400000US15,Hawaii,15
366542,null,2302,null,364240,null,0400000US16,Idaho,16
3275263,null,33783,null,3241480,null,0400000US17,Illinois,17
1583949,null,14129,null,1569820,null,0400000US18,Indiana,18
722446,null,6876,null,715570,null,0400000US19,Iowa,19
684094,null,5753,null,678341,null,0400000US20,Kansas,20
1065131,null,9005,null,1056126,null,0400000US21,Kentucky,21
1105709,null,11987,null,1093722,null,0400000US22,Louisiana,22
323470,null,2383,null,321087,null,0400000US23,Maine,23
1477347,null,17915,null,1459432,null,0400000US24,Maryland,24
1678073,null,32715,null,1645358,null,0400000US25,Massachusetts,25
2522449,null,24943,null,2497506,null,0400000US26,Michigan,26
1306977,null,12442,null,1294535,null,0400000US27,Minnesota,27
735865,null,6337,null,729528,null,0400000US28,Mississippi,28
1472452,null,13394,null,1459058,null,0400000US29,Missouri,29
229424,null,2440,null,226984,null,0400000US30,Montana,30
434890,null,2769,null,432121,null,0400000US31,Nebraska,31
626969,null,6938,null,620031,null,0400000US32,Nevada,32
336571,null,3095,null,333476,null,0400000US33,New Hampshire,33
2187527,null,29265,null,2158262,null,0400000US34,New Jersey,34
486661,null,3875,null,482786,null,0400000US35,New Mexico,35
5004492,null,76787,null,4927705,null,0400000US36,New York,36
2301802,null,25185,null,2276617,null,0400000US37,North Carolina,37
155817,null,586,null,155231,null,0400000US38,North Dakota,38
2853497,null,22250,null,2831247,null,0400000US39,Ohio,39
878490,null,8439,null,870051,null,0400000US40,Oklahoma,40
921432,null,9529,null,911903,null,0400000US41,Oregon,41
3046266,null,44357,null,3001909,null,0400000US42,Pennsylvania,42
272595,null,3847,null,268748,null,0400000US44,Rhode Island,44
1112739,null,13495,null,1099244,null,0400000US45,South Carolina,45
188853,null,1151,null,187702,null,0400000US46,South Dakota,46
1548271,null,16047,null,1532224,null,0400000US47,Tennessee,47
6125385,null,62568,null,6062817,null,0400000US48,Texas,48
681028,null,6051,null,674977,null,0400000US49,Utah,49
154901,null,1958,null,152943,null,0400000US50,Vermont,50
1998971,null,24653,null,1974318,null,0400000US51,Virginia,51
1634921,null,18233,null,1616688,null,0400000US53,Washington,53
435507,null,3836,null,431671,null,0400000US54,West Virginia,54
1390264,null,12606,null,1377658,null,0400000US55,Wisconsin,55
127057,null,939,null,126118,null,0400000US56,Wyoming,56
1011501,null,7950,null,1003551,null,0400000US72,Puerto Rico,72
