C17020G_001E,C17020G_001EA,C17020G_001M,C17020G_001MA,C17020G_002E,C17020G_002EA,C17020G_002M,C17020G_002MA,C17020G_003E,C17020G_003EA,C17020G_003M,C17020G_003MA,C17020G_004E,C17020G_004EA,C17020G_004M,C17020G_004MA,C17020G_005E,C17020G_005EA,C17020G_005M,C17020G_005MA,C17020G_006E,C17020G_006EA,C17020G_006M,C17020G_006MA,C17020G_007E,C17020G_007EA,C17020G_007M,C17020G_007MA,C17020G_008E,C17020G_008EA,C17020G_008M,C17020G_008MA,C17020G_009E,C17020G_009EA,C17020G_009M,C17020G_009MA,GEO_ID,NAME,state
58792,null,4714,null,13064,null,2458,null,7785,null,2113,null,4924,null,1339,null,355,null,255,null,45728,null,4388,null,20214,null,3359,null,21811,null,2196,null,3703,null,1200,null,0400000US01,Alabama,01
45113,null,3853,null,5912,null,1616,null,3440,null,1197,null,2346,null,840,null,126,null,138,null,39201,null,3858,null,20811,null,2783,null,17276,null,2096,null,1114,null,389,null,0400000US02,Alaska,02
149530,null,9489,null,20336,null,3267,null,10841,null,2206,null,9010,null,1912,null,485,null,337,null,129194,null,9195,null,70572,null,6256,null,54143,null,4472,null,4479,null,839,null,0400000US04,Arizona,04
47033,null,4401,null,13025,null,2519,null,7761,null,1882,null,4794,null,1125,null,470,null,245,null,34008,null,3241,null,14491,null,1992,null,15654,null,1856,null,3863,null,926,null,0400000US05,Arkansas,05
1223429,null,26121,null,141533,null,10205,null,72629,null,7274,null,64156,null,5409,null,4748,null,1233,null,1081896,null,25454,null,527000,null,16971,null,510482,null,14560,null,44414,null,2843,null,0400000US06,California,06
121507,null,7098,null,19702,null,3340,null,11233,null,2327,null,8020,null,1622,null,449,null,304,null,101805,null,6559,null,48732,null,4316,null,49527,null,4487,null,3546,null,890,null,0400000US08,Colorado,08
67102,null,5500,null,9093,null,2559,null,5598,null,1834,null,3120,null,1189,null,375,null,325,null,58009,null,5199,null,28321,null,3677,null,27509,null,3396,null,2179,null,647,null,0400000US09,Connecticut,09
16410,null,3338,null,2558,null,1489,null,1922,null,1422,null,636,null,299,null,0,null,261,null,13852,null,2993,null,7764,null,2244,null,5906,null,1543,null,182,null,140,null,0400000US10,Delaware,10
8776,null,1706,null,827,null,531,null,45,null,72,null,782,null,526,null,0,null,300,null,7949,null,1638,null,2786,null,1023,null,4808,null,1169,null,355,null,340,null,0400000US11,District of Columbia,11
307403,null,12790,null,50502,null,5823,null,26177,null,4420,null,20876,null,2598,null,3449,null,968,null,256901,null,11424,null,111516,null,7019,null,127307,null,6658,null,18078,null,2116,null,0400000US12,Florida,12
114454,null,7991,null,17224,null,3013,null,9950,null,2071,null,6473,null,1607,null,801,null,386,null,97230,null,7354,null,51137,null,5423,null,40911,null,3884,null,5182,null,1115,null,0400000US13,Georgia,13
281459,null,11316,null,24663,null,4426,null,10449,null,2863,null,13303,null,2194,null,911,null,483,null,256796,null,11400,null,100988,null,5521,null,142833,null,7597,null,12975,null,1619,null,0400000US15,Hawaii,15
30987,null,2700,null,6718,null,1563,null,3149,null,1014,null,3477,null,934,null,92,null,113,null,24269,null,2640,null,11933,null,2062,null,11358,null,1520,null,978,null,401,null,0400000US16,Idaho,16
192457,null,11396,null,29958,null,4244,null,17935,null,2862,null,11513,null,2061,null,510,null,249,null,162499,null,9747,null,83386,null,6500,null,71681,null,5513,null,7432,null,1519,null,0400000US17,Illinois,17
102646,null,6489,null,23922,null,3531,null,14801,null,2619,null,8981,null,1851,null,140,null,162,null,78724,null,5914,null,40504,null,4501,null,35345,null,2691,null,2875,null,862,null,0400000US18,Indiana,18
38938,null,3707,null,11563,null,2349,null,8141,null,2117,null,3301,null,997,null,121,null,141,null,27375,null,2971,null,14923,null,2311,null,11524,null,1703,null,928,null,365,null,0400000US19,Iowa,19
69242,null,5231,null,12304,null,2586,null,6417,null,1893,null,5579,null,1298,null,308,null,226,null,56938,null,4513,null,28976,null,3142,null,25740,null,2777,null,2222,null,709,null,0400000US20,Kansas,20
52226,null,4889,null,14187,null,2669,null,8175,null,2070,null,5422,null,1365,null,590,null,347,null,38039,null,4107,null,19231,null,2801,null,16284,null,2349,null,2524,null,759,null,0400000US21,Kentucky,21
52994,null,6143,null,17758,null,5039,null,11625,null,3772,null,5159,null,1633,null,974,null,413,null,35236,null,4358,null,15580,null,2571,null,17386,null,2562,null,2270,null,721,null,0400000US22,Louisiana,22
22775,null,2838,null,5530,null,1688,null,2973,null,1268,null,2461,null,803,null,96,null,89,null,17245,null,2618,null,7599,null,1790,null,8470,null,1322,null,1176,null,593,null,0400000US23,Maine,23
111643,null,7408,null,9059,null,2246,null,4873,null,1466,null,3943,null,1390,null,243,null,233,null,102584,null,7406,null,50936,null,4682,null,48269,null,4216,null,3379,null,780,null,0400000US24,Maryland,24
115535,null,8221,null,22238,null,4261,null,11178,null,3256,null,10348,null,1788,null,712,null,549,null,93297,null,7690,null,43040,null,4059,null,47624,null,5161,null,2633,null,769,null,0400000US25,Massachusetts,25
183155,null,8133,null,43658,null,5493,null,23632,null,3537,null,19108,null,3041,null,918,null,423,null,139497,null,6651,null,69214,null,4536,null,64174,null,3950,null,6109,null,984,null,0400000US26,Michigan,26
93098,null,6638,null,16011,null,3046,null,10038,null,2211,null,5903,null,1373,null,70,null,87,null,77087,null,6832,null,44537,null,4570,null,30394,null,3606,null,2156,null,708,null,0400000US27,Minnesota,27
25694,null,4323,null,6759,null,2528,null,3678,null,1703,null,2554,null,1152,null,527,null,390,null,18935,null,3174,null,9679,null,2284,null,8523,null,1811,null,733,null,366,null,0400000US28,Mississippi,28
105747,null,7117,null,20656,null,2769,null,10965,null,1842,null,9259,null,1826,null,432,null,294,null,85091,null,7158,null,38747,null,4581,null,41024,null,3738,null,5320,null,1018,null,0400000US29,Missouri,29
22398,null,2712,null,5019,null,1508,null,2196,null,923,null,2645,null,976,null,178,null,175,null,17379,null,2304,null,8868,null,1513,null,7971,null,1357,null,540,null,311,null,0400000US30,Montana,30
34209,null,3620,null,7433,null,2388,null,5165,null,1837,null,2193,null,802,null,75,null,97,null,26776,null,3146,null,14605,null,2053,null,11582,null,1948,null,589,null,281,null,0400000US31,Nebraska,31
74624,null,6552,null,6834,null,1926,null,4129,null,1628,null,2427,null,781,null,278,null,242,null,67790,null,6397,null,33775,null,4389,null,31526,null,3216,null,2489,null,762,null,0400000US32,Nevada,32
15682,null,2141,null,1453,null,682,null,742,null,456,null,602,null,378,null,109,null,125,null,14229,null,1928,null,7914,null,1459,null,5312,null,928,null,1003,null,574,null,0400000US33,New Hampshire,33
136963,null,8277,null,16703,null,3129,null,8306,null,2122,null,7526,null,1534,null,871,null,549,null,120260,null,7797,null,57502,null,5469,null,57762,null,3968,null,4996,null,1481,null,0400000US34,New Jersey,34
50720,null,4376,null,11359,null,2372,null,6340,null,1840,null,4441,null,1254,null,578,null,332,null,39361,null,4175,null,18723,null,2808,null,18195,null,2306,null,2443,null,675,null,0400000US35,New Mexico,35
351230,null,15343,null,67640,null,6596,null,31566,null,4417,null,32363,null,3881,null,3711,null,944,null,283590,null,13443,null,122151,null,7966,null,144875,null,8033,null,16564,null,2361,null,0400000US36,New York,36
134543,null,8820,null,31661,null,4196,null,18685,null,3099,null,12231,null,2270,null,745,null,358,null,102882,null,8127,null,54014,null,5549,null,45246,null,4268,null,3622,null,1116,null,0400000US37,North Carolina,37
10339,null,1793,null,2947,null,1169,null,1748,null,875,null,1103,null,584,null,96,null,107,null,7392,null,1699,null,4453,null,1173,null,2676,null,866,null,263,null,185,null,0400000US38,North Dakota,38
181697,null,8472,null,39109,null,4576,null,26490,null,3995,null,11674,null,1643,null,945,null,361,null,142588,null,7216,null,75916,null,5553,null,59418,null,4150,null,7254,null,1106,null,0400000US39,Ohio,39
218014,null,10331,null,48146,null,5488,null,25354,null,3910,null,20422,null,2561,null,2370,null,570,null,169868,null,8540,null,60619,null,4905,null,96687,null,5401,null,12562,null,1622,null,0400000US40,Oklahoma,40
119624,null,7764,null,23875,null,3709,null,11723,null,2784,null,11147,null,2148,null,1005,null,517,null,95749,null,6579,null,43892,null,4050,null,47053,null,3679,null,4804,null,918,null,0400000US41,Oregon,41
160441,null,8093,null,43110,null,5288,null,27618,null,4150,null,13987,null,2521,null,1505,null,596,null,117331,null,7034,null,58535,null,4369,null,54641,null,3994,null,4155,null,1124,null,0400000US42,Pennsylvania,42
21081,null,2968,null,4355,null,1461,null,2335,null,1209,null,1641,null,850,null,379,null,341,null,16726,null,2637,null,6759,null,1562,null,8819,null,1918,null,1148,null,497,null,0400000US44,Rhode Island,44
49927,null,5515,null,11332,null,3050,null,6454,null,2057,null,4503,null,1554,null,375,null,252,null,38595,null,4186,null,20277,null,3075,null,16401,null,2233,null,1917,null,617,null,0400000US45,South Carolina,45
14025,null,2333,null,3019,null,1073,null,1551,null,775,null,1402,null,563,null,66,null,87,null,11006,null,2367,null,5745,null,1321,null,4927,null,1478,null,334,null,205,null,0400000US46,South Dakota,46
77037,null,6072,null,15035,null,2719,null,8282,null,2010,null,5676,null,1373,null,1077,null,504,null,62002,null,5331,null,30029,null,3924,null,28074,null,2943,null,3899,null,1110,null,0400000US47,Tennessee,47
427937,null,16568,null,71127,null,6559,null,39837,null,5042,null,28019,null,3050,null,3271,null,868,null,356810,null,15455,null,170316,null,9949,null,168342,null,8250,null,18152,null,2137,null,0400000US48,Texas,48
50533,null,4634,null,7983,null,2166,null,5545,null,1617,null,2286,null,795,null,152,null,191,null,42550,null,4171,null,26768,null,3327,null,15101,null,2056,null,681,null,353,null,0400000US49,Utah,49
9313,null,1280,null,2478,null,850,null,1201,null,553,null,1240,null,573,null,37,null,58,null,6835,null,1113,null,3099,null,897,null,3373,null,749,null,363,null,231,null,0400000US50,Vermont,50
149213,null,8848,null,19396,null,3624,null,12164,null,2958,null,6510,null,1554,null,722,null,429,null,129817,null,8461,null,64637,null,4536,null,59661,null,5355,null,5519,null,1273,null,0400000US51,Virginia,51
227821,null,9741,null,32258,null,4271,null,17297,null,3212,null,14437,null,2210,null,524,null,285,null,195563,null,9322,null,91112,null,5533,null,98090,null,5921,null,6361,null,1151,null,0400000US53,Washington,53
19696,null,2327,null,6016,null,1725,null,3398,null,1182,null,2371,null,792,null,247,null,226,null,13680,null,1883,null,5241,null,1366,null,7844,null,1233,null,595,null,305,null,0400000US54,West Virginia,54
73417,null,5294,null,14204,null,2641,null,9738,null,2183,null,3913,null,986,null,553,null,435,null,59213,null,4428,null,33260,null,3487,null,23855,null,2244,null,2098,null,577,null,0400000US55,Wisconsin,55
14367,null,2126,null,2362,null,1505,null,795,null,588,null,1550,null,1161,null,17,null,31,null,12005,null,1825,null,6381,null,1325,null,5261,null,1218,null,363,null,261,null,0400000US56,Wyoming,56
169221,null,9061,null,73645,null,7290,null,25377,null,3776,null,41938,null,4152,null,6330,null,1395,null,95576,null,7592,null,18639,null,3294,null,66336,null,5217,null,10601,null,1708,null,0400000US72,Puerto Rico,72
