C21001B_001E,C21001B_001EA,C21001B_001M,C21001B_001MA,C21001B_002E,C21001B_002EA,C21001B_002M,C21001B_002MA,C21001B_003E,C21001B_003EA,C21001B_003M,C21001B_003MA,C21001B_004E,C21001B_004EA,C21001B_004M,C21001B_004MA,C21001B_005E,C21001B_005EA,C21001B_005M,C21001B_005MA,C21001B_006E,C21001B_006EA,C21001B_006M,C21001B_006MA,C21001B_007E,C21001B_007EA,C21001B_007M,C21001B_007MA,C21001B_008E,C21001B_008EA,C21001B_008M,C21001B_008MA,C21001B_009E,C21001B_009EA,C21001B_009M,C21001B_009MA,C21001B_010E,C21001B_010EA,C21001B_010M,C21001B_010MA,C21001B_011E,C21001B_011EA,C21001B_011M,C21001B_011MA,C21001B_012E,C21001B_012EA,C21001B_012M,C21001B_012MA,C21001B_013E,C21001B_013EA,C21001B_013M,C21001B_013MA,C21001B_014E,C21001B_014EA,C21001B_014M,C21001B_014MA,C21001B_015E,C21001B_015EA,C21001B_015M,C21001B_015MA,GEO_ID,NAME,state
863091,null,3797,null,388295,null,2749,null,345350,null,3108,null,59249,null,3669,null,286101,null,4206,null,42945,null,1529,null,12897,null,1359,null,30048,null,1840,null,474796,null,2561,null,403325,null,2703,null,10949,null,1769,null,392376,null,2747,null,71471,null,1158,null,376,null,263,null,71095,null,1165,null,0400000US01,Alabama,01
18192,null,1267,null,10749,null,1214,null,10555,null,1222,null,5085,null,1361,null,5470,null,1249,null,194,null,228,null,66,null,118,null,128,null,197,null,7443,null,977,null,7087,null,929,null,795,null,486,null,6292,null,948,null,356,null,378,null,0,null,237,null,356,null,378,null,0400000US02,Alaska,02
148940,null,2696,null,77144,null,1906,null,70713,null,1853,null,14543,null,2105,null,56170,null,2701,null,6431,null,370,null,3965,null,738,null,2466,null,759,null,71796,null,1559,null,63646,null,1592,null,3038,null,753,null,60608,null,1657,null,8150,null,408,null,175,null,150,null,7975,null,426,null,0400000US04,Arizona,04
304834,null,2362,null,139755,null,2152,null,124548,null,2081,null,20390,null,2240,null,104158,null,3000,null,15207,null,1041,null,4891,null,1134,null,10316,null,1106,null,165079,null,1828,null,141448,null,1778,null,1922,null,749,null,139526,null,1966,null,23631,null,1062,null,68,null,117,null,23563,null,1049,null,0400000US05,Arkansas,05
1636133,null,7145,null,789512,null,4870,null,704917,null,4794,null,108230,null,5222,null,596687,null,6464,null,84595,null,1365,null,46461,null,2092,null,38134,null,2094,null,846621,null,4954,null,724806,null,4832,null,13654,null,1970,null,711152,null,5281,null,121815,null,1515,null,1258,null,519,null,120557,null,1524,null,0400000US06,California,06
129849,null,3022,null,68196,null,2207,null,62977,null,2257,null,14122,null,1731,null,48855,null,2562,null,5219,null,340,null,2962,null,518,null,2257,null,565,null,61653,null,1725,null,54381,null,1747,null,2688,null,904,null,51693,null,1967,null,7272,null,648,null,0,null,275,null,7272,null,648,null,0400000US08,Colorado,08
231195,null,3420,null,107331,null,2229,null,96854,null,2243,null,9358,null,1160,null,87496,null,2353,null,10477,null,562,null,4428,null,754,null,6049,null,858,null,123864,null,2208,null,108033,null,2099,null,979,null,432,null,107054,null,2116,null,15831,null,420,null,223,null,263,null,15608,null,481,null,0400000US09,Connecticut,09
126085,null,1625,null,57548,null,1164,null,51831,null,1110,null,8654,null,1203,null,43177,null,1493,null,5717,null,269,null,2838,null,685,null,2879,null,662,null,68537,null,1124,null,59802,null,1135,null,1439,null,599,null,58363,null,1310,null,8735,null,195,null,46,null,76,null,8689,null,223,null,0400000US10,Delaware,10
243230,null,1956,null,105107,null,1533,null,88893,null,1452,null,10739,null,1994,null,78154,null,2453,null,16214,null,221,null,8957,null,851,null,7257,null,863,null,138123,null,1220,null,109328,null,1171,null,1273,null,611,null,108055,null,1353,null,28795,null,400,null,599,null,465,null,28196,null,615,null,0400000US11,District of Columbia,11
1952449,null,9372,null,912575,null,5390,null,824597,null,5703,null,103377,null,5507,null,721220,null,8054,null,87978,null,1924,null,23995,null,2233,null,63983,null,2553,null,1039874,null,5896,null,904553,null,5855,null,18810,null,2341,null,885743,null,6045,null,135321,null,2316,null,555,null,350,null,134766,null,2326,null,0400000US12,Florida,12
1995328,null,6128,null,905652,null,4695,null,836171,null,4679,null,136103,null,5886,null,700068,null,7374,null,69481,null,1959,null,24717,null,2099,null,44764,null,2311,null,1089676,null,4433,null,966565,null,4641,null,29560,null,3645,null,937005,null,5925,null,123111,null,1904,null,888,null,504,null,122223,null,2014,null,0400000US13,Georgia,13
14885,null,1938,null,8530,null,1523,null,8101,null,1550,null,5223,null,1256,null,2878,null,1191,null,429,null,324,null,429,null,324,null,0,null,271,null,6355,null,1049,null,5890,null,1109,null,1706,null,801,null,4184,null,1166,null,465,null,243,null,0,null,271,null,465,null,243,null,0400000US15,Hawaii,15
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US16,Idaho,16
1318740,null,5231,null,594147,null,3751,null,528194,null,3726,null,65996,null,4089,null,462198,null,4940,null,65953,null,1003,null,29189,null,2230,null,36764,null,2415,null,724593,null,3264,null,618249,null,3334,null,7780,null,1363,null,610469,null,3542,null,106344,null,1087,null,586,null,327,null,105758,null,1078,null,0400000US17,Illinois,17
382145,null,3070,null,179138,null,1982,null,161030,null,2029,null,24648,null,2586,null,136382,null,3178,null,18108,null,770,null,8878,null,991,null,9230,null,996,null,203007,null,2451,null,174776,null,2544,null,2449,null,792,null,172327,null,2589,null,28231,null,811,null,255,null,347,null,27976,null,953,null,0400000US18,Indiana,18
45199,null,1950,null,23804,null,1741,null,22135,null,1712,null,2255,null,673,null,19880,null,1607,null,1669,null,558,null,878,null,460,null,791,null,352,null,21395,null,1314,null,19206,null,1273,null,560,null,431,null,18646,null,1250,null,2189,null,486,null,0,null,226,null,2189,null,486,null,0400000US19,Iowa,19
107317,null,3049,null,53810,null,1983,null,48953,null,1986,null,9512,null,1610,null,39441,null,2333,null,4857,null,624,null,2550,null,587,null,2307,null,576,null,53507,null,2114,null,45659,null,2027,null,1753,null,789,null,43906,null,2004,null,7848,null,699,null,154,null,177,null,7694,null,690,null,0400000US20,Kansas,20
225744,null,3596,null,106054,null,3196,null,96257,null,3115,null,15726,null,1687,null,80531,null,3524,null,9797,null,784,null,4938,null,880,null,4859,null,995,null,119690,null,2704,null,102912,null,2649,null,2207,null,750,null,100705,null,2721,null,16778,null,1074,null,174,null,211,null,16604,null,1048,null,0400000US21,Kentucky,21
945529,null,3460,null,430826,null,2492,null,386859,null,2628,null,51629,null,3618,null,335230,null,4510,null,43967,null,1251,null,14606,null,1810,null,29361,null,1988,null,514703,null,1867,null,443402,null,1871,null,7457,null,1511,null,435945,null,2461,null,71301,null,1051,null,471,null,310,null,70830,null,1085,null,0400000US22,Louisiana,22
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US23,Maine,23
1179394,null,4597,null,528756,null,3093,null,475230,null,3306,null,82102,null,4507,null,393128,null,4790,null,53526,null,993,null,26357,null,1783,null,27169,null,1759,null,650638,null,3477,null,566962,null,3391,null,18577,null,3062,null,548385,null,4459,null,83676,null,896,null,392,null,237,null,83284,null,931,null,0400000US24,Maryland,24
274522,null,4398,null,130662,null,2910,null,119804,null,2888,null,9241,null,1899,null,110563,null,3011,null,10858,null,627,null,4129,null,904,null,6729,null,802,null,143860,null,2777,null,126496,null,2523,null,753,null,446,null,125743,null,2588,null,17364,null,1233,null,100,null,135,null,17264,null,1224,null,0400000US25,Massachusetts,25
994287,null,4034,null,453858,null,2620,null,406493,null,2658,null,46113,null,3406,null,360380,null,3981,null,47365,null,552,null,20672,null,1593,null,26693,null,1617,null,540429,null,2750,null,463634,null,2917,null,6056,null,1281,null,457578,null,3202,null,76795,null,933,null,1202,null,411,null,75593,null,1022,null,0400000US26,Michigan,26
147518,null,2737,null,76659,null,2014,null,73850,null,2073,null,5716,null,1286,null,68134,null,2329,null,2809,null,308,null,659,null,289,null,2150,null,324,null,70859,null,1709,null,66357,null,1705,null,258,null,227,null,66099,null,1687,null,4502,null,217,null,0,null,211,null,4502,null,217,null,0400000US27,Minnesota,27
748967,null,4179,null,339733,null,2822,null,306998,null,3276,null,35444,null,2914,null,271554,null,3940,null,32735,null,1680,null,9968,null,1395,null,22767,null,1738,null,409234,null,1840,null,352862,null,2037,null,6589,null,1286,null,346273,null,2303,null,56372,null,965,null,159,null,161,null,56213,null,985,null,0400000US28,Mississippi,28
460604,null,3655,null,208595,null,2457,null,186485,null,2317,null,29787,null,2498,null,156698,null,2946,null,22110,null,940,null,10642,null,1194,null,11468,null,1170,null,252009,null,2822,null,216625,null,2521,null,4749,null,1233,null,211876,null,2879,null,35384,null,973,null,624,null,370,null,34760,null,1029,null,0400000US29,Missouri,29
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US30,Montana,30
47315,null,1542,null,23038,null,942,null,21107,null,986,null,3723,null,947,null,17384,null,1236,null,1931,null,233,null,1010,null,466,null,921,null,451,null,24277,null,1052,null,21281,null,1038,null,736,null,460,null,20545,null,909,null,2996,null,203,null,0,null,218,null,2996,null,203,null,0400000US31,Nebraska,31
130726,null,2747,null,64299,null,1627,null,56931,null,1581,null,10627,null,1659,null,46304,null,2090,null,7368,null,329,null,5049,null,607,null,2319,null,649,null,66427,null,1656,null,58159,null,1520,null,1997,null,638,null,56162,null,1515,null,8268,null,479,null,198,null,200,null,8070,null,525,null,0400000US32,Nevada,32
8480,null,958,null,4627,null,682,null,4273,null,653,null,429,null,272,null,3844,null,619,null,354,null,186,null,122,null,131,null,232,null,183,null,3853,null,749,null,3602,null,708,null,96,null,136,null,3506,null,691,null,251,null,207,null,0,null,253,null,251,null,207,null,0400000US33,New Hampshire,33
853472,null,5008,null,392323,null,3418,null,351077,null,3596,null,36713,null,3099,null,314364,null,5051,null,41246,null,900,null,17067,null,1522,null,24179,null,1690,null,461149,null,3268,null,395712,null,3148,null,4598,null,1320,null,391114,null,3416,null,65437,null,894,null,133,null,118,null,65304,null,908,null,0400000US34,New Jersey,34
30029,null,1989,null,15962,null,1735,null,14738,null,1737,null,4203,null,820,null,10535,null,1848,null,1224,null,403,null,791,null,362,null,433,null,318,null,14067,null,1357,null,11529,null,1231,null,567,null,396,null,10962,null,1281,null,2538,null,882,null,0,null,281,null,2538,null,882,null,0400000US35,New Mexico,35
2191290,null,8316,null,982938,null,5618,null,877457,null,5489,null,65365,null,3465,null,812092,null,5998,null,105481,null,1370,null,30487,null,2339,null,74994,null,2648,null,1208352,null,5567,null,1020025,null,5220,null,9081,null,1640,null,1010944,null,5242,null,188327,null,1767,null,953,null,449,null,187374,null,1903,null,0400000US36,New York,36
1377966,null,5606,null,621630,null,4458,null,554210,null,4772,null,99185,null,5128,null,455025,null,6717,null,67420,null,1816,null,24488,null,2076,null,42932,null,2023,null,756336,null,3468,null,646202,null,3333,null,16484,null,2025,null,629718,null,3660,null,110134,null,1840,null,215,null,208,null,109919,null,1870,null,0400000US37,North Carolina,37
