C21001G_001E,C21001G_001EA,C21001G_001M,C21001G_001MA,C21001G_002E,C21001G_002EA,C21001G_002M,C21001G_002MA,C21001G_003E,C21001G_003EA,C21001G_003M,C21001G_003MA,C21001G_004E,C21001G_004EA,C21001G_004M,C21001G_004MA,C21001G_005E,C21001G_005EA,C21001G_005M,C21001G_005MA,C21001G_006E,C21001G_006EA,C21001G_006M,C21001G_006MA,C21001G_007E,C21001G_007EA,C21001G_007M,C21001G_007MA,C21001G_008E,C21001G_008EA,C21001G_008M,C21001G_008MA,C21001G_009E,C21001G_009EA,C21001G_009M,C21001G_009MA,C21001G_010E,C21001G_010EA,C21001G_010M,C21001G_010MA,C21001G_011E,C21001G_011EA,C21001G_011M,C21001G_011MA,C21001G_012E,C21001G_012EA,C21001G_012M,C21001G_012MA,C21001G_013E,C21001G_013EA,C21001G_013M,C21001G_013MA,C21001G_014E,C21001G_014EA,C21001G_014M,C21001G_014MA,C21001G_015E,C21001G_015EA,C21001G_015M,C21001G_015MA,GEO_ID,NAME,state
31783,null,2715,null,14927,null,1787,null,13182,null,1713,null,3180,null,695,null,10002,null,1627,null,1745,null,749,null,1186,null,669,null,559,null,298,null,16856,null,1920,null,14453,null,1782,null,298,null,214,null,14155,null,1808,null,2403,null,693,null,131,null,164,null,2272,null,681,null,0400000US01,Alabama,01
21294,null,2236,null,10473,null,1521,null,9881,null,1441,null,1518,null,630,null,8363,null,1214,null,592,null,282,null,476,null,244,null,116,null,127,null,10821,null,1223,null,10134,null,1225,null,251,null,176,null,9883,null,1210,null,687,null,286,null,0,null,237,null,687,null,286,null,0400000US02,Alaska,02
70665,null,5163,null,33753,null,3207,null,31426,null,3192,null,4458,null,1022,null,26968,null,2885,null,2327,null,664,null,1373,null,524,null,954,null,445,null,36912,null,3214,null,34220,null,3171,null,386,null,269,null,33834,null,3148,null,2692,null,654,null,62,null,103,null,2630,null,644,null,0400000US04,Arizona,04
25690,null,2518,null,12232,null,1719,null,10375,null,1587,null,2005,null,574,null,8370,null,1609,null,1857,null,627,null,749,null,394,null,1108,null,452,null,13458,null,1603,null,10939,null,1460,null,337,null,298,null,10602,null,1429,null,2519,null,671,null,16,null,32,null,2503,null,671,null,0400000US05,Arkansas,05
646646,null,15338,null,319865,null,9772,null,297940,null,9907,null,32451,null,2933,null,265489,null,9749,null,21925,null,1860,null,10528,null,1314,null,11397,null,1589,null,326781,null,9957,null,297754,null,9327,null,3313,null,737,null,294441,null,9239,null,29027,null,2636,null,402,null,225,null,28625,null,2609,null,0400000US06,California,06
65235,null,5356,null,31944,null,3514,null,30234,null,3383,null,5523,null,1165,null,24711,null,2979,null,1710,null,625,null,1087,null,511,null,623,null,312,null,33291,null,3163,null,30626,null,3150,null,947,null,686,null,29679,null,3054,null,2665,null,678,null,61,null,97,null,2604,null,666,null,0400000US08,Colorado,08
35646,null,3759,null,16860,null,2477,null,16147,null,2453,null,2150,null,675,null,13997,null,2294,null,713,null,390,null,199,null,185,null,514,null,310,null,18786,null,2533,null,16945,null,2347,null,137,null,167,null,16808,null,2338,null,1841,null,649,null,0,null,273,null,1841,null,649,null,0400000US09,Connecticut,09
6981,null,1592,null,3628,null,1257,null,3572,null,1276,null,533,null,389,null,3039,null,1229,null,56,null,73,null,56,null,73,null,0,null,261,null,3353,null,961,null,3227,null,950,null,341,null,253,null,2886,null,869,null,126,null,128,null,0,null,261,null,126,null,128,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
174800,null,7898,null,85892,null,4848,null,75792,null,4662,null,10663,null,1823,null,65129,null,4188,null,10100,null,1448,null,3705,null,959,null,6395,null,1155,null,88908,null,5321,null,76845,null,5124,null,1822,null,735,null,75023,null,5011,null,12063,null,1637,null,166,null,182,null,11897,null,1626,null,0400000US12,Florida,12
55349,null,4535,null,24337,null,3125,null,21998,null,2951,null,3698,null,1108,null,18300,null,2816,null,2339,null,683,null,1648,null,559,null,691,null,344,null,31012,null,3033,null,27368,null,2982,null,1219,null,456,null,26149,null,2903,null,3644,null,1004,null,0,null,296,null,3644,null,1004,null,0400000US13,Georgia,13
171452,null,8005,null,84569,null,4919,null,78921,null,4722,null,11147,null,1906,null,67774,null,4003,null,5648,null,1039,null,2770,null,637,null,2878,null,860,null,86883,null,5283,null,78471,null,4962,null,1468,null,718,null,77003,null,4894,null,8412,null,1354,null,56,null,93,null,8356,null,1353,null,0400000US15,Hawaii,15
16740,null,1627,null,7457,null,946,null,6894,null,959,null,1513,null,568,null,5381,null,985,null,563,null,294,null,376,null,247,null,187,null,130,null,9283,null,1479,null,8627,null,1395,null,125,null,153,null,8502,null,1421,null,656,null,296,null,0,null,257,null,656,null,296,null,0400000US16,Idaho,16
95308,null,6648,null,45056,null,4170,null,41777,null,4080,null,4726,null,1155,null,37051,null,3863,null,3279,null,721,null,1167,null,363,null,2112,null,655,null,50252,null,3909,null,45552,null,3497,null,485,null,323,null,45067,null,3514,null,4700,null,1204,null,0,null,265,null,4700,null,1204,null,0400000US17,Illinois,17
49773,null,3382,null,23192,null,1977,null,21507,null,1828,null,2401,null,761,null,19106,null,1817,null,1685,null,545,null,518,null,258,null,1167,null,503,null,26581,null,2540,null,25140,null,2497,null,318,null,236,null,24822,null,2470,null,1441,null,551,null,70,null,136,null,1371,null,526,null,0400000US18,Indiana,18
17171,null,2099,null,8267,null,1326,null,7866,null,1328,null,1140,null,447,null,6726,null,1296,null,401,null,258,null,325,null,245,null,76,null,96,null,8904,null,1385,null,8220,null,1333,null,144,null,161,null,8076,null,1314,null,684,null,288,null,0,null,226,null,684,null,288,null,0400000US19,Iowa,19
35936,null,3298,null,17175,null,1875,null,16103,null,1818,null,1726,null,562,null,14377,null,1755,null,1072,null,424,null,797,null,367,null,275,null,154,null,18761,null,2387,null,17148,null,2319,null,556,null,411,null,16592,null,2254,null,1613,null,505,null,64,null,105,null,1549,null,502,null,0400000US20,Kansas,20
26302,null,2852,null,11528,null,1432,null,10085,null,1384,null,2059,null,720,null,8026,null,1231,null,1443,null,627,null,1033,null,514,null,410,null,255,null,14774,null,2214,null,13022,null,2109,null,269,null,259,null,12753,null,2072,null,1752,null,614,null,0,null,271,null,1752,null,614,null,0400000US21,Kentucky,21
