B19013_001E,B19013_001EA,B19013_001M,B19013_001MA,GEO_ID,NAME,state
42666,null,682,null,0400000US01,Alabama,01
68460,null,1917,null,0400000US02,Alaska,02
50958,null,511,null,0400000US04,Arizona,04
38815,null,702,null,0400000US05,Arkansas,05
61021,null,236,null,0400000US06,California,06
56993,null,623,null,0400000US08,Colorado,08
68595,null,1131,null,0400000US09,Connecticut,09
57989,null,1601,null,0400000US10,Delaware,10
57936,null,2402,null,0400000US11,District of Columbia,11
47778,null,351,null,0400000US12,Florida,12
50861,null,410,null,0400000US13,Georgia,13
67214,null,1868,null,0400000US15,Hawaii,15
47576,null,961,null,0400000US16,Idaho,16
56235,null,363,null,0400000US17,Illinois,17
47966,null,539,null,0400000US18,Indiana,18
48980,null,643,null,0400000US19,Iowa,19
50177,null,478,null,0400000US20,Kansas,20
41538,null,446,null,0400000US21,Kentucky,21
43733,null,631,null,0400000US22,Louisiana,22
46581,null,892,null,0400000US23,Maine,23
70545,null,622,null,0400000US24,Maryland,24
65401,null,597,null,0400000US25,Massachusetts,25
48591,null,421,null,0400000US26,Michigan,26
57288,null,520,null,0400000US27,Minnesota,27
37790,null,676,null,0400000US28,Mississippi,28
46867,null,373,null,0400000US29,Missouri,29
43654,null,1263,null,0400000US30,Montana,30
49693,null,811,null,0400000US31,Nebraska,31
56361,null,793,null,0400000US32,Nevada,32
63731,null,1642,null,0400000US33,New Hampshire,33
70378,null,516,null,0400000US34,New Jersey,34
43508,null,912,null,0400000US35,New Mexico,35
56033,null,380,null,0400000US36,New York,36
46549,null,423,null,0400000US37,North Carolina,37
45685,null,974,null,0400000US38,North Dakota,38
47988,null,317,null,0400000US39,Ohio,39
42822,null,713,null,0400000US40,Oklahoma,40
50169,null,523,null,0400000US41,Oregon,41
50713,null,260,null,0400000US42,Pennsylvania,42
55701,null,1791,null,0400000US44,Rhode Island,44
44625,null,633,null,0400000US45,South Carolina,45
46032,null,1172,null,0400000US46,South Dakota,46
43614,null,425,null,0400000US47,Tennessee,47
50043,null,220,null,0400000US48,Texas,48
56633,null,705,null,0400000US49,Utah,49
52104,null,980,null,0400000US50,Vermont,50
61233,null,435,null,0400000US51,Virginia,51
58078,null,575,null,0400000US53,Washington,53
37989,null,1017,null,0400000US54,West Virginia,54
52094,null,357,null,0400000US55,Wisconsin,55
53207,null,1992,null,0400000US56,Wyoming,56
18401,null,316,null,0400000US72,Puerto Rico,72
