B19101H_001E,B19101H_001EA,B19101H_001M,B19101H_001MA,B19101H_002E,B19101H_002EA,B19101H_002M,B19101H_002MA,B19101H_003E,B19101H_003EA,B19101H_003M,B19101H_003MA,B19101H_004E,B19101H_004EA,B19101H_004M,B19101H_004MA,B19101H_005E,B19101H_005EA,B19101H_005M,B19101H_005MA,B19101H_006E,B19101H_006EA,B19101H_006M,B19101H_006MA,B19101H_007E,B19101H_007EA,B19101H_007M,B19101H_007MA,B19101H_008E,B19101H_008EA,B19101H_008M,B19101H_008MA,B19101H_009E,B19101H_009EA,B19101H_009M,B19101H_009MA,B19101H_010E,B19101H_010EA,B19101H_010M,B19101H_010MA,B19101H_011E,B19101H_011EA,B19101H_011M,B19101H_011MA,B19101H_012E,B19101H_012EA,B19101H_012M,B19101H_012MA,B19101H_013E,B19101H_013EA,B19101H_013M,B19101H_013MA,B19101H_014E,B19101H_014EA,B19101H_014M,B19101H_014MA,B19101H_015E,B19101H_015EA,B19101H_015M,B19101H_015MA,B19101H_016E,B19101H_016EA,B19101H_016M,B19101H_016MA,B19101H_017E,B19101H_017EA,B19101H_017M,B19101H_017MA,GEO_ID,NAME,state
877062,null,8919,null,29469,null,2603,null,24785,null,2848,null,36492,null,3064,null,37761,null,3485,null,40390,null,2799,null,45191,null,2933,null,38970,null,2848,null,42042,null,3124,null,43776,null,2912,null,86654,null,3694,null,111465,null,5111,null,134488,null,5418,null,88984,null,4140,null,42848,null,2428,null,37655,null,2713,null,36092,null,2478,null,0400000US01,Alabama,01
111181,null,3397,null,1724,null,532,null,1075,null,456,null,976,null,387,null,2407,null,759,null,3390,null,910,null,3591,null,822,null,2390,null,547,null,3789,null,784,null,3793,null,1057,null,7455,null,1182,null,12000,null,1392,null,21036,null,2019,null,17881,null,1827,null,11802,null,1513,null,9597,null,1357,null,8275,null,1200,null,0400000US02,Alaska,02
973544,null,10368,null,28244,null,3185,null,18195,null,2189,null,25867,null,2807,null,31313,null,3016,null,36288,null,3571,null,43267,null,3309,null,41717,null,3345,null,46209,null,3555,null,43480,null,3250,null,87280,null,4575,null,124835,null,5150,null,160108,null,5820,null,110677,null,4731,null,62913,null,3890,null,56058,null,3198,null,57093,null,3387,null,0400000US04,Arizona,04
595310,null,6852,null,24329,null,1987,null,20481,null,2152,null,28469,null,2390,null,34609,null,2697,null,32602,null,2918,null,37155,null,2905,null,37198,null,2462,null,33110,null,2810,null,30997,null,3093,null,57941,null,3492,null,72285,null,3715,null,82020,null,4042,null,44057,null,3217,null,24103,null,1998,null,18465,null,1836,null,17489,null,1818,null,0400000US05,Arkansas,05
3907625,null,20135,null,91679,null,6087,null,69913,null,4548,null,90612,null,4896,null,108881,null,5218,null,103779,null,5255,null,112378,null,5775,null,123857,null,5382,null,123647,null,5839,null,131028,null,6225,null,254343,null,7704,null,397346,null,10461,null,581656,null,11413,null,501411,null,9965,null,330632,null,9310,null,408424,null,8036,null,478039,null,8836,null,0400000US06,California,06
909634,null,10383,null,18956,null,2428,null,14075,null,1899,null,21058,null,2558,null,25236,null,2438,null,26577,null,2522,null,30689,null,2499,null,33146,null,2827,null,34748,null,2645,null,34026,null,3038,null,74550,null,3442,null,111782,null,5137,null,154057,null,5713,null,112523,null,4764,null,70800,null,3105,null,74189,null,3612,null,73222,null,3752,null,0400000US08,Colorado,08
681225,null,6343,null,10783,null,1755,null,8132,null,1534,null,9778,null,1602,null,12778,null,1586,null,15385,null,1990,null,18120,null,2426,null,19795,null,2347,null,20202,null,2236,null,19971,null,2070,null,42863,null,2934,null,71023,null,3114,null,109386,null,5370,null,96070,null,4091,null,67102,null,3786,null,71980,null,4027,null,87857,null,4130,null,0400000US09,Connecticut,09
158777,null,3503,null,2307,null,756,null,2742,null,801,null,3386,null,805,null,4300,null,995,null,4860,null,857,null,6978,null,1179,null,7158,null,1196,null,6538,null,1214,null,5869,null,948,null,13095,null,1766,null,20840,null,2332,null,26722,null,2295,null,20652,null,1911,null,11419,null,1394,null,12385,null,1794,null,9526,null,1128,null,0400000US10,Delaware,10
30188,null,2103,null,212,null,155,null,131,null,154,null,377,null,321,null,303,null,240,null,331,null,251,null,41,null,68,null,51,null,87,null,378,null,367,null,245,null,217,null,857,null,405,null,1040,null,614,null,1814,null,606,null,2395,null,899,null,2894,null,788,null,5908,null,1042,null,13211,null,1564,null,0400000US11,District of Columbia,11
2926140,null,18323,null,84109,null,5235,null,66663,null,4417,null,90073,null,5142,null,119200,null,7306,null,124969,null,5521,null,138911,null,5923,null,136157,null,6180,null,149321,null,7014,null,134238,null,5506,null,277088,null,8583,null,362627,null,8889,null,447282,null,10960,null,289441,null,6608,null,163760,null,5558,null,162952,null,6514,null,179349,null,6565,null,0400000US12,Florida,12
1482708,null,12921,null,43941,null,4495,null,36000,null,3716,null,43346,null,3511,null,52732,null,4010,null,56036,null,4205,null,60084,null,3562,null,61607,null,3923,null,66806,null,5042,null,61777,null,3821,null,129909,null,6218,null,179152,null,6951,null,234049,null,7129,null,158032,null,6446,null,92944,null,4454,null,98828,null,5148,null,107465,null,4387,null,0400000US13,Georgia,13
85552,null,2971,null,2499,null,930,null,1095,null,574,null,1514,null,630,null,1773,null,521,null,2036,null,564,null,3761,null,1089,null,3801,null,981,null,3413,null,851,null,3240,null,828,null,5468,null,1143,null,9694,null,1435,null,14935,null,1812,null,11735,null,1677,null,6581,null,1194,null,6053,null,1081,null,7954,null,1261,null,0400000US15,Hawaii,15
350686,null,6432,null,12599,null,2074,null,9939,null,1842,null,13144,null,1833,null,16107,null,2129,null,17007,null,2016,null,19945,null,2250,null,18925,null,2002,null,20706,null,2256,null,19371,null,2243,null,39372,null,2948,null,48672,null,2965,null,50988,null,2978,null,29411,null,2491,null,14184,null,1750,null,11069,null,1291,null,9247,null,1180,null,0400000US16,Idaho,16
2170020,null,13068,null,52815,null,3668,null,41313,null,2815,null,49037,null,3436,null,61579,null,3565,null,69070,null,3851,null,79499,null,3540,null,76200,null,3831,null,86961,null,4186,null,85749,null,4015,null,174922,null,5971,null,264940,null,7220,null,370867,null,9396,null,259411,null,6574,null,157146,null,5019,null,165665,null,5505,null,174846,null,5851,null,0400000US17,Illinois,17
1418273,null,12678,null,52462,null,3799,null,35329,null,2767,null,42915,null,3083,null,58279,null,3951,null,61068,null,4145,null,72321,null,3825,null,65843,null,3354,null,75632,null,4554,null,67457,null,3344,null,143917,null,5837,null,187740,null,6156,null,239296,null,6850,null,140129,null,5616,null,70582,null,3558,null,56578,null,3319,null,48725,null,2918,null,0400000US18,Indiana,18
734555,null,6993,null,21075,null,2523,null,16938,null,2149,null,21693,null,1892,null,29704,null,2261,null,30658,null,2328,null,32834,null,2746,null,37899,null,2595,null,40664,null,3040,null,34812,null,2269,null,74204,null,2911,null,108109,null,3950,null,127388,null,4737,null,67943,null,3457,null,36170,null,2727,null,29611,null,2333,null,24853,null,1968,null,0400000US19,Iowa,19
616212,null,7562,null,14270,null,1610,null,14991,null,1964,null,16169,null,2041,null,22660,null,2078,null,25538,null,2257,null,27843,null,2461,null,29713,null,2697,null,30783,null,2416,null,30352,null,2611,null,61385,null,3281,null,79384,null,4063,null,107583,null,4454,null,64774,null,3501,null,31801,null,1759,null,32325,null,2651,null,26641,null,2112,null,0400000US20,Kansas,20
1011800,null,10999,null,59716,null,4259,null,43408,null,3496,null,49314,null,3345,null,52134,null,3749,null,55281,null,3571,null,54041,null,3087,null,51127,null,2971,null,53103,null,3822,null,50964,null,2788,null,93223,null,4707,null,121406,null,4515,null,147268,null,5003,null,77729,null,4132,null,40921,null,3068,null,32105,null,2493,null,30060,null,2449,null,0400000US21,Kentucky,21
726761,null,7406,null,25638,null,2722,null,17610,null,2284,null,26278,null,2672,null,31468,null,3046,null,29533,null,2555,null,32558,null,2800,null,33997,null,2716,null,33302,null,2830,null,31527,null,2542,null,63371,null,3920,null,89101,null,4740,null,119620,null,4457,null,77392,null,4140,null,42537,null,3283,null,36913,null,2793,null,35916,null,2828,null,0400000US22,Louisiana,22
331991,null,6145,null,11937,null,1587,null,10806,null,1627,null,13436,null,1646,null,15925,null,1857,null,18484,null,1913,null,17930,null,1953,null,16460,null,1937,null,16681,null,1700,null,15989,null,1994,null,33872,null,2322,null,45006,null,2698,null,50943,null,2535,null,27543,null,2026,null,13885,null,1764,null,13373,null,1511,null,9721,null,1317,null,0400000US23,Maine,23
852340,null,8416,null,14930,null,2081,null,10360,null,1784,null,11532,null,1736,null,19501,null,2382,null,17686,null,2203,null,22406,null,1827,null,22427,null,2792,null,26547,null,2417,null,24036,null,2700,null,54628,null,3262,null,88722,null,3594,null,136882,null,5494,null,116777,null,5262,null,80963,null,3461,null,102310,null,3987,null,102633,null,4028,null,0400000US24,Maryland,24
1267301,null,10533,null,29606,null,3465,null,21660,null,2653,null,25821,null,2791,null,30675,null,2250,null,32454,null,3031,null,36023,null,2790,null,35794,null,2771,null,41481,null,2933,null,40772,null,3289,null,82431,null,4582,null,136682,null,6587,null,209151,null,6210,null,170122,null,4936,null,111859,null,4928,null,128897,null,5515,null,133873,null,4731,null,0400000US25,Massachusetts,25
2056057,null,13111,null,71285,null,3942,null,54807,null,3742,null,64633,null,4054,null,75426,null,3410,null,80004,null,4161,null,99719,null,3452,null,101516,null,4159,null,104676,null,4043,null,99952,null,4702,null,194967,null,6510,null,259484,null,5912,null,336008,null,6633,null,205395,null,5313,null,115652,null,4367,null,102779,null,4321,null,89754,null,3304,null,0400000US26,Michigan,26
1191757,null,9584,null,24216,null,2281,null,22002,null,1866,null,28046,null,2382,null,33345,null,2521,null,39568,null,2428,null,41215,null,2646,null,43335,null,2380,null,49406,null,3030,null,52593,null,2771,null,105565,null,4264,null,161643,null,4336,null,218587,null,5571,null,145565,null,4565,null,76758,null,3053,null,78471,null,3548,null,71442,null,3207,null,0400000US27,Minnesota,27
473672,null,5997,null,17465,null,2818,null,16030,null,2256,null,21388,null,2632,null,22769,null,2429,null,20682,null,2641,null,27488,null,2009,null,23313,null,2519,null,25436,null,2201,null,24766,null,2659,null,44749,null,3771,null,60820,null,3512,null,71591,null,4169,null,42261,null,3507,null,20142,null,2235,null,18068,null,1807,null,16704,null,2091,null,0400000US28,Mississippi,28
1299303,null,10432,null,45043,null,3072,null,36518,null,3249,null,45529,null,3607,null,55365,null,3184,null,60023,null,3908,null,64783,null,3371,null,65122,null,3927,null,66466,null,3728,null,63258,null,3709,null,130705,null,5314,null,164102,null,6769,null,212359,null,6270,null,121417,null,4572,null,65797,null,3572,null,54249,null,3214,null,48567,null,2655,null,0400000US29,Missouri,29
218644,null,3931,null,8058,null,1635,null,6567,null,1057,null,7011,null,1191,null,12261,null,1520,null,10513,null,1442,null,11503,null,1395,null,11195,null,1436,null,11569,null,1536,null,11731,null,1547,null,21788,null,2155,null,30528,null,2173,null,33760,null,2456,null,18517,null,1524,null,9093,null,1378,null,6989,null,1203,null,7561,null,1211,null,0400000US30,Montana,30
401350,null,5506,null,7395,null,1159,null,8305,null,1354,null,11338,null,1381,null,14754,null,1515,null,16729,null,1899,null,17988,null,1506,null,19249,null,1678,null,20658,null,2030,null,18357,null,1646,null,43722,null,2594,null,59287,null,3171,null,72438,null,3072,null,38228,null,2205,null,21794,null,2081,null,15591,null,1377,null,15517,null,1371,null,0400000US31,Nebraska,31
375646,null,6474,null,8614,null,1371,null,5410,null,1122,null,9020,null,1603,null,10457,null,2000,null,12026,null,1615,null,13262,null,1932,null,16398,null,1968,null,15160,null,1683,null,15804,null,1589,null,32784,null,2915,null,46008,null,2924,null,69445,null,4166,null,48078,null,3439,null,26013,null,2204,null,24796,null,2525,null,22371,null,1903,null,0400000US32,Nevada,32
326784,null,5372,null,7185,null,1482,null,6221,null,1226,null,7811,null,1598,null,9902,null,1478,null,9875,null,1261,null,11190,null,1717,null,11297,null,1563,null,12679,null,1659,null,13114,null,1659,null,29123,null,2461,null,38535,null,2918,null,57816,null,3354,null,41848,null,2895,null,24327,null,1956,null,25916,null,2125,null,19945,null,1919,null,0400000US33,New Hampshire,33
1401619,null,11588,null,20276,null,2138,null,15468,null,1830,null,18782,null,1994,null,29046,null,2770,null,31059,null,2940,null,34552,null,3327,null,37480,null,2582,null,41384,null,3328,null,41857,null,3445,null,87928,null,4008,null,137797,null,5407,null,220790,null,5837,null,196103,null,5807,null,141748,null,5005,null,162001,null,5335,null,185348,null,5322,null,0400000US34,New Jersey,34
223704,null,4440,null,6964,null,1275,null,5085,null,1297,null,7888,null,1463,null,8713,null,1539,null,8107,null,1388,null,10236,null,1628,null,11214,null,1555,null,12472,null,1842,null,10694,null,1597,null,17629,null,1861,null,24417,null,2506,null,35176,null,2483,null,25772,null,2158,null,12817,null,1622,null,14583,null,1519,null,11937,null,1504,null,0400000US35,New Mexico,35
