B19113C_001E,B19113C_001EA,B19113C_001M,B19113C_001MA,GEO_ID,NAME,state
55776,null,7674,null,0400000US01,Alabama,01
47443,null,4951,null,0400000US02,Alaska,02
38050,null,2941,null,0400000US04,Arizona,04
31677,null,16485,null,0400000US05,Arkansas,05
51830,null,2885,null,0400000US06,California,06
40885,null,7875,null,0400000US08,Colorado,08
61656,null,44877,null,0400000US09,Connecticut,09
51558,null,18259,null,0400000US10,Delaware,10
null,null,null,null,0400000US11,District of Columbia,11
37693,null,6977,null,0400000US12,Florida,12
58550,null,21846,null,0400000US13,Georgia,13
73185,null,44557,null,0400000US15,Hawaii,15
46321,null,12161,null,0400000US16,Idaho,16
51439,null,8899,null,0400000US17,Illinois,17
37533,null,6127,null,0400000US18,Indiana,18
24690,null,14674,null,0400000US19,Iowa,19
39858,null,13938,null,0400000US20,Kansas,20
44547,null,15134,null,0400000US21,Kentucky,21
37662,null,6486,null,0400000US22,Louisiana,22
41853,null,28625,null,0400000US23,Maine,23
74617,null,26161,null,0400000US24,Maryland,24
52897,null,26575,null,0400000US25,Massachusetts,25
48664,null,7855,null,0400000US26,Michigan,26
30034,null,5463,null,0400000US27,Minnesota,27
26916,null,3323,null,0400000US28,Mississippi,28
43679,null,13849,null,0400000US29,Missouri,29
35501,null,4131,null,0400000US30,Montana,30
32257,null,9564,null,0400000US31,Nebraska,31
58845,null,8079,null,0400000US32,Nevada,32
38214,null,29465,null,0400000US33,New Hampshire,33
60421,null,13674,null,0400000US34,New Jersey,34
38446,null,4333,null,0400000US35,New Mexico,35
56009,null,5181,null,0400000US36,New York,36
40849,null,5777,null,0400000US37,North Carolina,37
29205,null,5108,null,0400000US38,North Dakota,38
34192,null,10169,null,0400000US39,Ohio,39
41033,null,2448,null,0400000US40,Oklahoma,40
33315,null,5935,null,0400000US41,Oregon,41
48401,null,10916,null,0400000US42,Pennsylvania,42
33048,null,12983,null,0400000US44,Rhode Island,44
34098,null,20982,null,0400000US45,South Carolina,45
28578,null,4485,null,0400000US46,South Dakota,46
39399,null,11740,null,0400000US47,Tennessee,47
55668,null,5942,null,0400000US48,Texas,48
42332,null,19590,null,0400000US49,Utah,49
41213,null,1002,null,0400000US50,Vermont,50
47355,null,17416,null,0400000US51,Virginia,51
51241,null,5537,null,0400000US53,Washington,53
36765,null,19669,null,0400000US54,West Virginia,54
41832,null,2697,null,0400000US55,Wisconsin,55
36755,null,9128,null,0400000US56,Wyoming,56
23088,null,15555,null,0400000US72,Puerto Rico,72
