B19325_001E,B19325_001EA,B19325_001M,B19325_001MA,B19325_002E,B19325_002EA,B19325_002M,B19325_002MA,B19325_003E,B19325_003EA,B19325_003M,B19325_003MA,B19325_004E,B19325_004EA,B19325_004M,B19325_004MA,B19325_005E,B19325_005EA,B19325_005M,B19325_005MA,B19325_006E,B19325_006EA,B19325_006M,B19325_006MA,B19325_007E,B19325_007EA,B19325_007M,B19325_007MA,B19325_008E,B19325_008EA,B19325_008M,B19325_008MA,B19325_009E,B19325_009EA,B19325_009M,B19325_009MA,B19325_010E,B19325_010EA,B19325_010M,B19325_010MA,B19325_011E,B19325_011EA,B19325_011M,B19325_011MA,B19325_012E,B19325_012EA,B19325_012M,B19325_012MA,B19325_013E,B19325_013EA,B19325_013M,B19325_013MA,B19325_014E,B19325_014EA,B19325_014M,B19325_014MA,B19325_015E,B19325_015EA,B19325_015M,B19325_015MA,B19325_016E,B19325_016EA,B19325_016M,B19325_016MA,B19325_017E,B19325_017EA,B19325_017M,B19325_017MA,B19325_018E,B19325_018EA,B19325_018M,B19325_018MA,B19325_019E,B19325_019EA,B19325_019M,B19325_019MA,B19325_020E,B19325_020EA,B19325_020M,B19325_020MA,B19325_021E,B19325_021EA,B19325_021M,B19325_021MA,B19325_022E,B19325_022EA,B19325_022M,B19325_022MA,B19325_023E,B19325_023EA,B19325_023M,B19325_023MA,B19325_024E,B19325_024EA,B19325_024M,B19325_024MA,B19325_025E,B19325_025EA,B19325_025M,B19325_025MA,B19325_026E,B19325_026EA,B19325_026M,B19325_026MA,B19325_027E,B19325_027EA,B19325_027M,B19325_027MA,B19325_028E,B19325_028EA,B19325_028M,B19325_028MA,B19325_029E,B19325_029EA,B19325_029M,B19325_029MA,B19325_030E,B19325_030EA,B19325_030M,B19325_030MA,B19325_031E,B19325_031EA,B19325_031M,B19325_031MA,B19325_032E,B19325_032EA,B19325_032M,B19325_032MA,B19325_033E,B19325_033EA,B19325_033M,B19325_033MA,B19325_034E,B19325_034EA,B19325_034M,B19325_034MA,B19325_035E,B19325_035EA,B19325_035M,B19325_035MA,B19325_036E,B19325_036EA,B19325_036M,B19325_036MA,B19325_037E,B19325_037EA,B19325_037M,B19325_037MA,B19325_038E,B19325_038EA,B19325_038M,B19325_038MA,B19325_039E,B19325_039EA,B19325_039M,B19325_039MA,B19325_040E,B19325_040EA,B19325_040M,B19325_040MA,B19325_041E,B19325_041EA,B19325_041M,B19325_041MA,B19325_042E,B19325_042EA,B19325_042M,B19325_042MA,B19325_043E,B19325_043EA,B19325_043M,B19325_043MA,B19325_044E,B19325_044EA,B19325_044M,B19325_044MA,B19325_045E,B19325_045EA,B19325_045M,B19325_045MA,B19325_046E,B19325_046EA,B19325_046M,B19325_046MA,B19325_047E,B19325_047EA,B19325_047M,B19325_047MA,B19325_048E,B19325_048EA,B19325_048M,B19325_048MA,B19325_049E,B19325_049EA,B19325_049M,B19325_049MA,B19325_050E,B19325_050EA,B19325_050M,B19325_050MA,B19325_051E,B19325_051EA,B19325_051M,B19325_051MA,B19325_052E,B19325_052EA,B19325_052M,B19325_052MA,B19325_053E,B19325_053EA,B19325_053M,B19325_053MA,B19325_054E,B19325_054EA,B19325_054M,B19325_054MA,B19325_055E,B19325_055EA,B19325_055M,B19325_055MA,B19325_056E,B19325_056EA,B19325_056M,B19325_056MA,B19325_057E,B19325_057EA,B19325_057M,B19325_057MA,B19325_058E,B19325_058EA,B19325_058M,B19325_058MA,B19325_059E,B19325_059EA,B19325_059M,B19325_059MA,B19325_060E,B19325_060EA,B19325_060M,B19325_060MA,B19325_061E,B19325_061EA,B19325_061M,B19325_061MA,B19325_062E,B19325_062EA,B19325_062M,B19325_062MA,B19325_063E,B19325_063EA,B19325_063M,B19325_063MA,B19325_064E,B19325_064EA,B19325_064M,B19325_064MA,B19325_065E,B19325_065EA,B19325_065M,B19325_065MA,B19325_066E,B19325_066EA,B19325_066M,B19325_066MA,B19325_067E,B19325_067EA,B19325_067M,B19325_067MA,B19325_068E,B19325_068EA,B19325_068M,B19325_068MA,B19325_069E,B19325_069EA,B19325_069M,B19325_069MA,B19325_070E,B19325_070EA,B19325_070M,B19325_070MA,B19325_071E,B19325_071EA,B19325_071M,B19325_071MA,B19325_072E,B19325_072EA,B19325_072M,B19325_072MA,B19325_073E,B19325_073EA,B19325_073M,B19325_073MA,B19325_074E,B19325_074EA,B19325_074M,B19325_074MA,B19325_075E,B19325_075EA,B19325_075M,B19325_075MA,B19325_076E,B19325_076EA,B19325_076M,B19325_076MA,B19325_077E,B19325_077EA,B19325_077M,B19325_077MA,B19325_078E,B19325_078EA,B19325_078M,B19325_078MA,B19325_079E,B19325_079EA,B19325_079M,B19325_079MA,B19325_080E,B19325_080EA,B19325_080M,B19325_080MA,B19325_081E,B19325_081EA,B19325_081M,B19325_081MA,B19325_082E,B19325_082EA,B19325_082M,B19325_082MA,B19325_083E,B19325_083EA,B19325_083M,B19325_083MA,B19325_084E,B19325_084EA,B19325_084M,B19325_084MA,B19325_085E,B19325_085EA,B19325_085M,B19325_085MA,B19325_086E,B19325_086EA,B19325_086M,B19325_086MA,B19325_087E,B19325_087EA,B19325_087M,B19325_087MA,B19325_088E,B19325_088EA,B19325_088M,B19325_088MA,B19325_089E,B19325_089EA,B19325_089M,B19325_089MA,B19325_090E,B19325_090EA,B19325_090M,B19325_090MA,B19325_091E,B19325_091EA,B19325_091M,B19325_091MA,B19325_092E,B19325_092EA,B19325_092M,B19325_092MA,B19325_093E,B19325_093EA,B19325_093M,B19325_093MA,B19325_094E,B19325_094EA,B19325_094M,B19325_094MA,B19325_095E,B19325_095EA,B19325_095M,B19325_095MA,GEO_ID,NAME,state
3735070,null,2776,null,1784934,null,3194,null,885366,null,10749,null,0,null,271,null,885366,null,10749,null,1731,null,582,null,1574,null,688,null,6059,null,1216,null,6894,null,1305,null,19292,null,2632,null,12326,null,1973,null,32072,null,3530,null,25087,null,2742,null,42793,null,3788,null,30585,null,3149,null,70882,null,4824,null,82934,null,4561,null,64738,null,4360,null,69135,null,4027,null,48651,null,4081,null,58339,null,3442,null,78735,null,5223,null,59083,null,3299,null,78897,null,3633,null,95559,null,5152,null,899568,null,11312,null,156596,null,5546,null,742972,null,10143,null,85376,null,4901,null,55918,null,4552,null,60959,null,4493,null,75662,null,4800,null,70439,null,3709,null,42760,null,3884,null,45406,null,3559,null,32982,null,2876,null,33970,null,2818,null,23385,null,2238,null,39925,null,2987,null,34633,null,2899,null,26954,null,2456,null,22041,null,2118,null,18940,null,1907,null,13600,null,1747,null,16820,null,1516,null,11431,null,1598,null,16648,null,1872,null,15123,null,1712,null,1950136,null,2827,null,652982,null,9508,null,0,null,271,null,652982,null,9508,null,618,null,364,null,998,null,492,null,5579,null,1117,null,8563,null,1591,null,30058,null,2726,null,23664,null,3063,null,44584,null,3441,null,32787,null,2998,null,48430,null,4010,null,37382,null,3066,null,68201,null,3960,null,64238,null,4031,null,56562,null,4034,null,48968,null,3379,null,36356,null,2936,null,39325,null,3042,null,38364,null,3340,null,23768,null,2361,null,26858,null,2208,null,17679,null,2031,null,1297154,null,10253,null,283839,null,7026,null,1013315,null,10901,null,120457,null,5240,null,90967,null,4503,null,132005,null,4656,null,150993,null,5243,null,119291,null,5506,null,70498,null,3487,null,55042,null,3781,null,41703,null,2672,null,39589,null,3185,null,25822,null,2307,null,42658,null,3088,null,31649,null,3173,null,18967,null,1893,null,17752,null,1812,null,13684,null,1616,null,11706,null,1751,null,11641,null,1524,null,5286,null,980,null,5601,null,1054,null,8004,null,1334,null,0400000US01,Alabama,01
537334,null,1673,null,280866,null,1780,null,130889,null,4105,null,0,null,240,null,130889,null,4105,null,557,null,556,null,251,null,277,null,482,null,439,null,389,null,244,null,1636,null,649,null,703,null,342,null,2345,null,735,null,2167,null,846,null,2831,null,726,null,3017,null,909,null,7814,null,2206,null,9384,null,1346,null,8877,null,1604,null,9461,null,1645,null,6096,null,1227,null,9542,null,1548,null,13450,null,1582,null,12946,null,1885,null,17099,null,1827,null,21842,null,2149,null,149977,null,4129,null,7607,null,1544,null,142370,null,4540,null,15572,null,1850,null,11338,null,1492,null,9565,null,1501,null,8852,null,1619,null,9035,null,1653,null,8256,null,1546,null,7137,null,1361,null,4458,null,1093,null,5118,null,1015,null,4116,null,1046,null,7033,null,1179,null,5425,null,1166,null,5816,null,1307,null,5457,null,1133,null,3963,null,873,null,4912,null,1098,null,6510,null,1198,null,4406,null,839,null,6035,null,1136,null,9366,null,1803,null,256468,null,1173,null,95875,null,3474,null,0,null,240,null,95875,null,3474,null,131,null,110,null,211,null,198,null,498,null,406,null,618,null,350,null,1648,null,675,null,969,null,520,null,2407,null,776,null,1776,null,674,null,4657,null,1022,null,3292,null,841,null,8450,null,1384,null,10874,null,1970,null,10734,null,1761,null,8911,null,1428,null,7875,null,1528,null,7439,null,1413,null,8635,null,1243,null,5470,null,985,null,6660,null,1238,null,4620,null,1018,null,160593,null,3625,null,13696,null,1780,null,146897,null,3959,null,21170,null,2250,null,16694,null,1861,null,13441,null,1878,null,12498,null,1731,null,12125,null,1847,null,8677,null,1184,null,9032,null,1451,null,5445,null,936,null,6248,null,1150,null,5351,null,1197,null,8010,null,1228,null,5609,null,1077,null,4195,null,923,null,2801,null,741,null,3163,null,965,null,2668,null,724,null,2587,null,836,null,3282,null,811,null,2145,null,733,null,1756,null,663,null,0400000US02,Alaska,02
5065307,null,1822,null,2522771,null,2326,null,1257586,null,13410,null,0,null,302,null,1257586,null,13410,null,1094,null,506,null,1424,null,679,null,8001,null,1616,null,8470,null,1996,null,33900,null,3872,null,23505,null,3023,null,34666,null,3778,null,36681,null,3922,null,68668,null,5556,null,48446,null,4499,null,92283,null,6505,null,113012,null,7292,null,101200,null,6782,null,90339,null,5782,null,69946,null,5540,null,83261,null,5744,null,101429,null,4251,null,75447,null,4405,null,114933,null,4407,null,150881,null,5354,null,1265185,null,13682,null,256484,null,7726,null,1008701,null,13813,null,96123,null,5588,null,71495,null,4914,null,81632,null,5499,null,69381,null,5465,null,80246,null,4619,null,54951,null,3989,null,55673,null,3835,null,47823,null,3812,null,46059,null,3328,null,40274,null,3813,null,57520,null,4167,null,54120,null,3533,null,41957,null,3385,null,35777,null,3031,null,26785,null,2386,null,24093,null,2342,null,32666,null,2726,null,22150,null,2123,null,31031,null,2635,null,38945,null,3100,null,2542536,null,1883,null,863208,null,12360,null,0,null,302,null,863208,null,12360,null,797,null,483,null,2363,null,818,null,9019,null,1795,null,9677,null,2088,null,28776,null,3662,null,19616,null,2731,null,39569,null,4296,null,34766,null,3311,null,50057,null,3678,null,41595,null,3232,null,86118,null,4847,null,98650,null,5394,null,81925,null,5494,null,75344,null,4900,null,52351,null,3888,null,47441,null,3230,null,56965,null,3892,null,35476,null,2692,null,50406,null,3675,null,42297,null,3717,null,1679328,null,12741,null,443294,null,9489,null,1236034,null,13262,null,133384,null,5771,null,106242,null,5467,null,153983,null,6576,null,135916,null,5882,null,129349,null,6248,null,82256,null,5106,null,76379,null,4070,null,53927,null,4196,null,51174,null,3811,null,35995,null,2891,null,60372,null,4080,null,55242,null,3935,null,34207,null,2715,null,27380,null,2219,null,18304,null,2001,null,17832,null,2058,null,20534,null,2388,null,13827,null,1558,null,14594,null,1828,null,15137,null,1827,null,0400000US04,Arizona,04
2273362,null,2617,null,1098677,null,3077,null,521166,null,8243,null,0,null,269,null,521166,null,8243,null,557,null,342,null,1438,null,632,null,4458,null,1113,null,4287,null,979,null,11184,null,1789,null,11200,null,1789,null,21337,null,2603,null,20980,null,2319,null,34596,null,3143,null,20784,null,2772,null,42946,null,3683,null,55278,null,3942,null,42344,null,3396,null,42730,null,3666,null,29177,null,2397,null,30895,null,3094,null,38765,null,3037,null,29950,null,2365,null,34989,null,2948,null,43271,null,2857,null,577511,null,8553,null,96709,null,5420,null,480802,null,7715,null,53309,null,4597,null,31520,null,3137,null,44368,null,3376,null,50660,null,3145,null,49134,null,3785,null,32460,null,2738,null,27990,null,2497,null,22953,null,2361,null,21634,null,1998,null,16399,null,1720,null,28182,null,2628,null,21746,null,2007,null,14695,null,1949,null,12339,null,1715,null,9772,null,1433,null,8390,null,1504,null,10881,null,1405,null,6736,null,1119,null,7903,null,1367,null,9731,null,1262,null,1174685,null,3009,null,398201,null,6638,null,0,null,269,null,398201,null,6638,null,873,null,543,null,1372,null,645,null,3864,null,1070,null,7994,null,1435,null,17803,null,2214,null,18787,null,2537,null,28500,null,3010,null,23873,null,2519,null,35811,null,3211,null,25196,null,2570,null,42702,null,2860,null,42132,null,2995,null,32488,null,2949,null,28284,null,2677,null,19349,null,2250,null,16362,null,1694,null,19248,null,2005,null,11673,null,1625,null,12607,null,1574,null,9283,null,1454,null,776484,null,7017,null,156254,null,5614,null,620230,null,9004,null,73650,null,3950,null,65019,null,5194,null,85152,null,4564,null,90361,null,4387,null,76797,null,3462,null,41929,null,2650,null,32435,null,2727,null,23305,null,2391,null,23367,null,2233,null,14724,null,1870,null,19661,null,2325,null,17970,null,1940,null,15349,null,2103,null,10941,null,1400,null,8190,null,1474,null,6445,null,1214,null,5341,null,1148,null,2985,null,850,null,3005,null,839,null,3604,null,945,null,0400000US05,Arkansas,05
29026913,null,3327,null,14424723,null,4146,null,7161591,null,33854,null,0,null,294,null,7161591,null,33854,null,14817,null,2217,null,12542,null,2778,null,41780,null,3687,null,47292,null,4857,null,164933,null,7393,null,134640,null,7164,null,257960,null,9984,null,208300,null,9203,null,309825,null,11751,null,237493,null,10292,null,455130,null,11221,null,488141,null,12253,null,427967,null,10574,null,459355,null,10507,null,352093,null,8614,null,423717,null,10798,null,570737,null,12609,null,450522,null,9717,null,780610,null,15385,null,1323737,null,16366,null,7263132,null,33717,null,1662210,null,18215,null,5600922,null,34632,null,548368,null,13432,null,384807,null,12412,null,414396,null,11775,null,435945,null,11082,null,591732,null,13688,null,294280,null,11375,null,306493,null,8341,null,223651,null,9375,null,251594,null,9326,null,177777,null,6511,null,280460,null,8367,null,265726,null,7486,null,200287,null,6747,null,171681,null,6538,null,127388,null,5681,null,126412,null,5743,null,175486,null,5696,null,132393,null,4572,null,203281,null,7246,null,288765,null,7210,null,14602190,null,3275,null,4738637,null,28134,null,0,null,294,null,4738637,null,28134,null,10085,null,1735,null,9829,null,1823,null,38193,null,3407,null,41773,null,3180,null,148185,null,8199,null,111799,null,6890,null,193958,null,6933,null,163953,null,6776,null,240507,null,8666,null,183578,null,7381,null,347288,null,11269,null,401112,null,10125,null,354552,null,10761,null,357759,null,12287,null,274651,null,7979,null,286949,null,9155,null,382628,null,8002,null,290652,null,8909,null,437022,null,11242,null,464164,null,10534,null,9863553,null,28325,null,2833542,null,26538,null,7030011,null,32387,null,734640,null,14763,null,598119,null,11829,null,761480,null,15925,null,739829,null,14432,null,885356,null,17170,null,410167,null,12629,null,401226,null,10760,null,278562,null,9135,null,291145,null,8398,null,206282,null,7739,null,324073,null,9942,null,266603,null,7597,null,187336,null,6306,null,155743,null,6115,null,112738,null,5352,null,115033,null,5469,null,148003,null,6062,null,108648,null,4646,null,148437,null,5729,null,156591,null,6489,null,0400000US06,California,06
3932272,null,2038,null,1973373,null,3034,null,1093602,null,10967,null,0,null,275,null,1093602,null,10967,null,2556,null,781,null,1088,null,544,null,6342,null,1476,null,7520,null,1514,null,32932,null,3923,null,18013,null,3166,null,26461,null,2737,null,19395,null,2645,null,45000,null,3531,null,33701,null,3014,null,63806,null,4622,null,80691,null,5150,null,74497,null,4593,null,81678,null,4638,null,60733,null,4898,null,70113,null,5067,null,93646,null,5006,null,77886,null,4592,null,118452,null,4894,null,179092,null,6397,null,879771,null,11468,null,124436,null,5502,null,755335,null,11430,null,86967,null,5025,null,51659,null,3942,null,52563,null,3753,null,53321,null,3790,null,62701,null,4183,null,39640,null,3688,null,43097,null,3151,null,26259,null,2534,null,32522,null,2548,null,25424,null,2470,null,45541,null,3026,null,42857,null,3164,null,28188,null,2560,null,24969,null,2313,null,19661,null,1888,null,18742,null,1968,null,26983,null,2354,null,16937,null,1948,null,21980,null,2067,null,35324,null,2515,null,1958899,null,3413,null,731792,null,11722,null,0,null,275,null,731792,null,11722,null,1405,null,579,null,2417,null,871,null,6503,null,1522,null,7817,null,1530,null,24989,null,2293,null,16892,null,2641,null,25541,null,2808,null,22388,null,2029,null,38048,null,3242,null,30872,null,3339,null,66740,null,4231,null,81480,null,5082,null,64216,null,4198,null,57635,null,3482,null,46772,null,3153,null,42144,null,3349,null,63183,null,3856,null,40574,null,2818,null,47814,null,3484,null,44362,null,2806,null,1227107,null,11902,null,262861,null,6933,null,964246,null,12330,null,124450,null,5347,null,88525,null,5287,null,99583,null,5033,null,92945,null,5073,null,101914,null,5254,null,54005,null,2947,null,56399,null,3882,null,37339,null,3113,null,41552,null,3341,null,25427,null,2408,null,50412,null,3851,null,37979,null,3045,null,29379,null,2429,null,23100,null,2264,null,19295,null,2138,null,15627,null,1536,null,21121,null,1976,null,12245,null,1607,null,15545,null,1955,null,17404,null,2126,null,0400000US08,Colorado,08
2839699,null,1329,null,1370107,null,1825,null,721050,null,8620,null,0,null,275,null,721050,null,8620,null,1329,null,473,null,900,null,410,null,2638,null,805,null,2572,null,763,null,6258,null,1460,null,3513,null,866,null,7539,null,1672,null,9574,null,1834,null,17348,null,2305,null,9247,null,1399,null,37421,null,3828,null,43460,null,4118,null,41408,null,3409,null,49116,null,3907,null,38310,null,3461,null,50217,null,2904,null,75886,null,4362,null,59358,null,3434,null,98866,null,4359,null,166090,null,4856,null,649057,null,8877,null,108319,null,4505,null,540738,null,9037,null,62716,null,3616,null,40683,null,3087,null,36673,null,3070,null,31216,null,2720,null,36131,null,3125,null,24819,null,3265,null,29958,null,2421,null,24486,null,2743,null,25060,null,2415,null,16056,null,1822,null,33135,null,2600,null,26673,null,2603,null,22388,null,2061,null,20168,null,2150,null,15136,null,1963,null,14956,null,1766,null,19364,null,1800,null,14305,null,1861,null,17508,null,1647,null,29307,null,2230,null,1469592,null,1562,null,513454,null,8106,null,0,null,275,null,513454,null,8106,null,489,null,260,null,1015,null,532,null,2371,null,703,null,1962,null,594,null,6085,null,1387,null,5412,null,1292,null,9182,null,1781,null,10631,null,1819,null,17489,null,2194,null,12744,null,1932,null,41637,null,3459,null,50387,null,4251,null,42274,null,3139,null,46313,null,3355,null,33208,null,3145,null,38067,null,3724,null,48051,null,3513,null,38473,null,2792,null,55402,null,3054,null,52262,null,2800,null,956138,null,7983,null,178841,null,5616,null,777297,null,6911,null,81697,null,3794,null,59170,null,3999,null,73680,null,3813,null,78883,null,4120,null,76944,null,4634,null,47517,null,3357,null,50066,null,3675,null,33665,null,2507,null,36708,null,2867,null,24310,null,2206,null,41120,null,3012,null,33138,null,2791,null,25429,null,1991,null,20429,null,1998,null,14096,null,1558,null,15321,null,1748,null,17474,null,2187,null,14027,null,1647,null,18437,null,2010,null,15186,null,1586,null,0400000US09,Connecticut,09
702906,null,499,null,336121,null,897,null,169265,null,3385,null,0,null,263,null,169265,null,3385,null,182,null,131,null,66,null,93,null,524,null,376,null,602,null,384,null,1894,null,813,null,2387,null,924,null,4116,null,970,null,3610,null,1305,null,4516,null,975,null,4424,null,1085,null,12004,null,1881,null,13001,null,2026,null,14861,null,2209,null,13754,null,1887,null,10184,null,1396,null,10639,null,1549,null,15384,null,1927,null,14840,null,1683,null,17955,null,1776,null,24322,null,1717,null,166856,null,3446,null,25413,null,2173,null,141443,null,3229,null,16704,null,2327,null,9539,null,1656,null,10962,null,1745,null,7589,null,1480,null,9412,null,1408,null,6562,null,1222,null,6450,null,1268,null,6191,null,1153,null,7585,null,1232,null,4210,null,958,null,10227,null,1596,null,9045,null,1317,null,7001,null,1227,null,4966,null,824,null,3574,null,750,null,4208,null,1116,null,4216,null,764,null,3257,null,773,null,4408,null,888,null,5337,null,1021,null,366785,null,776,null,143217,null,4175,null,0,null,263,null,143217,null,4175,null,32,null,55,null,416,null,302,null,1039,null,547,null,473,null,333,null,3200,null,956,null,2552,null,783,null,3977,null,1043,null,5414,null,1269,null,8531,null,1607,null,5268,null,1247,null,16540,null,1969,null,15238,null,1821,null,12416,null,1731,null,12311,null,1781,null,9260,null,1660,null,8963,null,1309,null,10325,null,1443,null,9678,null,1427,null,9753,null,1341,null,7831,null,1314,null,223568,null,4265,null,46897,null,3120,null,176671,null,3742,null,20426,null,2145,null,16000,null,1915,null,20899,null,2048,null,17667,null,2020,null,17601,null,1891,null,12898,null,1489,null,10050,null,1391,null,7830,null,1151,null,7734,null,1121,null,4499,null,835,null,9788,null,1448,null,6118,null,1055,null,4098,null,918,null,4121,null,813,null,2604,null,569,null,3253,null,714,null,3392,null,713,null,3349,null,784,null,2717,null,732,null,1627,null,467,null,0400000US10,Delaware,10
499036,null,287,null,232164,null,574,null,119462,null,3503,null,0,null,296,null,119462,null,3503,null,67,null,111,null,0,null,296,null,355,null,233,null,797,null,732,null,924,null,576,null,296,null,223,null,2805,null,1028,null,2960,null,965,null,4304,null,1392,null,3083,null,1046,null,5570,null,1317,null,6281,null,1459,null,8163,null,1637,null,7356,null,1614,null,6210,null,1608,null,6912,null,1457,null,8287,null,1462,null,8290,null,1747,null,15550,null,2322,null,31252,null,2454,null,112702,null,3485,null,22955,null,2453,null,89747,null,3684,null,14408,null,1897,null,7359,null,1361,null,8747,null,1567,null,7156,null,1659,null,8350,null,1567,null,3607,null,738,null,3853,null,1163,null,3065,null,993,null,2093,null,587,null,2586,null,917,null,3684,null,1036,null,3124,null,883,null,2251,null,659,null,2120,null,802,null,1815,null,569,null,1427,null,619,null,2142,null,683,null,1394,null,587,null,3714,null,967,null,6852,null,1258,null,266872,null,585,null,114524,null,3509,null,0,null,296,null,114524,null,3509,null,0,null,296,null,279,null,268,null,329,null,237,null,926,null,408,null,2515,null,1417,null,1360,null,664,null,2862,null,1109,null,1338,null,575,null,2044,null,943,null,2947,null,1177,null,6877,null,1819,null,8785,null,1954,null,8072,null,1489,null,8901,null,1507,null,7159,null,1459,null,7662,null,1500,null,11631,null,1600,null,7889,null,1491,null,12822,null,1181,null,20126,null,1985,null,152348,null,3527,null,31327,null,3047,null,121021,null,4258,null,15245,null,2359,null,14218,null,1836,null,11197,null,1662,null,11623,null,1711,null,10612,null,1810,null,4818,null,1028,null,5476,null,1115,null,3331,null,703,null,4509,null,997,null,2844,null,805,null,5603,null,1136,null,6656,null,1514,null,3088,null,747,null,3533,null,1010,null,2556,null,666,null,1877,null,787,null,2994,null,791,null,1613,null,531,null,4201,null,922,null,5027,null,1160,null,0400000US11,District of Columbia,11
15023092,null,5532,null,7305655,null,7959,null,3425090,null,23449,null,0,null,305,null,3425090,null,23449,null,6279,null,1249,null,5708,null,2019,null,23689,null,3156,null,24564,null,3154,null,87035,null,6652,null,57425,null,4727,null,119120,null,8555,null,103163,null,6052,null,185655,null,9927,null,123323,null,7030,null,282967,null,10205,null,320023,null,11003,null,257698,null,9410,null,262122,null,8816,null,181720,null,8129,null,218572,null,7506,null,268909,null,9256,null,188430,null,6735,null,287141,null,9712,null,421547,null,11246,null,3880565,null,24287,null,743100,null,14334,null,3137465,null,23667,null,250966,null,10602,null,192178,null,8469,null,248299,null,10629,null,246389,null,9104,null,282598,null,9706,null,178291,null,7484,null,194838,null,8394,null,140317,null,5740,null,158557,null,6895,null,108194,null,5980,null,188610,null,7244,null,159152,null,5748,null,125440,null,5350,null,107297,null,4633,null,80574,null,3865,null,75087,null,4205,null,99819,null,4785,null,66767,null,4131,null,88458,null,3838,null,145634,null,5144,null,7717437,null,5192,null,2674410,null,20782,null,0,null,305,null,2674410,null,20782,null,3332,null,932,null,2390,null,748,null,24182,null,2789,null,28243,null,2802,null,99736,null,7620,null,67153,null,4548,null,132739,null,7296,null,113803,null,7089,null,190380,null,9094,null,137166,null,6590,null,293065,null,9703,null,286898,null,10185,null,243380,null,8179,null,222664,null,7575,null,149419,null,7176,null,146393,null,6269,null,170538,null,7033,null,108153,null,5411,null,135695,null,6003,null,119081,null,6071,null,5043027,null,19737,null,1207376,null,15967,null,3835651,null,22350,null,350714,null,9686,null,310246,null,9392,null,491337,null,10375,null,477468,null,12262,null,423361,null,10033,null,247522,null,8737,null,249312,null,9855,null,161344,null,5626,null,167626,null,6711,null,121528,null,5935,null,189854,null,6990,null,147117,null,6493,null,110723,null,4652,null,86698,null,5050,null,52826,null,3204,null,53146,null,3363,null,62502,null,3921,null,37329,null,2686,null,42419,null,3434,null,52579,null,3429,null,0400000US12,Florida,12
