B21001F_001E,B21001F_001EA,B21001F_001M,B21001F_001MA,B21001F_002E,B21001F_002EA,B21001F_002M,B21001F_002MA,B21001F_003E,B21001F_003EA,B21001F_003M,B21001F_003MA,B21001F_004E,B21001F_004EA,B21001F_004M,B21001F_004MA,B21001F_005E,B21001F_005EA,B21001F_005M,B21001F_005MA,B21001F_006E,B21001F_006EA,B21001F_006M,B21001F_006MA,B21001F_007E,B21001F_007EA,B21001F_007M,B21001F_007MA,B21001F_008E,B21001F_008EA,B21001F_008M,B21001F_008MA,B21001F_009E,B21001F_009EA,B21001F_009M,B21001F_009MA,B21001F_010E,B21001F_010EA,B21001F_010M,B21001F_010MA,B21001F_011E,B21001F_011EA,B21001F_011M,B21001F_011MA,B21001F_012E,B21001F_012EA,B21001F_012M,B21001F_012MA,B21001F_013E,B21001F_013EA,B21001F_013M,B21001F_013MA,B21001F_014E,B21001F_014EA,B21001F_014M,B21001F_014MA,B21001F_015E,B21001F_015EA,B21001F_015M,B21001F_015MA,B21001F_016E,B21001F_016EA,B21001F_016M,B21001F_016MA,B21001F_017E,B21001F_017EA,B21001F_017M,B21001F_017MA,B21001F_018E,B21001F_018EA,B21001F_018M,B21001F_018MA,B21001F_019E,B21001F_019EA,B21001F_019M,B21001F_019MA,B21001F_020E,B21001F_020EA,B21001F_020M,B21001F_020MA,B21001F_021E,B21001F_021EA,B21001F_021M,B21001F_021MA,B21001F_022E,B21001F_022EA,B21001F_022M,B21001F_022MA,B21001F_023E,B21001F_023EA,B21001F_023M,B21001F_023MA,B21001F_024E,B21001F_024EA,B21001F_024M,B21001F_024MA,B21001F_025E,B21001F_025EA,B21001F_025M,B21001F_025MA,B21001F_026E,B21001F_026EA,B21001F_026M,B21001F_026MA,B21001F_027E,B21001F_027EA,B21001F_027M,B21001F_027MA,B21001F_028E,B21001F_028EA,B21001F_028M,B21001F_028MA,B21001F_029E,B21001F_029EA,B21001F_029M,B21001F_029MA,B21001F_030E,B21001F_030EA,B21001F_030M,B21001F_030MA,B21001F_031E,B21001F_031EA,B21001F_031M,B21001F_031MA,B21001F_032E,B21001F_032EA,B21001F_032M,B21001F_032MA,B21001F_033E,B21001F_033EA,B21001F_033M,B21001F_033MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
286638,null,14885,null,151158,null,9276,null,73146,null,6277,null,1970,null,824,null,71176,null,6116,null,56453,null,3437,null,3903,null,946,null,52550,null,3298,null,12128,null,1906,null,2894,null,880,null,9234,null,1683,null,6779,null,1287,null,2165,null,804,null,4614,null,1119,null,2652,null,938,null,1692,null,823,null,960,null,383,null,135480,null,7652,null,59288,null,4249,null,429,null,437,null,58859,null,4281,null,54676,null,3847,null,362,null,360,null,54314,null,3759,null,12593,null,1962,null,0,null,302,null,12593,null,1962,null,5715,null,1300,null,0,null,302,null,5715,null,1300,null,3208,null,874,null,0,null,302,null,3208,null,874,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
3489025,null,43228,null,1820154,null,26099,null,862464,null,16384,null,16774,null,2463,null,845690,null,15990,null,731465,null,15444,null,26239,null,2526,null,705226,null,15600,null,136565,null,5204,null,16691,null,2195,null,119874,null,5386,null,55215,null,3095,null,7490,null,1279,null,47725,null,3049,null,34445,null,2859,null,6494,null,1549,null,27951,null,2635,null,1668871,null,22349,null,741556,null,13552,null,2436,null,835,null,739120,null,13384,null,654063,null,11575,null,1646,null,722,null,652417,null,11399,null,142970,null,5513,null,505,null,385,null,142465,null,5507,null,74840,null,4205,null,278,null,301,null,74562,null,4201,null,55442,null,4048,null,97,null,114,null,55345,null,4060,null,0400000US06,California,06
156218,null,8863,null,85084,null,5997,null,40458,null,3863,null,1973,null,714,null,38485,null,3844,null,33945,null,3418,null,4647,null,1231,null,29298,null,3365,null,6170,null,1178,null,1783,null,758,null,4387,null,1047,null,3032,null,763,null,1054,null,496,null,1978,null,567,null,1479,null,477,null,722,null,317,null,757,null,365,null,71134,null,4286,null,31517,null,3199,null,325,null,337,null,31192,null,3139,null,28072,null,2364,null,360,null,286,null,27712,null,2406,null,6726,null,1187,null,113,null,183,null,6613,null,1190,null,2828,null,704,null,0,null,275,null,2828,null,704,null,1991,null,641,null,0,null,275,null,1991,null,641,null,0400000US08,Colorado,08
110641,null,7276,null,55483,null,4337,null,27522,null,2785,null,342,null,294,null,27180,null,2731,null,20837,null,2190,null,815,null,466,null,20022,null,2204,null,4892,null,1022,null,317,null,227,null,4575,null,989,null,1590,null,705,null,198,null,193,null,1392,null,650,null,642,null,480,null,106,null,173,null,536,null,446,null,55158,null,3767,null,23103,null,2292,null,0,null,275,null,23103,null,2292,null,24462,null,2066,null,650,null,486,null,23812,null,2119,null,4545,null,1088,null,149,null,243,null,4396,null,1095,null,1740,null,551,null,0,null,275,null,1740,null,551,null,1308,null,530,null,0,null,275,null,1308,null,530,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
337421,null,15998,null,178254,null,9499,null,84766,null,6224,null,2648,null,993,null,82118,null,6405,null,70503,null,4867,null,4185,null,989,null,66318,null,4708,null,12595,null,1870,null,1369,null,614,null,11226,null,1795,null,6981,null,1494,null,1246,null,664,null,5735,null,1361,null,3409,null,1027,null,448,null,244,null,2961,null,1060,null,159167,null,9003,null,62741,null,5142,null,403,null,329,null,62338,null,5114,null,70244,null,4816,null,729,null,327,null,69515,null,4751,null,12331,null,1653,null,222,null,296,null,12109,null,1659,null,7475,null,1366,null,79,null,114,null,7396,null,1349,null,6376,null,1510,null,225,null,291,null,6151,null,1444,null,0400000US12,Florida,12
