B22003_001E,B22003_001EA,B22003_001M,B22003_001MA,B22003_002E,B22003_002EA,B22003_002M,B22003_002MA,B22003_003E,B22003_003EA,B22003_003M,B22003_003MA,B22003_004E,B22003_004EA,B22003_004M,B22003_004MA,B22003_005E,B22003_005EA,B22003_005M,B22003_005MA,B22003_006E,B22003_006EA,B22003_006M,B22003_006MA,B22003_007E,B22003_007EA,B22003_007M,B22003_007MA,GEO_ID,NAME,state
1815865,null,10024,null,186429,null,6759,null,112896,null,4714,null,73533,null,4270,null,1629436,null,10705,null,177836,null,5323,null,1451600,null,11909,null,0400000US01,Alabama,01
237607,null,2898,null,18421,null,1766,null,6163,null,1036,null,12258,null,1461,null,219186,null,3181,null,10840,null,1468,null,208346,null,3155,null,0400000US02,Alaska,02
2273842,null,11467,null,187331,null,7751,null,97460,null,5855,null,89871,null,4584,null,2086511,null,12397,null,183173,null,7312,null,1903338,null,12078,null,0400000US04,Arizona,04
1114041,null,8021,null,140207,null,5439,null,84405,null,4539,null,55802,null,3570,null,973834,null,8625,null,107395,null,5929,null,866439,null,9594,null,0400000US05,Arkansas,05
12176760,null,21139,null,623373,null,13486,null,313773,null,9559,null,309600,null,9052,null,11553387,null,24478,null,1125765,null,19893,null,10427622,null,27411,null,0400000US06,California,06
1897835,null,9244,null,96048,null,5194,null,52051,null,4025,null,43997,null,3701,null,1801787,null,9768,null,155033,null,6005,null,1646754,null,11183,null,0400000US08,Colorado,08
1329305,null,5895,null,87443,null,4217,null,51383,null,3028,null,36060,null,2683,null,1241862,null,6246,null,74075,null,4288,null,1167787,null,6978,null,0400000US09,Connecticut,09
328654,null,3672,null,24064,null,2241,null,11306,null,1749,null,12758,null,1682,null,304590,null,4200,null,20658,null,2034,null,283932,null,4519,null,0400000US10,Delaware,10
249996,null,3353,null,26958,null,2242,null,15083,null,1937,null,11875,null,1706,null,223038,null,4090,null,23480,null,2610,null,199558,null,3867,null,0400000US11,District of Columbia,11
7057285,null,24241,null,507031,null,12686,null,253524,null,8592,null,253507,null,7945,null,6550254,null,25994,null,626933,null,13693,null,5923321,null,27092,null,0400000US12,Florida,12
3469845,null,17452,null,320926,null,8811,null,180901,null,7403,null,140025,null,6343,null,3148919,null,18650,null,296567,null,8893,null,2852352,null,16878,null,0400000US13,Georgia,13
437105,null,4492,null,31359,null,2619,null,14960,null,1910,null,16399,null,1770,null,405746,null,5223,null,28986,null,2951,null,376760,null,5670,null,0400000US15,Hawaii,15
566004,null,4603,null,43209,null,3669,null,23373,null,2887,null,19836,null,2187,null,522795,null,5174,null,46672,null,3211,null,476123,null,5592,null,0400000US16,Idaho,16
4766252,null,13014,null,414320,null,9545,null,223188,null,6923,null,191132,null,6976,null,4351932,null,15037,null,333960,null,8207,null,4017972,null,15993,null,0400000US17,Illinois,17
2480570,null,10473,null,227061,null,7822,null,128344,null,5154,null,98717,null,5591,null,2253509,null,13152,null,179419,null,6632,null,2074090,null,13027,null,0400000US18,Indiana,18
1215351,null,6468,null,108318,null,4782,null,59251,null,3966,null,49067,null,2905,null,1107033,null,7363,null,79501,null,3791,null,1027532,null,8279,null,0400000US19,Iowa,19
1110829,null,6612,null,77397,null,3944,null,43019,null,3066,null,34378,null,2834,null,1033432,null,7633,null,82912,null,4587,null,950520,null,8253,null,0400000US20,Kansas,20
1686277,null,9662,null,230255,null,7580,null,146373,null,6070,null,83882,null,4402,null,1456022,null,11484,null,144237,null,6669,null,1311785,null,11331,null,0400000US21,Kentucky,21
1625153,null,9520,null,263094,null,7402,null,125398,null,5613,null,137696,null,4886,null,1362059,null,9626,null,149362,null,5973,null,1212697,null,11430,null,0400000US22,Louisiana,22
542363,null,5056,null,74863,null,4066,null,40169,null,3274,null,34694,null,2332,null,467500,null,6548,null,31054,null,2256,null,436446,null,6321,null,0400000US23,Maine,23
2092692,null,7904,null,115167,null,5907,null,54013,null,4289,null,61154,null,4396,null,1977525,null,9950,null,111900,null,4989,null,1865625,null,10526,null,0400000US24,Maryland,24
