B23006_001E,B23006_001EA,B23006_001M,B23006_001MA,B23006_002E,B23006_002EA,B23006_002M,B23006_002MA,B23006_003E,B23006_003EA,B23006_003M,B23006_003MA,B23006_004E,B23006_004EA,B23006_004M,B23006_004MA,B23006_005E,B23006_005EA,B23006_005M,B23006_005MA,B23006_006E,B23006_006EA,B23006_006M,B23006_006MA,B23006_007E,B23006_007EA,B23006_007M,B23006_007MA,B23006_008E,B23006_008EA,B23006_008M,B23006_008MA,B23006_009E,B23006_009EA,B23006_009M,B23006_009MA,B23006_010E,B23006_010EA,B23006_010M,B23006_010MA,B23006_011E,B23006_011EA,B23006_011M,B23006_011MA,B23006_012E,B23006_012EA,B23006_012M,B23006_012MA,B23006_013E,B23006_013EA,B23006_013M,B23006_013MA,B23006_014E,B23006_014EA,B23006_014M,B23006_014MA,B23006_015E,B23006_015EA,B23006_015M,B23006_015MA,B23006_016E,B23006_016EA,B23006_016M,B23006_016MA,B23006_017E,B23006_017EA,B23006_017M,B23006_017MA,B23006_018E,B23006_018EA,B23006_018M,B23006_018MA,B23006_019E,B23006_019EA,B23006_019M,B23006_019MA,B23006_020E,B23006_020EA,B23006_020M,B23006_020MA,B23006_021E,B23006_021EA,B23006_021M,B23006_021MA,B23006_022E,B23006_022EA,B23006_022M,B23006_022MA,B23006_023E,B23006_023EA,B23006_023M,B23006_023MA,B23006_024E,B23006_024EA,B23006_024M,B23006_024MA,B23006_025E,B23006_025EA,B23006_025M,B23006_025MA,B23006_026E,B23006_026EA,B23006_026M,B23006_026MA,B23006_027E,B23006_027EA,B23006_027M,B23006_027MA,B23006_028E,B23006_028EA,B23006_028M,B23006_028MA,B23006_029E,B23006_029EA,B23006_029M,B23006_029MA,GEO_ID,NAME,state
2439742,null,5874,null,357584,null,9282,null,191814,null,7159,null,199,null,300,null,191615,null,7206,null,168659,null,6680,null,22956,null,2666,null,165770,null,6026,null,757350,null,12584,null,540703,null,10658,null,1405,null,489,null,539298,null,10648,null,507846,null,10719,null,31452,null,3471,null,216647,null,7234,null,745562,null,11492,null,595529,null,11261,null,7478,null,1772,null,588051,null,11418,null,561711,null,10592,null,26340,null,2859,null,150033,null,5243,null,579246,null,13184,null,492478,null,11751,null,6520,null,1353,null,485958,null,11565,null,474909,null,11416,null,11049,null,1557,null,86768,null,4676,null,0400000US01,Alabama,01
376486,null,2557,null,25308,null,2389,null,15943,null,2116,null,219,null,334,null,15724,null,2084,null,12838,null,1776,null,2886,null,937,null,9365,null,1392,null,99471,null,4847,null,74864,null,4057,null,1072,null,442,null,73792,null,4049,null,67612,null,3823,null,6180,null,1119,null,24607,null,2437,null,147510,null,5075,null,122349,null,4726,null,8330,null,1771,null,114019,null,4556,null,107136,null,4482,null,6883,null,1394,null,25161,null,2101,null,104197,null,4307,null,90982,null,4105,null,2956,null,874,null,88026,null,4114,null,84958,null,4003,null,3068,null,880,null,13215,null,1637,null,0400000US02,Alaska,02
3328455,null,3688,null,518662,null,14802,null,335901,null,13269,null,0,null,302,null,335901,null,13269,null,307843,null,11986,null,28058,null,3684,null,182761,null,8445,null,790642,null,15973,null,579264,null,13159,null,2487,null,892,null,576777,null,13173,null,540950,null,12757,null,35827,null,3212,null,211378,null,8257,null,1160762,null,14122,null,924800,null,13542,null,9602,null,2131,null,915198,null,13884,null,874194,null,13634,null,41004,null,3707,null,235962,null,9186,null,858389,null,13813,null,721446,null,12806,null,3503,null,765,null,717943,null,12872,null,700250,null,12681,null,17693,null,2504,null,136943,null,6042,null,0400000US04,Arizona,04
1468624,null,5205,null,216442,null,7538,null,122896,null,5717,null,0,null,269,null,122896,null,5717,null,110601,null,5705,null,12295,null,1933,null,93546,null,4836,null,517639,null,11806,null,375718,null,10702,null,687,null,346,null,375031,null,10692,null,352025,null,10062,null,23006,null,2898,null,141921,null,6324,null,437675,null,9080,null,341106,null,8438,null,2060,null,770,null,339046,null,8389,null,323902,null,8179,null,15144,null,1954,null,96569,null,4533,null,296868,null,7560,null,255517,null,7338,null,1885,null,668,null,253632,null,7207,null,249517,null,7286,null,4115,null,971,null,41351,null,3133,null,0400000US05,Arkansas,05
19412652,null,7868,null,3635095,null,32854,null,2435008,null,25130,null,1153,null,1352,null,2433855,null,25079,null,2201859,null,24220,null,231996,null,9261,null,1200087,null,21109,null,3888163,null,34115,null,2892728,null,27516,null,15591,null,2376,null,2877137,null,27232,null,2650906,null,28967,null,226231,null,8307,null,995435,null,19473,null,5946298,null,33804,null,4765482,null,32922,null,48860,null,4688,null,4716622,null,32411,null,4437825,null,31960,null,278797,null,10390,null,1180816,null,17627,null,5943096,null,33483,null,5093036,null,27997,null,26726,null,4377,null,5066310,null,28429,null,4894669,null,29304,null,171641,null,6639,null,850060,null,15228,null,0400000US06,California,06
2750860,null,4087,null,279832,null,8808,null,191063,null,7202,null,0,null,275,null,191063,null,7202,null,178723,null,7126,null,12340,null,2357,null,88769,null,5487,null,587156,null,10998,null,462286,null,10597,null,1596,null,584,null,460690,null,10431,null,438400,null,10066,null,22290,null,2609,null,124870,null,5929,null,863767,null,12721,null,718164,null,13354,null,6420,null,1175,null,711744,null,13377,null,683006,null,13607,null,28738,null,3158,null,145603,null,4929,null,1020105,null,13675,null,883840,null,12843,null,7772,null,1253,null,876068,null,12805,null,855797,null,12427,null,20271,null,2275,null,136265,null,4836,null,0400000US08,Colorado,08
1887074,null,2303,null,164434,null,6512,null,102130,null,5316,null,0,null,275,null,102130,null,5316,null,89505,null,5202,null,12625,null,1990,null,62304,null,3915,null,495030,null,12002,null,397162,null,11067,null,930,null,637,null,396232,null,11030,null,370104,null,10449,null,26128,null,2784,null,97868,null,5080,null,505721,null,10330,null,429907,null,9225,null,1885,null,701,null,428022,null,9165,null,407720,null,8285,null,20302,null,2658,null,75814,null,4138,null,721889,null,13003,null,622099,null,11811,null,1083,null,637,null,621016,null,11800,null,605307,null,11673,null,15709,null,1873,null,99790,null,5133,null,0400000US09,Connecticut,09
461057,null,1287,null,49083,null,3924,null,31877,null,3034,null,0,null,263,null,31877,null,3034,null,27800,null,2802,null,4077,null,1079,null,17206,null,2119,null,137904,null,4822,null,105967,null,4285,null,406,null,332,null,105561,null,4272,null,97982,null,4119,null,7579,null,1258,null,31937,null,2563,null,139161,null,5419,null,116447,null,4725,null,1890,null,774,null,114557,null,4666,null,108531,null,4671,null,6026,null,1254,null,22714,null,2223,null,134909,null,6495,null,115553,null,6191,null,1126,null,617,null,114427,null,6075,null,111727,null,6074,null,2700,null,917,null,19356,null,2129,null,0400000US10,Delaware,10
333262,null,785,null,40000,null,4518,null,25891,null,4303,null,0,null,296,null,25891,null,4303,null,22828,null,4219,null,3063,null,992,null,14109,null,2336,null,62167,null,3960,null,44488,null,3167,null,84,null,97,null,44404,null,3173,null,38028,null,3069,null,6376,null,1713,null,17679,null,2303,null,61018,null,3957,null,49480,null,3568,null,608,null,329,null,48872,null,3628,null,43941,null,3481,null,4931,null,1367,null,11538,null,1834,null,170077,null,4254,null,154874,null,4377,null,1711,null,664,null,153163,null,4467,null,148731,null,4166,null,4432,null,1352,null,15203,null,1956,null,0400000US11,District of Columbia,11
9516549,null,8785,null,1178666,null,19344,null,759386,null,16089,null,331,null,309,null,759055,null,16106,null,671871,null,14365,null,87184,null,5642,null,419280,null,12885,null,2761499,null,30711,null,2088067,null,27111,null,3730,null,1172,null,2084337,null,27118,null,1925842,null,26331,null,158495,null,7951,null,673432,null,13736,null,2995124,null,25422,null,2415266,null,24899,null,21308,null,2468,null,2393958,null,24374,null,2253960,null,23368,null,139998,null,6181,null,579858,null,12762,null,2581260,null,24005,null,2178740,null,22847,null,13393,null,2009,null,2165347,null,22955,null,2094285,null,22763,null,71062,null,4805,null,402520,null,10424,null,0400000US12,Florida,12
