B24010F_001E,B24010F_001EA,B24010F_001M,B24010F_001MA,B24010F_002E,B24010F_002EA,B24010F_002M,B24010F_002MA,B24010F_003E,B24010F_003EA,B24010F_003M,B24010F_003MA,B24010F_004E,B24010F_004EA,B24010F_004M,B24010F_004MA,B24010F_005E,B24010F_005EA,B24010F_005M,B24010F_005MA,B24010F_006E,B24010F_006EA,B24010F_006M,B24010F_006MA,B24010F_007E,B24010F_007EA,B24010F_007M,B24010F_007MA,B24010F_008E,B24010F_008EA,B24010F_008M,B24010F_008MA,B24010F_009E,B24010F_009EA,B24010F_009M,B24010F_009MA,B24010F_010E,B24010F_010EA,B24010F_010M,B24010F_010MA,B24010F_011E,B24010F_011EA,B24010F_011M,B24010F_011MA,B24010F_012E,B24010F_012EA,B24010F_012M,B24010F_012MA,B24010F_013E,B24010F_013EA,B24010F_013M,B24010F_013MA,B24010F_014E,B24010F_014EA,B24010F_014M,B24010F_014MA,B24010F_015E,B24010F_015EA,B24010F_015M,B24010F_015MA,B24010F_016E,B24010F_016EA,B24010F_016M,B24010F_016MA,B24010F_017E,B24010F_017EA,B24010F_017M,B24010F_017MA,B24010F_018E,B24010F_018EA,B24010F_018M,B24010F_018MA,B24010F_019E,B24010F_019EA,B24010F_019M,B24010F_019MA,B24010F_020E,B24010F_020EA,B24010F_020M,B24010F_020MA,B24010F_021E,B24010F_021EA,B24010F_021M,B24010F_021MA,B24010F_022E,B24010F_022EA,B24010F_022M,B24010F_022MA,B24010F_023E,B24010F_023EA,B24010F_023M,B24010F_023MA,B24010F_024E,B24010F_024EA,B24010F_024M,B24010F_024MA,B24010F_025E,B24010F_025EA,B24010F_025M,B24010F_025MA,B24010F_026E,B24010F_026EA,B24010F_026M,B24010F_026MA,B24010F_027E,B24010F_027EA,B24010F_027M,B24010F_027MA,B24010F_028E,B24010F_028EA,B24010F_028M,B24010F_028MA,B24010F_029E,B24010F_029EA,B24010F_029M,B24010F_029MA,B24010F_030E,B24010F_030EA,B24010F_030M,B24010F_030MA,B24010F_031E,B24010F_031EA,B24010F_031M,B24010F_031MA,B24010F_032E,B24010F_032EA,B24010F_032M,B24010F_032MA,B24010F_033E,B24010F_033EA,B24010F_033M,B24010F_033MA,B24010F_034E,B24010F_034EA,B24010F_034M,B24010F_034MA,B24010F_035E,B24010F_035EA,B24010F_035M,B24010F_035MA,B24010F_036E,B24010F_036EA,B24010F_036M,B24010F_036MA,B24010F_037E,B24010F_037EA,B24010F_037M,B24010F_037MA,B24010F_038E,B24010F_038EA,B24010F_038M,B24010F_038MA,B24010F_039E,B24010F_039EA,B24010F_039M,B24010F_039MA,B24010F_040E,B24010F_040EA,B24010F_040M,B24010F_040MA,B24010F_041E,B24010F_041EA,B24010F_041M,B24010F_041MA,B24010F_042E,B24010F_042EA,B24010F_042M,B24010F_042MA,B24010F_043E,B24010F_043EA,B24010F_043M,B24010F_043MA,B24010F_044E,B24010F_044EA,B24010F_044M,B24010F_044MA,B24010F_045E,B24010F_045EA,B24010F_045M,B24010F_045MA,B24010F_046E,B24010F_046EA,B24010F_046M,B24010F_046MA,B24010F_047E,B24010F_047EA,B24010F_047M,B24010F_047MA,B24010F_048E,B24010F_048EA,B24010F_048M,B24010F_048MA,B24010F_049E,B24010F_049EA,B24010F_049M,B24010F_049MA,B24010F_050E,B24010F_050EA,B24010F_050M,B24010F_050MA,B24010F_051E,B24010F_051EA,B24010F_051M,B24010F_051MA,B24010F_052E,B24010F_052EA,B24010F_052M,B24010F_052MA,B24010F_053E,B24010F_053EA,B24010F_053M,B24010F_053MA,B24010F_054E,B24010F_054EA,B24010F_054M,B24010F_054MA,B24010F_055E,B24010F_055EA,B24010F_055M,B24010F_055MA,B24010F_056E,B24010F_056EA,B24010F_056M,B24010F_056MA,B24010F_057E,B24010F_057EA,B24010F_057M,B24010F_057MA,B24010F_058E,B24010F_058EA,B24010F_058M,B24010F_058MA,B24010F_059E,B24010F_059EA,B24010F_059M,B24010F_059MA,B24010F_060E,B24010F_060EA,B24010F_060M,B24010F_060MA,B24010F_061E,B24010F_061EA,B24010F_061M,B24010F_061MA,B24010F_062E,B24010F_062EA,B24010F_062M,B24010F_062MA,B24010F_063E,B24010F_063EA,B24010F_063M,B24010F_063MA,GEO_ID,NAME,state
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US01,Alabama,01
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US02,Alaska,02
202155,null,11904,null,118736,null,8257,null,13108,null,2230,null,5962,null,1564,null,4205,null,1230,null,134,null,136,null,1623,null,809,null,7146,null,1681,null,1152,null,636,null,1193,null,560,null,531,null,567,null,935,null,684,null,66,null,102,null,1050,null,423,null,666,null,498,null,1553,null,696,null,27349,null,3821,null,1033,null,711,null,4557,null,1165,null,8179,null,2171,null,11743,null,2622,null,1837,null,908,null,17326,null,3077,null,8330,null,2024,null,8996,null,2106,null,3511,null,1707,null,38548,null,4946,null,27417,null,4079,null,11131,null,2510,null,18894,null,2865,null,7507,null,1809,null,11387,null,2490,null,83419,null,5926,null,18517,null,2309,null,7018,null,1839,null,3709,null,1099,null,0,null,302,null,3309,null,1247,null,11499,null,1617,null,163,null,158,null,489,null,298,null,0,null,302,null,1241,null,618,null,987,null,630,null,4836,null,1092,null,464,null,326,null,3319,null,890,null,26694,null,3430,null,5134,null,1426,null,1156,null,518,null,7115,null,1779,null,8126,null,1704,null,5163,null,1278,null,30061,null,3235,null,10562,null,1885,null,19499,null,2317,null,495,null,399,null,727,null,418,null,476,null,348,null,251,null,202,null,6925,null,1899,null,4938,null,1533,null,1987,null,785,null,0400000US04,Arizona,04
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US05,Arkansas,05
2362664,null,34203,null,1413673,null,22775,null,173282,null,8251,null,84696,null,5242,null,61950,null,4580,null,2191,null,803,null,20555,null,2214,null,88586,null,6104,null,12653,null,2010,null,13108,null,2067,null,4790,null,1298,null,8288,null,1590,null,2460,null,861,null,16986,null,2613,null,14940,null,2320,null,15361,null,2908,null,298656,null,11109,null,5505,null,1478,null,33095,null,3142,null,112355,null,7445,null,130771,null,8279,null,16930,null,2433,null,222276,null,8820,null,110588,null,6324,null,111688,null,7244,null,47939,null,5675,null,330070,null,12605,null,239823,null,10529,null,90247,null,5717,null,341450,null,10681,null,152353,null,8395,null,189097,null,7468,null,948991,null,17053,null,182504,null,6951,null,67447,null,4376,null,37677,null,3703,null,789,null,459,null,28981,null,3274,null,115057,null,5343,null,3712,null,1103,null,2324,null,816,null,1553,null,632,null,19371,null,2997,null,5501,null,1566,null,49336,null,3024,null,6906,null,1384,null,26354,null,2571,null,288154,null,10614,null,42100,null,3792,null,7573,null,1336,null,67932,null,5897,null,99664,null,5513,null,70885,null,4701,null,328626,null,11817,null,127779,null,6508,null,200847,null,9581,null,15999,null,2615,null,6807,null,1812,null,4108,null,1549,null,2699,null,935,null,126901,null,7479,null,85831,null,5963,null,41070,null,3887,null,0400000US06,California,06
105927,null,6192,null,63491,null,5179,null,8090,null,1622,null,4488,null,1354,null,2961,null,1175,null,268,null,257,null,1259,null,653,null,3602,null,1110,null,574,null,442,null,1513,null,793,null,98,null,120,null,336,null,301,null,107,null,129,null,347,null,267,null,377,null,240,null,250,null,404,null,12721,null,2209,null,164,null,178,null,1674,null,781,null,5225,null,1613,null,5247,null,1455,null,411,null,349,null,7764,null,1525,null,4431,null,1187,null,3333,null,1131,null,1756,null,954,null,21651,null,3220,null,17694,null,3118,null,3957,null,1193,null,11509,null,1821,null,5450,null,1466,null,6059,null,1438,null,42436,null,3210,null,8604,null,1820,null,3216,null,990,null,2061,null,905,null,0,null,275,null,1155,null,536,null,5388,null,1307,null,418,null,336,null,301,null,458,null,28,null,56,null,517,null,332,null,165,null,168,null,2364,null,846,null,216,null,178,null,1379,null,624,null,14899,null,2057,null,2616,null,844,null,105,null,115,null,4139,null,1197,null,5117,null,1160,null,2922,null,1117,null,13789,null,1927,null,4333,null,988,null,9456,null,1684,null,535,null,415,null,938,null,805,null,811,null,779,null,127,null,166,null,3671,null,1099,null,2688,null,969,null,983,null,474,null,0400000US08,Colorado,08
71176,null,5713,null,38474,null,4058,null,5700,null,1466,null,2605,null,914,null,1624,null,790,null,133,null,147,null,848,null,553,null,3095,null,1064,null,800,null,594,null,311,null,268,null,108,null,166,null,300,null,187,null,200,null,267,null,731,null,465,null,342,null,340,null,303,null,316,null,10801,null,1920,null,364,null,380,null,372,null,294,null,4929,null,1123,null,4198,null,1211,null,938,null,520,null,5423,null,1282,null,2668,null,835,null,2755,null,923,null,601,null,415,null,9710,null,2213,null,7633,null,1909,null,2077,null,890,null,6239,null,1654,null,2988,null,1247,null,3251,null,1102,null,32702,null,3056,null,7517,null,1389,null,1477,null,728,null,1002,null,640,null,0,null,275,null,475,null,332,null,6040,null,1271,null,127,null,153,null,0,null,275,null,289,null,306,null,817,null,416,null,195,null,276,null,1824,null,699,null,314,null,424,null,2474,null,898,null,10886,null,1835,null,2894,null,916,null,268,null,261,null,2152,null,843,null,3681,null,1109,null,1891,null,744,null,9650,null,1662,null,4608,null,1032,null,5042,null,1322,null,330,null,471,null,438,null,415,null,438,null,415,null,0,null,275,null,3881,null,1097,null,2659,null,1005,null,1222,null,601,null,0400000US09,Connecticut,09
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
232247,null,12422,null,137230,null,8553,null,17419,null,2282,null,7823,null,1518,null,4830,null,1211,null,60,null,89,null,2933,null,876,null,9596,null,1855,null,1349,null,598,null,2594,null,1212,null,223,null,186,null,880,null,526,null,729,null,490,null,841,null,507,null,1389,null,610,null,1591,null,722,null,28424,null,3522,null,968,null,647,null,3985,null,1316,null,9704,null,2020,null,12316,null,2412,null,1451,null,880,null,24177,null,3194,null,13287,null,2108,null,10890,null,2253,null,5573,null,2780,null,38575,null,4832,null,30134,null,4515,null,8441,null,1830,null,23062,null,3232,null,7684,null,1520,null,15378,null,2567,null,95017,null,6147,null,20035,null,2567,null,7164,null,1477,null,3746,null,988,null,0,null,305,null,3418,null,1033,null,12871,null,2030,null,979,null,541,null,58,null,95,null,605,null,411,null,1084,null,483,null,457,null,382,null,4683,null,1091,null,1222,null,634,null,3783,null,982,null,28506,null,2707,null,4135,null,1380,null,808,null,573,null,8312,null,1706,null,10106,null,1632,null,5145,null,1119,null,36076,null,4544,null,14596,null,2407,null,21480,null,3054,null,1643,null,736,null,1678,null,883,null,1505,null,845,null,173,null,242,null,7079,null,1570,null,4618,null,1253,null,2461,null,986,null,0400000US12,Florida,12
