B25070_001E,B25070_001EA,B25070_001M,B25070_001MA,B25070_002E,B25070_002EA,B25070_002M,B25070_002MA,B25070_003E,B25070_003EA,B25070_003M,B25070_003MA,B25070_004E,B25070_004EA,B25070_004M,B25070_004MA,B25070_005E,B25070_005EA,B25070_005M,B25070_005MA,B25070_006E,B25070_006EA,B25070_006M,B25070_006MA,B25070_007E,B25070_007EA,B25070_007M,B25070_007MA,B25070_008E,B25070_008EA,B25070_008M,B25070_008MA,B25070_009E,B25070_009EA,B25070_009M,B25070_009MA,B25070_010E,B25070_010EA,B25070_010M,B25070_010MA,B25070_011E,B25070_011EA,B25070_011M,B25070_011MA,GEO_ID,NAME,state
526710,null,11922,null,20700,null,2472,null,47745,null,3649,null,56311,null,4527,null,55886,null,4086,null,53997,null,4098,null,35438,null,3480,null,29545,null,2810,null,42330,null,3798,null,110196,null,5176,null,74562,null,4771,null,0400000US01,Alabama,01
83273,null,3590,null,4081,null,844,null,7214,null,1383,null,11148,null,1802,null,11255,null,1739,null,8681,null,1446,null,9516,null,1852,null,4922,null,1182,null,5593,null,1240,null,11574,null,1560,null,9289,null,1361,null,0400000US02,Alaska,02
724952,null,12371,null,22649,null,2531,null,55093,null,4919,null,88955,null,4644,null,88181,null,5387,null,79633,null,4844,null,62494,null,4600,null,49702,null,4269,null,61099,null,4666,null,163248,null,7184,null,53898,null,4280,null,0400000US04,Arizona,04
363402,null,7994,null,12463,null,1726,null,32545,null,3093,null,39908,null,3479,null,42247,null,3562,null,37994,null,3214,null,29804,null,3152,null,17458,null,2485,null,29936,null,2645,null,76574,null,4771,null,44473,null,3321,null,0400000US05,Arkansas,05
5230328,null,29953,null,148054,null,6812,null,349535,null,10521,null,556742,null,13466,null,617491,null,15683,null,587837,null,12585,null,474506,null,10629,null,355425,null,12185,null,504096,null,12566,null,1393110,null,19985,null,243532,null,7913,null,0400000US06,California,06
617021,null,9872,null,15783,null,2220,null,46006,null,3127,null,72657,null,3661,null,83105,null,4532,null,73024,null,4316,null,55426,null,4052,null,39168,null,3676,null,53991,null,3990,null,142991,null,5829,null,34870,null,3367,null,0400000US08,Colorado,08
412243,null,8075,null,13093,null,1847,null,29759,null,2726,null,46986,null,3575,null,52535,null,3942,null,46938,null,3831,null,37976,null,3333,null,26469,null,2827,null,31803,null,3137,null,102559,null,4487,null,24125,null,2611,null,0400000US09,Connecticut,09
87110,null,4274,null,2739,null,871,null,5871,null,1249,null,10364,null,1664,null,10381,null,1940,null,9757,null,1623,null,7748,null,1472,null,6087,null,1414,null,7505,null,1742,null,19995,null,2340,null,6663,null,1314,null,0400000US10,Delaware,10
141425,null,4835,null,5275,null,1084,null,12286,null,1920,null,18817,null,2239,null,17579,null,2073,null,17178,null,2235,null,12521,null,1748,null,7559,null,1367,null,10652,null,1650,null,33554,null,3304,null,6004,null,1257,null,0400000US11,District of Columbia,11
2140788,null,22439,null,50610,null,4454,null,116716,null,6235,null,198947,null,7216,null,244596,null,11182,null,239981,null,10386,null,192135,null,7096,null,153192,null,6577,null,220300,null,8372,null,584158,null,11831,null,140153,null,7146,null,0400000US12,Florida,12
