C07001_001E,C07001_001EA,C07001_001M,C07001_001MA,C07001_002E,C07001_002EA,C07001_002M,C07001_002MA,C07001_003E,C07001_003EA,C07001_003M,C07001_003MA,C07001_004E,C07001_004EA,C07001_004M,C07001_004MA,C07001_005E,C07001_005EA,C07001_005M,C07001_005MA,C07001_006E,C07001_006EA,C07001_006M,C07001_006MA,C07001_007E,C07001_007EA,C07001_007M,C07001_007MA,C07001_008E,C07001_008EA,C07001_008M,C07001_008MA,C07001_009E,C07001_009EA,C07001_009M,C07001_009MA,C07001_010E,C07001_010EA,C07001_010M,C07001_010MA,C07001_011E,C07001_011EA,C07001_011M,C07001_011MA,C07001_012E,C07001_012EA,C07001_012M,C07001_012MA,C07001_013E,C07001_013EA,C07001_013M,C07001_013MA,C07001_014E,C07001_014EA,C07001_014M,C07001_014MA,C07001_015E,C07001_015EA,C07001_015M,C07001_015MA,C07001_016E,C07001_016EA,C07001_016M,C07001_016MA,C07001_017E,C07001_017EA,C07001_017M,C07001_017MA,C07001_018E,C07001_018EA,C07001_018M,C07001_018MA,C07001_019E,C07001_019EA,C07001_019M,C07001_019MA,C07001_020E,C07001_020EA,C07001_020M,C07001_020MA,C07001_021E,C07001_021EA,C07001_021M,C07001_021MA,C07001_022E,C07001_022EA,C07001_022M,C07001_022MA,C07001_023E,C07001_023EA,C07001_023M,C07001_023MA,C07001_024E,C07001_024EA,C07001_024M,C07001_024MA,C07001_025E,C07001_025EA,C07001_025M,C07001_025MA,C07001_026E,C07001_026EA,C07001_026M,C07001_026MA,C07001_027E,C07001_027EA,C07001_027M,C07001_027MA,C07001_028E,C07001_028EA,C07001_028M,C07001_028MA,C07001_029E,C07001_029EA,C07001_029M,C07001_029MA,C07001_030E,C07001_030EA,C07001_030M,C07001_030MA,C07001_031E,C07001_031EA,C07001_031M,C07001_031MA,C07001_032E,C07001_032EA,C07001_032M,C07001_032MA,C07001_033E,C07001_033EA,C07001_033M,C07001_033MA,C07001_034E,C07001_034EA,C07001_034M,C07001_034MA,C07001_035E,C07001_035EA,C07001_035M,C07001_035MA,C07001_036E,C07001_036EA,C07001_036M,C07001_036MA,C07001_037E,C07001_037EA,C07001_037M,C07001_037MA,C07001_038E,C07001_038EA,C07001_038M,C07001_038MA,C07001_039E,C07001_039EA,C07001_039M,C07001_039MA,C07001_040E,C07001_040EA,C07001_040M,C07001_040MA,C07001_041E,C07001_041EA,C07001_041M,C07001_041MA,C07001_042E,C07001_042EA,C07001_042M,C07001_042MA,C07001_043E,C07001_043EA,C07001_043M,C07001_043MA,C07001_044E,C07001_044EA,C07001_044M,C07001_044MA,C07001_045E,C07001_045EA,C07001_045M,C07001_045MA,C07001_046E,C07001_046EA,C07001_046M,C07001_046MA,C07001_047E,C07001_047EA,C07001_047M,C07001_047MA,C07001_048E,C07001_048EA,C07001_048M,C07001_048MA,C07001_049E,C07001_049EA,C07001_049M,C07001_049MA,C07001_050E,C07001_050EA,C07001_050M,C07001_050MA,C07001_051E,C07001_051EA,C07001_051M,C07001_051MA,C07001_052E,C07001_052EA,C07001_052M,C07001_052MA,C07001_053E,C07001_053EA,C07001_053M,C07001_053MA,C07001_054E,C07001_054EA,C07001_054M,C07001_054MA,C07001_055E,C07001_055EA,C07001_055M,C07001_055MA,C07001_056E,C07001_056EA,C07001_056M,C07001_056MA,C07001_057E,C07001_057EA,C07001_057M,C07001_057MA,C07001_058E,C07001_058EA,C07001_058M,C07001_058MA,C07001_059E,C07001_059EA,C07001_059M,C07001_059MA,C07001_060E,C07001_060EA,C07001_060M,C07001_060MA,GEO_ID,NAME,state
4600656,null,3846,null,245939,null,4538,null,814027,null,3156,null,462191,null,5041,null,598417,null,5764,null,627804,null,5265,null,671270,null,5050,null,542251,null,2262,null,344383,null,2217,null,294374,null,2068,null,3890172,null,22124,null,188688,null,5982,null,693528,null,9514,null,314171,null,7993,null,444257,null,7790,null,544309,null,7075,null,602168,null,6276,null,502950,null,4034,null,324469,null,2701,null,275632,null,2803,null,419332,null,17861,null,35614,null,3530,null,80393,null,7813,null,79249,null,5092,null,91089,null,5662,null,48544,null,3842,null,40243,null,4335,null,21945,null,2475,null,10304,null,1782,null,11951,null,1657,null,153984,null,9701,null,10525,null,2136,null,22690,null,3918,null,38153,null,3753,null,31502,null,3467,null,19605,null,2605,null,14250,null,2255,null,9442,null,1744,null,4297,null,1042,null,3520,null,840,null,120858,null,9065,null,10742,null,2084,null,15285,null,2532,null,27011,null,3335,null,27164,null,3854,null,13024,null,1721,null,13497,null,2172,null,6985,null,1650,null,4328,null,1065,null,2822,null,931,null,16310,null,3088,null,370,null,231,null,2131,null,769,null,3607,null,1183,null,4405,null,1413,null,2322,null,907,null,1112,null,490,null,929,null,526,null,985,null,647,null,449,null,316,null,0400000US01,Alabama,01
674678,null,1535,null,40009,null,1629,null,129135,null,1595,null,80633,null,2630,null,99124,null,2861,null,96176,null,2239,null,105292,null,1726,null,75894,null,991,null,31059,null,1220,null,17356,null,1152,null,518662,null,9439,null,27219,null,2137,null,104069,null,3138,null,42510,null,2697,null,63973,null,3220,null,74497,null,3401,null,90990,null,2012,null,70286,null,1623,null,28801,null,1331,null,16317,null,1032,null,89771,null,7464,null,7469,null,1562,null,16454,null,2810,null,20666,null,2819,null,20249,null,2572,null,12224,null,2297,null,7952,null,1403,null,3108,null,876,null,1104,null,498,null,545,null,300,null,20434,null,3452,null,2005,null,705,null,3273,null,1178,null,4324,null,995,null,4613,null,1407,null,3258,null,922,null,2096,null,617,null,690,null,320,null,45,null,45,null,130,null,130,null,40207,null,4845,null,3316,null,1134,null,4888,null,1533,null,11010,null,1989,null,8644,null,2013,null,5656,null,1639,null,3756,null,1093,null,1464,null,608,null,1109,null,518,null,364,null,252,null,5604,null,1377,null,0,null,240,null,451,null,333,null,2123,null,916,null,1645,null,646,null,541,null,399,null,498,null,425,null,346,null,312,null,0,null,240,null,0,null,240,null,0400000US02,Alaska,02
6395947,null,5636,null,411088,null,6115,null,1192359,null,2020,null,599953,null,3189,null,929418,null,3728,null,873435,null,2698,null,849309,null,3337,null,676293,null,1526,null,446195,null,1777,null,417897,null,1461,null,5165706,null,32451,null,307611,null,7710,null,982758,null,11655,null,390952,null,9420,null,655829,null,10572,null,705980,null,8474,null,733979,null,7522,null,598347,null,5037,null,408841,null,3745,null,381409,null,3893,null,823551,null,29420,null,77368,null,6361,null,152439,null,10484,null,136023,null,7614,null,183133,null,8107,null,112886,null,8147,null,77384,null,5960,null,44471,null,3862,null,18980,null,2422,null,20867,null,2818,null,124849,null,11516,null,8962,null,2180,null,20691,null,4646,null,27487,null,3203,null,29068,null,3643,null,14841,null,2170,null,10408,null,2229,null,7521,null,1545,null,2260,null,763,null,3611,null,1176,null,241357,null,15167,null,14886,null,2275,null,31483,null,4225,null,38047,null,4168,null,52365,null,5746,null,33816,null,3593,null,23987,null,3345,null,23083,null,3094,null,13358,null,2241,null,10332,null,2118,null,40484,null,5731,null,2261,null,980,null,4988,null,1966,null,7444,null,1842,null,9023,null,2368,null,5912,null,1648,null,3551,null,824,null,2871,null,1395,null,2756,null,959,null,1678,null,803,null,0400000US04,Arizona,04
2818387,null,2742,null,162079,null,3070,null,503842,null,2562,null,279652,null,4972,null,365307,null,5520,null,377306,null,3959,null,396312,null,3397,null,329699,null,1997,null,215390,null,2040,null,188800,null,1830,null,2306219,null,20426,null,118506,null,4390,null,415539,null,7074,null,171710,null,6532,null,261364,null,6766,null,317075,null,5329,null,345432,null,4945,null,301259,null,3565,null,201847,null,3036,null,173487,null,2076,null,305171,null,15909,null,27232,null,2963,null,58885,null,5644,null,58703,null,5809,null,59418,null,4707,null,36583,null,4151,null,30526,null,2949,null,16640,null,2796,null,7750,null,1621,null,9434,null,1534,null,109461,null,7729,null,10184,null,2445,null,15656,null,2494,null,27402,null,3594,null,22871,null,2553,null,11782,null,1914,null,10106,null,1777,null,5222,null,1247,null,2528,null,638,null,3710,null,775,null,88544,null,7962,null,5810,null,1442,null,13197,null,2793,null,18299,null,2897,null,19667,null,2706,null,10874,null,2114,null,9239,null,1776,null,6368,null,1257,null,3032,null,950,null,2058,null,570,null,8992,null,2032,null,347,null,252,null,565,null,358,null,3538,null,1274,null,1987,null,885,null,992,null,556,null,1009,null,551,null,210,null,192,null,233,null,171,null,111,null,129,null,0400000US05,Arkansas,05
36216093,null,11965,null,2152333,null,12279,null,6669791,null,3068,null,3865493,null,6602,null,5217280,null,8227,null,5372665,null,7206,null,5154622,null,5713,null,3668085,null,3095,null,2129019,null,3478,null,1986805,null,3141,null,30607842,null,66260,null,1737150,null,15683,null,5796858,null,21334,null,2750182,null,21895,null,3893060,null,26745,null,4579668,null,17416,null,4623650,null,17636,null,3389876,null,10196,null,1991742,null,6508,null,1845656,null,8337,null,3772050,null,58319,null,305425,null,8389,null,666237,null,20192,null,673007,null,18822,null,868168,null,19744,null,544493,null,14214,null,362338,null,12919,null,178101,null,7803,null,83725,null,4741,null,90556,null,5691,null,1062654,null,26982,null,66350,null,6500,null,118757,null,8895,null,262129,null,11928,null,263326,null,11071,null,146458,null,7401,null,98876,null,5451,null,52321,null,3779,null,23990,null,2620,null,30447,null,3064,null,467388,null,17490,null,29950,null,3666,null,50178,null,4806,null,115977,null,8065,null,117525,null,8122,null,59835,null,4734,null,42546,null,3700,null,25376,null,2878,null,13842,null,2396,null,12159,null,1840,null,306159,null,15755,null,13458,null,2398,null,37761,null,3974,null,64198,null,5231,null,75201,null,6013,null,42211,null,5171,null,27212,null,3527,null,22411,null,3109,null,15720,null,2287,null,7987,null,1354,null,0400000US06,California,06
4865291,null,3873,null,282224,null,4006,null,850377,null,2055,null,469664,null,3868,null,737224,null,4277,null,723927,null,3811,null,741939,null,3347,null,547770,null,2427,null,280147,null,2374,null,232019,null,2302,null,3901975,null,24347,null,210492,null,5521,null,709358,null,8154,null,264643,null,9038,null,505943,null,8838,null,586617,null,7036,null,652426,null,5630,null,498239,null,4363,null,260618,null,3374,null,213639,null,3393,null,479693,null,18004,null,36879,null,3601,null,77119,null,6523,null,100219,null,6477,null,113163,null,5835,null,68236,null,5612,null,41797,null,4576,null,23416,null,2572,null,9315,null,1770,null,9549,null,1523,null,251113,null,10544,null,17120,null,2612,null,32915,null,4236,null,58430,null,4648,null,58654,null,4184,null,35291,null,4240,null,26058,null,2472,null,13789,null,2175,null,3861,null,942,null,4995,null,1160,null,196319,null,10170,null,15194,null,2292,null,26278,null,3926,null,39630,null,3454,null,50273,null,4424,null,27121,null,3083,null,18843,null,2257,null,10621,null,1736,null,5178,null,1532,null,3181,null,790,null,36191,null,5030,null,2539,null,893,null,4707,null,1721,null,6742,null,1682,null,9191,null,2013,null,6662,null,1537,null,2815,null,987,null,1705,null,576,null,1175,null,609,null,655,null,471,null,0400000US08,Colorado,08
3461146,null,3064,null,170547,null,3505,null,600634,null,1567,null,325648,null,1743,null,403387,null,2010,null,514555,null,2152,null,561140,null,1761,null,407992,null,1043,null,237382,null,1314,null,239861,null,1265,null,3028778,null,16092,null,142528,null,3782,null,539677,null,5430,null,233994,null,5988,null,306252,null,5023,null,451944,null,4925,null,521116,null,4278,null,383099,null,2943,null,226505,null,1950,null,223663,null,2272,null,258262,null,14564,null,19317,null,2719,null,40550,null,4181,null,44999,null,4001,null,53724,null,4449,null,39436,null,3834,null,26337,null,3296,null,15203,null,2050,null,7063,null,1191,null,11633,null,1258,null,71111,null,5906,null,2319,null,905,null,7053,null,2109,null,19626,null,3094,null,16933,null,2300,null,10001,null,2107,null,6989,null,1211,null,3893,null,1205,null,1706,null,574,null,2591,null,945,null,78846,null,6974,null,4822,null,1076,null,10126,null,2216,null,22892,null,2984,null,19283,null,2642,null,10100,null,2052,null,4711,null,1045,null,3940,null,1069,null,1375,null,495,null,1597,null,507,null,24149,null,3886,null,1561,null,641,null,3228,null,1201,null,4137,null,1193,null,7195,null,1605,null,3074,null,1030,null,1987,null,750,null,1857,null,842,null,733,null,582,null,377,null,269,null,0400000US09,Connecticut,09
862373,null,1441,null,49083,null,1533,null,146324,null,549,null,85155,null,1088,null,108019,null,1244,null,122492,null,1205,null,127298,null,914,null,103248,null,826,null,64173,null,901,null,56581,null,649,null,735331,null,9912,null,40561,null,2187,null,127925,null,3369,null,56882,null,3134,null,79432,null,3018,null,106112,null,2662,null,115988,null,2162,null,96071,null,1594,null,60357,null,1186,null,52003,null,1298,null,73261,null,7715,null,4582,null,1186,null,10667,null,2436,null,19166,null,3196,null,13841,null,1939,null,9511,null,1820,null,7045,null,1677,null,3422,null,875,null,2409,null,736,null,2618,null,898,null,7841,null,1793,null,1075,null,603,null,857,null,514,null,1922,null,790,null,1864,null,800,null,768,null,362,null,575,null,285,null,411,null,423,null,62,null,89,null,307,null,135,null,41628,null,5514,null,2816,null,1060,null,6341,null,2010,null,6467,null,1176,null,11299,null,2405,null,5498,null,1359,null,3211,null,868,null,3070,null,742,null,1334,null,474,null,1592,null,760,null,4312,null,1355,null,49,null,85,null,534,null,472,null,718,null,630,null,1583,null,819,null,603,null,412,null,479,null,343,null,274,null,276,null,11,null,20,null,61,null,105,null,0400000US10,Delaware,10
584439,null,1139,null,28966,null,1129,null,75611,null,338,null,76094,null,499,null,108356,null,609,null,85088,null,315,null,76629,null,427,null,63189,null,540,null,36705,null,585,null,33801,null,536,null,468375,null,6796,null,23531,null,1604,null,63929,null,2920,null,46001,null,3148,null,73582,null,3321,null,71929,null,1955,null,67147,null,1781,null,56088,null,1404,null,33651,null,1035,null,32517,null,766,null,63313,null,5969,null,4377,null,1385,null,10033,null,2793,null,11840,null,2116,null,16793,null,2296,null,7726,null,1496,null,6235,null,1612,null,3890,null,1076,null,1836,null,835,null,583,null,444,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,0,null,296,null,44534,null,4695,null,942,null,729,null,1470,null,926,null,16360,null,2708,null,14224,null,2247,null,4679,null,1083,null,3014,null,940,null,2559,null,828,null,856,null,460,null,430,null,346,null,8217,null,1826,null,116,null,198,null,179,null,200,null,1893,null,776,null,3757,null,1180,null,754,null,476,null,233,null,202,null,652,null,534,null,362,null,361,null,271,null,311,null,0400000US11,District of Columbia,11
18107743,null,7962,null,919340,null,8011,null,2863449,null,6126,null,1625542,null,7970,null,2259542,null,8566,null,2496224,null,7118,null,2618729,null,6712,null,2142054,null,3411,null,1540911,null,3926,null,1641952,null,3623,null,15130528,null,48103,null,705683,null,12751,null,2405573,null,15961,null,1114239,null,13246,null,1632941,null,15905,null,2067933,null,14252,null,2297849,null,12308,null,1937816,null,9363,null,1436717,null,6373,null,1531777,null,6749,null,1777712,null,38229,null,145701,null,9094,null,302272,null,13540,null,293347,null,11904,null,385493,null,12153,null,252631,null,10270,null,184209,null,8676,null,104779,null,6109,null,46750,null,3220,null,62530,null,5235,null,554938,null,19833,null,29487,null,3890,null,67404,null,6327,null,114054,null,6612,null,119697,null,9336,null,86549,null,6727,null,67458,null,5698,null,36505,null,4110,null,15616,null,1995,null,18168,null,2099,null,489688,null,18952,null,30905,null,4004,null,68495,null,6222,null,79793,null,7095,null,89159,null,6769,null,69090,null,5589,null,53046,null,3730,null,48489,null,4392,null,27482,null,3124,null,23229,null,2671,null,154877,null,15844,null,7564,null,1903,null,19705,null,3354,null,24109,null,6132,null,32252,null,4830,null,20021,null,3237,null,16167,null,2720,null,14465,null,1951,null,14346,null,2509,null,6248,null,1290,null,0400000US12,Florida,12
