C08124_001E,C08124_001EA,C08124_001M,C08124_001MA,C08124_002E,C08124_002EA,C08124_002M,C08124_002MA,C08124_003E,C08124_003EA,C08124_003M,C08124_003MA,C08124_004E,C08124_004EA,C08124_004M,C08124_004MA,C08124_005E,C08124_005EA,C08124_005M,C08124_005MA,C08124_006E,C08124_006EA,C08124_006M,C08124_006MA,C08124_007E,C08124_007EA,C08124_007M,C08124_007MA,C08124_008E,C08124_008EA,C08124_008M,C08124_008MA,C08124_009E,C08124_009EA,C08124_009M,C08124_009MA,C08124_010E,C08124_010EA,C08124_010M,C08124_010MA,C08124_011E,C08124_011EA,C08124_011M,C08124_011MA,C08124_012E,C08124_012EA,C08124_012M,C08124_012MA,C08124_013E,C08124_013EA,C08124_013M,C08124_013MA,C08124_014E,C08124_014EA,C08124_014M,C08124_014MA,C08124_015E,C08124_015EA,C08124_015M,C08124_015MA,C08124_016E,C08124_016EA,C08124_016M,C08124_016MA,C08124_017E,C08124_017EA,C08124_017M,C08124_017MA,C08124_018E,C08124_018EA,C08124_018M,C08124_018MA,C08124_019E,C08124_019EA,C08124_019M,C08124_019MA,C08124_020E,C08124_020EA,C08124_020M,C08124_020MA,C08124_021E,C08124_021EA,C08124_021M,C08124_021MA,C08124_022E,C08124_022EA,C08124_022M,C08124_022MA,C08124_023E,C08124_023EA,C08124_023M,C08124_023MA,C08124_024E,C08124_024EA,C08124_024M,C08124_024MA,C08124_025E,C08124_025EA,C08124_025M,C08124_025MA,C08124_026E,C08124_026EA,C08124_026M,C08124_026MA,C08124_027E,C08124_027EA,C08124_027M,C08124_027MA,C08124_028E,C08124_028EA,C08124_028M,C08124_028MA,C08124_029E,C08124_029EA,C08124_029M,C08124_029MA,C08124_030E,C08124_030EA,C08124_030M,C08124_030MA,C08124_031E,C08124_031EA,C08124_031M,C08124_031MA,C08124_032E,C08124_032EA,C08124_032M,C08124_032MA,C08124_033E,C08124_033EA,C08124_033M,C08124_033MA,C08124_034E,C08124_034EA,C08124_034M,C08124_034MA,C08124_035E,C08124_035EA,C08124_035M,C08124_035MA,C08124_036E,C08124_036EA,C08124_036M,C08124_036MA,C08124_037E,C08124_037EA,C08124_037M,C08124_037MA,C08124_038E,C08124_038EA,C08124_038M,C08124_038MA,C08124_039E,C08124_039EA,C08124_039M,C08124_039MA,C08124_040E,C08124_040EA,C08124_040M,C08124_040MA,C08124_041E,C08124_041EA,C08124_041M,C08124_041MA,C08124_042E,C08124_042EA,C08124_042M,C08124_042MA,C08124_043E,C08124_043EA,C08124_043M,C08124_043MA,C08124_044E,C08124_044EA,C08124_044M,C08124_044MA,C08124_045E,C08124_045EA,C08124_045M,C08124_045MA,C08124_046E,C08124_046EA,C08124_046M,C08124_046MA,C08124_047E,C08124_047EA,C08124_047M,C08124_047MA,C08124_048E,C08124_048EA,C08124_048M,C08124_048MA,GEO_ID,NAME,state
2051673,null,14830,null,633548,null,12774,null,315720,null,9465,null,533125,null,12361,null,11986,null,2160,null,218674,null,7658,null,329082,null,8663,null,9538,null,2452,null,1702592,null,16740,null,545232,null,11813,null,252957,null,8422,null,463245,null,11614,null,7302,null,1555,null,165073,null,7314,null,263529,null,7403,null,5254,null,1505,null,241975,null,9135,null,57343,null,3501,null,41432,null,3524,null,44669,null,3513,null,3015,null,1314,null,43836,null,3961,null,49402,null,3793,null,2278,null,1056,null,10616,null,1790,null,1813,null,627,null,3984,null,1123,null,1605,null,570,null,0,null,271,null,514,null,379,null,2648,null,918,null,52,null,87,null,49391,null,4275,null,9192,null,1241,null,10357,null,1715,null,11192,null,2078,null,1284,null,588,null,5301,null,1226,null,10210,null,1578,null,1855,null,869,null,47099,null,3439,null,19968,null,1905,null,6990,null,1624,null,12414,null,1671,null,385,null,270,null,3950,null,1328,null,3293,null,850,null,99,null,182,null,0400000US01,Alabama,01
340794,null,5186,null,113250,null,4682,null,53313,null,3764,null,83160,null,3940,null,2609,null,668,null,44531,null,3548,null,35176,null,3668,null,8755,null,2035,null,225636,null,5991,null,77825,null,4087,null,33071,null,2934,null,58996,null,3516,null,994,null,411,null,28295,null,3169,null,20743,null,2661,null,5712,null,1237,null,49225,null,3911,null,15041,null,2100,null,7468,null,1588,null,13109,null,2144,null,290,null,149,null,7503,null,1574,null,4850,null,1169,null,964,null,480,null,5734,null,1334,null,1051,null,455,null,1536,null,720,null,1477,null,652,null,220,null,320,null,777,null,402,null,638,null,398,null,35,null,70,null,40001,null,2757,null,13350,null,1603,null,8064,null,1556,null,6279,null,1099,null,856,null,396,null,6052,null,1129,null,5116,null,986,null,284,null,220,null,20198,null,3521,null,5983,null,1076,null,3174,null,938,null,3299,null,981,null,249,null,184,null,1904,null,792,null,3829,null,1420,null,1760,null,1586,null,0400000US02,Alaska,02
2900947,null,16349,null,950755,null,16049,null,552266,null,15218,null,785779,null,15850,null,12438,null,2549,null,328094,null,11347,null,264161,null,9369,null,7454,null,1821,null,2183335,null,21273,null,747938,null,14105,null,385498,null,12064,null,614353,null,15024,null,7046,null,1722,null,227112,null,10178,null,196351,null,7155,null,5037,null,1337,null,381261,null,13548,null,95897,null,5878,null,88897,null,7499,null,82304,null,5472,null,3479,null,1828,null,70468,null,6018,null,39299,null,4407,null,917,null,794,null,67500,null,5697,null,13482,null,1844,null,20326,null,3630,null,20631,null,3193,null,948,null,657,null,4634,null,1272,null,7479,null,2369,null,0,null,302,null,127829,null,7646,null,31999,null,3208,null,34613,null,4022,null,28995,null,3403,null,572,null,614,null,14581,null,2478,null,15661,null,2179,null,1408,null,730,null,141022,null,6203,null,61439,null,4279,null,22932,null,2524,null,39496,null,3537,null,393,null,247,null,11299,null,2614,null,5371,null,1537,null,92,null,84,null,0400000US04,Arizona,04
1252670,null,10521,null,366577,null,9147,null,203173,null,7103,null,323796,null,8965,null,13677,null,1940,null,123475,null,5003,null,219746,null,7739,null,2226,null,819,null,1004273,null,11640,null,297707,null,8321,null,155546,null,5918,null,273793,null,7947,null,8979,null,1621,null,93872,null,4778,null,172885,null,6821,null,1491,null,729,null,157328,null,6653,null,40501,null,3117,null,27639,null,3732,null,31239,null,2971,null,3166,null,1116,null,22160,null,2401,null,32205,null,3299,null,418,null,342,null,5434,null,1437,null,958,null,447,null,1960,null,980,null,357,null,257,null,0,null,269,null,370,null,292,null,1789,null,764,null,0,null,269,null,44407,null,3304,null,10165,null,1709,null,10852,null,2361,null,7755,null,1387,null,1200,null,448,null,4570,null,1220,null,9590,null,1808,null,275,null,230,null,41228,null,3842,null,17246,null,2073,null,7176,null,1530,null,10652,null,1554,null,332,null,195,null,2503,null,962,null,3277,null,997,null,42,null,69,null,0400000US05,Arkansas,05
16809493,null,45386,null,6001090,null,34746,null,2948749,null,29888,null,4232695,null,35203,null,223875,null,11986,null,1451615,null,22070,null,1870555,null,26909,null,80914,null,5229,null,12223667,null,46209,null,4524817,null,32212,null,1965484,null,26649,null,3188755,null,31150,null,105400,null,5897,null,1041945,null,18190,null,1350893,null,21217,null,46373,null,4739,null,2006930,null,27228,null,560152,null,12022,null,360072,null,13034,null,449759,null,11483,null,84704,null,9255,null,266161,null,12123,null,276071,null,11944,null,10011,null,2290,null,884947,null,18482,null,263205,null,8630,null,232848,null,7682,null,224432,null,9374,null,5354,null,1483,null,44065,null,4638,null,112489,null,7753,null,2554,null,1413,null,888692,null,19357,null,276196,null,9752,null,227128,null,10526,null,185823,null,8120,null,23533,null,3763,null,63571,null,6124,null,98196,null,5778,null,14245,null,2780,null,805257,null,18388,null,376720,null,12115,null,163217,null,8111,null,183926,null,6793,null,4884,null,1551,null,35873,null,4221,null,32906,null,3351,null,7731,null,2565,null,0400000US06,California,06
2552101,null,13998,null,969267,null,14653,null,416247,null,11230,null,629014,null,12355,null,13565,null,2415,null,271909,null,9185,null,235924,null,7540,null,16175,null,1623,null,1880334,null,15006,null,728177,null,12859,null,287015,null,10129,null,481108,null,10094,null,7514,null,1577,null,190036,null,6934,null,178348,null,6781,null,8136,null,1424,null,287500,null,11460,null,83093,null,5581,null,54228,null,5190,null,54316,null,4346,null,3410,null,1122,null,57242,null,4975,null,33835,null,3583,null,1376,null,745,null,87910,null,5922,null,27488,null,2440,null,24204,null,3232,null,22381,null,2765,null,649,null,632,null,6282,null,1735,null,6906,null,1526,null,0,null,275,null,134786,null,6499,null,46860,null,3670,null,29141,null,2955,null,29957,null,2968,null,854,null,500,null,11660,null,2258,null,11800,null,1729,null,4514,null,1052,null,161571,null,5613,null,83649,null,4138,null,21659,null,2406,null,41252,null,3089,null,1138,null,662,null,6689,null,1486,null,5035,null,1164,null,2149,null,882,null,0400000US08,Colorado,08
1748301,null,14513,null,703376,null,11144,null,289906,null,9589,null,436477,null,8566,null,3836,null,1147,null,133273,null,6688,null,178867,null,8081,null,2566,null,763,null,1375574,null,12473,null,565085,null,10231,null,211153,null,8221,null,348962,null,8093,null,1596,null,651,null,103381,null,4944,null,143726,null,6089,null,1671,null,644,null,153043,null,7637,null,45579,null,3824,null,31832,null,2931,null,36189,null,3130,null,1233,null,997,null,19433,null,2500,null,18637,null,2692,null,140,null,163,null,76131,null,4830,null,33415,null,2793,null,14447,null,2360,null,18911,null,2187,null,172,null,203,null,3072,null,1258,null,6007,null,1338,null,107,null,181,null,72652,null,4950,null,22150,null,2807,null,21316,null,2501,null,16879,null,2276,null,502,null,316,null,4430,null,1156,null,7005,null,1537,null,370,null,225,null,70901,null,4363,null,37147,null,2838,null,11158,null,2266,null,15536,null,1894,null,333,null,229,null,2957,null,1142,null,3492,null,1290,null,278,null,199,null,0400000US09,Connecticut,09
416457,null,5632,null,153374,null,5483,null,71065,null,4487,null,108481,null,5856,null,1314,null,588,null,39505,null,3065,null,40879,null,3432,null,1839,null,649,null,327261,null,6881,null,122017,null,5161,null,52238,null,4096,null,87253,null,5220,null,768,null,427,null,30605,null,2950,null,32895,null,3275,null,1485,null,551,null,43957,null,3826,null,14267,null,1750,null,8633,null,1551,null,9568,null,1617,null,296,null,207,null,7438,null,1636,null,3465,null,1034,null,290,null,271,null,15893,null,2498,null,4373,null,1071,null,4089,null,1248,null,4928,null,1102,null,0,null,263,null,420,null,400,null,2083,null,1037,null,0,null,263,null,16829,null,2218,null,5987,null,1557,null,3901,null,1045,null,3882,null,1094,null,250,null,277,null,799,null,341,null,1946,null,707,null,64,null,97,null,12517,null,1613,null,6730,null,1299,null,2204,null,665,null,2850,null,660,null,0,null,263,null,243,null,204,null,490,null,366,null,0,null,263,null,0400000US10,Delaware,10
302634,null,5596,null,168022,null,4502,null,47476,null,3373,null,60907,null,4084,null,225,null,307,null,9004,null,1597,null,14823,null,2551,null,2177,null,625,null,112669,null,5175,null,63756,null,3671,null,13639,null,2227,null,21640,null,2717,null,225,null,307,null,4175,null,1125,null,8127,null,1778,null,1107,null,564,null,19932,null,2595,null,9946,null,1749,null,3290,null,1152,null,3627,null,1209,null,0,null,296,null,1254,null,700,null,1722,null,894,null,93,null,162,null,108164,null,4746,null,56776,null,3089,null,19831,null,2393,null,24494,null,2578,null,0,null,296,null,3076,null,823,null,3808,null,1079,null,179,null,180,null,47785,null,3939,null,28072,null,2713,null,8977,null,1751,null,8927,null,1686,null,0,null,296,null,427,null,336,null,901,null,598,null,481,null,453,null,14084,null,1723,null,9472,null,1340,null,1739,null,722,null,2219,null,788,null,0,null,296,null,72,null,118,null,265,null,236,null,317,null,232,null,0400000US11,District of Columbia,11
8277340,null,29829,null,2706600,null,25864,null,1582666,null,22709,null,2331245,null,25357,null,59934,null,11111,null,834440,null,16821,null,736738,null,14352,null,25717,null,2426,null,6576041,null,33841,null,2231270,null,23943,null,1186814,null,19624,null,1896991,null,22823,null,24464,null,3307,null,626577,null,15942,null,591705,null,13298,null,18220,null,2291,null,852160,null,18064,null,215316,null,8535,null,196638,null,8914,null,207986,null,9659,null,15358,null,3486,null,136345,null,8395,null,79051,null,6052,null,1466,null,657,null,162862,null,12053,null,23353,null,2782,null,58693,null,4695,null,41218,null,3922,null,11954,null,12447,null,13230,null,2093,null,14240,null,2612,null,174,null,166,null,315732,null,12558,null,70224,null,4097,null,93032,null,6574,null,70266,null,5045,null,6847,null,1840,null,34046,null,4170,null,37786,null,3187,null,3531,null,1272,null,370545,null,10598,null,166437,null,6988,null,47489,null,5003,null,114784,null,6189,null,1311,null,632,null,24242,null,3393,null,13956,null,2077,null,2326,null,1135,null,0400000US12,Florida,12
