C15002F_001E,C15002F_001EA,C15002F_001M,C15002F_001MA,C15002F_002E,C15002F_002EA,C15002F_002M,C15002F_002MA,C15002F_003E,C15002F_003EA,C15002F_003M,C15002F_003MA,C15002F_004E,C15002F_004EA,C15002F_004M,C15002F_004MA,C15002F_005E,C15002F_005EA,C15002F_005M,C15002F_005MA,C15002F_006E,C15002F_006EA,C15002F_006M,C15002F_006MA,C15002F_007E,C15002F_007EA,C15002F_007M,C15002F_007MA,C15002F_008E,C15002F_008EA,C15002F_008M,C15002F_008MA,C15002F_009E,C15002F_009EA,C15002F_009M,C15002F_009MA,C15002F_010E,C15002F_010EA,C15002F_010M,C15002F_010MA,C15002F_011E,C15002F_011EA,C15002F_011M,C15002F_011MA,GEO_ID,NAME,state
15097,null,2522,null,8783,null,1670,null,4252,null,1354,null,1714,null,722,null,1135,null,507,null,1682,null,1000,null,6314,null,1316,null,1561,null,596,null,2193,null,897,null,1434,null,493,null,1126,null,633,null,0400000US01,Alabama,01
5215,null,1360,null,3063,null,1189,null,985,null,745,null,408,null,234,null,869,null,634,null,801,null,541,null,2152,null,584,null,454,null,326,null,234,null,206,null,1096,null,484,null,368,null,284,null,0400000US02,Alaska,02
234289,null,12709,null,123342,null,7716,null,46017,null,4727,null,36404,null,3895,null,31765,null,3565,null,9156,null,1732,null,110947,null,6470,null,44309,null,4143,null,29788,null,3208,null,28426,null,2774,null,8424,null,1797,null,0400000US04,Arizona,04
28211,null,2670,null,15496,null,1624,null,10115,null,1406,null,3604,null,1107,null,1269,null,696,null,508,null,380,null,12715,null,1596,null,8444,null,1540,null,1227,null,581,null,1379,null,521,null,1665,null,782,null,0400000US05,Arkansas,05
2853429,null,37774,null,1495960,null,22985,null,711899,null,17291,null,370954,null,12262,null,293888,null,9756,null,119219,null,6167,null,1357469,null,19297,null,630896,null,13092,null,312190,null,10525,null,294939,null,9825,null,119444,null,6138,null,0400000US06,California,06
132170,null,8370,null,73606,null,5617,null,29654,null,3152,null,21438,null,3302,null,15978,null,2197,null,6536,null,1726,null,58564,null,3948,null,19375,null,2504,null,18155,null,2336,null,13369,null,2241,null,7665,null,1834,null,0400000US08,Colorado,08
90202,null,5640,null,43410,null,3281,null,17095,null,2103,null,13838,null,2068,null,7373,null,1757,null,5104,null,1514,null,46792,null,3221,null,15512,null,2433,null,12711,null,1739,null,11883,null,1764,null,6686,null,1348,null,0400000US09,Connecticut,09
8252,null,1805,null,4572,null,1122,null,2006,null,783,null,1539,null,553,null,555,null,403,null,472,null,371,null,3680,null,878,null,1740,null,575,null,772,null,466,null,336,null,206,null,832,null,504,null,0400000US10,Delaware,10
11645,null,2365,null,6450,null,1488,null,2922,null,1080,null,392,null,328,null,426,null,424,null,2710,null,1045,null,5195,null,1298,null,2390,null,1008,null,943,null,593,null,820,null,715,null,1042,null,530,null,0400000US11,District of Columbia,11
283002,null,13930,null,147528,null,8206,null,52534,null,4754,null,42928,null,4149,null,32602,null,3429,null,19464,null,2829,null,135474,null,7555,null,34211,null,3303,null,40363,null,4714,null,38073,null,3314,null,22827,null,2720,null,0400000US12,Florida,12
175969,null,10237,null,104268,null,7151,null,50143,null,5412,null,28510,null,3826,null,14729,null,2298,null,10886,null,2280,null,71701,null,4428,null,28649,null,3147,null,20180,null,2808,null,13840,null,2402,null,9032,null,1873,null,0400000US13,Georgia,13
9650,null,1837,null,5890,null,1383,null,806,null,488,null,2192,null,1148,null,2101,null,936,null,791,null,440,null,3760,null,934,null,871,null,477,null,1639,null,630,null,988,null,535,null,262,null,177,null,0400000US15,Hawaii,15
15050,null,2232,null,9042,null,1675,null,4949,null,1446,null,2047,null,732,null,1515,null,747,null,531,null,362,null,6008,null,1125,null,2987,null,807,null,1079,null,449,null,1627,null,512,null,315,null,222,null,0400000US16,Idaho,16
455880,null,14791,null,246953,null,8771,null,117256,null,6526,null,69859,null,4210,null,39152,null,4633,null,20686,null,2728,null,208927,null,7457,null,94954,null,5973,null,52924,null,3845,null,40357,null,3616,null,20692,null,2661,null,0400000US17,Illinois,17
69153,null,5503,null,39468,null,3355,null,19911,null,2450,null,11272,null,1907,null,5416,null,1152,null,2869,null,995,null,29685,null,2923,null,12587,null,2220,null,8083,null,1644,null,5975,null,1292,null,3040,null,1061,null,0400000US18,Indiana,18
20633,null,2574,null,12364,null,1585,null,4701,null,1103,null,4370,null,1036,null,2008,null,829,null,1285,null,693,null,8269,null,1465,null,4731,null,1075,null,1947,null,756,null,1167,null,588,null,424,null,346,null,0400000US19,Iowa,19
37851,null,3902,null,20926,null,2733,null,8806,null,1523,null,6384,null,1341,null,3784,null,1318,null,1952,null,707,null,16925,null,1881,null,6616,null,1191,null,3839,null,946,null,3766,null,1025,null,2704,null,871,null,0400000US20,Kansas,20
16506,null,2292,null,9982,null,1537,null,4674,null,1081,null,3872,null,937,null,823,null,440,null,613,null,437,null,6524,null,1324,null,2590,null,702,null,1976,null,897,null,1448,null,737,null,510,null,342,null,0400000US21,Kentucky,21
19769,null,3203,null,11649,null,2137,null,3665,null,1252,null,5016,null,1389,null,1777,null,691,null,1191,null,536,null,8120,null,1497,null,3069,null,986,null,1694,null,592,null,2249,null,788,null,1108,null,557,null,0400000US22,Louisiana,22
2105,null,934,null,947,null,504,null,648,null,436,null,16,null,29,null,86,null,76,null,197,null,155,null,1158,null,626,null,170,null,247,null,40,null,68,null,498,null,442,null,450,null,381,null,0400000US23,Maine,23
