C17020H_001E,C17020H_001EA,C17020H_001M,C17020H_001MA,C17020H_002E,C17020H_002EA,C17020H_002M,C17020H_002MA,C17020H_003E,C17020H_003EA,C17020H_003M,C17020H_003MA,C17020H_004E,C17020H_004EA,C17020H_004M,C17020H_004MA,C17020H_005E,C17020H_005EA,C17020H_005M,C17020H_005MA,C17020H_006E,C17020H_006EA,C17020H_006M,C17020H_006MA,C17020H_007E,C17020H_007EA,C17020H_007M,C17020H_007MA,C17020H_008E,C17020H_008EA,C17020H_008M,C17020H_008MA,C17020H_009E,C17020H_009EA,C17020H_009M,C17020H_009MA,GEO_ID,NAME,state
3124315,null,4348,null,329432,null,14044,null,85363,null,7104,null,197478,null,7628,null,46591,null,3353,null,2794883,null,14354,null,592692,null,6952,null,1756196,null,8364,null,445995,null,3841,null,0400000US01,Alabama,01
440258,null,1281,null,25738,null,3579,null,7475,null,1765,null,17096,null,2469,null,1167,null,509,null,414520,null,3638,null,90762,null,1949,null,289200,null,2540,null,34558,null,589,null,0400000US02,Alaska,02
3724881,null,3907,null,323444,null,16903,null,64650,null,7068,null,211837,null,11334,null,46957,null,4440,null,3401437,null,17385,null,654799,null,7699,null,2087526,null,11825,null,659112,null,5137,null,0400000US04,Arizona,04
2102785,null,3983,null,270859,null,12525,null,79069,null,5976,null,156661,null,8327,null,35129,null,2481,null,1831926,null,12663,null,383171,null,6128,null,1142550,null,8680,null,306205,null,2827,null,0400000US05,Arkansas,05
15140750,null,11698,null,1252408,null,26699,null,232048,null,12805,null,855084,null,21162,null,165276,null,8251,null,13888342,null,27044,null,2534160,null,14839,null,8998758,null,21726,null,2355424,null,10121,null,0400000US06,California,06
3431706,null,3605,null,258976,null,12217,null,52260,null,5597,null,176912,null,8088,null,29804,null,3187,null,3172730,null,12722,null,658853,null,6372,null,2127002,null,8340,null,386875,null,3563,null,0400000US08,Colorado,08
2502489,null,2991,null,135129,null,7693,null,24992,null,3444,null,88211,null,5964,null,21926,null,2404,null,2367360,null,8394,null,493462,null,4129,null,1499252,null,6050,null,374646,null,2677,null,0400000US09,Connecticut,09
581189,null,2115,null,38260,null,4648,null,7300,null,1947,null,24922,null,3046,null,6038,null,1212,null,542929,null,4966,null,112056,null,2016,null,338741,null,3585,null,92132,null,1204,null,0400000US10,Delaware,10
178386,null,2017,null,11959,null,1586,null,625,null,445,null,10528,null,1388,null,806,null,438,null,166427,null,2547,null,20957,null,912,null,126802,null,1956,null,18668,null,740,null,0400000US11,District of Columbia,11
10806570,null,9282,null,1029479,null,26481,null,224491,null,12593,null,626886,null,18785,null,178102,null,6536,null,9777091,null,28619,null,1717156,null,13339,null,5809678,null,19020,null,2250257,null,7347,null,0400000US12,Florida,12
5479527,null,6681,null,509876,null,20172,null,129627,null,10343,null,315596,null,12100,null,64653,null,5164,null,4969651,null,21866,null,1133276,null,10858,null,3185226,null,12623,null,651149,null,5658,null,0400000US13,Georgia,13
308253,null,1934,null,33039,null,4615,null,4324,null,1654,null,25727,null,3533,null,2988,null,924,null,275214,null,5104,null,47862,null,1819,null,187949,null,3892,null,39403,null,1006,null,0400000US15,Hawaii,15
1267807,null,1718,null,140325,null,10650,null,40456,null,4655,null,88326,null,6664,null,11543,null,1890,null,1127482,null,10789,null,275976,null,4777,null,698895,null,6720,null,152611,null,2030,null,0400000US16,Idaho,16
8104668,null,7590,null,621624,null,17084,null,147524,null,8639,null,390587,null,12144,null,83513,null,4464,null,7483044,null,18975,null,1569274,null,9422,null,4801452,null,12812,null,1112318,null,6322,null,0400000US17,Illinois,17
5140930,null,5357,null,547773,null,18473,null,167556,null,10848,null,326818,null,10261,null,53399,null,3831,null,4593157,null,19323,null,1022747,null,12044,null,2922343,null,10068,null,648067,null,4175,null,0400000US18,Indiana,18
2620995,null,3016,null,269143,null,12512,null,70151,null,6133,null,165866,null,7362,null,33126,null,2250,null,2351852,null,13227,null,519001,null,6540,null,1464555,null,7748,null,368296,null,2627,null,0400000US19,Iowa,19
2186607,null,3590,null,197510,null,9025,null,51946,null,5410,null,122792,null,5474,null,22772,null,2388,null,1989097,null,9646,null,446973,null,5490,null,1251387,null,6324,null,290737,null,2968,null,0400000US20,Kansas,20
3659269,null,3628,null,579764,null,18870,null,167100,null,8400,null,345398,null,11924,null,67266,null,4380,null,3079505,null,19210,null,657090,null,8560,null,1985785,null,12173,null,436630,null,4443,null,0400000US21,Kentucky,21
2664899,null,5029,null,279343,null,13429,null,72519,null,6146,null,171048,null,8872,null,35776,null,3256,null,2385556,null,14029,null,519128,null,6341,null,1525019,null,9662,null,341409,null,3783,null,0400000US22,Louisiana,22
1218233,null,2393,null,139711,null,7164,null,34334,null,3668,null,88524,null,4323,null,16853,null,1533,null,1078522,null,7455,null,209426,null,4216,null,698319,null,4424,null,170777,null,1693,null,0400000US23,Maine,23
3166998,null,6390,null,181519,null,9966,null,37745,null,4830,null,114725,null,6731,null,29049,null,3184,null,2985479,null,12410,null,633470,null,5268,null,1906971,null,8710,null,445038,null,3678,null,0400000US24,Maryland,24
4932303,null,8914,null,354313,null,16790,null,63670,null,6066,null,228075,null,12693,null,62568,null,4073,null,4577990,null,15763,null,932485,null,6481,null,2974186,null,11961,null,671319,null,5065,null,0400000US25,Massachusetts,25
7583073,null,5579,null,820073,null,21122,null,219099,null,10944,null,519462,null,13346,null,81512,null,3864,null,6763000,null,21167,null,1443681,null,10820,null,4306848,null,14245,null,1012471,null,4399,null,0400000US26,Michigan,26
4348026,null,3871,null,321312,null,9946,null,66609,null,4518,null,208825,null,7789,null,45878,null,2613,null,4026714,null,10233,null,889570,null,5033,null,2600491,null,7988,null,536653,null,2925,null,0400000US27,Minnesota,27
1673257,null,3966,null,203331,null,12251,null,56920,null,5955,null,117844,null,7519,null,28567,null,2691,null,1469926,null,13042,null,321527,null,6368,null,918719,null,8913,null,229680,null,2939,null,0400000US28,Mississippi,28
4725051,null,8212,null,521197,null,14405,null,148495,null,7526,null,313789,null,9599,null,58913,null,4060,null,4203854,null,14688,null,910153,null,7058,null,2669462,null,10570,null,624239,null,4582,null,0400000US29,Missouri,29
830511,null,1600,null,105499,null,7903,null,31025,null,4099,null,63890,null,5004,null,10584,null,1579,null,725012,null,7681,null,143421,null,4101,null,468360,null,4912,null,113231,null,1642,null,0400000US30,Montana,30
1456221,null,2711,null,125895,null,7814,null,29849,null,3834,null,75912,null,5274,null,20134,null,2335,null,1330326,null,8251,null,301635,null,4537,null,836328,null,5346,null,192363,null,2441,null,0400000US31,Nebraska,31
1464874,null,3160,null,115334,null,9069,null,23838,null,4208,null,74093,null,5867,null,17403,null,2528,null,1349540,null,9847,null,261516,null,4727,null,880636,null,6379,null,207388,null,2756,null,0400000US32,Nevada,32
1189508,null,1606,null,86370,null,7376,null,21801,null,3319,null,51511,null,4942,null,13058,null,2317,null,1103138,null,7537,null,235714,null,3623,null,724936,null,4870,null,142488,null,2440,null,0400000US33,New Hampshire,33
5237563,null,5260,null,271335,null,14533,null,68590,null,7125,null,152379,null,8657,null,50366,null,3973,null,4966228,null,16267,null,1028748,null,8001,null,3132694,null,9168,null,804786,null,4931,null,0400000US34,New Jersey,34
807089,null,2697,null,84715,null,6873,null,16335,null,2942,null,56672,null,4894,null,11708,null,1468,null,722374,null,7124,null,124572,null,2867,null,456867,null,5344,null,140935,null,1693,null,0400000US35,New Mexico,35
11345603,null,11677,null,1010663,null,24365,null,261774,null,11438,null,597923,null,16195,null,150966,null,5839,null,10334940,null,26451,null,2016059,null,12372,null,6628220,null,18013,null,1690661,null,8007,null,0400000US36,New York,36
6020022,null,7580,null,589509,null,22022,null,145552,null,10762,null,362393,null,13491,null,81564,null,3971,null,5430513,null,21892,null,1142268,null,11392,null,3484920,null,12966,null,803325,null,4469,null,0400000US37,North Carolina,37
553665,null,855,null,53767,null,4535,null,12660,null,2505,null,30313,null,2494,null,10794,null,1261,null,499898,null,4714,null,104422,null,2575,null,321851,null,2599,null,73625,null,1376,null,0400000US38,North Dakota,38
9230454,null,6161,null,975135,null,24415,null,277256,null,11789,null,596086,null,15592,null,101793,null,4274,null,8255319,null,24373,null,1787832,null,11584,null,5238077,null,15776,null,1229410,null,5072,null,0400000US39,Ohio,39
2519454,null,3147,null,320925,null,12496,null,91311,null,6417,null,192811,null,7718,null,36803,null,2705,null,2198529,null,12907,null,453809,null,6544,null,1387667,null,8499,null,357053,null,3097,null,0400000US40,Oklahoma,40
2974675,null,2491,null,339708,null,13929,null,78977,null,7587,null,223899,null,8632,null,36832,null,3183,null,2634967,null,13686,null,510551,null,7596,null,1707706,null,8392,null,416710,null,3406,null,0400000US41,Oregon,41
9790846,null,8223,null,886465,null,19396,null,218927,null,9212,null,536276,null,13689,null,131262,null,6164,null,8904381,null,20244,null,1778279,null,9070,null,5635587,null,14495,null,1490515,null,6819,null,0400000US42,Pennsylvania,42
793735,null,2189,null,66532,null,6585,null,12646,null,2661,null,41802,null,4578,null,12084,null,1744,null,727203,null,6730,null,138529,null,2731,null,473691,null,4723,null,114983,null,1897,null,0400000US44,Rhode Island,44
2838582,null,4141,null,288736,null,12521,null,69445,null,6173,null,182063,null,7865,null,37228,null,3300,null,2549846,null,12577,null,531354,null,6024,null,1610734,null,8407,null,407758,null,3763,null,0400000US45,South Carolina,45
668800,null,1710,null,59087,null,5350,null,15659,null,2984,null,33438,null,3142,null,9990,null,1083,null,609713,null,5716,null,134001,null,3163,null,381997,null,3482,null,93715,null,1273,null,0400000US46,South Dakota,46
4676447,null,4664,null,584913,null,19745,null,157906,null,10169,null,357338,null,12214,null,69669,null,3668,null,4091534,null,20242,null,852435,null,10350,null,2623176,null,13155,null,615923,null,3983,null,0400000US47,Tennessee,47
11213144,null,14051,null,927261,null,21921,null,220661,null,11772,null,592389,null,15213,null,114211,null,5113,null,10285883,null,26115,null,2214412,null,13402,null,6578680,null,18663,null,1492791,null,6547,null,0400000US48,Texas,48
