C18102_001E,C18102_001EA,C18102_001M,C18102_001MA,C18102_002E,C18102_002EA,C18102_002M,C18102_002MA,C18102_003E,C18102_003EA,C18102_003M,C18102_003MA,C18102_004E,C18102_004EA,C18102_004M,C18102_004MA,C18102_005E,C18102_005EA,C18102_005M,C18102_005MA,C18102_006E,C18102_006EA,C18102_006M,C18102_006MA,C18102_007E,C18102_007EA,C18102_007M,C18102_007MA,C18102_008E,C18102_008EA,C18102_008M,C18102_008MA,C18102_009E,C18102_009EA,C18102_009M,C18102_009MA,C18102_010E,C18102_010EA,C18102_010M,C18102_010MA,C18102_011E,C18102_011EA,C18102_011M,C18102_011MA,C18102_012E,C18102_012EA,C18102_012M,C18102_012MA,C18102_013E,C18102_013EA,C18102_013M,C18102_013MA,C18102_014E,C18102_014EA,C18102_014M,C18102_014MA,C18102_015E,C18102_015EA,C18102_015M,C18102_015MA,C18102_016E,C18102_016EA,C18102_016M,C18102_016MA,C18102_017E,C18102_017EA,C18102_017M,C18102_017MA,C18102_018E,C18102_018EA,C18102_018M,C18102_018MA,C18102_019E,C18102_019EA,C18102_019M,C18102_019MA,C18102_020E,C18102_020EA,C18102_020M,C18102_020MA,C18102_021E,C18102_021EA,C18102_021M,C18102_021MA,GEO_ID,NAME,state
4574185,null,1943,null,2198441,null,4770,null,572524,null,3346,null,3694,null,927,null,568830,null,3486,null,1369886,null,3608,null,54897,null,3962,null,1314989,null,4947,null,256031,null,1863,null,58861,null,3296,null,197170,null,3571,null,2375744,null,4702,null,547208,null,3685,null,3691,null,907,null,543517,null,3811,null,1470605,null,3065,null,29273,null,2732,null,1441332,null,3919,null,357931,null,1990,null,48814,null,3063,null,309117,null,3629,null,0400000US01,Alabama,01
659084,null,2654,null,334591,null,2757,null,93267,null,1530,null,401,null,236,null,92866,null,1582,null,218187,null,2814,null,12232,null,1982,null,205955,null,3202,null,23137,null,626,null,7065,null,894,null,16072,null,921,null,324493,null,2029,null,87164,null,1442,null,380,null,282,null,86784,null,1542,null,212751,null,1383,null,4747,null,1202,null,208004,null,1725,null,24578,null,684,null,4341,null,985,null,20237,null,1136,null,0400000US02,Alaska,02
6402786,null,2692,null,3178940,null,3968,null,874583,null,2818,null,5527,null,1382,null,869056,null,3288,null,1919866,null,3728,null,50743,null,4541,null,1869123,null,5955,null,384491,null,1769,null,80679,null,4434,null,303812,null,4670,null,3223846,null,3469,null,831258,null,2625,null,5416,null,1444,null,825842,null,3190,null,1922663,null,2579,null,30892,null,2703,null,1891771,null,4061,null,469925,null,2050,null,63381,null,3894,null,406544,null,4348,null,0400000US04,Arizona,04
2801628,null,1721,null,1365410,null,4221,null,360249,null,3184,null,3700,null,1017,null,356549,null,3501,null,837986,null,3460,null,36896,null,3156,null,801090,null,4752,null,167175,null,1778,null,37877,null,2356,null,129298,null,2727,null,1436218,null,4181,null,341240,null,3164,null,2823,null,871,null,338417,null,3033,null,876889,null,3438,null,17377,null,2357,null,859512,null,4379,null,218089,null,1680,null,31791,null,1936,null,186298,null,2470,null,0400000US05,Arkansas,05
36160600,null,6633,null,17938937,null,8716,null,4781741,null,4432,null,26116,null,2563,null,4755625,null,4967,null,11431915,null,7795,null,229301,null,7506,null,11202614,null,9134,null,1725281,null,4272,null,316198,null,8510,null,1409083,null,8901,null,18221663,null,8132,null,4565973,null,4878,null,24409,null,2853,null,4541564,null,5599,null,11378951,null,7913,null,144183,null,6941,null,11234768,null,11026,null,2276739,null,6449,null,297919,null,9036,null,1978820,null,9967,null,0400000US06,California,06
4853404,null,1990,null,2423482,null,3704,null,612733,null,3168,null,3346,null,863,null,609387,null,3114,null,1591897,null,3328,null,48461,null,3065,null,1543436,null,4023,null,218852,null,1948,null,42793,null,2367,null,176059,null,2655,null,2429922,null,3311,null,591203,null,2898,null,2762,null,968,null,588441,null,3180,null,1562266,null,2646,null,20793,null,2013,null,1541473,null,3616,null,276453,null,1676,null,38255,null,2142,null,238198,null,2761,null,0400000US08,Colorado,08
3440844,null,1173,null,1673863,null,2650,null,414715,null,2225,null,2531,null,812,null,412184,null,2334,null,1068564,null,2290,null,20778,null,2354,null,1047786,null,3212,null,190584,null,843,null,31129,null,2144,null,159455,null,2149,null,1766981,null,2535,null,395252,null,1835,null,2337,null,812,null,392915,null,1842,null,1111629,null,1886,null,14253,null,1992,null,1097376,null,2711,null,260100,null,1407,null,29966,null,2324,null,230134,null,2616,null,0400000US09,Connecticut,09
856131,null,1689,null,411661,null,1759,null,104523,null,711,null,378,null,309,null,104145,null,694,null,255873,null,1496,null,6246,null,1403,null,249627,null,1944,null,51265,null,545,null,9681,null,1251,null,41584,null,1320,null,444470,null,1257,null,101520,null,807,null,1256,null,573,null,100264,null,1003,null,277828,null,1177,null,4087,null,1136,null,273741,null,1342,null,65122,null,774,null,8267,null,1289,null,56855,null,1397,null,0400000US10,Delaware,10
580464,null,653,null,271954,null,1278,null,56520,null,948,null,223,null,261,null,56297,null,911,null,189612,null,1245,null,2644,null,1056,null,186968,null,1619,null,25822,null,1035,null,2150,null,677,null,23672,null,1218,null,308510,null,1203,null,54743,null,426,null,305,null,287,null,54438,null,501,null,213275,null,690,null,2820,null,1002,null,210455,null,1192,null,40492,null,1079,null,3642,null,777,null,36850,null,1269,null,0400000US11,District of Columbia,11
17995843,null,3547,null,8754878,null,8342,null,2045289,null,4363,null,13580,null,2105,null,2031709,null,4780,null,5332986,null,9420,null,125672,null,6106,null,5207314,null,11981,null,1376603,null,3520,null,249729,null,7039,null,1126874,null,6642,null,9240965,null,7798,null,1951043,null,5335,null,8291,null,1643,null,1942752,null,5534,null,5561721,null,5509,null,73640,null,4356,null,5488081,null,6661,null,1728201,null,3310,null,211392,null,8467,null,1516809,null,8003,null,0400000US12,Florida,12
9473441,null,3655,null,4602218,null,8628,null,1300362,null,6293,null,10280,null,2210,null,1290082,null,6032,null,2906233,null,5638,null,75706,null,4589,null,2830527,null,6899,null,395623,null,2954,null,72377,null,3665,null,323246,null,3919,null,4871223,null,7903,null,1235696,null,5960,null,7473,null,1637,null,1228223,null,6318,null,3080713,null,5749,null,47500,null,4141,null,3033213,null,7311,null,554814,null,3270,null,75586,null,4126,null,479228,null,5225,null,0400000US13,Georgia,13
1236665,null,2981,null,607635,null,3988,null,148030,null,2059,null,1135,null,612,null,146895,null,2258,null,378928,null,3133,null,8345,null,1450,null,370583,null,3012,null,80677,null,658,null,16001,null,1533,null,64676,null,1603,null,629030,null,2948,null,136463,null,2057,null,663,null,426,null,135800,null,2138,null,387496,null,1958,null,5067,null,1165,null,382429,null,2238,null,105071,null,747,null,14123,null,1509,null,90948,null,1688,null,0400000US15,Hawaii,15
1498787,null,900,null,751753,null,3405,null,212522,null,1682,null,2239,null,903,null,210283,null,1843,null,458895,null,3143,null,16267,null,1920,null,442628,null,3701,null,80336,null,931,null,21868,null,1872,null,58468,null,1736,null,747034,null,3248,null,200448,null,1392,null,1094,null,545,null,199354,null,1455,null,453385,null,3160,null,6904,null,1215,null,446481,null,3338,null,93201,null,1387,null,14092,null,1530,null,79109,null,1963,null,0400000US16,Idaho,16
12709312,null,1736,null,6236342,null,5571,null,1619991,null,3426,null,11013,null,1875,null,1608978,null,4173,null,3991029,null,4553,null,83364,null,4399,null,3907665,null,5355,null,625322,null,2035,null,109703,null,3913,null,515619,null,4377,null,6472970,null,5341,null,1555527,null,3441,null,8464,null,1685,null,1547063,null,3657,null,4047395,null,4962,null,52034,null,3791,null,3995361,null,6589,null,870048,null,4619,null,104825,null,3720,null,765223,null,5685,null,0400000US17,Illinois,17
6271184,null,1579,null,3075843,null,5210,null,805029,null,3333,null,6365,null,1481,null,798664,null,3755,null,1944671,null,3453,null,62854,null,3447,null,1881817,null,5169,null,326143,null,2147,null,65153,null,3027,null,260990,null,3515,null,3195341,null,5374,null,774842,null,3874,null,5214,null,1275,null,769628,null,4098,null,1980241,null,3343,null,36824,null,3191,null,1943417,null,4777,null,440258,null,3064,null,57777,null,3380,null,382481,null,4099,null,0400000US18,Indiana,18
2951468,null,887,null,1456223,null,3751,null,360575,null,2512,null,2268,null,785,null,358307,null,2486,null,918766,null,2513,null,30858,null,2629,null,887908,null,3580,null,176882,null,1285,null,36323,null,1916,null,140559,null,2177,null,1495245,null,3591,null,347676,null,2618,null,1963,null,778,null,345713,null,2709,null,911272,null,2315,null,13891,null,1699,null,897381,null,2823,null,236297,null,1451,null,29705,null,1886,null,206592,null,2498,null,0400000US19,Iowa,19
2738746,null,1925,null,1348315,null,3413,null,355379,null,2261,null,2686,null,764,null,352693,null,2394,null,846480,null,2933,null,29459,null,2291,null,817021,null,3719,null,146456,null,1426,null,31057,null,2186,null,115399,null,2416,null,1390431,null,3218,null,342844,null,2283,null,2763,null,859,null,340081,null,2463,null,851247,null,2130,null,14483,null,1873,null,836764,null,2769,null,196340,null,2039,null,27632,null,2023,null,168708,null,2097,null,0400000US20,Kansas,20
4187839,null,1726,null,2032988,null,5096,null,513596,null,3436,null,4719,null,1044,null,508877,null,3678,null,1291434,null,3288,null,59433,null,4017,null,1232001,null,4722,null,227958,null,1680,null,56577,null,3325,null,171381,null,3264,null,2154851,null,4843,null,490850,null,3191,null,4920,null,1164,null,485930,null,3387,null,1354293,null,3245,null,32409,null,2514,null,1321884,null,4123,null,309708,null,2029,null,46251,null,2893,null,263457,null,3335,null,0400000US21,Kentucky,21
4312891,null,2506,null,2072716,null,5736,null,566872,null,3187,null,3606,null,800,null,563266,null,3139,null,1291482,null,5596,null,45788,null,2985,null,1245694,null,6962,null,214362,null,2062,null,48624,null,2881,null,165738,null,3447,null,2240175,null,5340,null,538734,null,3228,null,3339,null,852,null,535395,null,3571,null,1404396,null,5165,null,26569,null,2800,null,1377827,null,6188,null,297045,null,2379,null,37983,null,2815,null,259062,null,3267,null,0400000US22,Louisiana,22
