C19101G_001E,C19101G_001EA,C19101G_001M,C19101G_001MA,C19101G_002E,C19101G_002EA,C19101G_002M,C19101G_002MA,C19101G_003E,C19101G_003EA,C19101G_003M,C19101G_003MA,C19101G_004E,C19101G_004EA,C19101G_004M,C19101G_004MA,C19101G_005E,C19101G_005EA,C19101G_005M,C19101G_005MA,C19101G_006E,C19101G_006EA,C19101G_006M,C19101G_006MA,C19101G_007E,C19101G_007EA,C19101G_007M,C19101G_007MA,C19101G_008E,C19101G_008EA,C19101G_008M,C19101G_008MA,C19101G_009E,C19101G_009EA,C19101G_009M,C19101G_009MA,C19101G_010E,C19101G_010EA,C19101G_010M,C19101G_010MA,C19101G_011E,C19101G_011EA,C19101G_011M,C19101G_011MA,GEO_ID,NAME,state
13076,null,1912,null,1178,null,589,null,1094,null,674,null,918,null,447,null,1635,null,607,null,1833,null,663,null,3121,null,898,null,1507,null,692,null,939,null,413,null,415,null,249,null,436,null,360,null,0400000US01,Alabama,01
8940,null,1536,null,487,null,410,null,116,null,118,null,1215,null,673,null,834,null,519,null,915,null,491,null,2472,null,836,null,1504,null,608,null,1143,null,555,null,190,null,174,null,64,null,80,null,0400000US02,Alaska,02
20868,null,2095,null,1717,null,608,null,779,null,472,null,1775,null,573,null,2131,null,577,null,3213,null,783,null,4362,null,958,null,3137,null,945,null,2519,null,779,null,1019,null,492,null,216,null,187,null,0400000US04,Arizona,04
10513,null,1629,null,1217,null,654,null,898,null,505,null,1295,null,530,null,1211,null,400,null,1983,null,653,null,1595,null,681,null,1335,null,513,null,557,null,321,null,368,null,294,null,54,null,92,null,0400000US05,Arkansas,05
178870,null,5805,null,7454,null,1593,null,6485,null,1493,null,16761,null,2059,null,13608,null,1710,null,21071,null,2236,null,32087,null,3018,null,25815,null,2513,null,32011,null,2291,null,13329,null,1779,null,10249,null,1398,null,0400000US06,California,06
23231,null,2500,null,1909,null,740,null,494,null,361,null,1732,null,717,null,2330,null,609,null,4342,null,983,null,4162,null,932,null,3194,null,788,null,3595,null,922,null,1094,null,502,null,379,null,317,null,0400000US08,Colorado,08
12105,null,1864,null,810,null,433,null,324,null,310,null,872,null,418,null,1810,null,855,null,1298,null,686,null,1796,null,698,null,1769,null,689,null,2423,null,977,null,396,null,284,null,607,null,248,null,0400000US09,Connecticut,09
2320,null,849,null,141,null,233,null,297,null,364,null,396,null,429,null,436,null,336,null,262,null,192,null,370,null,265,null,183,null,140,null,188,null,165,null,47,null,80,null,0,null,263,null,0400000US10,Delaware,10
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,0400000US11,District of Columbia,11
53415,null,3605,null,2771,null,823,null,2295,null,763,null,6157,null,1327,null,7312,null,1428,null,9159,null,1663,null,9210,null,1486,null,7577,null,1602,null,5321,null,1109,null,2001,null,812,null,1612,null,530,null,0400000US12,Florida,12
20513,null,2557,null,1070,null,409,null,365,null,262,null,1404,null,552,null,2061,null,708,null,3386,null,949,null,5845,null,1198,null,2463,null,723,null,3014,null,957,null,350,null,301,null,555,null,338,null,0400000US13,Georgia,13
47554,null,3241,null,1669,null,741,null,1600,null,755,null,3445,null,948,null,3411,null,1128,null,5913,null,1259,null,8924,null,1607,null,9383,null,1687,null,7869,null,1248,null,2972,null,717,null,2368,null,781,null,0400000US15,Hawaii,15
6674,null,1375,null,144,null,163,null,677,null,383,null,784,null,403,null,909,null,528,null,852,null,473,null,1768,null,683,null,946,null,404,null,541,null,331,null,53,null,97,null,0,null,259,null,0400000US16,Idaho,16
28114,null,2788,null,2455,null,820,null,1096,null,541,null,2563,null,808,null,2277,null,712,null,3784,null,1152,null,6060,null,1179,null,3343,null,938,null,4200,null,1103,null,771,null,325,null,1565,null,534,null,0400000US17,Illinois,17
18460,null,2105,null,1716,null,563,null,759,null,512,null,2748,null,740,null,2880,null,767,null,3579,null,1034,null,2736,null,866,null,1841,null,717,null,1449,null,517,null,518,null,485,null,234,null,188,null,0400000US18,Indiana,18
5374,null,1385,null,361,null,255,null,793,null,554,null,334,null,300,null,1047,null,510,null,991,null,514,null,769,null,395,null,466,null,236,null,350,null,292,null,0,null,226,null,263,null,254,null,0400000US19,Iowa,19
11687,null,1556,null,446,null,402,null,934,null,406,null,1487,null,600,null,1553,null,608,null,1853,null,678,null,2269,null,683,null,1388,null,587,null,1007,null,484,null,473,null,298,null,277,null,213,null,0400000US20,Kansas,20
7899,null,1221,null,678,null,380,null,406,null,293,null,1658,null,773,null,718,null,366,null,1155,null,591,null,1974,null,686,null,384,null,204,null,498,null,327,null,246,null,206,null,182,null,197,null,0400000US21,Kentucky,21
7542,null,1234,null,381,null,280,null,490,null,275,null,715,null,443,null,712,null,302,null,1933,null,717,null,1248,null,423,null,948,null,469,null,793,null,358,null,115,null,111,null,207,null,232,null,0400000US22,Louisiana,22
3410,null,726,null,349,null,260,null,265,null,257,null,532,null,263,null,322,null,221,null,510,null,229,null,677,null,275,null,320,null,244,null,435,null,298,null,0,null,228,null,0,null,228,null,0400000US23,Maine,23
18578,null,2123,null,134,null,131,null,288,null,221,null,1109,null,616,null,1133,null,605,null,3154,null,963,null,3517,null,963,null,3670,null,982,null,3379,null,763,null,1131,null,473,null,1063,null,379,null,0400000US24,Maryland,24
19721,null,2150,null,1420,null,622,null,797,null,415,null,1690,null,624,null,2187,null,826,null,3132,null,1042,null,2869,null,894,null,3522,null,1011,null,2711,null,755,null,875,null,530,null,518,null,301,null,0400000US25,Massachusetts,25
28365,null,2117,null,2118,null,619,null,1492,null,554,null,3343,null,859,null,3316,null,848,null,3434,null,711,null,6341,null,945,null,3901,null,917,null,3406,null,864,null,640,null,381,null,374,null,202,null,0400000US26,Michigan,26
11447,null,1589,null,605,null,324,null,552,null,364,null,886,null,440,null,1374,null,542,null,1314,null,641,null,2485,null,720,null,1737,null,557,null,1706,null,713,null,445,null,283,null,343,null,190,null,0400000US27,Minnesota,27
