B02001_001E,B02001_001EA,B02001_001M,B02001_001MA,B02001_002E,B02001_002EA,B02001_002M,B02001_002MA,B02001_003E,B02001_003EA,B02001_003M,B02001_003MA,B02001_004E,B02001_004EA,B02001_004M,B02001_004MA,B02001_005E,B02001_005EA,B02001_005M,B02001_005MA,B02001_006E,B02001_006EA,B02001_006M,B02001_006MA,B02001_007E,B02001_007EA,B02001_007M,B02001_007MA,B02001_008E,B02001_008EA,B02001_008M,B02001_008MA,B02001_009E,B02001_009EA,B02001_009M,B02001_009MA,B02001_010E,B02001_010EA,B02001_010M,B02001_010MA,GEO_ID,NAME,state
4708708,null,0,*****,3295027,null,5329,null,1229268,null,5545,null,24076,null,4031,null,51410,null,2190,null,2171,null,1340,null,42671,null,5367,null,64085,null,5544,null,4925,null,1454,null,59160,null,5422,null,0400000US01,Alabama,01
698473,null,0,*****,477384,null,2779,null,27067,null,1511,null,91953,null,3540,null,33636,null,1807,null,5351,null,962,null,11743,null,2551,null,51339,null,3796,null,3389,null,1450,null,47950,null,3769,null,0400000US02,Alaska,02
6595778,null,0,*****,5275163,null,22502,null,254011,null,7261,null,294145,null,8429,null,167881,null,3725,null,11340,null,2213,null,409874,null,20106,null,183364,null,10417,null,41357,null,5273,null,142007,null,8054,null,0400000US04,Arizona,04
2889450,null,0,*****,2265537,null,6371,null,447786,null,5069,null,18241,null,2695,null,32202,null,2525,null,2329,null,530,null,66303,null,6069,null,57052,null,4396,null,4925,null,1505,null,52127,null,4252,null,0400000US05,Arkansas,05
36961664,null,0,*****,23157650,null,76456,null,2247948,null,13760,null,295755,null,12869,null,4618747,null,13431,null,137544,null,4945,null,5097436,null,73157,null,1406584,null,28150,null,364321,null,16798,null,1042263,null,23146,null,0400000US06,California,06
5024748,null,0,*****,4251059,null,15433,null,194951,null,5530,null,49142,null,5335,null,130216,null,3502,null,5737,null,1381,null,231507,null,16039,null,162136,null,8765,null,27504,null,4432,null,134632,null,7733,null,0400000US08,Colorado,08
3518288,null,0,*****,2782023,null,11137,null,337293,null,5466,null,9801,null,2758,null,124037,null,2221,null,969,null,687,null,185642,null,11639,null,78523,null,5538,null,16105,null,3269,null,62418,null,4982,null,0400000US09,Connecticut,09
885122,null,0,*****,636530,null,4204,null,183790,null,3416,null,2736,null,999,null,27132,null,956,null,0,null,263,null,16040,null,3257,null,18894,null,2871,null,1804,null,951,null,17090,null,2871,null,0400000US10,Delaware,10
599657,null,0,*****,232247,null,4198,null,319119,null,2130,null,1835,null,730,null,17268,null,980,null,539,null,368,null,17600,null,3915,null,11049,null,1940,null,913,null,548,null,10136,null,1862,null,0400000US11,District of Columbia,11
18537969,null,0,*****,14258610,null,28885,null,2898631,null,16932,null,57715,null,6619,null,442687,null,6207,null,8906,null,2648,null,513581,null,26082,null,357839,null,15399,null,77485,null,7933,null,280354,null,13704,null,0400000US12,Florida,12
9829211,null,0,*****,6079509,null,18960,null,2946121,null,12586,null,22599,null,2671,null,291741,null,4651,null,6244,null,2446,null,323130,null,18305,null,159867,null,10645,null,22117,null,3513,null,137750,null,10013,null,0400000US13,Georgia,13
1295178,null,0,*****,348380,null,3796,null,29307,null,3852,null,3477,null,1252,null,480137,null,10327,null,114085,null,4235,null,13486,null,2957,null,306306,null,12667,null,10072,null,2434,null,296234,null,12574,null,0400000US15,Hawaii,15
1545801,null,0,*****,1427540,null,5416,null,10240,null,1849,null,22742,null,3178,null,17263,null,1442,null,1245,null,785,null,27703,null,3741,null,39068,null,3805,null,6957,null,1972,null,32111,null,3207,null,0400000US16,Idaho,16
12910409,null,0,*****,9359857,null,25121,null,1878098,null,9494,null,24655,null,3029,null,565429,null,4712,null,1934,null,842,null,848996,null,24246,null,231440,null,12445,null,51615,null,5565,null,179825,null,10027,null,0400000US17,Illinois,17
6423113,null,0,*****,5502046,null,8276,null,566692,null,5579,null,13690,null,2243,null,90593,null,2842,null,1163,null,652,null,131257,null,8069,null,117672,null,6879,null,20488,null,3596,null,97184,null,5623,null,0400000US18,Indiana,18
3007857,null,0,*****,2774940,null,5315,null,76411,null,3649,null,11080,null,1959,null,45771,null,2202,null,427,null,281,null,44975,null,4714,null,54253,null,4619,null,8057,null,1802,null,46196,null,4439,null,0400000US19,Iowa,19
2818747,null,0,*****,2433099,null,7680,null,157223,null,4450,null,23353,null,2182,null,61630,null,1797,null,1686,null,1316,null,59853,null,6960,null,81903,null,6204,null,9535,null,2395,null,72368,null,5272,null,0400000US20,Kansas,20
4314113,null,0,*****,3829537,null,5811,null,323189,null,6246,null,10269,null,2065,null,42155,null,1890,null,1240,null,740,null,37092,null,5000,null,70631,null,5616,null,7093,null,1919,null,63538,null,4863,null,0400000US21,Kentucky,21
4492076,null,0,*****,2859980,null,4967,null,1435911,null,6488,null,22236,null,2597,null,66977,null,2472,null,1693,null,1303,null,42957,null,4996,null,62322,null,5954,null,6545,null,1444,null,55777,null,5527,null,0400000US22,Louisiana,22
1318301,null,0,*****,1251450,null,4053,null,17563,null,3232,null,6865,null,961,null,12270,null,1042,null,138,null,228,null,3866,null,1343,null,26149,null,2933,null,1058,null,668,null,25091,null,2905,null,0400000US23,Maine,23
5699478,null,0,*****,3432154,null,11525,null,1652857,null,8588,null,16146,null,2728,null,290108,null,3691,null,2475,null,997,null,176532,null,11618,null,129206,null,8900,null,16508,null,3060,null,112698,null,8082,null,0400000US24,Maryland,24
6593587,null,0,*****,5434502,null,12713,null,416571,null,7537,null,9887,null,2066,null,328684,null,3749,null,2499,null,1357,null,247899,null,13434,null,153545,null,9306,null,26126,null,4231,null,127419,null,9092,null,0400000US25,Massachusetts,25
